name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Simon and Seafort's: Saloon & Grill,https://www.ubereats.com/anchorage/food-delivery/simon-and-seaforts%3A-saloon-%26-grill/wKbn-6c7Qd6k8UKTrZpcZA,anchorage,"['Steak', 'Seafood', 'Bar Food']",4.5,13,$,61.21799249999999,-149.9043985,+19072743502,99501,420 L Street,Anchorage,AK,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '15:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '15:30', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday'], 'opens': '15:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday'], 'opens': '11:30', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '15:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:30', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Anchorage', 'addressRegion': 'AK', 'postalCode': '99501', 'addressCountry': 'US', 'streetAddress': '420 L Street'}","{'@type': 'GeoCoordinates', 'latitude': 61.21799249999999, 'longitude': -149.9043985}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '13'}"
Yogurt Lounge,https://www.ubereats.com/anchorage/food-delivery/yogurt-lounge/dP1vW6vnSQqEk4PalNge6A,anchorage,"['Comfort Food', 'American', 'Burgers']",,,$,61.12130449999999,-149.862115,+19073499011,99515,10998 Omalley Centre Dr # E,Anchorage,AK,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '0:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Anchorage', 'addressRegion': 'AK', 'postalCode': '99515', 'addressCountry': 'US', 'streetAddress': '10998 Omalley Centre Dr # E'}","{'@type': 'GeoCoordinates', 'latitude': 61.12130449999999, 'longitude': -149.862115}",{}
Chuck E. Cheese's (308 E. Northern Lights Bl),https://www.ubereats.com/anchorage/food-delivery/chuck-e-cheeses-308-e-northern-lights-bl/9BWwdGkIQ6GLwMF7NedY7g,anchorage,"['Pizza', 'American', 'Chicken']",,,$,61.19473970000001,-149.8781403,+19072740825,99503,308 E. Northern Lights Bl,Anchorage,AK,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Anchorage', 'addressRegion': 'AK', 'postalCode': '99503', 'addressCountry': 'US', 'streetAddress': '308 E. Northern Lights Bl'}","{'@type': 'GeoCoordinates', 'latitude': 61.19473970000001, 'longitude': -149.8781403}",{}
Roll In Ice Creamery (Jewel Lake Rd)-,https://www.ubereats.com/anchorage/food-delivery/roll-in-ice-creamery-jewel-lake-rd/vWpYXxLRQzyJ1tMVgry4sg,anchorage,"['Ice Cream & Frozen Yogurt', 'Comfort Food', 'Desserts']",,,$,61.15825100000001,-149.9508124,+19079034747,99502,6847 Jewel Lake Road,Anchorage,AK,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '17:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '16:0', 'closes': '0:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Anchorage', 'addressRegion': 'AK', 'postalCode': '99502', 'addressCountry': 'US', 'streetAddress': '6847 Jewel Lake Road'}","{'@type': 'GeoCoordinates', 'latitude': 61.15825100000001, 'longitude': -149.9508124}",{}
Kindred Spirits Cafe (Anchorage),https://www.ubereats.com/anchorage/food-delivery/kindred-spirits-cafe-anchorage/RXV3NKAZSZariLszzOUgbQ,anchorage,"['Coffee and Tea', 'American', 'Breakfast and Brunch']",,,$$,61.1207527,-149.8588425,+19073446911,99515,11051 O'Malley Centre Drive,Anchorage,AK,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '14:30', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '14:30', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Anchorage', 'addressRegion': 'AK', 'postalCode': '99515', 'addressCountry': 'US', 'streetAddress': ""11051 O'Malley Centre Drive""}","{'@type': 'GeoCoordinates', 'latitude': 61.1207527, 'longitude': -149.8588425}",{}
The White Spot,https://www.ubereats.com/anchorage/food-delivery/the-white-spot/gFLllhqWRGyYjIcE__IT8A,anchorage,"['American', 'Salads', 'Burgers', 'Seafood', 'Desserts']",,,,61.21884,-149.883852,+19072793954,99501,109 W 4th Ave,Anchorage,AK,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:0', 'closes': '10:50'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '7:30', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '7:0', 'closes': '10:50'}]","{'@type': 'PostalAddress', 'addressLocality': 'Anchorage', 'addressRegion': 'AK', 'postalCode': '99501', 'addressCountry': 'US', 'streetAddress': '109 W 4th Ave'}","{'@type': 'GeoCoordinates', 'latitude': 61.21884, 'longitude': -149.883852}",{}
Jeepney by Adobo Grill,https://www.ubereats.com/anchorage/food-delivery/jeepney-by-adobo-grill/hykShh8qSO2ZO2j9k1WrNA,anchorage,"['Asian', 'Asian Fusion', 'Filipino']",4.7,12,$,61.1476808,-149.9225207,+19076022689,99502,8040 Northwood Street,Anchorage,AK,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '16:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '11:0', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '16:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '16:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Anchorage', 'addressRegion': 'AK', 'postalCode': '99502', 'addressCountry': 'US', 'streetAddress': '8040 Northwood Street'}","{'@type': 'GeoCoordinates', 'latitude': 61.1476808, 'longitude': -149.9225207}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '12'}"
Waffles and Whatnot (Betsy),https://www.ubereats.com/anchorage/food-delivery/waffles-and-whatnot-betsy/HalFDxW8RH2TwzrdPiMluA,anchorage,"['Breakfast and Brunch', 'American', 'Sandwiches']",,,$,61.2175488,-149.7339157,+19074064503,99504,500 Muldoon Rd #11,Anchorage,AK,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Anchorage', 'addressRegion': 'AK', 'postalCode': '99504', 'addressCountry': 'US', 'streetAddress': '500 Muldoon Rd #11'}","{'@type': 'GeoCoordinates', 'latitude': 61.2175488, 'longitude': -149.7339157}",{}
Wiki Wiki Onolicious,https://www.ubereats.com/anchorage/food-delivery/wiki-wiki-onolicious/8cK8yVDSQoWOZBqBa88uVA,anchorage,"['Desserts', 'Vegetarian', 'Coffee and Tea']",,,$,61.2132249,-149.8714176,+19078879454,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '7:0', 'closes': '20:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 61.2132249, 'longitude': -149.8714176}",{}
Taco Bell (9000 Lake Otis Parkway Units 6 & 7),https://www.ubereats.com/anchorage/food-delivery/taco-bell-9000-lake-otis-parkway-units-6-%26-7/JEmJOLLRRUi8ad6C4XYGzw,anchorage,"['Burritos', 'Fast Food', 'Mexican']",,,$,61.139128,-149.8349931,+19078681217,99507,9000 Lake Otis Parkway,Anchorage,AK,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday'], 'opens': '14:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday'], 'opens': '7:0', 'closes': '23:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday'], 'opens': '7:0', 'closes': '10:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '14:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '7:0', 'closes': '10:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '7:0', 'closes': '0:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Anchorage', 'addressRegion': 'AK', 'postalCode': '99507', 'addressCountry': 'US', 'streetAddress': '9000 Lake Otis Parkway'}","{'@type': 'GeoCoordinates', 'latitude': 61.139128, 'longitude': -149.8349931}",{}
