name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Zelo Gourmet Pizzas,https://www.ubereats.com/los-angeles/food-delivery/zelo-gourmet-pizzas/u_kum-6uTySp4OL5OGkHMQ,arcadia-california,"['Italian', 'Pizza']",4.9,29,$$,34.15091990000001,-118.0216585,+16263588298,91006,328 E Foothill Blvd,Arcadia,California,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '15:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '15:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Arcadia', 'addressRegion': 'California', 'postalCode': '91006', 'addressCountry': 'US', 'streetAddress': '328 E Foothill Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 34.15091990000001, 'longitude': -118.0216585}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '29'}"
Ding's Garden (San Gabriel),https://www.ubereats.com/los-angeles/food-delivery/dings-garden-san-gabriel/wJIXxgrYQKGEn4dxuFcnDg,arcadia-california,"['Chinese', 'Asian Fusion']",,,$,34.079714,-118.095755,+16262802222,91776,400 E Valley Blvd,San Gabriel,California,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday'], 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Gabriel', 'addressRegion': 'California', 'postalCode': '91776', 'addressCountry': 'US', 'streetAddress': '400 E Valley Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 34.079714, 'longitude': -118.095755}",{}
Seble's Market and Restaurant,https://www.ubereats.com/los-angeles/food-delivery/sebles-market-and-restaurant/ahsVuymAT1iHYpfuV8hGhA,arcadia-california,"['Burgers', 'Mexican', 'Ethiopian']",,,$,34.13608412887936,-118.13188593988116,+16267935573,91106,885 E Blvd,Pasadena,California,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:30', 'closes': '16:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '8:30', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '8:30', 'closes': '16:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Pasadena', 'addressRegion': 'California', 'postalCode': '91106', 'addressCountry': 'US', 'streetAddress': '885 E Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 34.13608412887936, 'longitude': -118.13188593988116}",{}
A Plus Tea House,https://www.ubereats.com/los-angeles/food-delivery/a-plus-tea-house/-DaF7y_rRcuTkIWOxj57dg,arcadia-california,"['Bubble Tea', 'Taiwanese', 'Coffee and Tea']",4.8,124,$,34.098409,-118.091315,+16266328878,91776,315 S,San Gabriel,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:30', 'closes': '18:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Gabriel', 'addressRegion': 'CA', 'postalCode': '91776', 'addressCountry': 'US', 'streetAddress': '315 S'}","{'@type': 'GeoCoordinates', 'latitude': 34.098409, 'longitude': -118.091315}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '124'}"
Banh Mi Che Cali (Rosemead - Garvey),https://www.ubereats.com/los-angeles/food-delivery/banh-mi-che-cali-rosemead-garvey/PvxmalRSTpOThm5o6rUyNg,arcadia-california,['Vietnamese'],4.8,69,$,34.062318,-118.094891,+16265723788,91770,7968 Garvey Ave,Rosemead,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:30', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Rosemead', 'addressRegion': 'CA', 'postalCode': '91770', 'addressCountry': 'US', 'streetAddress': '7968 Garvey Ave'}","{'@type': 'GeoCoordinates', 'latitude': 34.062318, 'longitude': -118.094891}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '69'}"
Janet's Mediterranean Cuisine,https://www.ubereats.com/los-angeles/food-delivery/janets-mediterranean-cuisine/Xd669rDWS1K-vPjkajByQw,arcadia-california,"['Mediterranean', 'Comfort Food', 'Chicken']",4.7,51,$,34.1392374,-117.975456,+16262564404,91010,1402 Huntington Dr,Duarte,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '16:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Duarte', 'addressRegion': 'CA', 'postalCode': '91010', 'addressCountry': 'US', 'streetAddress': '1402 Huntington Dr'}","{'@type': 'GeoCoordinates', 'latitude': 34.1392374, 'longitude': -117.975456}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '51'}"
Noodle bistro,https://www.ubereats.com/los-angeles/food-delivery/noodle-bistro/LAnv4qpiRaq8jcnI-M1ovQ,arcadia-california,"['Chinese: Hot Pot', 'Noodles', 'Asian']",,,$$,34.1065302,-118.0645698,+16268721106,91780,9461 E Las Tunas Dr,Temple City,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Temple City', 'addressRegion': 'CA', 'postalCode': '91780', 'addressCountry': 'US', 'streetAddress': '9461 E Las Tunas Dr'}","{'@type': 'GeoCoordinates', 'latitude': 34.1065302, 'longitude': -118.0645698}",{}
Jim's Burgers,https://www.ubereats.com/los-angeles/food-delivery/jims-burgers/8rR1-aKUSrOMEj0sqlbisA,arcadia-california,"['Burgers', 'Breakfast and Brunch', 'American']",4.8,76,$,34.062965,-118.047105,+16264434018,91733,10159 Garvey Ave,El Monte,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '21:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '9:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '9:0', 'closes': '21:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'El Monte', 'addressRegion': 'CA', 'postalCode': '91733', 'addressCountry': 'US', 'streetAddress': '10159 Garvey Ave'}","{'@type': 'GeoCoordinates', 'latitude': 34.062965, 'longitude': -118.047105}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '76'}"
Panera (3521 E Foothill Boulevard),https://www.ubereats.com/los-angeles/food-delivery/panera-3521-e-foothill-boulevard/oV3FPacRQSSp5RqnONMToQ,arcadia-california,"['Breakfast and Brunch', 'salad', 'Sandwich']",4.9,70,$,34.1507055,-118.0773802,+16263518272,91107,3521 E Foothill Boulevard,Pasadena,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:0', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '7:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '6:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '7:0', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Pasadena', 'addressRegion': 'CA', 'postalCode': '91107', 'addressCountry': 'US', 'streetAddress': '3521 E Foothill Boulevard'}","{'@type': 'GeoCoordinates', 'latitude': 34.1507055, 'longitude': -118.0773802}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '70'}"
The Old Spaghetti Factory (Duarte),https://www.ubereats.com/los-angeles/food-delivery/the-old-spaghetti-factory-duarte/Qv1nE5kUSUmCbxjNMV1Oew,arcadia-california,"['Italian', 'Pasta', 'Comfort Food']",4.2,83,$$,34.1363658,-117.9783036,+16263582115,91010,1431 Buena Vista,Duarte,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:30', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Duarte', 'addressRegion': 'CA', 'postalCode': '91010', 'addressCountry': 'US', 'streetAddress': '1431 Buena Vista'}","{'@type': 'GeoCoordinates', 'latitude': 34.1363658, 'longitude': -117.9783036}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '83'}"
