name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Firehouse Subs (9964 A  Kennerly Rd),https://www.ubereats.com/st-louis/food-delivery/firehouse-subs-9964-a-kennerly-rd/lz21FFeaS52l2euIK4kCog,arnold-missouri,"['Sandwich', 'Deli', 'Asian']",4.6,52,$,38.5064774,-90.377116,+13142704444,63128,9964 A  Kennerly Rd,St. Louis,MS,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'St. Louis', 'addressRegion': 'MS', 'postalCode': '63128', 'addressCountry': 'US', 'streetAddress': '9964 A  Kennerly Rd'}","{'@type': 'GeoCoordinates', 'latitude': 38.5064774, 'longitude': -90.377116}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '52'}"
Charley's Philly Steaks (85 South County Center Way),https://www.ubereats.com/st-louis/food-delivery/charleys-philly-steaks-85-south-county-center-way/BGAZt-ZBQTuSCPgNuoQ3EA,arnold-missouri,"['Sandwich', 'American', 'Kids Friendly']",4.5,17,$,38.5064573,-90.333007,+17862708428,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '17:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '18:30'}]",,"{'@type': 'GeoCoordinates', 'latitude': 38.5064573, 'longitude': -90.333007}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '17'}"
Applebee's  (1110 Big Bill Road),https://www.ubereats.com/st-louis/food-delivery/applebees-1110-big-bill-road/IeBHAjM-S7ezkCU36FEmGw,arnold-missouri,"['American', 'Bar Food', 'BBQ', 'burger', 'Chicken Strips', 'Comfort Food', 'Dinner', 'pasta', 'salad', 'Sandwich', 'Soup', 'Steak', 'Traditional American', 'wings', 'Family Meals']",4.5,40,$$,38.4432877,-90.3765169,+16362821550,63010,1110 Big Bill Road,Arnold,MO,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Arnold', 'addressRegion': 'MO', 'postalCode': '63010', 'addressCountry': 'US', 'streetAddress': '1110 Big Bill Road'}","{'@type': 'GeoCoordinates', 'latitude': 38.4432877, 'longitude': -90.3765169}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '40'}"
Taco Bell (3715 Lemay Ferry Road),https://www.ubereats.com/st-louis/food-delivery/taco-bell-3715-lemay-ferry-road/KjN5kU6uRj6Pjb-fkKt7ag,arnold-missouri,"['Burritos', 'Fast Food', 'Mexican']",4.6,57,$,38.5088962,-90.323044,+13148459669,63125,3715 Lemay Ferry Road,Saint Louis,MO,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '14:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '0:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '14:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:0', 'closes': '2:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Saint Louis', 'addressRegion': 'MO', 'postalCode': '63125', 'addressCountry': 'US', 'streetAddress': '3715 Lemay Ferry Road'}","{'@type': 'GeoCoordinates', 'latitude': 38.5088962, 'longitude': -90.323044}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '57'}"
Pieology Pizzeria (122 S County Center Way),https://www.ubereats.com/st-louis/food-delivery/pieology-pizzeria-122-s-county-center-way/9ayMOpeKQeqIWPA9LyjV3g,arnold-missouri,"['Pizza', 'American', 'Italian']",4.3,25,$,38.5040382,-90.3291302,+13144161413,63129,122 S County Center Way,Saint Louis,MO,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:45', 'closes': '20:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:45', 'closes': '21:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:45', 'closes': '22:15'}]","{'@type': 'PostalAddress', 'addressLocality': 'Saint Louis', 'addressRegion': 'MO', 'postalCode': '63129', 'addressCountry': 'US', 'streetAddress': '122 S County Center Way'}","{'@type': 'GeoCoordinates', 'latitude': 38.5040382, 'longitude': -90.3291302}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '25'}"
Denny's (1203 Drury Lane),https://www.ubereats.com/st-louis/food-delivery/dennys-1203-drury-lane/Qnt4nVqGR_Syx_cT82bSZw,arnold-missouri,"['American', 'Breakfast and Brunch', 'Coffee and Tea', 'Dinner', 'Desserts', 'Salads', 'Steak', 'Sandwich', 'Family Meals']",4.2,10,$$,38.4444364,-90.3779239,+16362969477,63010,1203 Drury Lane,Arnold,MO,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '0:0', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '6:0', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '0:0', 'closes': '23:59'}]","{'@type': 'PostalAddress', 'addressLocality': 'Arnold', 'addressRegion': 'MO', 'postalCode': '63010', 'addressCountry': 'US', 'streetAddress': '1203 Drury Lane'}","{'@type': 'GeoCoordinates', 'latitude': 38.4444364, 'longitude': -90.3779239}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '10'}"
MOD Pizza (Arnold),https://www.ubereats.com/st-louis/food-delivery/mod-pizza-arnold/m8zbh4aXRo6SYj5-TtANzQ,arnold-missouri,"['Pizza', 'Desserts', 'Salads', 'American', 'Healthy', 'Vegetarian Friendly', 'Kids Friendly']",4.7,23,$,38.4392967,-90.3757128,+13145827707,63010,1261 Water Tower Pl,Arnold,MO,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '21:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Arnold', 'addressRegion': 'MO', 'postalCode': '63010', 'addressCountry': 'US', 'streetAddress': '1261 Water Tower Pl'}","{'@type': 'GeoCoordinates', 'latitude': 38.4392967, 'longitude': -90.3757128}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '23'}"
"Qdoba Mexican Grill (180 Gravois Bluffs Cir, Suite D)",https://www.ubereats.com/st-louis/food-delivery/qdoba-mexican-grill-180-gravois-bluffs-cir-suite-d/UtykJ8toTEWNjkayznMj1g,arnold-missouri,"['Mexican', 'Family Meals']",4.4,23,$,38.5026194,-90.4449564,+16363051864,63026,"180 Gravois Bluffs Cir, Suite D",Fenton,MO,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:30', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:30', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Fenton', 'addressRegion': 'MO', 'postalCode': '63026', 'addressCountry': 'US', 'streetAddress': '180 Gravois Bluffs Cir, Suite D'}","{'@type': 'GeoCoordinates', 'latitude': 38.5026194, 'longitude': -90.4449564}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '23'}"
Taco Bell (1932 Richardson Road),https://www.ubereats.com/st-louis/food-delivery/taco-bell-1932-richardson-road/LgyUtbRhRWeQCs3JEld_WA,arnold-missouri,"['Burritos', 'Fast Food', 'Mexican']",4.6,28,$,38.412009,-90.38496660000001,+16364675077,63010,1932 Richardson Road,Arnold,MO,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '14:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '1:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '14:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:0', 'closes': '2:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Arnold', 'addressRegion': 'MO', 'postalCode': '63010', 'addressCountry': 'US', 'streetAddress': '1932 Richardson Road'}","{'@type': 'GeoCoordinates', 'latitude': 38.412009, 'longitude': -90.38496660000001}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '28'}"
Sunny Street Cafe (Arnold),https://www.ubereats.com/st-louis/food-delivery/sunny-street-cafe-arnold/RJ6oXTZtQV6CTDY2MORUNA,arnold-missouri,"['Breakfast', 'Brunch', 'American']",,,$$,38.4378323,-90.38293329999999,+16362879191,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:0', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '7:0', 'closes': '13:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '7:0', 'closes': '14:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 38.4378323, 'longitude': -90.38293329999999}",{}
