name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
"Piggy's BBQ, Spirits & Gaming",https://www.ubereats.com/chicago/food-delivery/piggys-bbq-spirits-%26-gaming/qqmoKzWxSKKW3NdGbF8YPg,aurora-illinois,"['BBQ', 'American']",3.5,13,$$,41.6770499,-88.3502791,+16306366285,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday'], 'opens': '16:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '12:0', 'closes': '21:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 41.6770499, 'longitude': -88.3502791}","{'@type': 'AggregateRating', 'ratingValue': 3.5, 'reviewCount': '13'}"
La Michoacana Ice Cream and Bakery (Aurora),https://www.ubereats.com/chicago/food-delivery/la-michoacana-ice-cream-and-bakery-aurora/Xfhits_wT_2eka_39BGzlw,aurora-illinois,"['Bakery', 'Ice Cream and Frozen Yogurt']",,,$,41.751838,-88.333379,+16308976190,60506,720 Prairie St,Aurora,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Aurora', 'addressRegion': 'IL', 'postalCode': '60506', 'addressCountry': 'US', 'streetAddress': '720 Prairie St'}","{'@type': 'GeoCoordinates', 'latitude': 41.751838, 'longitude': -88.333379}",{}
Pigs N Heat BBQ,https://www.ubereats.com/chicago/food-delivery/pigs-n-heat-bbq/SY3czQiiSaimhJmabWZawg,aurora-illinois,"['BBQ', 'American', 'Chicken', 'Wings', 'Soul Food']",,,$,41.7242034,-88.3185402,+14047483963,60538,1550 Douglas Rd,Montgomery,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '12:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Montgomery', 'addressRegion': 'IL', 'postalCode': '60538', 'addressCountry': 'US', 'streetAddress': '1550 Douglas Rd'}","{'@type': 'GeoCoordinates', 'latitude': 41.7242034, 'longitude': -88.3185402}",{}
MOD Pizza (South Naperville),https://www.ubereats.com/chicago/food-delivery/mod-pizza-south-naperville/Zf0PPqjcSZW0ggf_BhRaJw,aurora-illinois,"['Pizza', 'Desserts', 'Salads', 'American', 'Healthy', 'Vegetarian Friendly', 'Kids Friendly']",4.5,107,$,41.712419,-88.2075405,+16309460300,60564-5056,2835 Showplace Dr,Naperville,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '21:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Naperville', 'addressRegion': 'IL', 'postalCode': '60564-5056', 'addressCountry': 'US', 'streetAddress': '2835 Showplace Dr'}","{'@type': 'GeoCoordinates', 'latitude': 41.712419, 'longitude': -88.2075405}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '107'}"
Bulldog Ale House - Aurora,https://www.ubereats.com/chicago/food-delivery/bulldog-ale-house-aurora/2dHYliIYRZ6q75tretQMOA,aurora-illinois,"['Bar Food', 'Burgers', 'Sandwich']",4.2,32,$$,41.761954,-88.219317,+16308960333,60504,451 N Commons Dr,Aurora,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Aurora', 'addressRegion': 'IL', 'postalCode': '60504', 'addressCountry': 'US', 'streetAddress': '451 N Commons Dr'}","{'@type': 'GeoCoordinates', 'latitude': 41.761954, 'longitude': -88.219317}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '32'}"
Anmol South Asian Kitchen,https://www.ubereats.com/chicago/food-delivery/anmol-south-asian-kitchen/jtjs9xcuTkKKAuJl-HV7Fw,aurora-illinois,"['Mediterranean', 'Chicken', 'Seafood']",,,,41.7952746,-88.2043065,+16309466760,60563,1550 Illinois Rte 59 170,Naperville,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '16:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '16:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Naperville', 'addressRegion': 'IL', 'postalCode': '60563', 'addressCountry': 'US', 'streetAddress': '1550 Illinois Rte 59 170'}","{'@type': 'GeoCoordinates', 'latitude': 41.7952746, 'longitude': -88.2043065}",{}
Arby's (144 S Randall Rd),https://www.ubereats.com/chicago/food-delivery/arbys-144-s-randall-rd/geFzFiYBTt-3Lh0hoEyEzw,aurora-illinois,"['American', 'Sandwich', 'Salads', 'Fast Food', 'Kids Friendly']",,,$,41.8479418,-88.33947289999999,+16307611140,60510,144 S Randall Rd,Batavia,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Batavia', 'addressRegion': 'IL', 'postalCode': '60510', 'addressCountry': 'US', 'streetAddress': '144 S Randall Rd'}","{'@type': 'GeoCoordinates', 'latitude': 41.8479418, 'longitude': -88.33947289999999}",{}
Popeyes (1382 Butterfield Rd),https://www.ubereats.com/chicago/food-delivery/popeyes-1382-butterfield-rd/qmRK-sTERSqcPYLatATP9w,aurora-illinois,"['American', 'Fast Food', 'Comfort Food', 'Family Meals']",4.4,66,$,41.8130518,-88.2817977,+13312199960,90505,1382 Butterfield Rd,Aurora,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:30', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Aurora', 'addressRegion': 'IL', 'postalCode': '90505', 'addressCountry': 'US', 'streetAddress': '1382 Butterfield Rd'}","{'@type': 'GeoCoordinates', 'latitude': 41.8130518, 'longitude': -88.2817977}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '66'}"
The Burger Life,https://www.ubereats.com/chicago/food-delivery/the-burger-life/kAIUZmIyRRObSiHmoDL6aA,aurora-illinois,"['Burgers', 'American', 'Sandwiches']",4.3,93,$,41.7676656,-88.1853039,+16304709727,60540,1570 Ogden Ave,Naperville,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '23:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Naperville', 'addressRegion': 'IL', 'postalCode': '60540', 'addressCountry': 'US', 'streetAddress': '1570 Ogden Ave'}","{'@type': 'GeoCoordinates', 'latitude': 41.7676656, 'longitude': -88.1853039}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '93'}"
Alwaleed Restaurant,https://www.ubereats.com/chicago/food-delivery/alwaleed-restaurant/1ymxlFqkRJCXUlFxxB-boQ,aurora-illinois,['Mediterranean'],,,$,41.780525,-88.178011,+16304458926,60563,1250 Ogden Ave,Naperville,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Naperville', 'addressRegion': 'IL', 'postalCode': '60563', 'addressCountry': 'US', 'streetAddress': '1250 Ogden Ave'}","{'@type': 'GeoCoordinates', 'latitude': 41.780525, 'longitude': -88.178011}",{}
