name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
El jacalito elotes mexicanos,https://www.ubereats.com/san-antonio/food-delivery/el-jacalito-elotes-mexicanos/adnUIzwwR-iuj-x9A1LfoA,balcones-heights-texas,"['Mexican', 'Latin American', 'New Mexican']",,,$,29.3886686,-98.53330700000001,+12108150499,78225,1509 W Theo Ave,San Antonio,TX,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '14:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '16:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '14:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Antonio', 'addressRegion': 'TX', 'postalCode': '78225', 'addressCountry': 'US', 'streetAddress': '1509 W Theo Ave'}","{'@type': 'GeoCoordinates', 'latitude': 29.3886686, 'longitude': -98.53330700000001}",{}
The Bread Box,https://www.ubereats.com/san-antonio/food-delivery/the-bread-box/iNqlDOhPQn2o6Eo7dp5Cww,balcones-heights-texas,"['Breakfast and Brunch', 'Salads', 'Sandwich', 'Desserts']",,,$,29.5790375,-98.499383,+12102778612,78216,555 W Bitters Rd,San Antonio,TX,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '9:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:0', 'closes': '14:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Antonio', 'addressRegion': 'TX', 'postalCode': '78216', 'addressCountry': 'US', 'streetAddress': '555 W Bitters Rd'}","{'@type': 'GeoCoordinates', 'latitude': 29.5790375, 'longitude': -98.499383}",{}
Five Guys TX-0405 260 E. Basse Rd,https://www.ubereats.com/san-antonio/food-delivery/five-guys-tx-0405-260-e-basse-rd/whrjg1rvTkOAOm3ozpVOdg,balcones-heights-texas,"['American', 'Burgers', 'Fast Food']",4.7,352,$,29.49424,-98.478849,+12108226200,78209,260 E Basse St Suite 107,San Antonio,TX,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Antonio', 'addressRegion': 'TX', 'postalCode': '78209', 'addressCountry': 'US', 'streetAddress': '260 E Basse St Suite 107'}","{'@type': 'GeoCoordinates', 'latitude': 29.49424, 'longitude': -98.478849}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '352'}"
The shack,https://www.ubereats.com/san-antonio/food-delivery/the-shack/JKhjmLNwRr6PQwnZ8AGpsQ,balcones-heights-texas,"['Burgers', 'American', 'Sandwiches']",,,$,29.4459062,-98.6380169,+12105715535,78251,"7431 Northwest Loop 410, 115",San Antonio,TX,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:30', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Antonio', 'addressRegion': 'TX', 'postalCode': '78251', 'addressCountry': 'US', 'streetAddress': '7431 Northwest Loop 410, 115'}","{'@type': 'GeoCoordinates', 'latitude': 29.4459062, 'longitude': -98.6380169}",{}
Los Hermanos Tortilleria,https://www.ubereats.com/san-antonio/food-delivery/los-hermanos-tortilleria/m8Cf7a3uSQCt791td4vXYg,balcones-heights-texas,"['Mexican', 'Latin American', 'New Mexican']",,,$,29.379277,-98.517055,+12109220219,78211,303 Commercial Ave,San Antonio,TX,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '5:0', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '7:0', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '7:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '5:0', 'closes': '14:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Antonio', 'addressRegion': 'TX', 'postalCode': '78211', 'addressCountry': 'US', 'streetAddress': '303 Commercial Ave'}","{'@type': 'GeoCoordinates', 'latitude': 29.379277, 'longitude': -98.517055}",{}
La Taqueria de Monterrey,https://www.ubereats.com/san-antonio/food-delivery/la-taqueria-de-monterrey/aS4_v7JPSnG5yMks3qt-Bw,balcones-heights-texas,['Mexican'],4.4,45,$,29.484163,-98.55987,+12109948686,78228,2715 Hillcrest Drive,San Antonio,TX,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '9:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Antonio', 'addressRegion': 'TX', 'postalCode': '78228', 'addressCountry': 'US', 'streetAddress': '2715 Hillcrest Drive'}","{'@type': 'GeoCoordinates', 'latitude': 29.484163, 'longitude': -98.55987}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '45'}"
Papa John's (1573 Bandera Rd),https://www.ubereats.com/san-antonio/food-delivery/papa-johns-1573-bandera-rd/sAl3JM7CTjWH6CHHIIQ1QQ,balcones-heights-texas,"['Pizza', 'Wings', 'Desserts']",4.6,66,$,29.468128,-98.569491,+12104327272,78228,1573 Bandera Rd,San Antonio,TX,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '22:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Antonio', 'addressRegion': 'TX', 'postalCode': '78228', 'addressCountry': 'US', 'streetAddress': '1573 Bandera Rd'}","{'@type': 'GeoCoordinates', 'latitude': 29.468128, 'longitude': -98.569491}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '66'}"
"El Pollo Loco (151 W Bitters Rd,3790)",https://www.ubereats.com/san-antonio/food-delivery/el-pollo-loco-151-w-bitters-rd3790/RPp-rqrOTDmcW9Mg3for_Q,balcones-heights-texas,"['Latin American', 'Mexican', 'New American']",,,$,29.5661619,-98.4836249,+12105453914,78216,151 W Bitters Rd,San Antonio,TX,[],"{'@type': 'PostalAddress', 'addressLocality': 'San Antonio', 'addressRegion': 'TX', 'postalCode': '78216', 'addressCountry': 'US', 'streetAddress': '151 W Bitters Rd'}","{'@type': 'GeoCoordinates', 'latitude': 29.5661619, 'longitude': -98.4836249}",{}
MeepleWich Cafe,https://www.ubereats.com/san-antonio/food-delivery/meeplewich-cafe/EpCQz8A-SzmdILjhC9HFCA,balcones-heights-texas,"['SaladSandwiches', 'Cafe']",,,$,29.503412,-98.558556,+12104370393,78229,7460 Callaghan Rd,San Antonio,TX,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '11:0', 'closes': '14:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Antonio', 'addressRegion': 'TX', 'postalCode': '78229', 'addressCountry': 'US', 'streetAddress': '7460 Callaghan Rd'}","{'@type': 'GeoCoordinates', 'latitude': 29.503412, 'longitude': -98.558556}",{}
Brainfreeze,https://www.ubereats.com/san-antonio/food-delivery/brainfreeze/vsEBrflxRtCOPWixzojuVQ,balcones-heights-texas,"['Comfort Food', 'Chicken', 'Breakfast and Brunch']",,,$,29.4260063,-98.5549666,+12103162763,78237,415 S General McMullen Dr,San Antonio,TX,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '15:45', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Antonio', 'addressRegion': 'TX', 'postalCode': '78237', 'addressCountry': 'US', 'streetAddress': '415 S General McMullen Dr'}","{'@type': 'GeoCoordinates', 'latitude': 29.4260063, 'longitude': -98.5549666}",{}
