name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Jersey Mike's (6002 Far Hills Avenue),https://www.ubereats.com/dayton/food-delivery/jersey-mikes-6002-far-hills-avenue/aG9iwOTRTSazf-59tqDJ4g,beavercreek-ohio,"['Sandwich', 'American']",5.0,22,$,39.657531,-84.156745,+19374393840,45459,6002 Far Hills Avenue,Centerville,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Centerville', 'addressRegion': 'OH', 'postalCode': '45459', 'addressCountry': 'US', 'streetAddress': '6002 Far Hills Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 39.657531, 'longitude': -84.156745}","{'@type': 'AggregateRating', 'ratingValue': 5, 'reviewCount': '22'}"
Hootie's Burger Bar (6851 Miller Lane),https://www.ubereats.com/dayton/food-delivery/hooties-burger-bar-6851-miller-lane/WGp-YtLdRuaxWeYlRBFsJw,beavercreek-ohio,"['American', 'Bar Food', 'burger']",4.7,24,$$,39.8470036,-84.1925905,+19378900467,45414,6851 Miller Lane,Dayton,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday'], 'opens': '16:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Dayton', 'addressRegion': 'OH', 'postalCode': '45414', 'addressCountry': 'US', 'streetAddress': '6851 Miller Lane'}","{'@type': 'GeoCoordinates', 'latitude': 39.8470036, 'longitude': -84.1925905}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '24'}"
Jersey Mike's (3510 Pentagon Boulevard),https://www.ubereats.com/dayton/food-delivery/jersey-mikes-3510-pentagon-boulevard/INa1FDkNRdKCkTd_FIFr3g,beavercreek-ohio,"['Sandwich', 'American']",4.6,51,$,39.772198,-84.060804,+19374266540,45431,3510 Pentagon Boulevard,Beavercreek,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Beavercreek', 'addressRegion': 'OH', 'postalCode': '45431', 'addressCountry': 'US', 'streetAddress': '3510 Pentagon Boulevard'}","{'@type': 'GeoCoordinates', 'latitude': 39.772198, 'longitude': -84.060804}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '51'}"
Hot Head Burritos (Beavercreek),https://www.ubereats.com/dayton/food-delivery/hot-head-burritos-beavercreek/mZFPeX49RfeEwe5OyuOMSQ,beavercreek-ohio,"['New Mexican', 'Mexican']",4.0,10,$,39.726113,-84.05635,+19373209522,,3195 Dayton Xenia Rd,Beavercreek,Ohio,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:15'}]","{'@type': 'PostalAddress', 'addressLocality': 'Beavercreek', 'addressRegion': 'Ohio', 'postalCode': '', 'addressCountry': 'US', 'streetAddress': '3195 Dayton Xenia Rd'}","{'@type': 'GeoCoordinates', 'latitude': 39.726113, 'longitude': -84.05635}","{'@type': 'AggregateRating', 'ratingValue': 4, 'reviewCount': '10'}"
OinkADoodleMoo BBQ (Kettering),https://www.ubereats.com/dayton/food-delivery/oinkadoodlemoo-bbq-kettering/UchXS6MQRzCBKavVoBYgIA,beavercreek-ohio,"['Burgers', 'American', 'Sandwiches']",4.6,10,$,39.7034218,-84.1518486,+19375220911,45419,912 East Dorothy Lane,Dayton,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Dayton', 'addressRegion': 'OH', 'postalCode': '45419', 'addressCountry': 'US', 'streetAddress': '912 East Dorothy Lane'}","{'@type': 'GeoCoordinates', 'latitude': 39.7034218, 'longitude': -84.1518486}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '10'}"
Burger King (4085 Wilmington Pike),https://www.ubereats.com/dayton/food-delivery/burger-king-4085-wilmington-pike/U-hFM02uR7SQBOfHFTLkWw,beavercreek-ohio,"['American', 'burger', 'Fast Food']",5.0,20,$,39.6861435,-84.1297615,+19372960724,45440,4085 Wilmington Pike,Kettering,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday'], 'opens': '10:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday'], 'opens': '6:0', 'closes': '10:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Wednesday', 'opens': '10:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '10:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '6:0', 'closes': '10:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Kettering', 'addressRegion': 'OH', 'postalCode': '45440', 'addressCountry': 'US', 'streetAddress': '4085 Wilmington Pike'}","{'@type': 'GeoCoordinates', 'latitude': 39.6861435, 'longitude': -84.1297615}","{'@type': 'AggregateRating', 'ratingValue': 5, 'reviewCount': '20'}"
Hectors taco shop,https://www.ubereats.com/dayton/food-delivery/hectors-taco-shop/8Xw_Ra6bSJ-t2KQOEyFiSw,beavercreek-ohio,"['Mexican', 'Latin American', 'New Mexican']",,,$,39.7926482,-84.04466590000001,+17409197026,45324,1864 Colonel Glenn Hwy,Fairborn,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '8:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Fairborn', 'addressRegion': 'OH', 'postalCode': '45324', 'addressCountry': 'US', 'streetAddress': '1864 Colonel Glenn Hwy'}","{'@type': 'GeoCoordinates', 'latitude': 39.7926482, 'longitude': -84.04466590000001}",{}
Arby's (6340 Brandt Pike),https://www.ubereats.com/dayton/food-delivery/arbys-6340-brandt-pike/9hlU-ZzeSzC7nvu13I30Cw,beavercreek-ohio,"['American', 'Sandwich', 'Kids Friendly', 'Fast Food']",,,$,39.8443744,-84.11463479999999,+19372338463,45424,6340 Brandt Pike,Huber Heights,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Huber Heights', 'addressRegion': 'OH', 'postalCode': '45424', 'addressCountry': 'US', 'streetAddress': '6340 Brandt Pike'}","{'@type': 'GeoCoordinates', 'latitude': 39.8443744, 'longitude': -84.11463479999999}",{}
Victor's Taco Shop,https://www.ubereats.com/dayton/food-delivery/victors-taco-shop/wB2ZpWa0TUu2ld_ZF5BKww,beavercreek-ohio,['Mexican'],,,$,39.784216,-84.188679,+17403628201,45404,1438 N Keowee St,Dayton,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '8:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '9:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Dayton', 'addressRegion': 'OH', 'postalCode': '45404', 'addressCountry': 'US', 'streetAddress': '1438 N Keowee St'}","{'@type': 'GeoCoordinates', 'latitude': 39.784216, 'longitude': -84.188679}",{}
Wendy's  (4873 AIRWAY ROAD),https://www.ubereats.com/dayton/food-delivery/wendys-4873-airway-road/UzdaueP3Q6-kvYL018KlvQ,beavercreek-ohio,"['American', 'Burgers', 'Fast Food']",3.8,13,$,39.7694132,-84.1239087,+19375024268,45431,4873 AIRWAY ROAD,DAYTON,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '0:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:30', 'closes': '10:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'DAYTON', 'addressRegion': 'OH', 'postalCode': '45431', 'addressCountry': 'US', 'streetAddress': '4873 AIRWAY ROAD'}","{'@type': 'GeoCoordinates', 'latitude': 39.7694132, 'longitude': -84.1239087}","{'@type': 'AggregateRating', 'ratingValue': 3.8, 'reviewCount': '13'}"
