name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Houdini's Paninis,https://www.ubereats.com/san-francisco/food-delivery/houdinis-paninis/6qPWTeWKTwS1hsYRr3qQwg,belmont-california,"['Sandwich', 'Salads', 'Fish and Chips']",,,$,37.5652309,-122.3225549,+16503433844,94401,226 E 3rd Ave,"San Mateo,",CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '5:0', 'closes': '5:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Mateo,', 'addressRegion': 'CA', 'postalCode': '94401', 'addressCountry': 'US', 'streetAddress': '226 E 3rd Ave'}","{'@type': 'GeoCoordinates', 'latitude': 37.5652309, 'longitude': -122.3225549}",{}
Kaffeehaus,https://www.ubereats.com/san-francisco/food-delivery/kaffeehaus/w2MKktJJSsSIfP2vt49Aog,belmont-california,"['American', 'Breakfast and Brunch', 'Desserts', 'Pizza']",,,$,37.5640288,-122.3243053,+16503474242,94401,92 E 3rd Ave,San Mateo,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:30', 'closes': '11:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '12:0', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '14:30', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Mateo', 'addressRegion': 'CA', 'postalCode': '94401', 'addressCountry': 'US', 'streetAddress': '92 E 3rd Ave'}","{'@type': 'GeoCoordinates', 'latitude': 37.5640288, 'longitude': -122.3243053}",{}
HOM Korean Kitchen - Redwood City,https://www.ubereats.com/san-francisco/food-delivery/hom-korean-kitchen-redwood-city/KB67cX2_RTOp12B4ePdnzg,belmont-california,"['Korean', 'Rice-bowls', 'Family Meals']",4.8,97,$$,37.486113,-122.233981,+16502735858,94063,2639 Broadway,Redwood City,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:30', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Redwood City', 'addressRegion': 'CA', 'postalCode': '94063', 'addressCountry': 'US', 'streetAddress': '2639 Broadway'}","{'@type': 'GeoCoordinates', 'latitude': 37.486113, 'longitude': -122.233981}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '97'}"
Roam Artisan Burgers (Bay Meadows),https://www.ubereats.com/san-francisco/food-delivery/roam-artisan-burgers-bay-meadows/s0xSQ7zgSiasFI16MIbqng,belmont-california,"['Burgers', 'American', 'Sandwiches']",4.8,19,$,37.5405852,-122.297794,+19253850798,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 37.5405852, 'longitude': -122.297794}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '19'}"
Kemuri Japanese Baru,https://www.ubereats.com/san-francisco/food-delivery/kemuri-japanese-baru/CpOBWLWmSZyEZau33RIu9g,belmont-california,"['Japanese', 'Asian', 'Sushi', 'Family Meals']",4.6,91,$,37.48650230000001,-122.2337251,+16502577653,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '16:0', 'closes': '21:30'}]",,"{'@type': 'GeoCoordinates', 'latitude': 37.48650230000001, 'longitude': -122.2337251}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '91'}"
GRAND HARBOR SEAFOOD AND DIMSUM,https://www.ubereats.com/san-francisco/food-delivery/grand-harbor-seafood-and-dimsum/r_3M591OR9WD-a6tBD-upQ,belmont-california,"['Chinese', 'Asian', 'Seafood']",4.8,13,$,37.59772760000001,-122.3640071,+16503479988,94010,1492 Old Bayshore Hwy,Burlingame,California,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '3:0', 'closes': '3:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Burlingame', 'addressRegion': 'California', 'postalCode': '94010', 'addressCountry': 'US', 'streetAddress': '1492 Old Bayshore Hwy'}","{'@type': 'GeoCoordinates', 'latitude': 37.59772760000001, 'longitude': -122.3640071}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '13'}"
Urban Ritual,https://www.ubereats.com/san-francisco/food-delivery/urban-ritual/NlKDAarxRxi92ICFHm6E5g,belmont-california,"['Asian', 'Desserts', 'Juice and Smoothies', 'Coffee and Tea', 'Allergy Friendly']",4.9,102,$,37.5665398,-122.3237229,+14154380175,94401,140 S B St,San Mateo,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '12:0', 'closes': '19:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Mateo', 'addressRegion': 'CA', 'postalCode': '94401', 'addressCountry': 'US', 'streetAddress': '140 S B St'}","{'@type': 'GeoCoordinates', 'latitude': 37.5665398, 'longitude': -122.3237229}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '102'}"
Bay Leaf,https://www.ubereats.com/san-francisco/food-delivery/bay-leaf/QKv6xL-6TRyLrWqecFPvoA,belmont-california,"['Healthy', 'Salads', 'Vegan']",,,$,37.5675716,-122.3111859,+16503152444,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '9:0', 'closes': '17:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 37.5675716, 'longitude': -122.3111859}",{}
Cup Of Blooms ,https://www.ubereats.com/san-francisco/food-delivery/cup-of-blooms/xRzPi3YMSbyKVn5lhOxP6Q,belmont-california,"['Bubble Tea', 'Coffee and Tea', 'Comfort Food']",,,,37.56167,-122.31891,+16504772113,94401,800 South B Street Suite 500,San Mateo,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '12:0', 'closes': '17:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Mateo', 'addressRegion': 'CA', 'postalCode': '94401', 'addressCountry': 'US', 'streetAddress': '800 South B Street Suite 500'}","{'@type': 'GeoCoordinates', 'latitude': 37.56167, 'longitude': -122.31891}",{}
Chipotle Mexican Grill (861 Middlefield Rd),https://www.ubereats.com/san-francisco/food-delivery/chipotle-mexican-grill-861-middlefield-rd/LqZWV9skRBuZkqZ-KOu87Q,belmont-california,"['Healthy', 'Mexican']",4.5,157,$,37.4858203,-122.2288713,+16502169325,94063,861 Middlefield Rd,Redwood City,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:45', 'closes': '21:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Redwood City', 'addressRegion': 'CA', 'postalCode': '94063', 'addressCountry': 'US', 'streetAddress': '861 Middlefield Rd'}","{'@type': 'GeoCoordinates', 'latitude': 37.4858203, 'longitude': -122.2288713}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '157'}"
