name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
El Jour,https://www.ubereats.com/chicago/food-delivery/el-jour/WZ3ZioQnRTqOIiZFK8i5yw,berwyn-illinois,"['American', 'Chicken', 'Salads']",,,$,41.878183,-87.77101,+17085403731,60644,131 S Mayfield Ave,Chicago,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:0', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Chicago', 'addressRegion': 'IL', 'postalCode': '60644', 'addressCountry': 'US', 'streetAddress': '131 S Mayfield Ave'}","{'@type': 'GeoCoordinates', 'latitude': 41.878183, 'longitude': -87.77101}",{}
Dunkin' (6738 W Archer Ave),https://www.ubereats.com/chicago/food-delivery/dunkin-6738-w-archer-ave/GGiNHdh4RjiZix118F6APw,berwyn-illinois,"['Breakfast & Brunch', 'Donuts']",,,$,41.7924177,-87.79064729999999,+17735865969,60638,6738 W Archer Ave,Chicago,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '0:1', 'closes': '23:59'}]","{'@type': 'PostalAddress', 'addressLocality': 'Chicago', 'addressRegion': 'IL', 'postalCode': '60638', 'addressCountry': 'US', 'streetAddress': '6738 W Archer Ave'}","{'@type': 'GeoCoordinates', 'latitude': 41.7924177, 'longitude': -87.79064729999999}",{}
Potbelly Sandwich Shop (Taylor Street | 70),https://www.ubereats.com/chicago/food-delivery/potbelly-sandwich-shop-taylor-street-%7C-70/Q4l210JHSaqabFmvumgsXw,berwyn-illinois,"['Deli', 'Salads', 'Sandwich']",4.1,100,$,41.8691214,-87.6639125,+13126339915,60607,1459 W. Taylor Street,Chicago,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '18:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Chicago', 'addressRegion': 'IL', 'postalCode': '60607', 'addressCountry': 'US', 'streetAddress': '1459 W. Taylor Street'}","{'@type': 'GeoCoordinates', 'latitude': 41.8691214, 'longitude': -87.6639125}","{'@type': 'AggregateRating', 'ratingValue': 4.1, 'reviewCount': '100'}"
Village Garden Restaurant and Cafe,https://www.ubereats.com/chicago/food-delivery/village-garden-restaurant-and-cafe/oCOo_LzwQC-s_cBk51af0g,berwyn-illinois,"['Vegetarian', 'Salads', 'Sandwich']",,,$,41.738583,-87.799868,+17082337744,60455,7201 W 84th St,Bridgeview,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Bridgeview', 'addressRegion': 'IL', 'postalCode': '60455', 'addressCountry': 'US', 'streetAddress': '7201 W 84th St'}","{'@type': 'GeoCoordinates', 'latitude': 41.738583, 'longitude': -87.799868}",{}
Lugano's Pizza (S Austin),https://www.ubereats.com/chicago/food-delivery/luganos-pizza-s-austin/vqnFRyVbTRq1qq3VLhgJBw,berwyn-illinois,"['Pizza', 'Italian']",4.5,14,$$,41.829186,-87.773596,+17087807700,60804,3444 S Austin Blvd,Cicero,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '0:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Cicero', 'addressRegion': 'IL', 'postalCode': '60804', 'addressCountry': 'US', 'streetAddress': '3444 S Austin Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 41.829186, 'longitude': -87.773596}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '14'}"
We’re Nuts,https://www.ubereats.com/chicago/food-delivery/were-nuts/FbLHjhcjSZKeh-VKDYPsNw,berwyn-illinois,"['Ice Cream & Frozen Yogurt', 'Comfort Food', 'Desserts']",,,$,41.8142082,-87.870511,+17086063602,60525,15 W Harris Ave,La Grange,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'La Grange', 'addressRegion': 'IL', 'postalCode': '60525', 'addressCountry': 'US', 'streetAddress': '15 W Harris Ave'}","{'@type': 'GeoCoordinates', 'latitude': 41.8142082, 'longitude': -87.870511}",{}
Falafelji,https://www.ubereats.com/chicago/food-delivery/falafelji/Lw3miMrxT7iEmEgKFVEp5A,berwyn-illinois,"['Middle Eastern', 'Arabian', 'Chicken']",4.8,32,$,41.8207065,-87.80311309999999,+17084474757,60534,3910 Harlem Ave,Lyons,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Lyons', 'addressRegion': 'IL', 'postalCode': '60534', 'addressCountry': 'US', 'streetAddress': '3910 Harlem Ave'}","{'@type': 'GeoCoordinates', 'latitude': 41.8207065, 'longitude': -87.80311309999999}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '32'}"
Las Islas Marias (Pulaski & 55th),https://www.ubereats.com/chicago/food-delivery/las-islas-marias-pulaski-%26-55th/ppkw7m6PQGqj3eeI3fxDnA,berwyn-illinois,"['Seafood', 'American', 'Southern']",4.4,94,$,41.7949084,-87.7229093,+17737670908,60632,5401 S Pulaski Rd,Chicago,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '0:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Chicago', 'addressRegion': 'IL', 'postalCode': '60632', 'addressCountry': 'US', 'streetAddress': '5401 S Pulaski Rd'}","{'@type': 'GeoCoordinates', 'latitude': 41.7949084, 'longitude': -87.7229093}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '94'}"
Versatile Soul Food Cafe,https://www.ubereats.com/chicago/food-delivery/versatile-soul-food-cafe/ZKOkpklkSrWY6KQofu2kSA,berwyn-illinois,"['Soul Food', 'Sandwich']",,,$,41.888979,-87.838862,+13124028591,60153,9 N 5th Ave,Maywood,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:0', 'closes': '18:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Maywood', 'addressRegion': 'IL', 'postalCode': '60153', 'addressCountry': 'US', 'streetAddress': '9 N 5th Ave'}","{'@type': 'GeoCoordinates', 'latitude': 41.888979, 'longitude': -87.838862}",{}
La Lupita,https://www.ubereats.com/chicago/food-delivery/la-lupita/TeS-0GCmRqGKkfoDX9cjLA,berwyn-illinois,"['Mexican', 'Latin American', 'New Mexican']",3.8,27,$,41.8502941,-87.7879001,+17087888226,60402-2313,6539 W Cermak Rd,Berwyn,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '9:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Berwyn', 'addressRegion': 'IL', 'postalCode': '60402-2313', 'addressCountry': 'US', 'streetAddress': '6539 W Cermak Rd'}","{'@type': 'GeoCoordinates', 'latitude': 41.8502941, 'longitude': -87.7879001}","{'@type': 'AggregateRating', 'ratingValue': 3.8, 'reviewCount': '27'}"
Luo's Peking House,https://www.ubereats.com/chicago/food-delivery/luos-peking-house/acf3kuXzSzitii-sw8U2oA,berwyn-illinois,"['Chinese', 'Asian', 'Chicken']",,,$,41.8876766,-87.80270639999999,+17083863055,60301,113 N Marion St,Oak Park,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:30', 'closes': '15:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Oak Park', 'addressRegion': 'IL', 'postalCode': '60301', 'addressCountry': 'US', 'streetAddress': '113 N Marion St'}","{'@type': 'GeoCoordinates', 'latitude': 41.8876766, 'longitude': -87.80270639999999}",{}
Dunkin' (8007 Ogden Ave),https://www.ubereats.com/chicago/food-delivery/dunkin-8007-ogden-ave/OdjC0jd0Rj-wRe7R4S_Mcg,berwyn-illinois,"['Coffee and Tea', 'American', 'Breakfast and Brunch']",4.7,21,$,41.8191934,-87.8213238,+17084428414,60534,8007 Ogden Ave,Lyons,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '4:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Lyons', 'addressRegion': 'IL', 'postalCode': '60534', 'addressCountry': 'US', 'streetAddress': '8007 Ogden Ave'}","{'@type': 'GeoCoordinates', 'latitude': 41.8191934, 'longitude': -87.8213238}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '21'}"
Popeyes (Cermak & Clinton),https://www.ubereats.com/chicago/food-delivery/popeyes-cermak-%26-clinton/5HUWbTAxSwSQiRWwzToJpA,berwyn-illinois,"['American', 'Fast Food', 'Southern', 'Wings']",3.9,200,$,41.850276,-87.797574,+17084842737,60402,6935 Cermak Rd,Berwyn,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:30', 'closes': '23:29'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '0:0', 'closes': '1:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:30', 'closes': '23:29'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '10:30', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '0:0', 'closes': '1:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:30', 'closes': '23:59'}]","{'@type': 'PostalAddress', 'addressLocality': 'Berwyn', 'addressRegion': 'IL', 'postalCode': '60402', 'addressCountry': 'US', 'streetAddress': '6935 Cermak Rd'}","{'@type': 'GeoCoordinates', 'latitude': 41.850276, 'longitude': -87.797574}","{'@type': 'AggregateRating', 'ratingValue': 3.9, 'reviewCount': '200'}"
Owl and Lark,https://www.ubereats.com/chicago/food-delivery/owl-and-lark/mnzW0GcHRzGWDQ0Cm5fYkw,berwyn-illinois,"['Coffee and Tea', 'Breakfast and Brunch']",,,$$,41.814498,-87.86936,+11 (708) 469-7089‬,60525,41 South,La Grange,Illinois,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:0', 'closes': '13:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '7:0', 'closes': '13:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'La Grange', 'addressRegion': 'Illinois', 'postalCode': '60525', 'addressCountry': 'US', 'streetAddress': '41 South'}","{'@type': 'GeoCoordinates', 'latitude': 41.814498, 'longitude': -87.86936}",{}
