name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Pie Guys Pizzeria- West End,https://www.ubereats.com/billings/food-delivery/pie-guys-pizzeria-west-end/w8wq8Us-TzS8TeyFWG5QAQ,billings,"['Pizza', 'American', 'Italian']",4.8,64,$,45.7557429,-108.5963964,+14067021646,59102,3189 King Ave W,Billings,MT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Billings', 'addressRegion': 'MT', 'postalCode': '59102', 'addressCountry': 'US', 'streetAddress': '3189 King Ave W'}","{'@type': 'GeoCoordinates', 'latitude': 45.7557429, 'longitude': -108.5963964}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '64'}"
Panda Express (1551 Grand Ave.),https://www.ubereats.com/billings/food-delivery/panda-express-1551-grand-ave/fjg45UIARNmGQ7A0s6DaWQ,billings,['Chinese'],4.4,314,$,45.78442219999999,-108.5559779,+14062568899,59101,1551 Grand Ave.,Billings,MT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:30', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:30', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Billings', 'addressRegion': 'MT', 'postalCode': '59101', 'addressCountry': 'US', 'streetAddress': '1551 Grand Ave.'}","{'@type': 'GeoCoordinates', 'latitude': 45.78442219999999, 'longitude': -108.5559779}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '314'}"
Hooligan's Sports Bar,https://www.ubereats.com/billings/food-delivery/hooligans-sports-bar/E8jI-NwGRa-p2Fjy51k3Rw,billings,"['Bar Food', 'American']",4.7,406,$$,45.782658,-108.505778,+14062943495,,109 N Broadway,Billings,Montana,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '16:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Billings', 'addressRegion': 'Montana', 'postalCode': '', 'addressCountry': 'US', 'streetAddress': '109 N Broadway'}","{'@type': 'GeoCoordinates', 'latitude': 45.782658, 'longitude': -108.505778}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '406'}"
Krispy Kreme (2520 Central Ave),https://www.ubereats.com/billings/food-delivery/krispy-kreme-2520-central-ave/gznwklalR2OAkIMkSnuY3Q,billings,"['Breakfast and Brunch', 'Bakery', 'Desserts']",4.7,70,$,45.76896,-108.580921,+14066525939,59102,2520 Central Ave,Billings,MT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '6:15', 'closes': '18:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '6:15', 'closes': '20:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Billings', 'addressRegion': 'MT', 'postalCode': '59102', 'addressCountry': 'US', 'streetAddress': '2520 Central Ave'}","{'@type': 'GeoCoordinates', 'latitude': 45.76896, 'longitude': -108.580921}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '70'}"
Noodle House,https://www.ubereats.com/billings/food-delivery/noodle-house/UMzsRbp7Tcy3rEucVfSkvQ,billings,"['Asian: Other', 'Allergy Friendly', 'Noodles']",,,,45.7700061,-108.5745372,+14063715561,59102,2325 Central Ave,Billings,MT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:30', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Billings', 'addressRegion': 'MT', 'postalCode': '59102', 'addressCountry': 'US', 'streetAddress': '2325 Central Ave'}","{'@type': 'GeoCoordinates', 'latitude': 45.7700061, 'longitude': -108.5745372}",{}
Rae Rae's Gluten Free Bakery,https://www.ubereats.com/billings/food-delivery/rae-raes-gluten-free-bakery/IpraUhFmQ4K_ZthEH8a4qQ,billings,"['Bakery', 'Allergy Friendly']",,,$$,45.78504479999999,-108.5893434,+14068604862,59102,"1505 Rehberg Ln, Suite F",Billings,MT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '16:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Billings', 'addressRegion': 'MT', 'postalCode': '59102', 'addressCountry': 'US', 'streetAddress': '1505 Rehberg Ln, Suite F'}","{'@type': 'GeoCoordinates', 'latitude': 45.78504479999999, 'longitude': -108.5893434}",{}
Five Guys MT-1810 1020 Shiloh Crossing Blvd,https://www.ubereats.com/billings/food-delivery/five-guys-mt-1810-1020-shiloh-crossing-blvd/ex0DWE2MRnKDsZd-pg_xyQ,billings,"['American', 'Burgers']",4.6,301,$,45.75056,-108.616483,+14066011066,59102,1020 Shiloh Crossing Blvd,Billings,MT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Billings', 'addressRegion': 'MT', 'postalCode': '59102', 'addressCountry': 'US', 'streetAddress': '1020 Shiloh Crossing Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 45.75056, 'longitude': -108.616483}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '301'}"
Taste of Asia,https://www.ubereats.com/billings/food-delivery/taste-of-asia/Vf0_fv0ZTluMpoL98ZRs3Q,billings,"['Chinese', 'Asian']",4.6,120,$$,45.76634756302325,-108.57581088945182,+14066560373,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '19:45'}]",,"{'@type': 'GeoCoordinates', 'latitude': 45.76634756302325, 'longitude': -108.57581088945182}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '120'}"
Bistecca at the Granary,https://www.ubereats.com/billings/food-delivery/bistecca-at-the-granary/c7n0bqV1T4Cc4l_IODE8_w,billings,"['Steak', 'American', 'Fast Food']",4.9,28,$,45.7943386,-108.5533944,+14062593488,59102,1500 Poly Dr,Billings,MT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '16:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '16:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Billings', 'addressRegion': 'MT', 'postalCode': '59102', 'addressCountry': 'US', 'streetAddress': '1500 Poly Dr'}","{'@type': 'GeoCoordinates', 'latitude': 45.7943386, 'longitude': -108.5533944}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '28'}"
Mels Lunchbox,https://www.ubereats.com/billings/food-delivery/mels-lunchbox/3ILdWvw7RQG1tyvs3yhCkw,billings,['American'],,,$$,45.78092,-108.502514,+14066011222,59101,2624 Minnesota Ave,Billings,Montana,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '9:0', 'closes': '15:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Billings', 'addressRegion': 'Montana', 'postalCode': '59101', 'addressCountry': 'US', 'streetAddress': '2624 Minnesota Ave'}","{'@type': 'GeoCoordinates', 'latitude': 45.78092, 'longitude': -108.502514}",{}
