name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Sandtrap Grill,https://www.ubereats.com/gulfportbiloxi/food-delivery/sandtrap-grill/I63hUdKkRTOGssAJNoF1Fg,biloxi-mississippi,"['Burgers', 'American', 'Sandwiches', 'Allergy Friendly']",,,$,30.428341,-88.837176,+12283411940,39564,13700 Paso Rd,Ocean Springs,MS,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '0:0', 'closes': '0:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Ocean Springs', 'addressRegion': 'MS', 'postalCode': '39564', 'addressCountry': 'US', 'streetAddress': '13700 Paso Rd'}","{'@type': 'GeoCoordinates', 'latitude': 30.428341, 'longitude': -88.837176}",{}
Taco Bell (2335 Pass Road),https://www.ubereats.com/gulfportbiloxi/food-delivery/taco-bell-2335-pass-road/DCdYtOaGRr-wUgtlROAsYA,biloxi-mississippi,"['Burritos', 'Fast Food', 'Mexican']",4.4,100,$,30.40205019999999,-88.9719961,+12283886950,39531,2335 Pass Road,Biloxi,MS,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '14:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '1:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '14:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:0', 'closes': '2:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Biloxi', 'addressRegion': 'MS', 'postalCode': '39531', 'addressCountry': 'US', 'streetAddress': '2335 Pass Road'}","{'@type': 'GeoCoordinates', 'latitude': 30.40205019999999, 'longitude': -88.9719961}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '100'}"
Burger King (1005 Bienville Blvd),https://www.ubereats.com/gulfportbiloxi/food-delivery/burger-king-1005-bienville-blvd/SgjMWInrQhuI6BEuHxExSw,biloxi-mississippi,"['American', 'burger', 'Fast Food']",,,$,30.41643479999999,-88.8273885,+12288758324,39564,1005 Bienville Blvd,Ocean Springs,MS,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '7:30', 'closes': '10:29'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '7:30', 'closes': '10:29'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:30', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Ocean Springs', 'addressRegion': 'MS', 'postalCode': '39564', 'addressCountry': 'US', 'streetAddress': '1005 Bienville Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 30.41643479999999, 'longitude': -88.8273885}",{}
Papa John's (1614 Pass Rd),https://www.ubereats.com/gulfportbiloxi/food-delivery/papa-johns-1614-pass-rd/M_OZZBBRT0yeMrCIvgeyvw,biloxi-mississippi,"['Pizza', 'Wings', 'Desserts']",4.6,83,$$,30.4028507,-88.9340907,+12284357272,39531,1614 Pass Rd,Biloxi,MS,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:30', 'closes': '21:10'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:30', 'closes': '23:10'}]","{'@type': 'PostalAddress', 'addressLocality': 'Biloxi', 'addressRegion': 'MS', 'postalCode': '39531', 'addressCountry': 'US', 'streetAddress': '1614 Pass Rd'}","{'@type': 'GeoCoordinates', 'latitude': 30.4028507, 'longitude': -88.9340907}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '83'}"
Little Panda Chinese Express (Gulfport),https://www.ubereats.com/gulfportbiloxi/food-delivery/little-panda-chinese-express-gulfport/eK1lG2dOT9OHURPvTFQR0w,biloxi-mississippi,"['Chinese', 'Asian', 'Asian Fusion']",4.3,80,$,30.4212994,-89.0917845,+12282655837,39503,9310 49,Gulfport,MS,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Gulfport', 'addressRegion': 'MS', 'postalCode': '39503', 'addressCountry': 'US', 'streetAddress': '9310 49'}","{'@type': 'GeoCoordinates', 'latitude': 30.4212994, 'longitude': -89.0917845}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '80'}"
Morton's The Steakhouse (151 Beach Blvd),https://www.ubereats.com/gulfportbiloxi/food-delivery/mortons-the-steakhouse-151-beach-blvd/6kPXUCmeR2aeEhUEHywjEQ,biloxi-mississippi,"['American', 'Dinner', 'Steak']",,,$$$,30.3906643,-88.8606499,+12284367898,39530,151 Beach Blvd,Biloxi,MS,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '16:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '16:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Biloxi', 'addressRegion': 'MS', 'postalCode': '39530', 'addressCountry': 'US', 'streetAddress': '151 Beach Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 30.3906643, 'longitude': -88.8606499}",{}
KFC (12208 Highway 49),https://www.ubereats.com/gulfportbiloxi/food-delivery/kfc-12208-highway-49/uklCmOtWTVe0R04MwUZgXw,biloxi-mississippi,"['American', 'Fast Food', 'wings']",3.7,20,$,30.4628995,-89.1007666,+12285395927,39503,12208 Highway 49,Gulfport,MS,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:0', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Gulfport', 'addressRegion': 'MS', 'postalCode': '39503', 'addressCountry': 'US', 'streetAddress': '12208 Highway 49'}","{'@type': 'GeoCoordinates', 'latitude': 30.4628995, 'longitude': -89.1007666}","{'@type': 'AggregateRating', 'ratingValue': 3.7, 'reviewCount': '20'}"
Checkers (1123 E. Pass Road),https://www.ubereats.com/gulfportbiloxi/food-delivery/checkers-1123-e-pass-road/FTrqzD2xT4yB1es5pCjBKg,biloxi-mississippi,"['American', 'burger']",4.3,59,$,30.3976803,-89.03003439999999,+12288979010,39507,1123 E. Pass Road,Gulfport,MS,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '1:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Gulfport', 'addressRegion': 'MS', 'postalCode': '39507', 'addressCountry': 'US', 'streetAddress': '1123 E. Pass Road'}","{'@type': 'GeoCoordinates', 'latitude': 30.3976803, 'longitude': -89.03003439999999}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '59'}"
Checkers (3154 Bienville Blvd.),https://www.ubereats.com/gulfportbiloxi/food-delivery/checkers-3154-bienville-blvd/Aet6NqA9SHqa_kvI9VyY3w,biloxi-mississippi,"['American', 'burger']",4.0,26,$,30.4120832,-88.7820285,+12288727998,39564,3154 Bienville Blvd.,Ocean Springs,MS,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday'], 'opens': '10:0', 'closes': '23:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '0:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Ocean Springs', 'addressRegion': 'MS', 'postalCode': '39564', 'addressCountry': 'US', 'streetAddress': '3154 Bienville Blvd.'}","{'@type': 'GeoCoordinates', 'latitude': 30.4120832, 'longitude': -88.7820285}","{'@type': 'AggregateRating', 'ratingValue': 4, 'reviewCount': '26'}"
Papa John's (11505 Cinema Drive Ste. 15),https://www.ubereats.com/gulfportbiloxi/food-delivery/papa-johns-11505-cinema-drive-ste-15/nyAv5SpXRmqcz0yQVAe9qw,biloxi-mississippi,"['Pizza', 'Wings', 'Desserts']",,,$$,30.45674899999999,-88.88665859999999,+12283927277,39540,11505 Cinema Dr,D'lberville,MS,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '22:10'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:0', 'closes': '23:10'}]","{'@type': 'PostalAddress', 'addressLocality': ""D'lberville"", 'addressRegion': 'MS', 'postalCode': '39540', 'addressCountry': 'US', 'streetAddress': '11505 Cinema Dr'}","{'@type': 'GeoCoordinates', 'latitude': 30.45674899999999, 'longitude': -88.88665859999999}",{}
