name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
"Pasta La Vista, Baby",https://www.ubereats.com/birmingham-al/food-delivery/pasta-la-vista-baby/QiS8uUkoRk6b66tpCTQaoA,birmingham-al,"['Italian', 'Pasta', 'Comfort Food']",,,$,33.51297499999999,-86.81061,+12054330234,35203,1623 2nd Avenue North,Birmingham,AL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '16:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Birmingham', 'addressRegion': 'AL', 'postalCode': '35203', 'addressCountry': 'US', 'streetAddress': '1623 2nd Avenue North'}","{'@type': 'GeoCoordinates', 'latitude': 33.51297499999999, 'longitude': -86.81061}",{}
Original Green Acres Cafe,https://www.ubereats.com/birmingham-al/food-delivery/original-green-acres-cafe/39wF3CKOTYeiCOCFJmvE5Q,birmingham-al,['American'],,,,33.55171730000001,-86.8150125,+12052034864,35207,2724 29th Ave N,Birmingham,AL,[],"{'@type': 'PostalAddress', 'addressLocality': 'Birmingham', 'addressRegion': 'AL', 'postalCode': '35207', 'addressCountry': 'US', 'streetAddress': '2724 29th Ave N'}","{'@type': 'GeoCoordinates', 'latitude': 33.55171730000001, 'longitude': -86.8150125}",{}
The Grill at Iron City,https://www.ubereats.com/birmingham-al/food-delivery/the-grill-at-iron-city/EifCDIuaRs2n9aTNiTp1BA,birmingham-al,"['Burgers', 'American', 'Sandwiches', 'Comfort Food', 'Southern']",,,$,33.5086911,-86.79748269999999,+12052025483,35233,2208 6th Avenue South,Birmingham,AL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday'], 'opens': '11:0', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday'], 'opens': '11:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '16:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Birmingham', 'addressRegion': 'AL', 'postalCode': '35233', 'addressCountry': 'US', 'streetAddress': '2208 6th Avenue South'}","{'@type': 'GeoCoordinates', 'latitude': 33.5086911, 'longitude': -86.79748269999999}",{}
Unplugged,https://www.ubereats.com/birmingham-al/food-delivery/unplugged/8IEVNFnbTxSDoDgIMJ3ABw,birmingham-al,"['American', 'Sandwiches', 'Burgers']",,,$,33.5009815,-86.7968066,+12059576367,35205,1024 20th Street South #104,Birmingham,AL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Birmingham', 'addressRegion': 'AL', 'postalCode': '35205', 'addressCountry': 'US', 'streetAddress': '1024 20th Street South #104'}","{'@type': 'GeoCoordinates', 'latitude': 33.5009815, 'longitude': -86.7968066}",{}
Martys,https://www.ubereats.com/birmingham-al/food-delivery/martys/iH5587JdQgyxY0GCaQ0UQQ,birmingham-al,"['American', 'Burgers']",,,$$,33.500174,-86.799373,+12059390045,35205,1813 10th Ct S,Birmingham,Alabama,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '20:0', 'closes': '5:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '23:0', 'closes': '5:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '20:0', 'closes': '5:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Birmingham', 'addressRegion': 'Alabama', 'postalCode': '35205', 'addressCountry': 'US', 'streetAddress': '1813 10th Ct S'}","{'@type': 'GeoCoordinates', 'latitude': 33.500174, 'longitude': -86.799373}",{}
Bayleaf Authentic Indian Cuisine,https://www.ubereats.com/birmingham-al/food-delivery/bayleaf-authentic-indian-cuisine/iJ-mX-upR66nqFJw91v8MA,birmingham-al,"['Indian', 'Vegetarian', 'Asian']",4.8,25,$,33.4147899,-86.6669194,+12055180208,35242,5426 Hwy 280  suite 14,Birmingham,AL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '17:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '17:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '17:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Birmingham', 'addressRegion': 'AL', 'postalCode': '35242', 'addressCountry': 'US', 'streetAddress': '5426 Hwy 280  suite 14'}","{'@type': 'GeoCoordinates', 'latitude': 33.4147899, 'longitude': -86.6669194}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '25'}"
Icehouse Barbecue,https://www.ubereats.com/birmingham-al/food-delivery/icehouse-barbecue/AAOlPHd0TVuAXUXJsSO6Qw,birmingham-al,"['American', 'BBQ']",,,$$,33.484643,-86.77356,+12054386950,35223,2708 Culver Rd,Birmingham,Alabama,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Birmingham', 'addressRegion': 'Alabama', 'postalCode': '35223', 'addressCountry': 'US', 'streetAddress': '2708 Culver Rd'}","{'@type': 'GeoCoordinates', 'latitude': 33.484643, 'longitude': -86.77356}",{}
Jersey Mike's Subs (1031 Montgomery Highway),https://www.ubereats.com/birmingham-al/food-delivery/jersey-mikes-subs-1031-montgomery-highway/nN74HRyNTY63M8xQBFcRvg,birmingham-al,"['Sandwich', 'American']",4.9,23,$,33.4390002,-86.7879608,+12059789600,35216,1031 Montgomery Highway,Vestavia Hills,AL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Vestavia Hills', 'addressRegion': 'AL', 'postalCode': '35216', 'addressCountry': 'US', 'streetAddress': '1031 Montgomery Highway'}","{'@type': 'GeoCoordinates', 'latitude': 33.4390002, 'longitude': -86.7879608}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '23'}"
Top That Grille II,https://www.ubereats.com/birmingham-al/food-delivery/top-that-grille-ii/r9TrJKVqQaulrf4zdY6YgA,birmingham-al,"['Salads', 'Sandwich', 'American']",,,$$,33.48165259999999,-86.8933938,+12055279376,35208,1371 Bessemer Rd,"Birmingham, AL",AL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Birmingham, AL', 'addressRegion': 'AL', 'postalCode': '35208', 'addressCountry': 'US', 'streetAddress': '1371 Bessemer Rd'}","{'@type': 'GeoCoordinates', 'latitude': 33.48165259999999, 'longitude': -86.8933938}",{}
Kale Me Crazy (Homewood),https://www.ubereats.com/birmingham-al/food-delivery/kale-me-crazy-homewood/HHBCZVZsTg2FW8G7lT9PoA,birmingham-al,"['Salads', 'American', 'Vegetarian']",4.8,18,$,33.4811029,-86.7902847,+12055934707,35209,1831 28TH AVE. SOUTH SUITE 106,Homewood,AL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '9:0', 'closes': '18:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Homewood', 'addressRegion': 'AL', 'postalCode': '35209', 'addressCountry': 'US', 'streetAddress': '1831 28TH AVE. SOUTH SUITE 106'}","{'@type': 'GeoCoordinates', 'latitude': 33.4811029, 'longitude': -86.7902847}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '18'}"
