name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Bloomfield Village Pizza,https://www.ubereats.com/connecticut/food-delivery/bloomfield-village-pizza/saj3f3txQgeiK2W5ZsKWTg,bloomfield-connecticut,"['Italian', 'Pizza', 'Pasta', 'Burgers', 'Chicken', 'Sandwich', 'Wings', 'Seafood', 'Desserts']",,,$$,41.83512899999999,-72.73715299999999,+18609905082,6002,34 Tunxis Ave,Bloomfield,CT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '9:30', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '9:30', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Bloomfield', 'addressRegion': 'CT', 'postalCode': '6002', 'addressCountry': 'US', 'streetAddress': '34 Tunxis Ave'}","{'@type': 'GeoCoordinates', 'latitude': 41.83512899999999, 'longitude': -72.73715299999999}",{}
The Simple Greek (Glastonbury),https://www.ubereats.com/connecticut/food-delivery/the-simple-greek-glastonbury/jnB_-qB7S4qpbcPXJ0iwfw,bloomfield-connecticut,"['Greek', 'Mediterranean', 'Family Meals']",4.7,24,$,41.720796,-72.621131,+18606524470,06033,140,Glastonbury,Connecticut,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '18:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Glastonbury', 'addressRegion': 'Connecticut', 'postalCode': '06033', 'addressCountry': 'US', 'streetAddress': '140'}","{'@type': 'GeoCoordinates', 'latitude': 41.720796, 'longitude': -72.621131}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '24'}"
Blue Plate Kitchen,https://www.ubereats.com/connecticut/food-delivery/blue-plate-kitchen/99E2mHGoR7iEoe5NE_w0ew,bloomfield-connecticut,"['Breakfast and Brunch', 'Traditional American', 'Comfort Food', 'American', 'Diner']",4.5,25,$$,41.785189,-72.747909,+18609061419,06117,345 N Main St,West Hartford,CT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '16:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '8:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '16:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '7:0', 'closes': '11:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '8:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:30', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '16:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '7:0', 'closes': '11:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '16:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '7:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '9:0', 'closes': '16:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'West Hartford', 'addressRegion': 'CT', 'postalCode': '06117', 'addressCountry': 'US', 'streetAddress': '345 N Main St'}","{'@type': 'GeoCoordinates', 'latitude': 41.785189, 'longitude': -72.747909}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '25'}"
Tasty Bites,https://www.ubereats.com/connecticut/food-delivery/tasty-bites/8YLvk22KRJuE_KT8GnnxpQ,bloomfield-connecticut,"['Caribbean', 'Seafood', 'Latin American']",,,$,41.7522415,-72.6620604,+18604780070,6106,69 Curcombe St,Hartford,CT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '12:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hartford', 'addressRegion': 'CT', 'postalCode': '6106', 'addressCountry': 'US', 'streetAddress': '69 Curcombe St'}","{'@type': 'GeoCoordinates', 'latitude': 41.7522415, 'longitude': -72.6620604}",{}
Buffalo Wild Wings (1267 Silas Deane Highway),https://www.ubereats.com/connecticut/food-delivery/buffalo-wild-wings-1267-silas-deane-highway/1OV8SYl-RCig3HWUVdo-TQ,bloomfield-connecticut,"['wings', 'Chicken', 'Comfort Food', 'Allergy Friendly']",4.0,100,$$,41.6868079,-72.65621639999999,+18605719464,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 41.6868079, 'longitude': -72.65621639999999}","{'@type': 'AggregateRating', 'ratingValue': 4, 'reviewCount': '100'}"
Addison Cafe,https://www.ubereats.com/connecticut/food-delivery/addison-cafe/XS172uO2Td2odH0ktzx80w,bloomfield-connecticut,"['Cafe', 'American']",,,$$,41.8614959,-72.6790491,+18609443942,06095,175 Addison Rd,Windsor,Connecticut,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '7:30', 'closes': '13:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Windsor', 'addressRegion': 'Connecticut', 'postalCode': '06095', 'addressCountry': 'US', 'streetAddress': '175 Addison Rd'}","{'@type': 'GeoCoordinates', 'latitude': 41.8614959, 'longitude': -72.6790491}",{}
ABC Pizza House,https://www.ubereats.com/connecticut/food-delivery/abc-pizza-house/xLnSh_15Tp6mLRvXa8VdEQ,bloomfield-connecticut,"['Italian', 'Pizza']",4.4,16,$$,41.742389,-72.691535,+18602470234,06106,287 New Britain Ave,Hartford,Connecticut,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:30', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hartford', 'addressRegion': 'Connecticut', 'postalCode': '06106', 'addressCountry': 'US', 'streetAddress': '287 New Britain Ave'}","{'@type': 'GeoCoordinates', 'latitude': 41.742389, 'longitude': -72.691535}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '16'}"
Dunkin' (1298 Blue Hills Ave),https://www.ubereats.com/connecticut/food-delivery/dunkin-1298-blue-hills-ave/9T7PLjqyRwqu9O1JwG3ZqQ,bloomfield-connecticut,"['Breakfast and Brunch', 'Donuts']",4.1,14,$,41.8554804,-72.70528449999999,+18609045197,6002,1298 Blue Hills Ave,Bloomfield,CT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '5:30', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Bloomfield', 'addressRegion': 'CT', 'postalCode': '6002', 'addressCountry': 'US', 'streetAddress': '1298 Blue Hills Ave'}","{'@type': 'GeoCoordinates', 'latitude': 41.8554804, 'longitude': -72.70528449999999}","{'@type': 'AggregateRating', 'ratingValue': 4.1, 'reviewCount': '14'}"
Kingston’s Jamaican Restaurant,https://www.ubereats.com/connecticut/food-delivery/kingstons-jamaican-restaurant/C-1MKlyERS6PBEUa79-n1w,bloomfield-connecticut,"['Caribbean', 'Seafood', 'Latin American', 'Chicken', 'Jamaican']",,,$,41.7564875,-72.7112748,+18602321968,06106,1950 Park St,Hartford,CT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday'], 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hartford', 'addressRegion': 'CT', 'postalCode': '06106', 'addressCountry': 'US', 'streetAddress': '1950 Park St'}","{'@type': 'GeoCoordinates', 'latitude': 41.7564875, 'longitude': -72.7112748}",{}
Sams Gyro,https://www.ubereats.com/connecticut/food-delivery/sams-gyro/b6z6MYlVSw-KC-IzCz63GQ,bloomfield-connecticut,['Mediterranean'],4.7,159,$,41.7613674,-72.7425271,+18602336300,6107,7 S Main St,West Hartford,CT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'West Hartford', 'addressRegion': 'CT', 'postalCode': '6107', 'addressCountry': 'US', 'streetAddress': '7 S Main St'}","{'@type': 'GeoCoordinates', 'latitude': 41.7613674, 'longitude': -72.7425271}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '159'}"
