name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Five on Black - Downtown,https://www.ubereats.com/bozeman/food-delivery/five-on-black-downtown/e48JWCf5TC2HC0tnArz3ig,bozeman,"['Fast Food', 'Brazilian', 'Salads']",4.8,139,$,45.679106,-111.032954,+(406) 551-2692,59715,242 E Main St,Bozeman,MT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Bozeman', 'addressRegion': 'MT', 'postalCode': '59715', 'addressCountry': 'US', 'streetAddress': '242 E Main St'}","{'@type': 'GeoCoordinates', 'latitude': 45.679106, 'longitude': -111.032954}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '139'}"
Z's Meze Market,https://www.ubereats.com/bozeman/food-delivery/zs-meze-market/WCBhM79WQxuWZ9Tw18ve7w,bozeman,['Mediterranean'],4.4,14,$,45.678183,-111.062102,+14065863465,59718,102 S 19th Ave,Bozeman,MT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '11:0', 'closes': '15:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '15:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '15:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '18:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Bozeman', 'addressRegion': 'MT', 'postalCode': '59718', 'addressCountry': 'US', 'streetAddress': '102 S 19th Ave'}","{'@type': 'GeoCoordinates', 'latitude': 45.678183, 'longitude': -111.062102}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '14'}"
Clark's Fork,https://www.ubereats.com/bozeman/food-delivery/clarks-fork/yIw1WzAzSEaAfWXsWbbTPg,bozeman,"['Breakfast and Brunch', 'American', 'Sandwiches']",4.7,27,$,45.69233939999999,-111.0629376,+14065220550,59718,1262 Stoneridge Dr,Bozeman,MT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:30', 'closes': '14:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Bozeman', 'addressRegion': 'MT', 'postalCode': '59718', 'addressCountry': 'US', 'streetAddress': '1262 Stoneridge Dr'}","{'@type': 'GeoCoordinates', 'latitude': 45.69233939999999, 'longitude': -111.0629376}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '27'}"
"Bagels, etc.",https://www.ubereats.com/bozeman/food-delivery/bagels-etc/_QCxHxwJSyCNUcKNQUdpHQ,bozeman,['Breakfast and Brunch'],,,$,45.679532,-111.032881,+14065874068,59715,307 E Main St,Bozeman,MT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday'], 'opens': '7:0', 'closes': '13:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '7:0', 'closes': '13:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Bozeman', 'addressRegion': 'MT', 'postalCode': '59715', 'addressCountry': 'US', 'streetAddress': '307 E Main St'}","{'@type': 'GeoCoordinates', 'latitude': 45.679532, 'longitude': -111.032881}",{}
14 North,https://www.ubereats.com/bozeman/food-delivery/14-north/U3F-x388QKm62Bm3wcLmVA,bozeman,"['Steak', 'American', 'Fast Food']",,,$,45.6797498,-111.0298245,+14064041800,59715,14 N Church Ave,Bozeman,MT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '17:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Bozeman', 'addressRegion': 'MT', 'postalCode': '59715', 'addressCountry': 'US', 'streetAddress': '14 N Church Ave'}","{'@type': 'GeoCoordinates', 'latitude': 45.6797498, 'longitude': -111.0298245}",{}
It's Greek To Me,https://www.ubereats.com/bozeman/food-delivery/its-greek-to-me/LXQ3o0noRla71xza2nRwlQ,bozeman,"['Greek', 'Mediterranean']",,,$,45.679969,-111.048501,+14065860176,59715,16 N 9th Ave,Bozeman,MT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:30', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:30', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Bozeman', 'addressRegion': 'MT', 'postalCode': '59715', 'addressCountry': 'US', 'streetAddress': '16 N 9th Ave'}","{'@type': 'GeoCoordinates', 'latitude': 45.679969, 'longitude': -111.048501}",{}
Biankini's,https://www.ubereats.com/bozeman/food-delivery/biankinis/n3V8bQgORjqKjEvCWAetVg,bozeman,"['Sandwich', 'Salads', 'American']",4.2,12,$,45.69392,-111.064283,+14065872405,59718,2051 W Oak St,Bozeman,MT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '15:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Bozeman', 'addressRegion': 'MT', 'postalCode': '59718', 'addressCountry': 'US', 'streetAddress': '2051 W Oak St'}","{'@type': 'GeoCoordinates', 'latitude': 45.69392, 'longitude': -111.064283}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '12'}"
Paulie's Hot Dogs,https://www.ubereats.com/bozeman/food-delivery/paulies-hot-dogs/KakHHpeUT4ewD0XLgcUUFA,bozeman,"['American', 'Salads', 'Sandwich']",4.6,85,$,45.6582,-111.0522,+14069225047,59715,2111 S 11th Ave,Bozeman,Montana,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Bozeman', 'addressRegion': 'Montana', 'postalCode': '59715', 'addressCountry': 'US', 'streetAddress': '2111 S 11th Ave'}","{'@type': 'GeoCoordinates', 'latitude': 45.6582, 'longitude': -111.0522}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '85'}"
Mountains Walking Brewery,https://www.ubereats.com/bozeman/food-delivery/mountains-walking-brewery/KV0uLzXNTWypD6UmSn8Nsw,bozeman,"['Burgers', 'American', 'Sandwiches']",4.6,116,$,45.684901,-111.025099,+14066006809,59715,422 Plum Ave,Bozeman,MT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '19:40'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday'], 'opens': '11:30', 'closes': '19:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:30', 'closes': '19:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Bozeman', 'addressRegion': 'MT', 'postalCode': '59715', 'addressCountry': 'US', 'streetAddress': '422 Plum Ave'}","{'@type': 'GeoCoordinates', 'latitude': 45.684901, 'longitude': -111.025099}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '116'}"
Red Sugar Dim Sum,https://www.ubereats.com/bozeman/food-delivery/red-sugar-dim-sum/jL609gOSQTmt9qY7E-Naog,bozeman,"['Chinese', 'Seafood', 'Noodles']",4.6,56,$,45.6795811,-111.0383872,+14065512155,59715,33 West Main Street,Bozeman,MT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '8:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '14:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Bozeman', 'addressRegion': 'MT', 'postalCode': '59715', 'addressCountry': 'US', 'streetAddress': '33 West Main Street'}","{'@type': 'GeoCoordinates', 'latitude': 45.6795811, 'longitude': -111.0383872}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '56'}"
