name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
,https://www.ubereats.com/los-angeles/food-delivery/healthy-bites-mediterranean-grill/5M-wOItWTsqWWQl76G9DaA,burbank-california,,,,,,,,,,,,,,,
The Pie Bar (Glendale),https://www.ubereats.com/los-angeles/food-delivery/the-pie-bar-glendale/WEmOl55hQAWAJdVNxtqCog,burbank-california,"['Bakery', 'Desserts']",,,$$,34.146419,-118.254396,+18186962144,91205,109 E Broadway,Glendale,California,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '17:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Glendale', 'addressRegion': 'California', 'postalCode': '91205', 'addressCountry': 'US', 'streetAddress': '109 E Broadway'}","{'@type': 'GeoCoordinates', 'latitude': 34.146419, 'longitude': -118.254396}",{}
Cauliflower & Pizza,https://www.ubereats.com/los-angeles/food-delivery/cauliflower-%26-pizza/GxbBKAo8SGSgWsQCwaFcXw,burbank-california,"['Pizza', 'American', 'Italian']",,,$,34.1464143,-118.2544159,+17472406758,91205,107 East Broadway,Glendale,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '17:0', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '0:0', 'closes': '1:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Glendale', 'addressRegion': 'CA', 'postalCode': '91205', 'addressCountry': 'US', 'streetAddress': '107 East Broadway'}","{'@type': 'GeoCoordinates', 'latitude': 34.1464143, 'longitude': -118.2544159}",{}
"Tacos Mexico - N Hollywood, CA",https://www.ubereats.com/los-angeles/food-delivery/tacos-mexico-n-hollywood-ca/JkYEp4q8SeCT4laJzPOvvg,burbank-california,"['Mexican', 'New Mexican', 'Fast Food']",3.9,15,$$,34.2008143,-118.4105141,+18187640370,91605,12730 Sherman Way,North Hollywood,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '8:0', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '0:1', 'closes': '3:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '8:0', 'closes': '23:59'}]","{'@type': 'PostalAddress', 'addressLocality': 'North Hollywood', 'addressRegion': 'CA', 'postalCode': '91605', 'addressCountry': 'US', 'streetAddress': '12730 Sherman Way'}","{'@type': 'GeoCoordinates', 'latitude': 34.2008143, 'longitude': -118.4105141}","{'@type': 'AggregateRating', 'ratingValue': 3.9, 'reviewCount': '15'}"
Duck Duck Dough,https://www.ubereats.com/los-angeles/food-delivery/duck-duck-dough/delOKuYZTqSzGFiq2yQM4A,burbank-california,"['Desserts', 'Vegetarian', 'Coffee and Tea']",,,$,34.1434861,-118.3941543,+18188243842,91604,12048 Ventura Boulevard,Los Angeles,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '23:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '91604', 'addressCountry': 'US', 'streetAddress': '12048 Ventura Boulevard'}","{'@type': 'GeoCoordinates', 'latitude': 34.1434861, 'longitude': -118.3941543}",{}
Corn Dog Express,https://www.ubereats.com/los-angeles/food-delivery/corn-dog-express/-UFVd6D9TnWUr9f2s1b6zA,burbank-california,"['American', 'Snacks']",,,$,34.1837666,-118.2293854,+18187910707,91208-2028,2519 Canada Blvd,Glendale,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '13:0', 'closes': '17:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '18:0', 'closes': '1:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '18:0', 'closes': '1:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Glendale', 'addressRegion': 'CA', 'postalCode': '91208-2028', 'addressCountry': 'US', 'streetAddress': '2519 Canada Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 34.1837666, 'longitude': -118.2293854}",{}
JINYA Ramen Bar - Studio City,https://www.ubereats.com/los-angeles/food-delivery/jinya-ramen-bar-studio-city/tTK5-joOQ06PI2jLr6Vwow,burbank-california,"['Japanese', 'Seafood', 'Asian']",4.5,493,$$,34.141527,-118.375215,+18189803977,91604,11239 Ventura Blvd,Los Angeles,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '22:54'}]","{'@type': 'PostalAddress', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '91604', 'addressCountry': 'US', 'streetAddress': '11239 Ventura Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 34.141527, 'longitude': -118.375215}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '493'}"
Hades Hot Chicken,https://www.ubereats.com/los-angeles/food-delivery/hades-hot-chicken/bDeLaBEKRSuOXkvg7rud4w,burbank-california,"['Comfort Food', 'American', 'Wings']",,,$,34.184594,-118.3592236,+18189358570,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '17:0', 'closes': '0:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 34.184594, 'longitude': -118.3592236}",{}
Noho Burger Co,https://www.ubereats.com/los-angeles/food-delivery/noho-burger-co/6R0d2mcOSUmyKDEUKbqNDw,burbank-california,"['Burgers', 'American', 'Desserts']",,,$,34.167616,-118.3755733,+18183516982,91601,"5300 Lankershim Blvd, 135",Los Angeles,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '12:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '12:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '91601', 'addressCountry': 'US', 'streetAddress': '5300 Lankershim Blvd, 135'}","{'@type': 'GeoCoordinates', 'latitude': 34.167616, 'longitude': -118.3755733}",{}
Break Room Juice Bar & Cafe - Universal City,https://www.ubereats.com/los-angeles/food-delivery/break-room-juice-bar-%26-cafe-universal-city/MeO6EZGGQbuEG5yHHzh1AQ,burbank-california,"['Juice and Smoothies', 'Breakfast and Brunch', 'Vegetarian']",,,$,34.129627,-118.3485089,+13239635500,90068,3244 Cahuenga Blvd W,Universal City,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '16:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '16:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '8:0', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '7:30', 'closes': '18:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '2:0', 'closes': '2:1'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '8:0', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '7:30', 'closes': '18:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '8:0', 'closes': '17:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '8:0', 'closes': '16:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Universal City', 'addressRegion': 'CA', 'postalCode': '90068', 'addressCountry': 'US', 'streetAddress': '3244 Cahuenga Blvd W'}","{'@type': 'GeoCoordinates', 'latitude': 34.129627, 'longitude': -118.3485089}",{}
