name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
El Rinconcito Oaxaqueño,https://www.ubereats.com/ventura/food-delivery/el-rinconcito-oaxaqueno/GyvmAPZTTD-WGfzIQkGNDQ,camarillo-california,"['Mexican', 'Latin American', 'New Mexican']",,,$,34.2047009,-119.1723836,+18052162563,93030,609 Cooper Rd,Oxnard,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '5:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Oxnard', 'addressRegion': 'CA', 'postalCode': '93030', 'addressCountry': 'US', 'streetAddress': '609 Cooper Rd'}","{'@type': 'GeoCoordinates', 'latitude': 34.2047009, 'longitude': -119.1723836}",{}
The Ice Cream Shop ,https://www.ubereats.com/ventura/food-delivery/the-ice-cream-shop/OuEtkeUgTI-n4u2dh_utIQ,camarillo-california,"['Desserts', 'Ice Cream and Frozen Yogurt']",,,$,34.1876154,-118.941538,+18054986044,91320,742 N Wendy,Newbury Park,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '7:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '7:0', 'closes': '23:59'}]","{'@type': 'PostalAddress', 'addressLocality': 'Newbury Park', 'addressRegion': 'CA', 'postalCode': '91320', 'addressCountry': 'US', 'streetAddress': '742 N Wendy'}","{'@type': 'GeoCoordinates', 'latitude': 34.1876154, 'longitude': -118.941538}",{}
The Sandwich Spot (Newbury Park),https://www.ubereats.com/ventura/food-delivery/the-sandwich-spot-newbury-park/G4oDKEjRRYOBcTG5w01DjA,camarillo-california,"['Sandwiches', 'American', 'Healthy']",5.0,12,$,34.1823532,-118.9237579,+18053753400,91320,2110-C Newbury Rd,Newbury Park,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '15:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:0', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Newbury Park', 'addressRegion': 'CA', 'postalCode': '91320', 'addressCountry': 'US', 'streetAddress': '2110-C Newbury Rd'}","{'@type': 'GeoCoordinates', 'latitude': 34.1823532, 'longitude': -118.9237579}","{'@type': 'AggregateRating', 'ratingValue': 5, 'reviewCount': '12'}"
PokeCeviche - Oxnard,https://www.ubereats.com/ventura/food-delivery/pokeceviche-oxnard/y0tz_gZDSoijMD1lqEOx_Q,camarillo-california,"['Seafood', 'Asian Fusion']",4.5,24,$$,34.240578354836394,-119.17699321712732,+18056640588,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 34.240578354836394, 'longitude': -119.17699321712732}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '24'}"
Baja Fresh (Camarillo),https://www.ubereats.com/ventura/food-delivery/baja-fresh-camarillo/ynHDM0FnQweOHOGtPkXysA,camarillo-california,"['Latin American', 'Mexican', 'New Mexican']",4.7,22,$,34.2156244,-119.0036646,+18054846731,93012,5021 Verdugo Way  Ste 101,Camarillo,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Camarillo', 'addressRegion': 'CA', 'postalCode': '93012', 'addressCountry': 'US', 'streetAddress': '5021 Verdugo Way  Ste 101'}","{'@type': 'GeoCoordinates', 'latitude': 34.2156244, 'longitude': -119.0036646}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '22'}"
Carl's Jr. (480 N Rose Ave),https://www.ubereats.com/ventura/food-delivery/carls-jr-480-n-rose-ave/elKS2e6PQwG9BWp_aczbPw,camarillo-california,"['Fast Food', 'Burgers', 'Salads', 'Burritos', 'American']",4.8,41,$,34.20606970000001,-119.1592116,+18052780454,93030,480 N Rose Ave,Oxnard,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '6:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '0:0', 'closes': '1:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '6:0', 'closes': '10:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '6:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '6:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '0:0', 'closes': '1:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Oxnard', 'addressRegion': 'CA', 'postalCode': '93030', 'addressCountry': 'US', 'streetAddress': '480 N Rose Ave'}","{'@type': 'GeoCoordinates', 'latitude': 34.20606970000001, 'longitude': -119.1592116}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '41'}"
SeaSand,https://www.ubereats.com/ventura/food-delivery/seasand/OF4N6Z7nQIi9C-f6ZGde8A,camarillo-california,"['Seafood', 'American', 'Southern']",,,$,34.19371,-119.1774952,+18057010270,93030,8th Street & South,Oxnard,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '11:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '18:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Oxnard', 'addressRegion': 'CA', 'postalCode': '93030', 'addressCountry': 'US', 'streetAddress': '8th Street & South'}","{'@type': 'GeoCoordinates', 'latitude': 34.19371, 'longitude': -119.1774952}",{}
"El Pollo Loco (200 Vineyard Blvd,5898)",https://www.ubereats.com/ventura/food-delivery/el-pollo-loco-200-vineyard-blvd5898/J2Ujq4elREGt4QNXbdCd_Q,camarillo-california,"['Latin American', 'Mexican', 'New American']",4.6,34,$,34.2258351,-119.1788793,+18054858766,93030,200 Vineyard Blvd,Oxnard,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Oxnard', 'addressRegion': 'CA', 'postalCode': '93030', 'addressCountry': 'US', 'streetAddress': '200 Vineyard Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 34.2258351, 'longitude': -119.1788793}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '34'}"
All Things Tea,https://www.ubereats.com/ventura/food-delivery/all-things-tea/jm1U-kHYRzWeva_Oe2poww,camarillo-california,"['European', 'Modern European', 'Sandwiches']",,,$,34.21860059999999,-119.053766,+18057329132,93010,300 N Lantana St,Camarillo,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '15:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Camarillo', 'addressRegion': 'CA', 'postalCode': '93010', 'addressCountry': 'US', 'streetAddress': '300 N Lantana St'}","{'@type': 'GeoCoordinates', 'latitude': 34.21860059999999, 'longitude': -119.053766}",{}
El Sancho Loco Taqueria (Ordermark),https://www.ubereats.com/ventura/food-delivery/el-sancho-loco-taqueria-ordermark/Ht46aNItTCS_KC10IG7MzQ,camarillo-california,"['Mexican', 'Latin American', 'New Mexican', 'Salads']",4.6,28,$,34.18182739999999,-118.9262397,+18055580343,91320,2271 Michael Dr,Thousand Oaks,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:15', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '14:45', 'closes': '20:33'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '9:15', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Thousand Oaks', 'addressRegion': 'CA', 'postalCode': '91320', 'addressCountry': 'US', 'streetAddress': '2271 Michael Dr'}","{'@type': 'GeoCoordinates', 'latitude': 34.18182739999999, 'longitude': -118.9262397}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '28'}"
