name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Dunkin' (105 Cavasina Dr),https://www.ubereats.com/pittsburgh/food-delivery/dunkin-105-cavasina-dr/y5npB4H1QTaLJxpZ5liUAw,canonsburg-pennsylvania,"['Breakfast and Brunch', 'Donuts']",,,$,40.2625802,-80.1749734,+17247432171,15317,105 Cavasina Dr,Canonsburg,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Canonsburg', 'addressRegion': 'PA', 'postalCode': '15317', 'addressCountry': 'US', 'streetAddress': '105 Cavasina Dr'}","{'@type': 'GeoCoordinates', 'latitude': 40.2625802, 'longitude': -80.1749734}",{}
Chicco Baccello,https://www.ubereats.com/pittsburgh/food-delivery/chicco-baccello/5VF1kt8mRMq9H3_JcUWX4Q,canonsburg-pennsylvania,"['Coffee and Tea', 'American', 'Breakfast and Brunch', 'Sandwich', 'Salads', 'Gluten Free', 'Gluten Free Friendly']",,,$,40.1671089,-80.2447112,+17242222900,15301,239 S Main St,Washington,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '7:0', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '8:30', 'closes': '13:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Washington', 'addressRegion': 'PA', 'postalCode': '15301', 'addressCountry': 'US', 'streetAddress': '239 S Main St'}","{'@type': 'GeoCoordinates', 'latitude': 40.1671089, 'longitude': -80.2447112}",{}
The Coal Mine,https://www.ubereats.com/pittsburgh/food-delivery/the-coal-mine/3a96G8nQQPSzTnCgIhzzZg,canonsburg-pennsylvania,"['American', 'Wings', 'Burgers']",4.5,56,$,40.371702,-80.009022,+14128856463,15234,3160 Library Rd,Pittsburgh,Pennsylvania,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '17:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '12:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Pittsburgh', 'addressRegion': 'Pennsylvania', 'postalCode': '15234', 'addressCountry': 'US', 'streetAddress': '3160 Library Rd'}","{'@type': 'GeoCoordinates', 'latitude': 40.371702, 'longitude': -80.009022}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '56'}"
Jersey Mike's Subs (Bridgeville) 1155 Washington Pike,https://www.ubereats.com/pittsburgh/food-delivery/jersey-mikes-subs-bridgeville-1155-washington-pike/3B3e1XVdTQ-QTBAVx21vYg,canonsburg-pennsylvania,"['Sandwich', 'American']",4.8,224,$,40.36817224809722,-80.10495100873949,+14122214111,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '20:30'}]",,"{'@type': 'GeoCoordinates', 'latitude': 40.36817224809722, 'longitude': -80.10495100873949}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '224'}"
Dairy Queen Grill & Chill (Park Place At The Meadow),https://www.ubereats.com/pittsburgh/food-delivery/dairy-queen-grill-%26-chill-park-place-at-the-meadow/Du365A--ShSGUP_uP_DbkA,canonsburg-pennsylvania,"['American', 'Fast Food', 'Ice Cream & Frozen Yogurt']",4.1,35,$,40.211569798230336,-80.19471312645891,+17245034752,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 40.211569798230336, 'longitude': -80.19471312645891}","{'@type': 'AggregateRating', 'ratingValue': 4.1, 'reviewCount': '35'}"
Slice on Broadway - Carnegie,https://www.ubereats.com/pittsburgh/food-delivery/slice-on-broadway-carnegie/Oscgw9gATWmD6m7OqheiJw,canonsburg-pennsylvania,"['Salads', 'Pizza', 'Sandwich']",4.8,120,$,40.40743,-80.086434,+14122760200,15106,108 E Main St,Carnegie,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Carnegie', 'addressRegion': 'PA', 'postalCode': '15106', 'addressCountry': 'US', 'streetAddress': '108 E Main St'}","{'@type': 'GeoCoordinates', 'latitude': 40.40743, 'longitude': -80.086434}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '120'}"
Jacksons Restaurant + Bar Southpointe,https://www.ubereats.com/pittsburgh/food-delivery/jacksons-restaurant-%2B-bar-southpointe/fAVFXLSsSx2gS1E1_nvKVw,canonsburg-pennsylvania,"['Burgers', 'American', 'Sandwiches', 'Salads']",,,$,40.2986627,-80.174237,+17247435005,15317,1000 Corporate Drive,Canonsburg,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Canonsburg', 'addressRegion': 'PA', 'postalCode': '15317', 'addressCountry': 'US', 'streetAddress': '1000 Corporate Drive'}","{'@type': 'GeoCoordinates', 'latitude': 40.2986627, 'longitude': -80.174237}",{}
Bulldawg,https://www.ubereats.com/pittsburgh/food-delivery/bulldawg/RVieoTfsS56O7BXIdTKMMw,canonsburg-pennsylvania,"['Burgers', 'American']",,,$,40.2164085,-80.2116242,+14124859149,15301,2200 Tanger Blvd,Washington,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Washington', 'addressRegion': 'PA', 'postalCode': '15301', 'addressCountry': 'US', 'streetAddress': '2200 Tanger Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 40.2164085, 'longitude': -80.2116242}",{}
Five Guys PA-0630 30 Old Mill Blvd,https://www.ubereats.com/pittsburgh/food-delivery/five-guys-pa-0630-30-old-mill-blvd/-ElMNuPNQpKUdINnE_G4Hg,canonsburg-pennsylvania,"['American', 'Burgers', 'Sandwich']",4.8,45,$,40.1895149,-80.220734,+17242252500,15301,30 Old Mill Blvd.,Washington,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Washington', 'addressRegion': 'PA', 'postalCode': '15301', 'addressCountry': 'US', 'streetAddress': '30 Old Mill Blvd.'}","{'@type': 'GeoCoordinates', 'latitude': 40.1895149, 'longitude': -80.220734}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '45'}"
Arby's (3518 Washington Rd),https://www.ubereats.com/pittsburgh/food-delivery/arbys-3518-washington-rd/fB8Shg0lS6aAzypjge2hJQ,canonsburg-pennsylvania,"['American', 'Sandwich', 'Fast Food', 'Kids Friendly']",4.4,26,$,40.2843421,-80.1212024,+17249412430,15317,3518 Washington Rd,Mcmurray,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Mcmurray', 'addressRegion': 'PA', 'postalCode': '15317', 'addressCountry': 'US', 'streetAddress': '3518 Washington Rd'}","{'@type': 'GeoCoordinates', 'latitude': 40.2843421, 'longitude': -80.1212024}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '26'}"
