name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Spice Darbar,https://www.ubereats.com/atlanta/food-delivery/spice-darbar/F4_o5e67Rp2if8pXmQJ6aA,cartersville-georgia,"['Indian', 'Vegetarian', 'Asian']",,,$,34.2147639,-84.752489,+17065280117,30121,5698 Georgia 20,Cartersville,GA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Cartersville', 'addressRegion': 'GA', 'postalCode': '30121', 'addressCountry': 'US', 'streetAddress': '5698 Georgia 20'}","{'@type': 'GeoCoordinates', 'latitude': 34.2147639, 'longitude': -84.752489}",{}
Menchie's Frozen Yogurt (3348 Cobb Pkwy NW),https://www.ubereats.com/atlanta/food-delivery/menchies-frozen-yogurt-3348-cobb-pkwy-nw/-UBi26yZQBaQMncSkhCeDQ,cartersville-georgia,"['Ice Cream and Frozen Yogurt', 'Desserts']",4.5,16,$,34.036149,-84.680698,+17705293221,30101,3348 Cobb Pkwy NW,Acworth,GA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '13:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Acworth', 'addressRegion': 'GA', 'postalCode': '30101', 'addressCountry': 'US', 'streetAddress': '3348 Cobb Pkwy NW'}","{'@type': 'GeoCoordinates', 'latitude': 34.036149, 'longitude': -84.680698}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '16'}"
Whistle Stop Express,https://www.ubereats.com/atlanta/food-delivery/whistle-stop-express/DxNBthtFTQ-9vY4TDDze8A,cartersville-georgia,"['American', 'Comfort Food']",,,$,34.161722,-84.793311,+17703866462,30120,300 South Tennessee Street,Cartersville,GA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:0', 'closes': '11:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '7:0', 'closes': '10:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '7:0', 'closes': '11:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '7:0', 'closes': '14:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Cartersville', 'addressRegion': 'GA', 'postalCode': '30120', 'addressCountry': 'US', 'streetAddress': '300 South Tennessee Street'}","{'@type': 'GeoCoordinates', 'latitude': 34.161722, 'longitude': -84.793311}",{}
Willy's Mexicana Grill (100 Main  Street Marketplace),https://www.ubereats.com/atlanta/food-delivery/willys-mexicana-grill-100-main-street-marketplace/033ij8EnRHSszVR9KS5tdQ,cartersville-georgia,"['Mexican', 'Tacos', 'Tex Mex', 'Family Meals']",4.6,12,$,34.1734658,-84.7782002,+17703343210,30121,100 Main  Street Marketplace,Cartersville,GA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Cartersville', 'addressRegion': 'GA', 'postalCode': '30121', 'addressCountry': 'US', 'streetAddress': '100 Main  Street Marketplace'}","{'@type': 'GeoCoordinates', 'latitude': 34.1734658, 'longitude': -84.7782002}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '12'}"
Krystal (5020 Cherokee Rd),https://www.ubereats.com/atlanta/food-delivery/krystal-5020-cherokee-rd/PSuCocn2RguqGjELtXVTGg,cartersville-georgia,"['American', 'Burgers', 'Fast Food']",4.2,16,$,34.074675694510354,-84.6765199775561,+17705291130,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '8:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '20:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 34.074675694510354, 'longitude': -84.6765199775561}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '16'}"
Popeyes Louisiana Kitchen (603 Martin Luther King Jr Drive),https://www.ubereats.com/atlanta/food-delivery/popeyes-louisiana-kitchen-603-martin-luther-king-jr-drive/FpFKXx2YTY6YVxFdDt58EA,cartersville-georgia,"['American', 'Fast Food', 'Comfort Food', 'Family Meals']",4.2,21,$,34.17625,-84.78562699999999,+14708882584,30121,603 Martin Luther King Jr Drive,Cartersville,GA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Cartersville', 'addressRegion': 'GA', 'postalCode': '30121', 'addressCountry': 'US', 'streetAddress': '603 Martin Luther King Jr Drive'}","{'@type': 'GeoCoordinates', 'latitude': 34.17625, 'longitude': -84.78562699999999}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '21'}"
Krystal (111 N Morningside Drive),https://www.ubereats.com/atlanta/food-delivery/krystal-111-n-morningside-drive/07xqU3MvR02I5lfyzbU95g,cartersville-georgia,"['American', 'Burgers', 'Fast Food']",,,$,34.1695982,-84.787054,+17703860066,30120,111 N Morningside Drive,Cartersville,GA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '6:0', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '6:0', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '6:0', 'closes': '23:59'}]","{'@type': 'PostalAddress', 'addressLocality': 'Cartersville', 'addressRegion': 'GA', 'postalCode': '30120', 'addressCountry': 'US', 'streetAddress': '111 N Morningside Drive'}","{'@type': 'GeoCoordinates', 'latitude': 34.1695982, 'longitude': -84.787054}",{}
Moe's Southwest Grill (402 East Church Street Suite #101),https://www.ubereats.com/atlanta/food-delivery/moes-southwest-grill-402-east-church-street-suite-%23101/rho1HtPbQhuW1xCoJTFN6w,cartersville-georgia,"['Mexican', 'Fast Food', 'Comfort Food', 'Family Meals']",3.8,20,$$,34.1701374,-84.7859735,+16787211000,30121,402 East Church Street Suite #101,Cartersville,GA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Cartersville', 'addressRegion': 'GA', 'postalCode': '30121', 'addressCountry': 'US', 'streetAddress': '402 East Church Street Suite #101'}","{'@type': 'GeoCoordinates', 'latitude': 34.1701374, 'longitude': -84.7859735}","{'@type': 'AggregateRating', 'ratingValue': 3.8, 'reviewCount': '20'}"
Eatalia Cafe & Creamery,https://www.ubereats.com/atlanta/food-delivery/eatalia-cafe-%26-creamery/y8olG2_0QESvC5ELkW8TRA,cartersville-georgia,"['Italian', 'Desserts', 'Coffee and Tea']",4.5,56,$,34.07455619999999,-84.6519072,+17706087684,30101,"3507 Baker Rd, 404",Atlanta,GA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '5:30', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Atlanta', 'addressRegion': 'GA', 'postalCode': '30101', 'addressCountry': 'US', 'streetAddress': '3507 Baker Rd, 404'}","{'@type': 'GeoCoordinates', 'latitude': 34.07455619999999, 'longitude': -84.6519072}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '56'}"
Papa John's (3734 Cedarcrest Rd. B-112),https://www.ubereats.com/atlanta/food-delivery/papa-johns-3734-cedarcrest-rd-b-112/nEXuvW0JRGCyL7okdPOlzg,cartersville-georgia,"['PIzza', 'American', 'Desserts']",,,$$,34.0506384,-84.7617628,+17709171292,30101,3734 Cedarcrest Rd. B-112,Acworth,GA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '21:40'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '21:40'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:0', 'closes': '22:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Acworth', 'addressRegion': 'GA', 'postalCode': '30101', 'addressCountry': 'US', 'streetAddress': '3734 Cedarcrest Rd. B-112'}","{'@type': 'GeoCoordinates', 'latitude': 34.0506384, 'longitude': -84.7617628}",{}
