name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
B*tch Don't Grill My Cheese,https://www.ubereats.com/nyc-suburbs/food-delivery/b*tch-dont-grill-my-cheese/dEdO8L2qQ-WlbEZkkEQlkQ,center-moriches-new-york,"['Burgers', 'American', 'Sandwiches']",,,$,40.80016629999999,-72.7921612,+16318786408,11934,334 Main Street,Center Moriches,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '5:0', 'closes': '5:1'}]","{'@type': 'PostalAddress', 'addressLocality': 'Center Moriches', 'addressRegion': 'NY', 'postalCode': '11934', 'addressCountry': 'US', 'streetAddress': '334 Main Street'}","{'@type': 'GeoCoordinates', 'latitude': 40.80016629999999, 'longitude': -72.7921612}",{}
Buffalo's Cafe (Manorville),https://www.ubereats.com/nyc-suburbs/food-delivery/buffalos-cafe-manorville/31MHs-V9RGejFcOnhEHYwQ,center-moriches-new-york,"['Wings', 'Chicken', 'American']",,,$,40.8683401,-72.79785559999999,+16312819464,11949,496 County Rd 111,Manorville,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Manorville', 'addressRegion': 'NY', 'postalCode': '11949', 'addressCountry': 'US', 'streetAddress': '496 County Rd 111'}","{'@type': 'GeoCoordinates', 'latitude': 40.8683401, 'longitude': -72.79785559999999}",{}
Deli beer smoke,https://www.ubereats.com/nyc-suburbs/food-delivery/deli-beer-smoke/gH4Ee2kvRdGMwWheUjwfOw,center-moriches-new-york,"['Breakfast and Brunch', 'American', 'Sandwiches']",,,$,40.7963269,-72.8664558,+13474474019,11967,44 Surrey Cir,Shirley,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '8:0', 'closes': '14:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Shirley', 'addressRegion': 'NY', 'postalCode': '11967', 'addressCountry': 'US', 'streetAddress': '44 Surrey Cir'}","{'@type': 'GeoCoordinates', 'latitude': 40.7963269, 'longitude': -72.8664558}",{}
MELTology Grilled Cheese (Manorville),https://www.ubereats.com/nyc-suburbs/food-delivery/meltology-grilled-cheese-manorville/JA-Kh7MZTMSqhSpRWe_V1w,center-moriches-new-york,"['Burgers', 'American', 'Sandwiches']",,,$,40.8690592,-72.7977557,+16319093795,11949,496 County Rd 111,Manorville,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:30', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Manorville', 'addressRegion': 'NY', 'postalCode': '11949', 'addressCountry': 'US', 'streetAddress': '496 County Rd 111'}","{'@type': 'GeoCoordinates', 'latitude': 40.8690592, 'longitude': -72.7977557}",{}
KFC (800 Montauk Hwy Ste 22),https://www.ubereats.com/nyc-suburbs/food-delivery/kfc-800-montauk-hwy-ste-22/whcc_rQmR42Ii8rAF-F7Cg,center-moriches-new-york,"['American', 'Southern', 'Fast Food']",4.4,117,$$,40.800076,-72.868514,+16312818828,11967,800 Montauk Hwy Ste 22,Shirley,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday'], 'opens': '10:30', 'closes': '23:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday'], 'opens': '10:30', 'closes': '0:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:30', 'closes': '23:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Shirley', 'addressRegion': 'NY', 'postalCode': '11967', 'addressCountry': 'US', 'streetAddress': '800 Montauk Hwy Ste 22'}","{'@type': 'GeoCoordinates', 'latitude': 40.800076, 'longitude': -72.868514}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '117'}"
Crazy Crepe Cafe,https://www.ubereats.com/nyc-suburbs/food-delivery/crazy-crepe-cafe/QAv5T03tRZS_X8fChqAjfg,center-moriches-new-york,"['Desserts', 'Vegetarian', 'Coffee and Tea']",4.6,29,$,40.88228950000001,-72.9402893,+16313456535,11953,848 Middle Country Rd,Middle Island,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '9:0', 'closes': '22:25'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '9:0', 'closes': '22:55'}]","{'@type': 'PostalAddress', 'addressLocality': 'Middle Island', 'addressRegion': 'NY', 'postalCode': '11953', 'addressCountry': 'US', 'streetAddress': '848 Middle Country Rd'}","{'@type': 'GeoCoordinates', 'latitude': 40.88228950000001, 'longitude': -72.9402893}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '29'}"
Colins Hero Stop,https://www.ubereats.com/nyc-suburbs/food-delivery/colins-hero-stop/CZozBBP3TdmxlipIzWkh9Q,center-moriches-new-york,"['Sandwiches', 'American', 'Healthy']",,,$,40.8354884,-72.88750069999999,+16319491425,11967,132 Colin Dr,Shirley,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '6:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '5:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '6:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Shirley', 'addressRegion': 'NY', 'postalCode': '11967', 'addressCountry': 'US', 'streetAddress': '132 Colin Dr'}","{'@type': 'GeoCoordinates', 'latitude': 40.8354884, 'longitude': -72.88750069999999}",{}
Main Street Sweets Ben & Jerry's Ice Cream,https://www.ubereats.com/nyc-suburbs/food-delivery/main-street-sweets-ben-%26-jerrys-ice-cream/UaBxplC8Tbm6PbY64PnaUQ,center-moriches-new-york,"['Ice Cream & Frozen Yogurt', 'Comfort Food', 'Desserts']",,,$,40.8097436,-72.64281199999999,+16312885753,11978,121 Main Street,Westhampton Beach,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday'], 'opens': '14:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '14:0', 'closes': '18:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Westhampton Beach', 'addressRegion': 'NY', 'postalCode': '11978', 'addressCountry': 'US', 'streetAddress': '121 Main Street'}","{'@type': 'GeoCoordinates', 'latitude': 40.8097436, 'longitude': -72.64281199999999}",{}
Mediterranean Kitchen (Mastic),https://www.ubereats.com/nyc-suburbs/food-delivery/mediterranean-kitchen-mastic/dYJAuV_eS9uw1s4DXi5vsA,center-moriches-new-york,"['Mediterranean', 'Greek', 'Vegetarian']",4.6,72,$,40.8037328,-72.85556340000001,+16313998833,11950,1171 Montauk Hwy.,Mastic,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Mastic', 'addressRegion': 'NY', 'postalCode': '11950', 'addressCountry': 'US', 'streetAddress': '1171 Montauk Hwy.'}","{'@type': 'GeoCoordinates', 'latitude': 40.8037328, 'longitude': -72.85556340000001}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '72'}"
Hamza Halal Food,https://www.ubereats.com/nyc-suburbs/food-delivery/hamza-halal-food/xPvNhTDRQY2FYnVZiVYavQ,center-moriches-new-york,"['Halal', 'Chicken', 'Middle Eastern']",,,$,40.7809663,-72.84750919999999,+16316573552,11951,495 Mastic Rd,Mastic Beach,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '12:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Mastic Beach', 'addressRegion': 'NY', 'postalCode': '11951', 'addressCountry': 'US', 'streetAddress': '495 Mastic Rd'}","{'@type': 'GeoCoordinates', 'latitude': 40.7809663, 'longitude': -72.84750919999999}",{}
