name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Mexico Garibaldi,https://www.ubereats.com/providence/food-delivery/mexico-garibaldi/dSXsNfI3SR-dvyllXY-LiA,central-falls-rhode-island,['Mexican'],4.6,42,$,41.824924,-71.448943,+14013314985,02909,948 Atwells Ave,Providence,Rhode Island,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Providence', 'addressRegion': 'Rhode Island', 'postalCode': '02909', 'addressCountry': 'US', 'streetAddress': '948 Atwells Ave'}","{'@type': 'GeoCoordinates', 'latitude': 41.824924, 'longitude': -71.448943}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '42'}"
Geegees Southern,https://www.ubereats.com/providence/food-delivery/geegees-southern/j6_afjO1QdqqqnNlsCINcw,central-falls-rhode-island,"['Southern', 'Chicken', 'Sandwich']",,,$,41.8158994,-71.4454627,+14014700234,02909,105 Plainfield St,Providence,Rhode Island,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '12:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Providence', 'addressRegion': 'Rhode Island', 'postalCode': '02909', 'addressCountry': 'US', 'streetAddress': '105 Plainfield St'}","{'@type': 'GeoCoordinates', 'latitude': 41.8158994, 'longitude': -71.4454627}",{}
Five Guys RI-1793 1450 Hartford Ave,https://www.ubereats.com/providence/food-delivery/five-guys-ri-1793-1450-hartford-ave/RFloUP89RRK6vFZ1gfEQPg,central-falls-rhode-island,"['American', 'Burgers']",4.7,146,$,41.8238918,-71.5014049,+14012145050,2919,1450 Hartford Avenue,Johnston,RI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Johnston', 'addressRegion': 'RI', 'postalCode': '2919', 'addressCountry': 'US', 'streetAddress': '1450 Hartford Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 41.8238918, 'longitude': -71.5014049}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '146'}"
Naked Foods RI INC,https://www.ubereats.com/providence/food-delivery/naked-foods-ri-inc/_WN0e_27Teax2qAoYNE4BQ,central-falls-rhode-island,['Salad / Sandwiches'],,,$$,41.81633799999999,-71.357519,+14016545455,02914,611 Waterman Ave,Rhode Island,RI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday'], 'opens': '11:0', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '14:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Rhode Island', 'addressRegion': 'RI', 'postalCode': '02914', 'addressCountry': 'US', 'streetAddress': '611 Waterman Ave'}","{'@type': 'GeoCoordinates', 'latitude': 41.81633799999999, 'longitude': -71.357519}",{}
B.GOOD (Providence),https://www.ubereats.com/providence/food-delivery/bgood-providence/lKyRojnhQw2RJVXbl6ZUPw,central-falls-rhode-island,"['Salads', 'Burgers', 'American', 'Vegetarian Friendly', 'Vegetarian', 'Sandwich']",4.3,23,$$,41.829071,-71.400579,+14014374663,02906,269 Thayer St,Providence,Rhode Island,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:30', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Providence', 'addressRegion': 'Rhode Island', 'postalCode': '02906', 'addressCountry': 'US', 'streetAddress': '269 Thayer St'}","{'@type': 'GeoCoordinates', 'latitude': 41.829071, 'longitude': -71.400579}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '23'}"
Jersey Mike's Subs (1412 Atwood Avenue),https://www.ubereats.com/providence/food-delivery/jersey-mikes-subs-1412-atwood-avenue/Ouc5xJ7hQTuwxT0GYZ3NDg,central-falls-rhode-island,"['Sandwich', 'American']",,,$,41.8206948,-71.498437,+14016487827,02919,1412 Atwood Avenue,Johnston,RI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Johnston', 'addressRegion': 'RI', 'postalCode': '02919', 'addressCountry': 'US', 'streetAddress': '1412 Atwood Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 41.8206948, 'longitude': -71.498437}",{}
Sonic (393 Putnam Pike),https://www.ubereats.com/providence/food-delivery/sonic-393-putnam-pike/z0uY4rnMQsOQvCzErC3bHQ,central-falls-rhode-island,"['American', 'Burgers', 'Breakfast and Brunch', 'Fast Food']",4.1,65,$$,41.8706375,-71.5243234,+14013492152,2917,393 Putnam Pike,Smithfield,RI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Smithfield', 'addressRegion': 'RI', 'postalCode': '2917', 'addressCountry': 'US', 'streetAddress': '393 Putnam Pike'}","{'@type': 'GeoCoordinates', 'latitude': 41.8706375, 'longitude': -71.5243234}","{'@type': 'AggregateRating', 'ratingValue': 4.1, 'reviewCount': '65'}"
Kabob and Curry,https://www.ubereats.com/providence/food-delivery/kabob-and-curry/ZAe5labgT5egGVBOgc7hpA,central-falls-rhode-island,"['Indian', 'Vegetarian', 'Seafood']",4.8,200,$$,41.828918,-71.40057,+14012738844,,261 Thayer St,Providence,Rhode Island,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Providence', 'addressRegion': 'Rhode Island', 'postalCode': '', 'addressCountry': 'US', 'streetAddress': '261 Thayer St'}","{'@type': 'GeoCoordinates', 'latitude': 41.828918, 'longitude': -71.40057}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '200'}"
Green Apple Mediterranean Grill,https://www.ubereats.com/providence/food-delivery/green-apple-mediterranean-grill/2MciO22FS2-v5C-djwliTQ,central-falls-rhode-island,"['Mediterranean', 'Healthy', 'Salads']",4.6,29,,41.82329,-71.42365,+17174242014,02903,168 Atwells Avenue,Providence,RI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Providence', 'addressRegion': 'RI', 'postalCode': '02903', 'addressCountry': 'US', 'streetAddress': '168 Atwells Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 41.82329, 'longitude': -71.42365}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '29'}"
Nathan's Famous (100 Twin River Rd),https://www.ubereats.com/providence/food-delivery/nathans-famous-100-twin-river-rd/GhzwKuzaTb204O14tYd9xQ,central-falls-rhode-island,"['American', 'Sandwich', 'Burgers']",,,$,41.8880154,-71.4486745,+14014758552,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday'], 'opens': '11:30', 'closes': '1:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '11:30', 'closes': '3:30'}]",,"{'@type': 'GeoCoordinates', 'latitude': 41.8880154, 'longitude': -71.4486745}",{}
