name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
MOD Pizza (Chico),https://www.ubereats.com/sacramento/food-delivery/mod-pizza-chico/-uTX8mpZQbKSWTapUfVlgw,chico-california,"['Desserts', 'PIzza', 'Salads', 'Healthy', 'Vegetarian Friendly', 'Kids Friendly']",4.2,100,$,39.76059600000001,-121.8448659,+15306364862,95926,851 East Ave,Chico,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Chico', 'addressRegion': 'CA', 'postalCode': '95926', 'addressCountry': 'US', 'streetAddress': '851 East Ave'}","{'@type': 'GeoCoordinates', 'latitude': 39.76059600000001, 'longitude': -121.8448659}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '100'}"
Cream (Chico),https://www.ubereats.com/sacramento/food-delivery/cream-chico/WTGunKv1TMCoyKGGucMLgg,chico-california,"['Ice Cream & Frozen Yogurt', 'Desserts']",,,$$,39.760299,-121.8437625,+15305923945,95926,2471 Cohasset Rd Ste 120,Chico,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '13:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '16:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '16:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '13:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Chico', 'addressRegion': 'CA', 'postalCode': '95926', 'addressCountry': 'US', 'streetAddress': '2471 Cohasset Rd Ste 120'}","{'@type': 'GeoCoordinates', 'latitude': 39.760299, 'longitude': -121.8437625}",{}
Krispy Krunchy Chicken (1008 W. Sacramento),https://www.ubereats.com/sacramento/food-delivery/krispy-krunchy-chicken-1008-w-sacramento/VC8oEFMBSgGTtSfN1k5tjA,chico-california,"['Comfort Food', 'Fried Chicken', 'Traditional American', 'Wings']",3.9,22,$,39.7317153,-121.8588721,+15309655550,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:45'}]",,"{'@type': 'GeoCoordinates', 'latitude': 39.7317153, 'longitude': -121.8588721}","{'@type': 'AggregateRating', 'ratingValue': 3.9, 'reviewCount': '22'}"
Carl's Jr. (1940 E 20th St),https://www.ubereats.com/sacramento/food-delivery/carls-jr-1940-e-20th-st/790Y_yJDQ4SoSG9guWvk9w,chico-california,"['Fast Food', 'Salads', 'Burritos', 'American']",4.5,44,$,39.7275461,-121.8059469,+15303459643,95928,1940 E 20th St,Chico,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:0', 'closes': '10:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:30', 'closes': '0:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '6:0', 'closes': '10:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:30', 'closes': '0:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Chico', 'addressRegion': 'CA', 'postalCode': '95928', 'addressCountry': 'US', 'streetAddress': '1940 E 20th St'}","{'@type': 'GeoCoordinates', 'latitude': 39.7275461, 'longitude': -121.8059469}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '44'}"
Midnite Munchies,https://www.ubereats.com/sacramento/food-delivery/midnite-munchies/zQ8JNBBQTBSnggtx_AjI5w,chico-california,"['American', 'Breakfast and Brunch', 'Desserts']",,,$,39.7317153,-121.8588721,+15305143211,95926,1008 W Sacramento Ave Ste 1,Chico,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '17:0', 'closes': '1:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Chico', 'addressRegion': 'CA', 'postalCode': '95926', 'addressCountry': 'US', 'streetAddress': '1008 W Sacramento Ave Ste 1'}","{'@type': 'GeoCoordinates', 'latitude': 39.7317153, 'longitude': -121.8588721}",{}
Gojo Market,https://www.ubereats.com/sacramento/food-delivery/gojo-market/14BWZwX4Qb-G93vYveHF7w,chico-california,"['BBQ', 'American', 'Burgers', 'Deli', 'Sandwich', 'Desserts']",,,$,39.729325,-121.8564612,+15303427262,95926,735 Nord Ave,Chico,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:30', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Chico', 'addressRegion': 'CA', 'postalCode': '95926', 'addressCountry': 'US', 'streetAddress': '735 Nord Ave'}","{'@type': 'GeoCoordinates', 'latitude': 39.729325, 'longitude': -121.8564612}",{}
Coco’s Ramen,https://www.ubereats.com/sacramento/food-delivery/cocos-ramen/cQHG9AWnShGnMzqDPtpuHg,chico-california,"['Ramen', 'Japanese', 'Comfort Food']",4.7,58,$,39.7315044,-121.85891,+15309655541,95926,1008 W Sacramento Ave,Chico,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday'], 'opens': '17:30', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '17:30', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Chico', 'addressRegion': 'CA', 'postalCode': '95926', 'addressCountry': 'US', 'streetAddress': '1008 W Sacramento Ave'}","{'@type': 'GeoCoordinates', 'latitude': 39.7315044, 'longitude': -121.85891}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '58'}"
CREAM (Cohasset),https://www.ubereats.com/sacramento/food-delivery/cream-cohasset/SIPc9Vm8S3qUWWO06Tqikw,chico-california,"['Desserts', 'Ice Cream and Frozen Yogurt']",,,$,39.760299,-121.843762,+15305923945,95926,2471 Cohasset Rd,Chico,California,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '13:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '16:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '16:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '13:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Chico', 'addressRegion': 'California', 'postalCode': '95926', 'addressCountry': 'US', 'streetAddress': '2471 Cohasset Rd'}","{'@type': 'GeoCoordinates', 'latitude': 39.760299, 'longitude': -121.843762}",{}
Aca Taco,https://www.ubereats.com/sacramento/food-delivery/aca-taco/f9zZH77eRoaasejsk-JSXw,chico-california,"['Mexican', 'Latin American', 'Family Meals']",4.7,100,$,39.730105729256714,-121.84138488589748,+15308940191,95928,133 Broadway St,Chico,California,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '9:30', 'closes': '11:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '9:30', 'closes': '20:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '9:30', 'closes': '11:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '9:30', 'closes': '21:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Chico', 'addressRegion': 'California', 'postalCode': '95928', 'addressCountry': 'US', 'streetAddress': '133 Broadway St'}","{'@type': 'GeoCoordinates', 'latitude': 39.730105729256714, 'longitude': -121.84138488589748}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '100'}"
Lasalles,https://www.ubereats.com/sacramento/food-delivery/lasalles/oyp-znsqSiO0dmSMWwwG5A,chico-california,"['American', 'Burgers', 'Sandwiches']",,,$,39.7293811,-121.8405738,+15304877207,95928,229 Broadway St,Chico,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '16:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday'], 'opens': '16:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '16:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Chico', 'addressRegion': 'CA', 'postalCode': '95928', 'addressCountry': 'US', 'streetAddress': '229 Broadway St'}","{'@type': 'GeoCoordinates', 'latitude': 39.7293811, 'longitude': -121.8405738}",{}
Jersey Mike's Subs (605 Mangrove Ave),https://www.ubereats.com/sacramento/food-delivery/jersey-mikes-subs-605-mangrove-ave/_eJxH_DGR3eOMrXqb_oFOg,chico-california,"['Sandwich', 'American']",4.7,39,$,39.7340372,-121.836276,+15308910117,95926,605 Mangrove Ave,Chico,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Chico', 'addressRegion': 'CA', 'postalCode': '95926', 'addressCountry': 'US', 'streetAddress': '605 Mangrove Ave'}","{'@type': 'GeoCoordinates', 'latitude': 39.7340372, 'longitude': -121.836276}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '39'}"
Oya Mediterranean Grill,https://www.ubereats.com/sacramento/food-delivery/oya-mediterranean-grill/vgDJehs3STK_sLpGNc8U7w,chico-california,"['Mediterranean', 'Greek', 'Vegetarian', 'Family Meals']",4.1,15,$,39.73036800000001,-121.840026,+15304877063,95928,201 Main Street,Chico,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Chico', 'addressRegion': 'CA', 'postalCode': '95928', 'addressCountry': 'US', 'streetAddress': '201 Main Street'}","{'@type': 'GeoCoordinates', 'latitude': 39.73036800000001, 'longitude': -121.840026}","{'@type': 'AggregateRating', 'ratingValue': 4.1, 'reviewCount': '15'}"
