name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Yell Sweets,https://www.ubereats.com/detroit/food-delivery/yell-sweets/dlMoWrRRTrmPVMv4JZhGpQ,clinton-twp-michigan,"['American', 'Breakfast and Brunch', 'Desserts']",,,$,42.6315145,-82.98643249999999,+15867994560,48315,14142 Lakeside Boulevard North,Shelby charter Township,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '12:0', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '12:0', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Shelby charter Township', 'addressRegion': 'MI', 'postalCode': '48315', 'addressCountry': 'US', 'streetAddress': '14142 Lakeside Boulevard North'}","{'@type': 'GeoCoordinates', 'latitude': 42.6315145, 'longitude': -82.98643249999999}",{}
Eat Well Cafe ,https://www.ubereats.com/detroit/food-delivery/eat-well-cafe/B_G88LDsTIKYys00luSyrg,clinton-twp-michigan,"['Sandwich', 'American', 'Kids Friendly']",,,,42.6238012,-82.9924766,+19893293250,48313,44635 Schoenherr Road,Sterling Heights,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Sterling Heights', 'addressRegion': 'MI', 'postalCode': '48313', 'addressCountry': 'US', 'streetAddress': '44635 Schoenherr Road'}","{'@type': 'GeoCoordinates', 'latitude': 42.6238012, 'longitude': -82.9924766}",{}
Jay Jay's Bistro,https://www.ubereats.com/detroit/food-delivery/jay-jays-bistro/SDf2WtKIRAyMKLkQSxw4aA,clinton-twp-michigan,"['Mediterranean', 'Diner', 'Breakfast and Brunch']",,,$,42.593507,-83.090559,+12488175399,48085,2995 E Long Lake Rd,Troy,Michigan,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '8:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '8:0', 'closes': '0:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Troy', 'addressRegion': 'Michigan', 'postalCode': '48085', 'addressCountry': 'US', 'streetAddress': '2995 E Long Lake Rd'}","{'@type': 'GeoCoordinates', 'latitude': 42.593507, 'longitude': -83.090559}",{}
Logan's Roadhouse 355 (30751 Gratiot Avenue),https://www.ubereats.com/detroit/food-delivery/logans-roadhouse-355-30751-gratiot-avenue/3VzyewGhRxu-_cc8gne1Wg,clinton-twp-michigan,"['Burgers', 'American', 'Sandwiches', 'Family Meals']",3.2,13,$,42.5232264,-82.92086789999999,+15862851610,48066,30751 Gratiot Avenue,Roseville,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:15', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:15', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Roseville', 'addressRegion': 'MI', 'postalCode': '48066', 'addressCountry': 'US', 'streetAddress': '30751 Gratiot Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 42.5232264, 'longitude': -82.92086789999999}","{'@type': 'AggregateRating', 'ratingValue': 3.2, 'reviewCount': '13'}"
The Ice Cream Shop ,https://www.ubereats.com/detroit/food-delivery/the-ice-cream-shop/_-uXldDvR4eemLu_5XuzLg,clinton-twp-michigan,"['Desserts', 'Ice Cream and Frozen Yogurt']",,,$,42.62776849999999,-82.90471079999999,+15864639972,48038,21300 Hall Rd,Clinton Township,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '9:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '9:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Clinton Township', 'addressRegion': 'MI', 'postalCode': '48038', 'addressCountry': 'US', 'streetAddress': '21300 Hall Rd'}","{'@type': 'GeoCoordinates', 'latitude': 42.62776849999999, 'longitude': -82.90471079999999}",{}
Big Boy (16880 Hall),https://www.ubereats.com/detroit/food-delivery/big-boy-16880-hall/7LrZMYRVQUKTJDqmg22g0w,clinton-twp-michigan,"['American', 'Burgers', 'Salads', 'Desserts']",,,$$,42.627155,-82.952802,+15862636220,48038,16880 Hall,Clinton Twp.,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '7:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '7:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '7:0', 'closes': '0:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '7:0', 'closes': '0:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Clinton Twp.', 'addressRegion': 'MI', 'postalCode': '48038', 'addressCountry': 'US', 'streetAddress': '16880 Hall'}","{'@type': 'GeoCoordinates', 'latitude': 42.627155, 'longitude': -82.952802}",{}
The Ice Cream Shop ,https://www.ubereats.com/detroit/food-delivery/the-ice-cream-shop/BT6Z5JC9RIWfu59hAQ-66g,clinton-twp-michigan,"['Desserts', 'Ice Cream and Frozen Yogurt']",,,$,42.602541,-82.87472489999999,+15864655010,48043,186 Northbound Gratiot Ave,Mount Clemens,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '0:0', 'closes': '1:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:0', 'closes': '23:59'}]","{'@type': 'PostalAddress', 'addressLocality': 'Mount Clemens', 'addressRegion': 'MI', 'postalCode': '48043', 'addressCountry': 'US', 'streetAddress': '186 Northbound Gratiot Ave'}","{'@type': 'GeoCoordinates', 'latitude': 42.602541, 'longitude': -82.87472489999999}",{}
Chipotle Mexican Grill (27810 23 Mile Rd),https://www.ubereats.com/detroit/food-delivery/chipotle-mexican-grill-27810-23-mile-rd/WYfOqw7eQ5m25w3QCiXAXg,clinton-twp-michigan,"['Healthy', 'Mexican']",4.9,39,$,42.673981,-82.82940500000001,+15869491908,48051,27810 23 Mile Rd,Chesterfield,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:45', 'closes': '21:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Chesterfield', 'addressRegion': 'MI', 'postalCode': '48051', 'addressCountry': 'US', 'streetAddress': '27810 23 Mile Rd'}","{'@type': 'GeoCoordinates', 'latitude': 42.673981, 'longitude': -82.82940500000001}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '39'}"
Detroit Style Pizza Company,https://www.ubereats.com/detroit/food-delivery/detroit-style-pizza-company/nMOOTfx6RUSLR1Tmw1r9aQ,clinton-twp-michigan,"['Pizza', 'Salads']",,,$,42.504212,-82.897134,+15864452810,48081,28630 Harper Ave.,Saint Clair Shores,MI,[],"{'@type': 'PostalAddress', 'addressLocality': 'Saint Clair Shores', 'addressRegion': 'MI', 'postalCode': '48081', 'addressCountry': 'US', 'streetAddress': '28630 Harper Ave.'}","{'@type': 'GeoCoordinates', 'latitude': 42.504212, 'longitude': -82.897134}",{}
Greek Grill,https://www.ubereats.com/detroit/food-delivery/greek-grill/11Ro4eQlRom5B228_dCtlg,clinton-twp-michigan,"['Mediterranean', 'Greek', 'Breakfast and Brunch']",,,$,42.61664619999999,-82.9945029,+15862544444,48313,43719 Schoenherr Rd,Detroit,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '8:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Detroit', 'addressRegion': 'MI', 'postalCode': '48313', 'addressCountry': 'US', 'streetAddress': '43719 Schoenherr Rd'}","{'@type': 'GeoCoordinates', 'latitude': 42.61664619999999, 'longitude': -82.9945029}",{}
