name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Tropical Smoothie Cafe (2609 E Broadway),https://www.ubereats.com/columbia-mo/food-delivery/tropical-smoothie-cafe-2609-e-broadway/VqWyFRyfRi2Yi-1DkmyxAg,columbia-mo,"['Juice and Smoothies', 'Healthy', 'Sandwich']",4.9,42,$,38.9476137,-92.2979033,+15733555875,65201,2609 E Broadway,Columbia,MO,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '7:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Columbia', 'addressRegion': 'MO', 'postalCode': '65201', 'addressCountry': 'US', 'streetAddress': '2609 E Broadway'}","{'@type': 'GeoCoordinates', 'latitude': 38.9476137, 'longitude': -92.2979033}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '42'}"
Chick-fil-A  (305 N Stadium Blvd),https://www.ubereats.com/columbia-mo/food-delivery/chick-fil-a-305-n-stadium-blvd/qAIga6DzSI-9fWoKlLCh5A,columbia-mo,"['American', 'Fried Chicken']",4.7,100,$,38.9595418,-92.3720685,+15734456627,65203,305 N Stadium Blvd,Columbia,MO,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '6:30', 'closes': '10:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Columbia', 'addressRegion': 'MO', 'postalCode': '65203', 'addressCountry': 'US', 'streetAddress': '305 N Stadium Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 38.9595418, 'longitude': -92.3720685}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '100'}"
Coffee Zone,https://www.ubereats.com/columbia-mo/food-delivery/coffee-zone/YWa-nG2SQrGAbqympcZpfg,columbia-mo,"['Coffee and Tea', 'American', 'Breakfast and Brunch']",,,$,38.952005,-92.32781489999999,+15734498215,65201,11 N 9th St,Columbia,MO,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '8:0', 'closes': '13:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Columbia', 'addressRegion': 'MO', 'postalCode': '65201', 'addressCountry': 'US', 'streetAddress': '11 N 9th St'}","{'@type': 'GeoCoordinates', 'latitude': 38.952005, 'longitude': -92.32781489999999}",{}
Chipotle Mexican Grill (2020 W Worley St),https://www.ubereats.com/columbia-mo/food-delivery/chipotle-mexican-grill-2020-w-worley-st/8qPqZx_-SfabIs6_25b-dA,columbia-mo,"['Healthy', 'Mexican']",4.6,55,$,38.9608768,-92.3705262,+15734462007,65203,2020 W Worley St,Columbia,MO,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:45', 'closes': '21:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Columbia', 'addressRegion': 'MO', 'postalCode': '65203', 'addressCountry': 'US', 'streetAddress': '2020 W Worley St'}","{'@type': 'GeoCoordinates', 'latitude': 38.9608768, 'longitude': -92.3705262}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '55'}"
HuHot Mongolian Grill (3802 Buttonwood Drive),https://www.ubereats.com/columbia-mo/food-delivery/huhot-mongolian-grill-3802-buttonwood-drive/evTiAUiaQxK3WF7n2a0gkg,columbia-mo,['Comfort Food'],,,$,38.90829,-92.329801,+15738742000,65201,3802 Buttonwood Drive,Columbia,MO,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '16:0', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Columbia', 'addressRegion': 'MO', 'postalCode': '65201', 'addressCountry': 'US', 'streetAddress': '3802 Buttonwood Drive'}","{'@type': 'GeoCoordinates', 'latitude': 38.90829, 'longitude': -92.329801}",{}
Red Lobster (1110 Interstate 70 Dr SW),https://www.ubereats.com/columbia-mo/food-delivery/red-lobster-1110-interstate-70-dr-sw/p2YTI9_YSaOleypjijPzlQ,columbia-mo,"['Seafood', 'American']",4.6,35,$$,38.9641246,-92.35495159999999,+15734458324,65203,1110 Interstate 70 Dr SW,Columbia,MO,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:30', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Columbia', 'addressRegion': 'MO', 'postalCode': '65203', 'addressCountry': 'US', 'streetAddress': '1110 Interstate 70 Dr SW'}","{'@type': 'GeoCoordinates', 'latitude': 38.9641246, 'longitude': -92.35495159999999}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '35'}"
Tropical Smoothie Cafe (403 North Stadium Boulevard Suite 102),https://www.ubereats.com/columbia-mo/food-delivery/tropical-smoothie-cafe-403-north-stadium-boulevard-suite-102/EeDL39zVQae1OmlmiRCHyA,columbia-mo,"['Juice and Smoothies', 'Healthy', 'Sandwich']",4.9,21,$,38.9601537,-92.3720299,+15734455115,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '7:0', 'closes': '20:30'}]",,"{'@type': 'GeoCoordinates', 'latitude': 38.9601537, 'longitude': -92.3720299}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '21'}"
McLanks,https://www.ubereats.com/columbia-mo/food-delivery/mclanks/kgre4DuSQVKIuAqqem3nvQ,columbia-mo,"['Comfort Food', 'American', 'Burgers']",,,$,38.9644303,-92.3104924,+15734433663,65201,1802 Paris Rd,Columbia,MO,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:30', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '2:0', 'closes': '2:1'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '2:0', 'closes': '2:1'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:30', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '8:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '2:0', 'closes': '2:1'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '2:0', 'closes': '2:1'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '8:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Columbia', 'addressRegion': 'MO', 'postalCode': '65201', 'addressCountry': 'US', 'streetAddress': '1802 Paris Rd'}","{'@type': 'GeoCoordinates', 'latitude': 38.9644303, 'longitude': -92.3104924}",{}
George's Pizza & Steakhouse,https://www.ubereats.com/columbia-mo/food-delivery/georges-pizza-%26-steakhouse/yQsmRoOxTAGJDX0Fp6an-Q,columbia-mo,"['Italian', 'Pasta', 'Comfort Food']",4.6,10,$,38.96390372128559,-92.25168161216439,+15732142080,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 38.96390372128559, 'longitude': -92.25168161216439}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '10'}"
Bonsai Sushi,https://www.ubereats.com/columbia-mo/food-delivery/bonsai-sushi/6IBttvGFSG2bG5cxOzBv_A,columbia-mo,"['Japanese', 'Asian', 'Sushi']",,,$,38.9476842,-92.3272054,+15734411001,65201,308 S 9th St Ste 105,Columbia,MO,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '16:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:30', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '16:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:0', 'closes': '15:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Columbia', 'addressRegion': 'MO', 'postalCode': '65201', 'addressCountry': 'US', 'streetAddress': '308 S 9th St Ste 105'}","{'@type': 'GeoCoordinates', 'latitude': 38.9476842, 'longitude': -92.3272054}",{}
