name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Donuts & More (Davenport),https://www.ubereats.com/quad-cities/food-delivery/donuts-%26-more-davenport/JTgFY0CYTb-6cLvAFIDbyw,davenport-illinois,['Breakfast and Brunch'],,,$,41.537221,-90.5736998,+15633225111,52803,1717 Brady St,Davenport,IA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '5:30', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '5:30', 'closes': '16:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Davenport', 'addressRegion': 'IA', 'postalCode': '52803', 'addressCountry': 'United States', 'streetAddress': '1717 Brady St'}","{'@type': 'GeoCoordinates', 'latitude': 41.537221, 'longitude': -90.5736998}",{}
Coyas Cafe (4th Ave),https://www.ubereats.com/quad-cities/food-delivery/coyas-cafe-4th-ave/9mwjl_YaQCupLIf3A5r3Yg,davenport-illinois,"['Mexican', 'Latin American', 'New Mexican']",4.4,19,$,41.5117997,-90.4760234,+13097497626,61265,4320 4th Ave,Moline,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '9:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Moline', 'addressRegion': 'IL', 'postalCode': '61265', 'addressCountry': 'US', 'streetAddress': '4320 4th Ave'}","{'@type': 'GeoCoordinates', 'latitude': 41.5117997, 'longitude': -90.4760234}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '19'}"
Dunkin' (3501 Avenue Of The Cities),https://www.ubereats.com/quad-cities/food-delivery/dunkin-3501-avenue-of-the-cities/maJzfj2fSzGV93bCAtnW7g,davenport-illinois,"['Breakfast and Brunch', 'Donuts', 'American']",4.3,16,$,41.49146830000001,-90.48574149999999,+13097972836,61265,3501 Avenue Of The Cities,Moline,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '5:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Moline', 'addressRegion': 'IL', 'postalCode': '61265', 'addressCountry': 'US', 'streetAddress': '3501 Avenue Of The Cities'}","{'@type': 'GeoCoordinates', 'latitude': 41.49146830000001, 'longitude': -90.48574149999999}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '16'}"
Indian Cafe,https://www.ubereats.com/quad-cities/food-delivery/indian-cafe/IHZU12hmRtCyzmuePy0mcg,davenport-illinois,"['Indian', 'Vegetarian Friendly', 'Indian Curry']",,,$,41.4906967,-90.4454858,+13099127604,61244,669 Avenue of the Cities,Quad Cities,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Quad Cities', 'addressRegion': 'IL', 'postalCode': '61244', 'addressCountry': 'US', 'streetAddress': '669 Avenue of the Cities'}","{'@type': 'GeoCoordinates', 'latitude': 41.4906967, 'longitude': -90.4454858}",{}
Moe's Southwest Grill (4046 E. 53rd Street),https://www.ubereats.com/quad-cities/food-delivery/moes-southwest-grill-4046-e-53rd-street/LtNn2-sRSIGvMMuhrqKoVQ,davenport-illinois,"['Mexican', 'Fast Food']",4.7,14,$,41.5765341,-90.5149598,+17249543822,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 41.5765341, 'longitude': -90.5149598}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '14'}"
Hungry Hobo-Bettendorf,https://www.ubereats.com/quad-cities/food-delivery/hungry-hobo-bettendorf/WxV4uC-1R0a-ln_oL9_nAQ,davenport-illinois,"['Burgers', 'American', 'Sandwiches']",4.8,13,$,41.5496817,-90.5001109,+15633553919,52722,2320 Spruce Hills Drive,Bettendorf,IA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:30', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '10:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '10:0', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday'], 'opens': '10:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:0', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Bettendorf', 'addressRegion': 'IA', 'postalCode': '52722', 'addressCountry': 'US', 'streetAddress': '2320 Spruce Hills Drive'}","{'@type': 'GeoCoordinates', 'latitude': 41.5496817, 'longitude': -90.5001109}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '13'}"
Long John Silver's (4420 16th Street),https://www.ubereats.com/quad-cities/food-delivery/long-john-silvers-4420-16th-street/1yImBi1OT2mu1U8uuZzu3w,davenport-illinois,"['Seafood', 'Desserts']",,,$,41.4695528,-90.5063083,+13097642234,63703,4420 16th Street,Moline,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Moline', 'addressRegion': 'IL', 'postalCode': '63703', 'addressCountry': 'US', 'streetAddress': '4420 16th Street'}","{'@type': 'GeoCoordinates', 'latitude': 41.4695528, 'longitude': -90.5063083}",{}
Long John Silver's (3702 Brady St.),https://www.ubereats.com/quad-cities/food-delivery/long-john-silvers-3702-brady-st/URe-Gya1SjeiiFqHPWepmw,davenport-illinois,"['Seafood', 'Fish and Chips']",3.8,10,$,41.5578308,-90.56891279999999,+15633863262,63033,3702 Brady St.,Davenport,IA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Davenport', 'addressRegion': 'IA', 'postalCode': '63033', 'addressCountry': 'US', 'streetAddress': '3702 Brady St.'}","{'@type': 'GeoCoordinates', 'latitude': 41.5578308, 'longitude': -90.56891279999999}","{'@type': 'AggregateRating', 'ratingValue': 3.8, 'reviewCount': '10'}"
Barrel House (Uptown Davenport),https://www.ubereats.com/quad-cities/food-delivery/barrel-house-uptown-davenport/p5aYsQzLSqG01uCbgZrU_Q,davenport-illinois,"['American', 'Salads', 'Sandwich', 'Burgers']",4.8,13,$$,41.5729568,-90.51383469999999,+15638881975,52807,5141 Utica Ridge Rd,Davenport,Iowa,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Davenport', 'addressRegion': 'Iowa', 'postalCode': '52807', 'addressCountry': 'US', 'streetAddress': '5141 Utica Ridge Rd'}","{'@type': 'GeoCoordinates', 'latitude': 41.5729568, 'longitude': -90.51383469999999}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '13'}"
Big JJ Fish & Chicken (Division St),https://www.ubereats.com/quad-cities/food-delivery/big-jj-fish-%26-chicken-division-st/gz7dhf4iR9WGRSZZESo1zw,davenport-illinois,"['Chicken', 'Fish and Chips', 'Seafood']",4.1,36,$,41.538416,-90.60162,+15633222222,52804,1904 N Division St,Davenport,Iowa,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '16:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:30', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:30', 'closes': '13:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '16:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '10:30', 'closes': '0:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '10:30', 'closes': '13:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '16:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:30', 'closes': '0:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '16:30', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Davenport', 'addressRegion': 'Iowa', 'postalCode': '52804', 'addressCountry': 'US', 'streetAddress': '1904 N Division St'}","{'@type': 'GeoCoordinates', 'latitude': 41.538416, 'longitude': -90.60162}","{'@type': 'AggregateRating', 'ratingValue': 4.1, 'reviewCount': '36'}"
