name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Pei Wei (1841 Belle Isle Blvd.),https://www.ubereats.com/oklahoma-city/food-delivery/pei-wei-1841-belle-isle-blvd/8Pnpr99OTQ2QU5rXWdbUJg,del-city-oklahoma,"['Chinese', 'Noodles']",4.6,110,$$,35.5245043,-97.54116839999999,+14057679001,73118,1841 Belle Isle Blvd.,Oklahoma City,OK,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Oklahoma City', 'addressRegion': 'OK', 'postalCode': '73118', 'addressCountry': 'US', 'streetAddress': '1841 Belle Isle Blvd.'}","{'@type': 'GeoCoordinates', 'latitude': 35.5245043, 'longitude': -97.54116839999999}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '110'}"
Sam's Southern Eatery,https://www.ubereats.com/oklahoma-city/food-delivery/sams-southern-eatery/aqLSv3eSQHW9m9Jpt2EbPA,del-city-oklahoma,"['Southern', 'Family Meals']",,,$$,35.4928733,-97.55414719999999,+14056055252,73107,2336 NW 23rd St,Oklahoma City,Oklahoma,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Oklahoma City', 'addressRegion': 'Oklahoma', 'postalCode': '73107', 'addressCountry': 'US', 'streetAddress': '2336 NW 23rd St'}","{'@type': 'GeoCoordinates', 'latitude': 35.4928733, 'longitude': -97.55414719999999}",{}
Krave Teriyaki,https://www.ubereats.com/oklahoma-city/food-delivery/krave-teriyaki/jJTf4zQZQB-pcF4asHSozQ,del-city-oklahoma,"['Japanese', 'Asian', 'Sushi']",4.7,98,$,35.3605585,-97.5648846,+14052422209,73170,10740 S May Ave #117,Oklahoma City,OK,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Oklahoma City', 'addressRegion': 'OK', 'postalCode': '73170', 'addressCountry': 'US', 'streetAddress': '10740 S May Ave #117'}","{'@type': 'GeoCoordinates', 'latitude': 35.3605585, 'longitude': -97.5648846}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '98'}"
Red Pepper Pizza,https://www.ubereats.com/oklahoma-city/food-delivery/red-pepper-pizza/3bETLYPBTAqXUVX8I3Bh4A,del-city-oklahoma,"['Pizza', 'American', 'Italian']",4.2,17,$,35.4928798,-97.5662392,+14058869451,73107,2908 NW 23rd St,Oklahoma City,Oklahoma,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '0:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Oklahoma City', 'addressRegion': 'Oklahoma', 'postalCode': '73107', 'addressCountry': 'US', 'streetAddress': '2908 NW 23rd St'}","{'@type': 'GeoCoordinates', 'latitude': 35.4928798, 'longitude': -97.5662392}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '17'}"
Rib Crib BBQ & Grill (1821 S. Douglas Blvd),https://www.ubereats.com/oklahoma-city/food-delivery/rib-crib-bbq-%26-grill-1821-s-douglas-blvd/hpW9w_SjRe-NOJ9vYtZE5w,del-city-oklahoma,"['American', 'BBQ']",,,$$,35.4475801,-97.37145029999999,+14057374500,73130,1821 S. Douglas Blvd,Midwest City,OK,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Midwest City', 'addressRegion': 'OK', 'postalCode': '73130', 'addressCountry': 'US', 'streetAddress': '1821 S. Douglas Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 35.4475801, 'longitude': -97.37145029999999}",{}
Outback Steakhouse (2219 Southwest 74th),https://www.ubereats.com/oklahoma-city/food-delivery/outback-steakhouse-2219-southwest-74th/OLL2vLBURzCfTb2pCjpJAg,del-city-oklahoma,"['Burgers', 'American', 'Sandwiches', 'Steak', 'Seafood', 'Salads', 'BBQ']",4.4,200,$,35.393277,-97.550816,+14056860918,73159,2219 Southwest 74th,Oklahoma City,OK,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Oklahoma City', 'addressRegion': 'OK', 'postalCode': '73159', 'addressCountry': 'US', 'streetAddress': '2219 Southwest 74th'}","{'@type': 'GeoCoordinates', 'latitude': 35.393277, 'longitude': -97.550816}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '200'}"
Pasqually's Pizza & Wings (7601 South Walker),https://www.ubereats.com/oklahoma-city/food-delivery/pasquallys-pizza-%26-wings-7601-south-walker/U_RNL5tjSCKKUSekNuh4CQ,del-city-oklahoma,"['Pizza', 'Italian', 'Wings']",,,$,35.38999400000001,-97.52306700000001,+14056324333,73139,7601 South Walker,Oklahoma City,OK,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Oklahoma City', 'addressRegion': 'OK', 'postalCode': '73139', 'addressCountry': 'US', 'streetAddress': '7601 South Walker'}","{'@type': 'GeoCoordinates', 'latitude': 35.38999400000001, 'longitude': -97.52306700000001}",{}
Boomerang Grille,https://www.ubereats.com/oklahoma-city/food-delivery/boomerang-grille/BW1wodaLSFSLO9f4cph3vw,del-city-oklahoma,"['American', 'New American', 'Burgers']",4.7,23,,35.3342654,-97.47553669999999,+14056768242,73160,817 SE 4th St,Moore,OK,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Moore', 'addressRegion': 'OK', 'postalCode': '73160', 'addressCountry': 'US', 'streetAddress': '817 SE 4th St'}","{'@type': 'GeoCoordinates', 'latitude': 35.3342654, 'longitude': -97.47553669999999}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '23'}"
Taco Bell (2116 SW 59th),https://www.ubereats.com/oklahoma-city/food-delivery/taco-bell-2116-sw-59th/QD-UE4DaQw-_C3ectScUpg,del-city-oklahoma,"['Burritos', 'Fast Food', 'Mexican']",4.0,107,$,35.4058709,-97.54870559999999,+14056855220,73119,2116 SW 59th,Oklahoma City,OK,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '14:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '2:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '14:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:0', 'closes': '3:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Oklahoma City', 'addressRegion': 'OK', 'postalCode': '73119', 'addressCountry': 'US', 'streetAddress': '2116 SW 59th'}","{'@type': 'GeoCoordinates', 'latitude': 35.4058709, 'longitude': -97.54870559999999}","{'@type': 'AggregateRating', 'ratingValue': 4, 'reviewCount': '107'}"
Jeff's cafe,https://www.ubereats.com/oklahoma-city/food-delivery/jeffs-cafe/hVzqYxo2S5qmXsXJqHYaCA,del-city-oklahoma,"['American', 'Breakfast and Brunch', 'Healthy']",,,$$,35.5044664,-97.53475159999999,+14055242023,73118,3401 N Classen Blvd,Oklahoma City,OK,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Oklahoma City', 'addressRegion': 'OK', 'postalCode': '73118', 'addressCountry': 'US', 'streetAddress': '3401 N Classen Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 35.5044664, 'longitude': -97.53475159999999}",{}
