name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Shake Shack  (11020 S. State Street),https://www.ubereats.com/salt-lake-city/food-delivery/shake-shack-11020-s-state-street/FjBjnKymRTClswe9xAbykg,draper-utah,"['American', 'Burgers']",4.6,200,$,40.55046199999999,-111.89177,+13852763191,84070,11020 S. State Street,Sandy,UT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Sandy', 'addressRegion': 'UT', 'postalCode': '84070', 'addressCountry': 'US', 'streetAddress': '11020 S. State Street'}","{'@type': 'GeoCoordinates', 'latitude': 40.55046199999999, 'longitude': -111.89177}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '200'}"
,https://www.ubereats.com/salt-lake-city/food-delivery/sbarro-10450-s-state-st/s0vWOxTUSly5DJj1fpfrKw,draper-utah,,,,,,,,,,,,,,,
Five Guys UT-1812 3601 N. Digital Dr,https://www.ubereats.com/salt-lake-city/food-delivery/five-guys-ut-1812-3601-n-digital-dr/wqePYSbeQFihCTwcRE4xdg,draper-utah,"['American', 'Burgers']",4.7,57,$,40.432343,-111.8887773,+13853368382,84043,3601 N. Digital Drive,Lehi,UT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Lehi', 'addressRegion': 'UT', 'postalCode': '84043', 'addressCountry': 'US', 'streetAddress': '3601 N. Digital Drive'}","{'@type': 'GeoCoordinates', 'latitude': 40.432343, 'longitude': -111.8887773}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '57'}"
"Red Robin, 411 (11615 South District Main Drive)",https://www.ubereats.com/salt-lake-city/food-delivery/red-robin-411-11615-south-district-main-drive/TgOBF0RgT1uuU2_Q-OPUag,draper-utah,"['Traditional American', 'American', 'Burgers']",4.5,73,$$,40.5404,-111.9803,+18014955706,84095,"S, 11615 District Dr",South Jordan,Utah,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'South Jordan', 'addressRegion': 'Utah', 'postalCode': '84095', 'addressCountry': 'US', 'streetAddress': 'S, 11615 District Dr'}","{'@type': 'GeoCoordinates', 'latitude': 40.5404, 'longitude': -111.9803}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '73'}"
Cultivate Craft Kitchen,https://www.ubereats.com/salt-lake-city/food-delivery/cultivate-craft-kitchen/3z3k05R0T9-5hpwaoYXekw,draper-utah,"['Burgers', 'American', 'Sandwiches']",,,$,40.52801220000001,-111.8528994,+18012744230,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '16:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 40.52801220000001, 'longitude': -111.8528994}",{}
Greek Souvlaki (Murray),https://www.ubereats.com/salt-lake-city/food-delivery/greek-souvlaki-murray/molrulZ8SeqYPeAPBqmEQA,draper-utah,"['Sandwich', 'Salads', 'Burgers', 'Family Meals']",4.8,82,$,40.6467789,-111.866656,+18012663336,84121,5692 S 900 E,Salt Lake City,UT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Salt Lake City', 'addressRegion': 'UT', 'postalCode': '84121', 'addressCountry': 'US', 'streetAddress': '5692 S 900 E'}","{'@type': 'GeoCoordinates', 'latitude': 40.6467789, 'longitude': -111.866656}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '82'}"
Subzero (9860 S 700 E Ste 16),https://www.ubereats.com/salt-lake-city/food-delivery/subzero-9860-s-700-e-ste-16/7Z0T3FmWRoOeIDS6tkfeYg,draper-utah,"['Desserts', 'Ice Cream']",,,$,40.5711909,-111.8729745,+18019359262,84070,9860 S 700 E Ste 16,Sandy,UT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '15:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Sandy', 'addressRegion': 'UT', 'postalCode': '84070', 'addressCountry': 'US', 'streetAddress': '9860 S 700 E Ste 16'}","{'@type': 'GeoCoordinates', 'latitude': 40.5711909, 'longitude': -111.8729745}",{}
Samurai Noodle (1148 State St),https://www.ubereats.com/salt-lake-city/food-delivery/samurai-noodle-1148-state-st/d5Eh4MSSQrKmYOr-ba2b7Q,draper-utah,"['Ramen', 'Japanese', 'Comfort Food']",4.7,18,$,40.5428534,-111.8902082,+18019873887,84020,"11483 State St, Suite B",Draper,UT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:30', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Draper', 'addressRegion': 'UT', 'postalCode': '84020', 'addressCountry': 'US', 'streetAddress': '11483 State St, Suite B'}","{'@type': 'GeoCoordinates', 'latitude': 40.5428534, 'longitude': -111.8902082}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '18'}"
"Smashburger (278 East 12300 South, #106)",https://www.ubereats.com/salt-lake-city/food-delivery/smashburger-278-east-12300-south-%23106/H_DcVRt2SBaJuKajg7tqrQ,draper-utah,"['American', 'Burgers']",4.2,102,$$,40.5264025,-111.8821486,+18013070079,84020,278 East 12300 South #106,Draper,UT,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:30', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:30', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Draper', 'addressRegion': 'UT', 'postalCode': '84020', 'addressCountry': 'US', 'streetAddress': '278 East 12300 South #106'}","{'@type': 'GeoCoordinates', 'latitude': 40.5264025, 'longitude': -111.8821486}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '102'}"
Sizzler (S Main District),https://www.ubereats.com/salt-lake-city/food-delivery/sizzler-s-main-district/7loqKbj4ScalelLjMVle3Q,draper-utah,"['American', 'Steak', 'Salads']",,,$$,40.5403,-111.981111,+18017278300,84095,11610 S Main District Dr,South Jordan,Utah,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'South Jordan', 'addressRegion': 'Utah', 'postalCode': '84095', 'addressCountry': 'US', 'streetAddress': '11610 S Main District Dr'}","{'@type': 'GeoCoordinates', 'latitude': 40.5403, 'longitude': -111.981111}",{}
