name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Nardozzi Pizza,https://www.ubereats.com/wilkesbarre-scranton/food-delivery/nardozzi-pizza/IK9F31cDSBu8UiJMCsH5yQ,dunmore-pennsylvania,"['Pizza', 'Italian']",4.5,33,$,41.420538742878755,-75.63199147272128,+15709619911,18512,220 S Blakely St,Dunmore,Pennsylvania,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '17:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '16:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Dunmore', 'addressRegion': 'Pennsylvania', 'postalCode': '18512', 'addressCountry': 'US', 'streetAddress': '220 S Blakely St'}","{'@type': 'GeoCoordinates', 'latitude': 41.420538742878755, 'longitude': -75.63199147272128}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '33'}"
Majestic Lunch,https://www.ubereats.com/wilkesbarre-scranton/food-delivery/majestic-lunch/NG-MnhtMS_60TJdR7DgiMA,dunmore-pennsylvania,"['Traditional American', 'Burgers', 'Sandwich']",4.4,18,$,41.322075,-75.7906306,+15706558888,18640,20 S Main St,Pittston,Pennsylvania,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '9:0', 'closes': '16:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Pittston', 'addressRegion': 'Pennsylvania', 'postalCode': '18640', 'addressCountry': 'US', 'streetAddress': '20 S Main St'}","{'@type': 'GeoCoordinates', 'latitude': 41.322075, 'longitude': -75.7906306}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '18'}"
Jersey Mike's Subs (539 Scranton Carbondale Hwy),https://www.ubereats.com/wilkesbarre-scranton/food-delivery/jersey-mikes-subs-539-scranton-carbondale-hwy/8GPQy45TTuWTLtOPuzAOwg,dunmore-pennsylvania,"['Sandwich', 'American']",4.7,70,$,41.4638565,-75.6522803,+15703442973,18508,539 Scranton Carbondale Hwy,Dickson City,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Dickson City', 'addressRegion': 'PA', 'postalCode': '18508', 'addressCountry': 'US', 'streetAddress': '539 Scranton Carbondale Hwy'}","{'@type': 'GeoCoordinates', 'latitude': 41.4638565, 'longitude': -75.6522803}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '70'}"
Pizza by Pappas,https://www.ubereats.com/wilkesbarre-scranton/food-delivery/pizza-by-pappas/TCLG1PqERKGyqILRZu5Y1Q,dunmore-pennsylvania,"['Pizza', 'American', 'Sandwich']",4.9,90,$,41.4094428,-75.6623444,+15703462290,18503,303 N Washington Ave,Scranton,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:45', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Scranton', 'addressRegion': 'PA', 'postalCode': '18503', 'addressCountry': 'US', 'streetAddress': '303 N Washington Ave'}","{'@type': 'GeoCoordinates', 'latitude': 41.4094428, 'longitude': -75.6623444}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '90'}"
Coney Island Texas Lunch,https://www.ubereats.com/wilkesbarre-scranton/food-delivery/coney-island-texas-lunch/sS_jr4IsQ_aIcZPUyJuoyw,dunmore-pennsylvania,['American'],4.7,15,$,41.4058303,-75.66397,+15709618288,18503,100 Cedar Avenue,Scranton,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Scranton', 'addressRegion': 'PA', 'postalCode': '18503', 'addressCountry': 'US', 'streetAddress': '100 Cedar Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 41.4058303, 'longitude': -75.66397}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '15'}"
Pasqually's Pizza & Wings (1003 Commerce Blvd),https://www.ubereats.com/wilkesbarre-scranton/food-delivery/pasquallys-pizza-%26-wings-1003-commerce-blvd/Wk6l3yW7QjqI6iPjp-059Q,dunmore-pennsylvania,"['Pizza', 'Italian', 'Wings']",,,$,41.4620233,-75.6409023,+15704871240,18519,1003 Commerce Blvd,Dickson City,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Dickson City', 'addressRegion': 'PA', 'postalCode': '18519', 'addressCountry': 'US', 'streetAddress': '1003 Commerce Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 41.4620233, 'longitude': -75.6409023}",{}
Pancheros Mexican Grill (2011 Shoppes Blvd),https://www.ubereats.com/wilkesbarre-scranton/food-delivery/pancheros-mexican-grill-2011-shoppes-blvd/R7muAwniQB6VxkTJ69O3Pg,dunmore-pennsylvania,"['Burritos', 'Mexican', 'Tex Mex']",4.7,54,$$,41.3636777,-75.67887689999999,+15703489300,18507,2011 Shoppes Boulevard,Moosic,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Moosic', 'addressRegion': 'PA', 'postalCode': '18507', 'addressCountry': 'US', 'streetAddress': '2011 Shoppes Boulevard'}","{'@type': 'GeoCoordinates', 'latitude': 41.3636777, 'longitude': -75.67887689999999}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '54'}"
Revello's Pizza (MarketPlace),https://www.ubereats.com/wilkesbarre-scranton/food-delivery/revellos-pizza-marketplace/tUDZir1HTteGfL8f8q2xFQ,dunmore-pennsylvania,['American'],,,$$,41.407928,-75.668086,+15703440200,18503,Marketplace at Steamtown 300 Lackawanna ave,Scranton,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:30', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:30', 'closes': '18:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Scranton', 'addressRegion': 'PA', 'postalCode': '18503', 'addressCountry': 'US', 'streetAddress': 'Marketplace at Steamtown 300 Lackawanna ave'}","{'@type': 'GeoCoordinates', 'latitude': 41.407928, 'longitude': -75.668086}",{}
Taylor's Korner,https://www.ubereats.com/wilkesbarre-scranton/food-delivery/taylors-korner/WgPMMiu_QTWbx-2CZ8Ks9Q,dunmore-pennsylvania,"['Burgers', 'American', 'Sandwiches']",,,$,41.3531438,-75.7299259,+15704572846,18507,4810 Birney Avenue,Moosic,Pennsylvania,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '2:0', 'closes': '2:1'}]","{'@type': 'PostalAddress', 'addressLocality': 'Moosic', 'addressRegion': 'Pennsylvania', 'postalCode': '18507', 'addressCountry': 'US', 'streetAddress': '4810 Birney Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 41.3531438, 'longitude': -75.7299259}",{}
POSH @ The Scranton Club,https://www.ubereats.com/wilkesbarre-scranton/food-delivery/posh-%40-the-scranton-club/vMY-d3f5TnKN7xlO-Ue5ng,dunmore-pennsylvania,"['American', 'New American', 'Comfort Food']",,,$$$,41.41045330000001,-75.6608425,+15709555890,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '13:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '17:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Wednesday', 'opens': '11:30', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Wednesday', 'opens': '17:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '16:0', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '11:30', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '17:0', 'closes': '21:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 41.41045330000001, 'longitude': -75.6608425}",{}
