name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Gen Korean BBQ House (Mountain View),https://www.ubereats.com/san-francisco/food-delivery/gen-korean-bbq-house-mountain-view/ZlDnL7esSkiFgns2ivxkhA,east-palo-alto-california,"['Korean', 'Asian', 'BBQ']",4.5,163,$,37.4003511,-122.1110373,+16505595997,94040,2540 W. El Camino Real,Mountain View,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Mountain View', 'addressRegion': 'CA', 'postalCode': '94040', 'addressCountry': 'US', 'streetAddress': '2540 W. El Camino Real'}","{'@type': 'GeoCoordinates', 'latitude': 37.4003511, 'longitude': -122.1110373}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '163'}"
Freddie Parker's Pasta + Salad Shop - Menlo Park,https://www.ubereats.com/san-francisco/food-delivery/freddie-parkers-pasta-%2B-salad-shop-menlo-park/yznNeyIVSgG8kpnpH3hh4A,east-palo-alto-california,"['Italian', 'Pasta']",,,$,37.4501645,-122.1857962,+16503298888,94025,880 Santa Cruz Ave,Menlo Park,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:30', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:30', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:30', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:30', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Menlo Park', 'addressRegion': 'CA', 'postalCode': '94025', 'addressCountry': 'US', 'streetAddress': '880 Santa Cruz Ave'}","{'@type': 'GeoCoordinates', 'latitude': 37.4501645, 'longitude': -122.1857962}",{}
Wing Boxes,https://www.ubereats.com/san-francisco/food-delivery/wing-boxes/r7TPpDOdQ3-kndow89UTTA,east-palo-alto-california,"['Wings', 'Chicken', 'Salads']",,,$,37.3902521,-122.0421042,+14154754977,94085,415 N Mary Ave,Sunnyvale,California,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '8:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '8:0', 'closes': '16:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Sunnyvale', 'addressRegion': 'California', 'postalCode': '94085', 'addressCountry': 'US', 'streetAddress': '415 N Mary Ave'}","{'@type': 'GeoCoordinates', 'latitude': 37.3902521, 'longitude': -122.0421042}",{}
YoBirdie ,https://www.ubereats.com/san-francisco/food-delivery/yobirdie/CKob6p_aT4-ef0XYFsG1og,east-palo-alto-california,['Sandwich'],3.6,10,$,37.4461588,-122.1609786,+16503227623,94301,324 University Ave,Palo Alto,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:30', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Palo Alto', 'addressRegion': 'CA', 'postalCode': '94301', 'addressCountry': 'US', 'streetAddress': '324 University Ave'}","{'@type': 'GeoCoordinates', 'latitude': 37.4461588, 'longitude': -122.1609786}","{'@type': 'AggregateRating', 'ratingValue': 3.6, 'reviewCount': '10'}"
Cardinal Sushi,https://www.ubereats.com/san-francisco/food-delivery/cardinal-sushi/WGFPIJU6QtCs8-Ro3rEedQ,east-palo-alto-california,"['Sushi', 'Japanese']",4.8,48,$$,37.42754869999999,-122.1485037,+16503211254,94306,2051 El Camino Real,Palo Alto,California,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '17:30', 'closes': '0:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '17:30', 'closes': '1:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Palo Alto', 'addressRegion': 'California', 'postalCode': '94306', 'addressCountry': 'US', 'streetAddress': '2051 El Camino Real'}","{'@type': 'GeoCoordinates', 'latitude': 37.42754869999999, 'longitude': -122.1485037}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '48'}"
Los Carnalitos,https://www.ubereats.com/san-francisco/food-delivery/los-carnalitos/zK8cPWWkQwKI3Efe_moYwg,east-palo-alto-california,"['Mexican', 'Latin American', 'New Mexican']",,,$,37.4692401,-122.2111848,+16503155090,94061,2907 El Camino Real,Redwood City,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '17:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Redwood City', 'addressRegion': 'CA', 'postalCode': '94061', 'addressCountry': 'US', 'streetAddress': '2907 El Camino Real'}","{'@type': 'GeoCoordinates', 'latitude': 37.4692401, 'longitude': -122.2111848}",{}
Pinkberry (680 Stanford),https://www.ubereats.com/san-francisco/food-delivery/pinkberry-680-stanford/anBR-H4mTFi271hkcKpXWA,east-palo-alto-california,"['Desserts', 'Ice Cream and Frozen Yogurt']",4.6,12,$,37.4442303,-122.170772,+14082341962,94304,"680 Stanford Shopping Center, 14",Palo Alto,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Palo Alto', 'addressRegion': 'CA', 'postalCode': '94304', 'addressCountry': 'US', 'streetAddress': '680 Stanford Shopping Center, 14'}","{'@type': 'GeoCoordinates', 'latitude': 37.4442303, 'longitude': -122.170772}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '12'}"
The Ice Cream Shop,https://www.ubereats.com/san-francisco/food-delivery/the-ice-cream-shop/J-ur2fRySJCly-FDyFihvA,east-palo-alto-california,"['Desserts', 'Ice Cream and Frozen Yogurt']",4.7,10,$,37.4441067,-122.1623091,+16503233724,94301,534 Emerson St,Palo Alto,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '6:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '6:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Palo Alto', 'addressRegion': 'CA', 'postalCode': '94301', 'addressCountry': 'US', 'streetAddress': '534 Emerson St'}","{'@type': 'GeoCoordinates', 'latitude': 37.4441067, 'longitude': -122.1623091}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '10'}"
Niko's Breakfast and Gyro,https://www.ubereats.com/san-francisco/food-delivery/nikos-breakfast-and-gyro/C4qDrp4wRieBKJdMsahNCQ,east-palo-alto-california,"['American', 'Salads', 'Desserts']",,,$,37.3944747,-122.0782518,+16506258155,94041,135 Castro St,Mountain View,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday'], 'opens': '9:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday'], 'opens': '8:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '9:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Mountain View', 'addressRegion': 'CA', 'postalCode': '94041', 'addressCountry': 'US', 'streetAddress': '135 Castro St'}","{'@type': 'GeoCoordinates', 'latitude': 37.3944747, 'longitude': -122.0782518}",{}
Cafe Wisteria (Arbor Rd),https://www.ubereats.com/san-francisco/food-delivery/cafe-wisteria-arbor-rd/gNAhaaCSSciT3Vys4E39ag,east-palo-alto-california,"['Burgers', 'American', 'Sandwiches', 'Salads', 'Seafood']",,,$,37.441534,-122.1789426,+16508389002,94025,75 Arbor Road,Menlo Park,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '11:0', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '11:0', 'closes': '15:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '15:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Menlo Park', 'addressRegion': 'CA', 'postalCode': '94025', 'addressCountry': 'US', 'streetAddress': '75 Arbor Road'}","{'@type': 'GeoCoordinates', 'latitude': 37.441534, 'longitude': -122.1789426}",{}
