name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Victory Bistro Ultra Lounge,https://www.ubereats.com/cleveland/food-delivery/victory-bistro-ultra-lounge/R67bTbXbR3SaFrC7krGGrg,eastlake-ohio,"['American', 'Burgers', 'Sandwiches']",,,$,41.5950146,-81.4910752,+12169387778,44132,27801,Euclid,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '12:0', 'closes': '23:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '12:0', 'closes': '0:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '15:0', 'closes': '0:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Euclid', 'addressRegion': 'OH', 'postalCode': '44132', 'addressCountry': 'US', 'streetAddress': '27801'}","{'@type': 'GeoCoordinates', 'latitude': 41.5950146, 'longitude': -81.4910752}",{}
Indian Kitchen,https://www.ubereats.com/cleveland/food-delivery/indian-kitchen/VOJorbTdTamTcC0YHjEBJg,eastlake-ohio,"['Salads', 'Seafood', 'Vegetarian']",4.8,51,$,41.6815723,-81.2974084,+14406500060,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:30', 'closes': '21:30'}]",,"{'@type': 'GeoCoordinates', 'latitude': 41.6815723, 'longitude': -81.2974084}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '51'}"
Jersey Mike's Subs (Wilson Mills),https://www.ubereats.com/cleveland/food-delivery/jersey-mikes-subs-wilson-mills/ihHagAqJQ32swrX02uvmJQ,eastlake-ohio,"['Sandwich', 'American']",4.6,144,$,41.539654,-81.437658,+14405657827,44040,6681 Wilson Mills Rd,Gates Mills,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Gates Mills', 'addressRegion': 'OH', 'postalCode': '44040', 'addressCountry': 'US', 'streetAddress': '6681 Wilson Mills Rd'}","{'@type': 'GeoCoordinates', 'latitude': 41.539654, 'longitude': -81.437658}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '144'}"
Bottom Dog Fusion Grill,https://www.ubereats.com/cleveland/food-delivery/bottom-dog-fusion-grill/n1nLuK9PQhCgwh5OMZMHhA,eastlake-ohio,"['Burgers', 'American', 'Sandwiches']",,,$,41.66716570000001,-81.3371969,+13304017399,44060,8488,Mentor,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '15:0', 'closes': '3:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Mentor', 'addressRegion': 'OH', 'postalCode': '44060', 'addressCountry': 'US', 'streetAddress': '8488'}","{'@type': 'GeoCoordinates', 'latitude': 41.66716570000001, 'longitude': -81.3371969}",{}
Arby's (7715 REYNOLDS RD),https://www.ubereats.com/cleveland/food-delivery/arbys-7715-reynolds-rd/LDyhqjo6SDuHQQakQpW5aw,eastlake-ohio,"['American', 'Sandwich', 'Fast Food', 'Kids Friendly']",4.4,38,$,41.6609362,-81.377256,+14409422432,44060,7715 REYNOLDS RD,MENTOR,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'MENTOR', 'addressRegion': 'OH', 'postalCode': '44060', 'addressCountry': 'US', 'streetAddress': '7715 REYNOLDS RD'}","{'@type': 'GeoCoordinates', 'latitude': 41.6609362, 'longitude': -81.377256}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '38'}"
Moe's Southwest Grill (7585-7601 Mentor Avenue),https://www.ubereats.com/cleveland/food-delivery/moes-southwest-grill-7585-7601-mentor-avenue/Dy4fgyQvRiqFlkuUESDX8A,eastlake-ohio,"['Mexican', 'Fast Food', 'Family Meals']",4.2,61,$,41.6576441,-81.3693571,+14408561005,44060,7599,Mentor,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '13:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Mentor', 'addressRegion': 'OH', 'postalCode': '44060', 'addressCountry': 'US', 'streetAddress': '7599'}","{'@type': 'GeoCoordinates', 'latitude': 41.6576441, 'longitude': -81.3693571}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '61'}"
Anderson's Sports Hub,https://www.ubereats.com/cleveland/food-delivery/andersons-sports-hub/Pa74ZpXrQKiMB0DVDYz1ZA,eastlake-ohio,"['Burgers', 'American', 'Sandwiches']",,,$,41.7060091,-81.3615614,+14402907805,44060,6082 Andrews Road,Mentor-on-the-Lake,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '23:59'}]","{'@type': 'PostalAddress', 'addressLocality': 'Mentor-on-the-Lake', 'addressRegion': 'OH', 'postalCode': '44060', 'addressCountry': 'US', 'streetAddress': '6082 Andrews Road'}","{'@type': 'GeoCoordinates', 'latitude': 41.7060091, 'longitude': -81.3615614}",{}
Outback Steakhouse (7785 Plaza Bkvd),https://www.ubereats.com/cleveland/food-delivery/outback-steakhouse-7785-plaza-bkvd/EYS9QHpBSQmk2jWfnVrRFg,eastlake-ohio,"['Burgers', 'American', 'Sandwiches', 'Steak', 'Seafood', 'Salads', 'BBQ']",4.2,377,$,41.6581921,-81.36446959999999,+14402059505,44060,7785 Plaza Bkvd,Mentor,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Mentor', 'addressRegion': 'OH', 'postalCode': '44060', 'addressCountry': 'US', 'streetAddress': '7785 Plaza Bkvd'}","{'@type': 'GeoCoordinates', 'latitude': 41.6581921, 'longitude': -81.36446959999999}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '377'}"
Dubrovnik Garden Restaurant,https://www.ubereats.com/cleveland/food-delivery/dubrovnik-garden-restaurant/SEClQCLpQ1OTtsxsjrWAtw,eastlake-ohio,"['Modern European', 'Burgers', 'Salads']",,,$$,41.662742,-81.441103,+14409463366,44095,34900 Lakeshore Blvd,Eastlake,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Eastlake', 'addressRegion': 'OH', 'postalCode': '44095', 'addressCountry': 'US', 'streetAddress': '34900 Lakeshore Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 41.662742, 'longitude': -81.441103}",{}
"Auntie Anne's at Great Lakes Mall (7850 Mentor Ave, Spc K-105)",https://www.ubereats.com/cleveland/food-delivery/auntie-annes-at-great-lakes-mall-7850-mentor-ave-spc-k-105/lpYlZ8C1QRyw4xcnEq1eyA,eastlake-ohio,"['Bakery', 'Comfort Food', 'Desserts', 'Pretzel']",,,$,41.6596057,-81.36121399999999,+14402050989,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:15', 'closes': '17:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:15', 'closes': '18:45'}]",,"{'@type': 'GeoCoordinates', 'latitude': 41.6596057, 'longitude': -81.36121399999999}",{}
