name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
The Ice Cream Shop,https://www.ubereats.com/detroit/food-delivery/the-ice-cream-shop/lkC7qmlxSRa6flC5iTuppw,eastpointe-michigan,"['Desserts', 'Ice Cream and Frozen Yogurt']",,,$,42.4497799,-82.90546239999999,+13133051222,48236,21215 Mack Ave,Grosse Point,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '15:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '15:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Grosse Point', 'addressRegion': 'MI', 'postalCode': '48236', 'addressCountry': 'US', 'streetAddress': '21215 Mack Ave'}","{'@type': 'GeoCoordinates', 'latitude': 42.4497799, 'longitude': -82.90546239999999}",{}
Tim Horton's (34918 Van Dyke Ave),https://www.ubereats.com/detroit/food-delivery/tim-hortons-34918-van-dyke-ave/Q77fFca4QTqYJ5IgAnpr6g,eastpointe-michigan,"['Bakery', 'Cafe', 'Donuts']",,,$$,42.5504598,-83.0281445,+15869790498,48312,34918 Van Dyke Ave,Sterling Heights,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '2:0', 'closes': '2:1'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '7:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '7:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '8:0', 'closes': '16:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Sterling Heights', 'addressRegion': 'MI', 'postalCode': '48312', 'addressCountry': 'US', 'streetAddress': '34918 Van Dyke Ave'}","{'@type': 'GeoCoordinates', 'latitude': 42.5504598, 'longitude': -83.0281445}",{}
Passport Pizza (8113 E 9 Mile Rd),https://www.ubereats.com/detroit/food-delivery/passport-pizza-8113-e-9-mile-rd/qp1krnStS1Sy4X_l-trpgA,eastpointe-michigan,"['Pizza', 'Salads', 'Sandwich', 'Wings']",,,$,42.463545,-83.024676,+15867571400,48089,8113 E 9 Mile Rd,Warren,MI,[],"{'@type': 'PostalAddress', 'addressLocality': 'Warren', 'addressRegion': 'MI', 'postalCode': '48089', 'addressCountry': 'US', 'streetAddress': '8113 E 9 Mile Rd'}","{'@type': 'GeoCoordinates', 'latitude': 42.463545, 'longitude': -83.024676}",{}
Cold Stone Creamery (28877 Schoenherr Road),https://www.ubereats.com/detroit/food-delivery/cold-stone-creamery-28877-schoenherr-road/Tz9VOx7jTZWs9OKaVuwQ_g,eastpointe-michigan,"['Ice Cream and Frozen Yogurt', 'Desserts', 'Cupcakes']",4.4,35,$,42.5062009,-82.98789149999999,+15867511821,48088,28877 Schoenherr Road,Warren,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:30', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:0', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:30', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Warren', 'addressRegion': 'MI', 'postalCode': '48088', 'addressCountry': 'US', 'streetAddress': '28877 Schoenherr Road'}","{'@type': 'GeoCoordinates', 'latitude': 42.5062009, 'longitude': -82.98789149999999}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '35'}"
Detroit Style Pizza Company,https://www.ubereats.com/detroit/food-delivery/detroit-style-pizza-company/nMOOTfx6RUSLR1Tmw1r9aQ,eastpointe-michigan,"['Pizza', 'Salads']",,,$,42.504212,-82.897134,+15864452810,48081,28630 Harper Ave.,Saint Clair Shores,MI,[],"{'@type': 'PostalAddress', 'addressLocality': 'Saint Clair Shores', 'addressRegion': 'MI', 'postalCode': '48081', 'addressCountry': 'US', 'streetAddress': '28630 Harper Ave.'}","{'@type': 'GeoCoordinates', 'latitude': 42.504212, 'longitude': -82.897134}",{}
Pita Way (Warren),https://www.ubereats.com/detroit/food-delivery/pita-way-warren/CbJveih_RIq5_PcEF78SEQ,eastpointe-michigan,"['Mediterranean', 'Greek', 'Middle Eastern']",,,$,42.50659719999999,-83.0087137,+15866199608,48093,11520 E. 12 Mile Rd,Warren,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:30', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:30', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Warren', 'addressRegion': 'MI', 'postalCode': '48093', 'addressCountry': 'US', 'streetAddress': '11520 E. 12 Mile Rd'}","{'@type': 'GeoCoordinates', 'latitude': 42.50659719999999, 'longitude': -83.0087137}",{}
Original Buscemis,https://www.ubereats.com/detroit/food-delivery/original-buscemis/pQOBWoQ4TOerOxoxUkMaSg,eastpointe-michigan,"['Pizza', 'Sandwich', 'Salads']",,,$,42.4778173,-82.9022884,+15867744495,48080,24720 Harper Ave,Saint Clair Shores,Michigan,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '9:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '9:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Saint Clair Shores', 'addressRegion': 'Michigan', 'postalCode': '48080', 'addressCountry': 'US', 'streetAddress': '24720 Harper Ave'}","{'@type': 'GeoCoordinates', 'latitude': 42.4778173, 'longitude': -82.9022884}",{}
Holy Moly Donut Shop (8 Mile),https://www.ubereats.com/detroit/food-delivery/holy-moly-donut-shop-8-mile/0BiwPRgqTOm0qg88e0orSw,eastpointe-michigan,['Desserts'],,,$,42.446599,-83.105486,+13138260132,48203,201 w 8 mile road,Detroit,Mi,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '0:0', 'closes': '23:59'}]","{'@type': 'PostalAddress', 'addressLocality': 'Detroit', 'addressRegion': 'Mi', 'postalCode': '48203', 'addressCountry': 'US', 'streetAddress': '201 w 8 mile road'}","{'@type': 'GeoCoordinates', 'latitude': 42.446599, 'longitude': -83.105486}",{}
The Ice Cream Shop ,https://www.ubereats.com/detroit/food-delivery/the-ice-cream-shop/N0kbkBNRSveZLs6-CsUPZw,eastpointe-michigan,"['Desserts', 'Ice Cream and Frozen Yogurt']",,,$,42.53916229999999,-82.95107999999999,+15862937790,48026,16659 E 14 Mile Rd,Fraser,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '9:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Fraser', 'addressRegion': 'MI', 'postalCode': '48026', 'addressCountry': 'US', 'streetAddress': '16659 E 14 Mile Rd'}","{'@type': 'GeoCoordinates', 'latitude': 42.53916229999999, 'longitude': -82.95107999999999}",{}
Checkers (31331 Groesbeck Highway),https://www.ubereats.com/detroit/food-delivery/checkers-31331-groesbeck-highway/9HALJNvVTn2ADAjoahnNsg,eastpointe-michigan,"['American', 'burger']",3.7,19,$,42.5266663,-82.94522979999999,+15862931045,48026,31331 Groesbeck Highway,Fraser,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '23:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Fraser', 'addressRegion': 'MI', 'postalCode': '48026', 'addressCountry': 'US', 'streetAddress': '31331 Groesbeck Highway'}","{'@type': 'GeoCoordinates', 'latitude': 42.5266663, 'longitude': -82.94522979999999}","{'@type': 'AggregateRating', 'ratingValue': 3.7, 'reviewCount': '19'}"
