name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
La Taqueria @ La Placita,https://www.ubereats.com/miami/food-delivery/la-taqueria-%40-la-placita/ewFsFm-DSEOEWbKtxAzQYg,el-portal-florida,"['Mexican', 'New Mexican']",,,,25.83782,-80.18386,+13054008173,33138,6789 Biscayne Boulevard,Miami,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '12:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Miami', 'addressRegion': 'FL', 'postalCode': '33138', 'addressCountry': 'US', 'streetAddress': '6789 Biscayne Boulevard'}","{'@type': 'GeoCoordinates', 'latitude': 25.83782, 'longitude': -80.18386}",{}
Conchtown (Brownsville),https://www.ubereats.com/miami/food-delivery/conchtown-brownsville/u27mUhKVTPqbngY-xbSwKQ,el-portal-florida,"['Seafood', 'Wings', 'Salads']",,,$,25.8100503,-80.2237463,+13052447554,33142,3637 NW 17th Ave,Miami,Florida,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:30', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Miami', 'addressRegion': 'Florida', 'postalCode': '33142', 'addressCountry': 'US', 'streetAddress': '3637 NW 17th Ave'}","{'@type': 'GeoCoordinates', 'latitude': 25.8100503, 'longitude': -80.2237463}",{}
C Bon Bakery,https://www.ubereats.com/miami/food-delivery/c-bon-bakery/9tMtIYzVR-6jYUE_mW1waw,el-portal-florida,"['Bakery', 'Allergy Friendly']",,,$,25.828633,-80.200314,+19547086849,33127,5740 NW 2nd Ave,Miami,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '9:0', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Miami', 'addressRegion': 'FL', 'postalCode': '33127', 'addressCountry': 'US', 'streetAddress': '5740 NW 2nd Ave'}","{'@type': 'GeoCoordinates', 'latitude': 25.828633, 'longitude': -80.200314}",{}
sMoki,https://www.ubereats.com/miami/food-delivery/smoki/BUyMCEi7QDK9HREeLupmLg,el-portal-florida,"['Healthy', 'American', 'Vegan Friendly']",,,$,25.9159253,-80.160389,+17544236138,33162,1970 NE 153rd St 13,North Miami Beach,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '8:0', 'closes': '15:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'North Miami Beach', 'addressRegion': 'FL', 'postalCode': '33162', 'addressCountry': 'US', 'streetAddress': '1970 NE 153rd St 13'}","{'@type': 'GeoCoordinates', 'latitude': 25.9159253, 'longitude': -80.160389}",{}
Back Door Monkey,https://www.ubereats.com/miami/food-delivery/back-door-monkey/JwcxS-68Qkic2nW_MThA8A,el-portal-florida,"['Asian Fusion', 'Sushi', 'Japanese']",,,$,25.7998196,-80.19519989999999,+13059516143,33127,2328 N,Miami,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '17:0', 'closes': '21:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '17:0', 'closes': '21:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Miami', 'addressRegion': 'FL', 'postalCode': '33127', 'addressCountry': 'US', 'streetAddress': '2328 N'}","{'@type': 'GeoCoordinates', 'latitude': 25.7998196, 'longitude': -80.19519989999999}",{}
Novecento (Wynwood),https://www.ubereats.com/miami/food-delivery/novecento-wynwood/zM-HvJJPStu6wTiYL_5P-g,el-portal-florida,['Argentinian'],,,$$,25.807531,-80.194467,+13055767447,,3201 N,Miami,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:30', 'closes': '23:59'}]","{'@type': 'PostalAddress', 'addressLocality': 'Miami', 'addressRegion': 'FL', 'postalCode': '', 'addressCountry': 'US', 'streetAddress': '3201 N'}","{'@type': 'GeoCoordinates', 'latitude': 25.807531, 'longitude': -80.194467}",{}
Fogo de Chão (Miami),https://www.ubereats.com/miami/food-delivery/fogo-de-chao-miami/MwttpVhBQhqIiNey5iCBeg,el-portal-florida,"['Steak', 'Healthy', 'Brazilian']",4.1,10,$$,25.769631,-80.1365409,,33139,834 1St St,Miami Beach,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Miami Beach', 'addressRegion': 'FL', 'postalCode': '33139', 'addressCountry': 'US', 'streetAddress': '834 1St St'}","{'@type': 'GeoCoordinates', 'latitude': 25.769631, 'longitude': -80.1365409}","{'@type': 'AggregateRating', 'ratingValue': 4.1, 'reviewCount': '10'}"
Miami Pork Grill,https://www.ubereats.com/miami/food-delivery/miami-pork-grill/OyhZ3pz5TM-SbdPiL_pI3g,el-portal-florida,['BBQ'],,,$$,25.7978569,-80.190536,+17867169191,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '19:0', 'closes': '1:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '19:0', 'closes': '2:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 25.7978569, 'longitude': -80.190536}",{}
Tasty Flavor (Miami Ave),https://www.ubereats.com/miami/food-delivery/tasty-flavor-miami-ave/H-l85BJ7Sr2Mp4RtN-ZHJQ,el-portal-florida,['Venezuelan'],,,$$,25.8050462,-80.1953742,+13057137316,33127,3000 N,Miami,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '0:0', 'closes': '4:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday'], 'opens': '11:0', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '0:0', 'closes': '4:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '23:59'}]","{'@type': 'PostalAddress', 'addressLocality': 'Miami', 'addressRegion': 'FL', 'postalCode': '33127', 'addressCountry': 'US', 'streetAddress': '3000 N'}","{'@type': 'GeoCoordinates', 'latitude': 25.8050462, 'longitude': -80.1953742}",{}
Bros Cafe Market ,https://www.ubereats.com/miami/food-delivery/bros-cafe-market/lup9nN_FTVC7_ba4FKEB7g,el-portal-florida,"['Snacks', 'Pastry', 'Coffee and Tea']",,,$,25.8025053,-80.12585890000001,+13058348155,33140,2603 Collins Ave,Miami Beach,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Miami Beach', 'addressRegion': 'FL', 'postalCode': '33140', 'addressCountry': 'US', 'streetAddress': '2603 Collins Ave'}","{'@type': 'GeoCoordinates', 'latitude': 25.8025053, 'longitude': -80.12585890000001}",{}
