name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
South Bay Rice Things ,https://www.ubereats.com/los-angeles/food-delivery/south-bay-rice-things/H3umFh_BSjq9nEdkSy5ISQ,el-segundo-california,"['Asian: Other', 'Allergy Friendly']",,,,33.873234,-118.368143,+13102149033,90278,2401 Artesia Blvd 105,Redondo Beach,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '13:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '17:0', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:30', 'closes': '13:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '17:0', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Redondo Beach', 'addressRegion': 'CA', 'postalCode': '90278', 'addressCountry': 'US', 'streetAddress': '2401 Artesia Blvd 105'}","{'@type': 'GeoCoordinates', 'latitude': 33.873234, 'longitude': -118.368143}",{}
Barbarita Restaurant,https://www.ubereats.com/los-angeles/food-delivery/barbarita-restaurant/nnDynrpnQY-yrdVU23DMEA,el-segundo-california,"['Mexican', 'Latin American', 'New Mexican']",,,$,33.9528768,-118.3561877,+14242008017,90301,125 W Arbor Vitae St,Inglewood,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '10:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '9:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Inglewood', 'addressRegion': 'CA', 'postalCode': '90301', 'addressCountry': 'US', 'streetAddress': '125 W Arbor Vitae St'}","{'@type': 'GeoCoordinates', 'latitude': 33.9528768, 'longitude': -118.3561877}",{}
Mia’s Kitchen ,https://www.ubereats.com/los-angeles/food-delivery/mias-kitchen/BDx5Bup_Ql-wgYrCeRCsWw,el-segundo-california,"['Caribbean', 'Salads', 'Sandwich', 'Allergy Friendly']",,,,33.9009348,-118.4174447,+17144570107,90266,312 Rosecrans Avenue,Manhattan Beach,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '14:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday'], 'opens': '12:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '14:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Manhattan Beach', 'addressRegion': 'CA', 'postalCode': '90266', 'addressCountry': 'US', 'streetAddress': '312 Rosecrans Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 33.9009348, 'longitude': -118.4174447}",{}
Brooklyn Calzones,https://www.ubereats.com/los-angeles/food-delivery/brooklyn-calzones/bEPX0YLbSIqFQKUnxASQsg,el-segundo-california,"['Comfort Food', 'Breakfast and Brunch']",4.6,14,$,33.97463630000001,-118.4298677,+13104377499,90094,13151 Fountain Park Drive ste b,Los Angeles,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90094', 'addressCountry': 'US', 'streetAddress': '13151 Fountain Park Drive ste b'}","{'@type': 'GeoCoordinates', 'latitude': 33.97463630000001, 'longitude': -118.4298677}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '14'}"
Poke Bar (21219 Hawthorne Blvd.),https://www.ubereats.com/los-angeles/food-delivery/poke-bar-21219-hawthorne-blvd/HxC7JJRESMuwbiUWFzMCvg,el-segundo-california,"['Poke', 'Hawaiian', 'Japanese', 'Seafood', 'Sushi']",4.3,68,$,33.8367298,-118.355024,+13103161121,90503,21219 Hawthorne Blvd.,Torrance,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Torrance', 'addressRegion': 'CA', 'postalCode': '90503', 'addressCountry': 'US', 'streetAddress': '21219 Hawthorne Blvd.'}","{'@type': 'GeoCoordinates', 'latitude': 33.8367298, 'longitude': -118.355024}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '68'}"
Bibigo Fresh Korean Kitchen - Culver City,https://www.ubereats.com/los-angeles/food-delivery/bibigo-fresh-korean-kitchen-culver-city/hNeTgFoYQmiHnXjdC4RLdg,el-segundo-california,"['Korean', 'Healthy', 'Asian']",,,$,33.9856,-118.3938,+13103131110,90230,6000 Sepulveda Blvd,Culver City,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Culver City', 'addressRegion': 'CA', 'postalCode': '90230', 'addressCountry': 'US', 'streetAddress': '6000 Sepulveda Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 33.9856, 'longitude': -118.3938}",{}
"El Pollo Loco (11331 Hawthorne Blvd,5907)",https://www.ubereats.com/los-angeles/food-delivery/el-pollo-loco-11331-hawthorne-blvd5907/pSAqyy-bSuqH3Pp1eF610Q,el-segundo-california,"['Latin American', 'Mexican', 'New American', 'Family Meals']",3.9,37,$,33.9311807,-118.3530205,+13104120303,90304,11331 Hawthorne Blvd,Inglewood,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Inglewood', 'addressRegion': 'CA', 'postalCode': '90304', 'addressCountry': 'US', 'streetAddress': '11331 Hawthorne Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 33.9311807, 'longitude': -118.3530205}","{'@type': 'AggregateRating', 'ratingValue': 3.9, 'reviewCount': '37'}"
El Tarasco Burrito,https://www.ubereats.com/los-angeles/food-delivery/el-tarasco-burrito/4_Xzee4uRXuZ4yXogDSpWA,el-segundo-california,"['Mexican', 'Latin American', 'New Mexican']",,,$,33.894854,-118.361808,+13109734842,90260,4809 Marine Ave,Lawndale,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '0:0', 'closes': '0:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '23:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '8:0', 'closes': '23:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '8:0', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '0:0', 'closes': '0:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '8:0', 'closes': '23:59'}]","{'@type': 'PostalAddress', 'addressLocality': 'Lawndale', 'addressRegion': 'CA', 'postalCode': '90260', 'addressCountry': 'US', 'streetAddress': '4809 Marine Ave'}","{'@type': 'GeoCoordinates', 'latitude': 33.894854, 'longitude': -118.361808}",{}
Klatch Coffee - Redondo Beach,https://www.ubereats.com/los-angeles/food-delivery/klatch-coffee-redondo-beach/UT80xcYvTIKAPHEOX4WiEA,el-segundo-california,"['Coffee and Tea', 'American', 'Breakfast and Brunch']",4.5,26,$,33.83800009999999,-118.3849618,+13103166203,90277,306 S Pacific Coast Hwy,Redondo Beach,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '7:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '7:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '7:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '7:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '7:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '7:0', 'closes': '18:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Redondo Beach', 'addressRegion': 'CA', 'postalCode': '90277', 'addressCountry': 'US', 'streetAddress': '306 S Pacific Coast Hwy'}","{'@type': 'GeoCoordinates', 'latitude': 33.83800009999999, 'longitude': -118.3849618}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '26'}"
Hopdoddy Burger Bar (Playa Vista),https://www.ubereats.com/los-angeles/food-delivery/hopdoddy-burger-bar-playa-vista/FDOp79naReyAqyHvWqobQg,el-segundo-california,"['Burgers', 'American', 'Salads']",4.7,150,$,33.9771392,-118.4175837,+13104102337,90094,"12746 W Jefferson Blvd, Playa Vista, USA",Los Angeles,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90094', 'addressCountry': 'US', 'streetAddress': '12746 W Jefferson Blvd, Playa Vista, USA'}","{'@type': 'GeoCoordinates', 'latitude': 33.9771392, 'longitude': -118.4175837}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '150'}"
