name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
PARKVIEW DELI,https://www.ubereats.com/baltimore/food-delivery/parkview-deli/ddemEWshS1KpLDE-x26_SQ,elkridge-maryland,"['American', 'Sandwich', 'Salads']",,,$,39.21235039999999,-76.85867309999999,+14432139355,21044,10400 Little Patuxent Pkwy,Columbia,MD,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '7:30', 'closes': '15:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Columbia', 'addressRegion': 'MD', 'postalCode': '21044', 'addressCountry': 'US', 'streetAddress': '10400 Little Patuxent Pkwy'}","{'@type': 'GeoCoordinates', 'latitude': 39.21235039999999, 'longitude': -76.85867309999999}",{}
La Palapa Grill & Cantina (Ellicott City),https://www.ubereats.com/baltimore/food-delivery/la-palapa-grill-%26-cantina-ellicott-city/Ip9WzJq_TiuUVimVKJDVJQ,elkridge-maryland,"['Mexican', 'Latin American', 'New Mexican']",,,$,39.15993,-76.89189,+14104650070,20723,7500 Montpelier Rd,Laurel,MD,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Laurel', 'addressRegion': 'MD', 'postalCode': '20723', 'addressCountry': 'US', 'streetAddress': '7500 Montpelier Rd'}","{'@type': 'GeoCoordinates', 'latitude': 39.15993, 'longitude': -76.89189}",{}
sweetFrog (852 N Rolling Rd),https://www.ubereats.com/baltimore/food-delivery/sweetfrog-852-n-rolling-rd/lVkSoRFsS1qJWJpiaTF8vA,elkridge-maryland,"['Ice Cream & Frozen Yogurt', 'Desserts', 'American']",4.8,20,$$,39.2833715,-76.7548771,+14107447609,21228,852 N Rolling Rd,Catonsville,MD,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '12:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '12:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Catonsville', 'addressRegion': 'MD', 'postalCode': '21228', 'addressCountry': 'US', 'streetAddress': '852 N Rolling Rd'}","{'@type': 'GeoCoordinates', 'latitude': 39.2833715, 'longitude': -76.7548771}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '20'}"
Prinos Mediteranean Grill,https://www.ubereats.com/baltimore/food-delivery/prinos-mediteranean-grill/cxNmGhQmTGy1gp5PWmq7lw,elkridge-maryland,"['Mediterranean', 'Salads', 'Pizza', 'Allergy Friendly']",4.5,120,,39.154877,-76.741877,+14107997024,21076,7690 Dorchester Blvd Suite #104,Hanover,Maryland,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hanover', 'addressRegion': 'Maryland', 'postalCode': '21076', 'addressCountry': 'US', 'streetAddress': '7690 Dorchester Blvd Suite #104'}","{'@type': 'GeoCoordinates', 'latitude': 39.154877, 'longitude': -76.741877}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '120'}"
Rita's Italian Ice (3353 Corridor Marketplace Suite 100),https://www.ubereats.com/baltimore/food-delivery/ritas-italian-ice-3353-corridor-marketplace-suite-100/c0pibCRYSBaDxsvRuW8Kyg,elkridge-maryland,"['Desserts', 'Ice Cream and Frozen Yogurt', 'American']",4.9,16,$,39.09756382776024,-76.80790462513137,+13017768585,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '12:30', 'closes': '20:30'}]",,"{'@type': 'GeoCoordinates', 'latitude': 39.09756382776024, 'longitude': -76.80790462513137}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '16'}"
Five Guys MD-0284 7690 Dorchester Blvd,https://www.ubereats.com/baltimore/food-delivery/five-guys-md-0284-7690-dorchester-blvd/KBv0emokS5KlNgAFDZIMOg,elkridge-maryland,"['American', 'Burgers']",4.7,155,$,39.154759,-76.7419961,+14107993933,21076,7690 Dorchester Blvd.,Hanover,MD,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hanover', 'addressRegion': 'MD', 'postalCode': '21076', 'addressCountry': 'US', 'streetAddress': '7690 Dorchester Blvd.'}","{'@type': 'GeoCoordinates', 'latitude': 39.154759, 'longitude': -76.7419961}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '155'}"
"Charleys Philly Steaks (10300 Little Patuxent Parkway, Space #1365)",https://www.ubereats.com/baltimore/food-delivery/charleys-philly-steaks-10300-little-patuxent-parkway-space-%231365/GcoVsw4pRDOhmIF5QIgSjw,elkridge-maryland,"['Sandwich', 'Chicken', 'Steak']",4.6,36,$,39.2155908,-76.8611782,+14107158588,21044,10300 Little Patuxent Pkwy,Columbia,MD,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '17:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '18:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Columbia', 'addressRegion': 'MD', 'postalCode': '21044', 'addressCountry': 'US', 'streetAddress': '10300 Little Patuxent Pkwy'}","{'@type': 'GeoCoordinates', 'latitude': 39.2155908, 'longitude': -76.8611782}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '36'}"
Auntie Anne's (6721 Chesapeake Center Dr),https://www.ubereats.com/baltimore/food-delivery/auntie-annes-6721-chesapeake-center-dr/j5r1lIu4Sg6JHZJ4acWncQ,elkridge-maryland,"['Bakery', 'Comfort Food', 'Desserts', 'Pretzel']",4.7,15,$,39.1902184,-76.6055277,+14107606511,21060,6721 Chesapeake Center Dr,Glen Burnie,MD,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:15', 'closes': '17:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:15', 'closes': '18:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Glen Burnie', 'addressRegion': 'MD', 'postalCode': '21060', 'addressCountry': 'US', 'streetAddress': '6721 Chesapeake Center Dr'}","{'@type': 'GeoCoordinates', 'latitude': 39.1902184, 'longitude': -76.6055277}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '15'}"
MOD Pizza (Columbia Mall),https://www.ubereats.com/baltimore/food-delivery/mod-pizza-columbia-mall/lNPSuFXPSxKEeOE_jUQb3Q,elkridge-maryland,"['Pizza', 'Desserts', 'Salads', 'American', 'Healthy', 'Vegetarian Friendly', 'Kids Friendly']",4.8,124,$,39.213674,-76.8660604,+12408655607,21044-5418,10000 Town Center Ave,Columbia,MD,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '21:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Columbia', 'addressRegion': 'MD', 'postalCode': '21044-5418', 'addressCountry': 'US', 'streetAddress': '10000 Town Center Ave'}","{'@type': 'GeoCoordinates', 'latitude': 39.213674, 'longitude': -76.8660604}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '124'}"
Sindy's Deli & Cafe,https://www.ubereats.com/baltimore/food-delivery/sindys-deli-%26-cafe/Tf3Fc1fMRHeAb-hXKAhzWA,elkridge-maryland,"['American', 'Breakfast and Brunch', 'Desserts']",,,$,39.2281649,-76.8253587,+14109643880,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '7:0', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '7:0', 'closes': '10:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 39.2281649, 'longitude': -76.8253587}",{}
