name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Big Italy,https://www.ubereats.com/chicago/food-delivery/big-italy/uC25uvyGTQujoZ0DVx7m6g,elmwood-park-illinois,"['Italian', 'Pasta', 'Comfort Food']",,,$,41.9642421,-87.83747509999999,+17736258500,60656,4638 North Cumberland Avenue,Chicago,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '0:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '14:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday'], 'opens': '11:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '11:0', 'closes': '2:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '3:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Chicago', 'addressRegion': 'IL', 'postalCode': '60656', 'addressCountry': 'US', 'streetAddress': '4638 North Cumberland Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 41.9642421, 'longitude': -87.83747509999999}",{}
El Jour,https://www.ubereats.com/chicago/food-delivery/el-jour/WZ3ZioQnRTqOIiZFK8i5yw,elmwood-park-illinois,"['American', 'Chicken', 'Salads']",,,$,41.878183,-87.77101,+17085403731,60644,131 S Mayfield Ave,Chicago,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:0', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Chicago', 'addressRegion': 'IL', 'postalCode': '60644', 'addressCountry': 'US', 'streetAddress': '131 S Mayfield Ave'}","{'@type': 'GeoCoordinates', 'latitude': 41.878183, 'longitude': -87.77101}",{}
Sonny's Express,https://www.ubereats.com/chicago/food-delivery/sonnys-express/Q3bey6fATdGDXrXeN2wrKg,elmwood-park-illinois,"['Italian', 'Pasta', 'Pizza']",,,,42.009016,-87.83025,+18473084100,60068,141 Vine Ave,Park Ridge,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Park Ridge', 'addressRegion': 'IL', 'postalCode': '60068', 'addressCountry': 'US', 'streetAddress': '141 Vine Ave'}","{'@type': 'GeoCoordinates', 'latitude': 42.009016, 'longitude': -87.83025}",{}
Babycakes,https://www.ubereats.com/chicago/food-delivery/babycakes/1Q8xlc_KQmSZcPzYi7IL8g,elmwood-park-illinois,"['Breakfast & Brunch', 'Sandwich']",,,,41.9363465,-87.7190218,+16302299092,60618,3031 N Milwaukee Ave,Chicago,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '6:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '14:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '6:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '8:0', 'closes': '14:15'}]","{'@type': 'PostalAddress', 'addressLocality': 'Chicago', 'addressRegion': 'IL', 'postalCode': '60618', 'addressCountry': 'US', 'streetAddress': '3031 N Milwaukee Ave'}","{'@type': 'GeoCoordinates', 'latitude': 41.9363465, 'longitude': -87.7190218}",{}
Barrel House Kitchen & Tap,https://www.ubereats.com/chicago/food-delivery/barrel-house-kitchen-%26-tap/GgbsCisBRYymkOegQypcVw,elmwood-park-illinois,"['Burgers', 'American', 'Sandwiches']",4.5,59,$,41.97282360000001,-87.8073606,+17088315131,60706,5100 N Harlem Ave,Harwood Heights,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Harwood Heights', 'addressRegion': 'IL', 'postalCode': '60706', 'addressCountry': 'US', 'streetAddress': '5100 N Harlem Ave'}","{'@type': 'GeoCoordinates', 'latitude': 41.97282360000001, 'longitude': -87.8073606}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '59'}"
Silverland Bakery,https://www.ubereats.com/chicago/food-delivery/silverland-bakery/vhYqtZO2Ssa0EzKu5Zw8iA,elmwood-park-illinois,"['Bakery', 'Desserts', 'Comfort Food']",,,,41.87821,-87.81472,+17084880800,60130,439 Des Plaines Avenue,Forest Park,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '7:30', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '9:0', 'closes': '16:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Forest Park', 'addressRegion': 'IL', 'postalCode': '60130', 'addressCountry': 'US', 'streetAddress': '439 Des Plaines Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 41.87821, 'longitude': -87.81472}",{}
Jay's Beef (Irving Park Rd),https://www.ubereats.com/chicago/food-delivery/jays-beef-irving-park-rd/ZhB8G-ZpSD2iK0BOLQHKuA,elmwood-park-illinois,"['Sandwiches', 'American', 'Healthy']",4.8,22,$,41.9555509,-87.8699741,+18476710033,60176,9732 West Irving Park Road,Schiller Park,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '17:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:30', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Schiller Park', 'addressRegion': 'IL', 'postalCode': '60176', 'addressCountry': 'US', 'streetAddress': '9732 West Irving Park Road'}","{'@type': 'GeoCoordinates', 'latitude': 41.9555509, 'longitude': -87.8699741}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '22'}"
Staropolska,https://www.ubereats.com/chicago/food-delivery/staropolska/bSLjdBh9R0GNeTGyv8dguA,elmwood-park-illinois,"['Polish', 'Salads', 'Pastry', 'Desserts']",4.9,16,$$,41.9361696,-87.71930119999999,+17733420779,60618,3030 N Milwaukee Ave,Chicago,Illinois,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '13:0', 'closes': '20:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '13:0', 'closes': '21:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '15:0', 'closes': '21:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '13:0', 'closes': '21:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Chicago', 'addressRegion': 'Illinois', 'postalCode': '60618', 'addressCountry': 'US', 'streetAddress': '3030 N Milwaukee Ave'}","{'@type': 'GeoCoordinates', 'latitude': 41.9361696, 'longitude': -87.71930119999999}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '16'}"
LiFE,https://www.ubereats.com/chicago/food-delivery/life/3TavUexHQJO-HS3XxrH4oA,elmwood-park-illinois,['American'],,,$,41.880969,-87.723086,+17738189548,60624,3858 W Madison St,Chicago,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Chicago', 'addressRegion': 'IL', 'postalCode': '60624', 'addressCountry': 'US', 'streetAddress': '3858 W Madison St'}","{'@type': 'GeoCoordinates', 'latitude': 41.880969, 'longitude': -87.723086}",{}
Creperie Kafe,https://www.ubereats.com/chicago/food-delivery/creperie-kafe/HAqRi3jeQ8aSHGwKM8_Btg,elmwood-park-illinois,"['Desserts', 'Juice and Smoothies']",,,$,41.888483,-87.801513,+17083864948,60301,1025 Lake St,Oak Park,IL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Oak Park', 'addressRegion': 'IL', 'postalCode': '60301', 'addressCountry': 'US', 'streetAddress': '1025 Lake St'}","{'@type': 'GeoCoordinates', 'latitude': 41.888483, 'longitude': -87.801513}",{}
