name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Sonic (4920 W Lloyd Expy),https://www.ubereats.com/evansville-in/food-delivery/sonic-4920-w-lloyd-expy/rzNGI582SKSfTx2SpAytyg,evansville-indiana,"['American', 'burger', 'Fast Food', 'Hot Dog', 'Sandwich']",4.7,17,$$,37.9761677,-87.63525709999999,+18124211700,47712,4920 W Lloyd Expy,Evansville,IN,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '9:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Evansville', 'addressRegion': 'IN', 'postalCode': '47712', 'addressCountry': 'US', 'streetAddress': '4920 W Lloyd Expy'}","{'@type': 'GeoCoordinates', 'latitude': 37.9761677, 'longitude': -87.63525709999999}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '17'}"
Qdoba Mexican Grill (922 N Burkhardt Rd),https://www.ubereats.com/evansville-in/food-delivery/qdoba-mexican-grill-922-n-burkhardt-rd/6o8jzfuaSjW3rm2B3k5qmg,evansville-indiana,"['Burritos', 'Dinner', 'Mexican', 'Tacos']",4.8,96,$,37.9851204,-87.4745588,+18124013423,47715,922 N Burkhardt Rd,Evansville,IN,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:30', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:30', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Evansville', 'addressRegion': 'IN', 'postalCode': '47715', 'addressCountry': 'US', 'streetAddress': '922 N Burkhardt Rd'}","{'@type': 'GeoCoordinates', 'latitude': 37.9851204, 'longitude': -87.4745588}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '96'}"
Bliss on 6th,https://www.ubereats.com/evansville-in/food-delivery/bliss-on-6th/EsXExn7wTqCtkagjSCmyGg,evansville-indiana,"['Pizza', 'American', 'Italian']",,,$,37.9729526,-87.5693325,+18125491717,47708,10 NW 6th St,Evansville,IN,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '10:0', 'closes': '15:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '15:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Evansville', 'addressRegion': 'IN', 'postalCode': '47708', 'addressCountry': 'US', 'streetAddress': '10 NW 6th St'}","{'@type': 'GeoCoordinates', 'latitude': 37.9729526, 'longitude': -87.5693325}",{}
Auntie Anne's (800 N Green River Rd Space 125),https://www.ubereats.com/evansville-in/food-delivery/auntie-annes-800-n-green-river-rd-space-125/q9LRJ-I7SbW3QOfCY3JptQ,evansville-indiana,"['Bakery', 'Comfort Food', 'Desserts', 'Pretzel']",,,$,37.9852189,-87.49485680000001,+18124750201,47715,800 N Green River Rd Space 125,Evansville,IN,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:15', 'closes': '17:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:15', 'closes': '18:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Evansville', 'addressRegion': 'IN', 'postalCode': '47715', 'addressCountry': 'US', 'streetAddress': '800 N Green River Rd Space 125'}","{'@type': 'GeoCoordinates', 'latitude': 37.9852189, 'longitude': -87.49485680000001}",{}
Hot Head Burritos (Evansville),https://www.ubereats.com/evansville-in/food-delivery/hot-head-burritos-evansville/uuyurcjFT1ifz-BigGDlfQ,evansville-indiana,"['Mexican', 'Tacos', 'Burritos']",,,$,37.9743958,-87.64385349999999,+18124375010,47712,5625 Pearl Dr,Evansville,IN,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Evansville', 'addressRegion': 'IN', 'postalCode': '47712', 'addressCountry': 'US', 'streetAddress': '5625 Pearl Dr'}","{'@type': 'GeoCoordinates', 'latitude': 37.9743958, 'longitude': -87.64385349999999}",{}
Dairy Queen Grill & Chill (5200 Division),https://www.ubereats.com/evansville-in/food-delivery/dairy-queen-grill-%26-chill-5200-division/FVHaoPdeT_WbEQz52Xr8Lg,evansville-indiana,"['American', 'Fast Food', 'Ice Cream & Frozen Yogurt']",3.8,15,$,37.9771787,-87.48896769999999,+18124770034,47715,5200 Division,Evansville,IN,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Evansville', 'addressRegion': 'IN', 'postalCode': '47715', 'addressCountry': 'US', 'streetAddress': '5200 Division'}","{'@type': 'GeoCoordinates', 'latitude': 37.9771787, 'longitude': -87.48896769999999}","{'@type': 'AggregateRating', 'ratingValue': 3.8, 'reviewCount': '15'}"
Krispy Kreme (727 N. Burkhardt Road),https://www.ubereats.com/evansville-in/food-delivery/krispy-kreme-727-n-burkhardt-road/N9Spq1HbQFKNSWblJBDitw,evansville-indiana,"['Breakfast and Brunch', 'Bakery', 'Desserts']",,,$,37.98370920000001,-87.4733401,+18124758419,47715,727 N. Burkhardt Road,Evansville,IN,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '6:15', 'closes': '21:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '6:15', 'closes': '22:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Evansville', 'addressRegion': 'IN', 'postalCode': '47715', 'addressCountry': 'US', 'streetAddress': '727 N. Burkhardt Road'}","{'@type': 'GeoCoordinates', 'latitude': 37.98370920000001, 'longitude': -87.4733401}",{}
Sweeney's Weenies,https://www.ubereats.com/evansville-in/food-delivery/sweeneys-weenies/fRmBTx-8SZOa3cmQbLfMfA,evansville-indiana,"['Comfort Food', 'American', 'Burgers']",,,$,37.9653011,-87.54509999999999,+18123061455,47714,1105 E Chandler Ave,Evansville,IN,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '13:0', 'closes': '17:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Evansville', 'addressRegion': 'IN', 'postalCode': '47714', 'addressCountry': 'US', 'streetAddress': '1105 E Chandler Ave'}","{'@type': 'GeoCoordinates', 'latitude': 37.9653011, 'longitude': -87.54509999999999}",{}
Five Guys IN-1234  (5042 E. Indiana Street),https://www.ubereats.com/evansville-in/food-delivery/five-guys-in-1234-5042-e-indiana-street/xzZhj35pQzC8FtD_tzVudw,evansville-indiana,"['American', 'Burgers']",4.6,61,$,37.9791154,-87.48573809999999,+18124011773,47715,5042 E. Indiana Street,Evansville,IN,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Evansville', 'addressRegion': 'IN', 'postalCode': '47715', 'addressCountry': 'US', 'streetAddress': '5042 E. Indiana Street'}","{'@type': 'GeoCoordinates', 'latitude': 37.9791154, 'longitude': -87.48573809999999}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '61'}"
7505-Bonefish Grill (6401 E Lloyd Exwy),https://www.ubereats.com/evansville-in/food-delivery/7505-bonefish-grill-6401-e-lloyd-exwy/2NW_0RzPT76X5wex7DaLQA,evansville-indiana,"['American', 'Seafood']",4.5,33,$$,37.9750762,-87.47158259999999,+18124013474,47715,6401 E Lloyd Exwy,Evansville,IN,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Evansville', 'addressRegion': 'IN', 'postalCode': '47715', 'addressCountry': 'US', 'streetAddress': '6401 E Lloyd Exwy'}","{'@type': 'GeoCoordinates', 'latitude': 37.9750762, 'longitude': -87.47158259999999}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '33'}"
