name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Pork Chop's BBQ,https://www.ubereats.com/new-jersey/food-delivery/pork-chops-bbq/SGHZgwWGTQiTsgyZ-D8wJA,ewing-township-new-jersey,"['BBQ', 'American', 'Burgers']",4.5,77,$,40.24381169999999,-74.754646,+16096190109,80638,1560D N Olden Ave,Ewing Township,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Ewing Township', 'addressRegion': 'NJ', 'postalCode': '80638', 'addressCountry': 'US', 'streetAddress': '1560D N Olden Ave'}","{'@type': 'GeoCoordinates', 'latitude': 40.24381169999999, 'longitude': -74.754646}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '77'}"
The Ice Cream Shop ,https://www.ubereats.com/new-jersey/food-delivery/the-ice-cream-shop/skQQ4kIYSiSY-WPHWcm7BQ,ewing-township-new-jersey,"['Desserts', 'Ice Cream and Frozen Yogurt', 'Everyday Essentials', 'Convenience', 'Grocery', 'Snacks', 'Home & Personal Care']",,,$,40.27094419999999,-74.6716126,+16095877755,8648,588 Lawrence Square Boulevard South,Lawrence Township,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Lawrence Township', 'addressRegion': 'NJ', 'postalCode': '8648', 'addressCountry': 'US', 'streetAddress': '588 Lawrence Square Boulevard South'}","{'@type': 'GeoCoordinates', 'latitude': 40.27094419999999, 'longitude': -74.6716126}",{}
Bakery Las Delicias,https://www.ubereats.com/new-jersey/food-delivery/bakery-las-delicias/xm9T43IUQGqbsRM6fZWtGQ,ewing-township-new-jersey,"['American', 'Breakfast and Brunch', 'Desserts']",,,$,40.2005034,-74.7492972,+16093934411,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:0', 'closes': '22:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 40.2005034, 'longitude': -74.7492972}",{}
Five Guys NJ-1450 3100 Quakerbridge Rd,https://www.ubereats.com/new-jersey/food-delivery/five-guys-nj-1450-3100-quakerbridge-rd/e-7uNS-WRt6wGlykxgFG6w,ewing-township-new-jersey,"['American', 'Burgers']",4.7,90,$,40.2482434,-74.6889585,+16098900327,08619,3100 Quakerbridge Rd.,Mercerville,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Mercerville', 'addressRegion': 'NJ', 'postalCode': '08619', 'addressCountry': 'US', 'streetAddress': '3100 Quakerbridge Rd.'}","{'@type': 'GeoCoordinates', 'latitude': 40.2482434, 'longitude': -74.6889585}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '90'}"
IndiGrill (Ewing),https://www.ubereats.com/new-jersey/food-delivery/indigrill-ewing/rwlur95oQcOVHaG7tS8NIw,ewing-township-new-jersey,"['Indian', 'Comfort Food', 'Fast Food']",4.5,50,$,40.2677418,-74.783216,+16095700036,8618,300 Main Blvd,Ewing,New Jersey,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:30', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Ewing', 'addressRegion': 'New Jersey', 'postalCode': '8618', 'addressCountry': 'US', 'streetAddress': '300 Main Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 40.2677418, 'longitude': -74.783216}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '50'}"
Popeyes (1284 South Broad Street),https://www.ubereats.com/new-jersey/food-delivery/popeyes-1284-south-broad-street/_Q_ZVotITwu6-RiTIypynQ,ewing-township-new-jersey,"['American', 'Fast Food', 'Southern', 'Wings']",3.9,151,$,40.2031342,-74.7400911,+16093933555,8610,1284 South Broad Street,Trenton,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday'], 'opens': '11:0', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Wednesday', 'opens': '10:30', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Trenton', 'addressRegion': 'NJ', 'postalCode': '8610', 'addressCountry': 'US', 'streetAddress': '1284 South Broad Street'}","{'@type': 'GeoCoordinates', 'latitude': 40.2031342, 'longitude': -74.7400911}","{'@type': 'AggregateRating', 'ratingValue': 3.9, 'reviewCount': '151'}"
Haagen Dazs (3320 Brunswick Pike),https://www.ubereats.com/new-jersey/food-delivery/haagen-dazs-3320-brunswick-pike/yBkuo0wvSsCfeurvR4uW8g,ewing-township-new-jersey,"['Desserts', 'Ice Cream and Frozen Yogurt', 'Juice Bars']",,,$$,40.2907041,-74.6813304,+16092752843,8648,3320 Brunswick Pike,Lawrenceville Township,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Lawrenceville Township', 'addressRegion': 'NJ', 'postalCode': '8648', 'addressCountry': 'US', 'streetAddress': '3320 Brunswick Pike'}","{'@type': 'GeoCoordinates', 'latitude': 40.2907041, 'longitude': -74.6813304}",{}
Donuts Time Cafe,https://www.ubereats.com/new-jersey/food-delivery/donuts-time-cafe/lq9mtVzzRKWTpPBEyLM4ZQ,ewing-township-new-jersey,"['Breakfast and Brunch', 'American', 'Sandwiches']",,,$,40.2276854,-74.6622206,+16098387976,8690,1280 Highway 33,Hamilton,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '6:30', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '6:30', 'closes': '13:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '7:0', 'closes': '15:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hamilton', 'addressRegion': 'NJ', 'postalCode': '8690', 'addressCountry': 'US', 'streetAddress': '1280 Highway 33'}","{'@type': 'GeoCoordinates', 'latitude': 40.2276854, 'longitude': -74.6622206}",{}
Vue. Lounge,https://www.ubereats.com/new-jersey/food-delivery/vue-lounge/JWi2gKitSe6SkSe1uboB4g,ewing-township-new-jersey,"['Soul Food', 'American', 'Chicken']",,,$$,40.25267319999999,-74.7880363,+16094036760,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday'], 'opens': '16:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '16:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '14:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 40.25267319999999, 'longitude': -74.7880363}",{}
Tropical Smoothie Cafe (645 Nassau Park Boulevard),https://www.ubereats.com/new-jersey/food-delivery/tropical-smoothie-cafe-645-nassau-park-boulevard/5y6_JDYSQ5qkrVDtX8fhEA,ewing-township-new-jersey,"['Juice and Smoothies', 'Healthy', 'Sandwich']",4.7,30,$,40.3021398,-74.682221,+16094545269,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '8:0', 'closes': '20:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 40.3021398, 'longitude': -74.682221}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '30'}"
