name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Jersey Mike’s Subs (584 Rt. 9),https://www.ubereats.com/nyc-suburbs/food-delivery/jersey-mikes-subs-584-rt-9/RrCyCHsoRAaWslXkJJZsRQ,fishkill-new-york,"['Sandwich', 'American']",4.5,42,$,41.5285869,-73.8916601,+18458977700,12524,584 Rt. 9,Fishkill,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Fishkill', 'addressRegion': 'NY', 'postalCode': '12524', 'addressCountry': 'US', 'streetAddress': '584 Rt. 9'}","{'@type': 'GeoCoordinates', 'latitude': 41.5285869, 'longitude': -73.8916601}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '42'}"
Chuck E. Cheese (1895 South Rd.),https://www.ubereats.com/nyc-suburbs/food-delivery/chuck-e-cheese-1895-south-rd/rP3AoQt8RcyZUn-QZJ0pVA,fishkill-new-york,"['Pizza', 'American', 'Italian']",,,$,41.6172599,-73.9175656,+18452979508,12601,1895 South Rd.,Poughkeepsie,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Poughkeepsie', 'addressRegion': 'NY', 'postalCode': '12601', 'addressCountry': 'US', 'streetAddress': '1895 South Rd.'}","{'@type': 'GeoCoordinates', 'latitude': 41.6172599, 'longitude': -73.9175656}",{}
Charley's Philly Steaks (2001 South RoadSpace F107),https://www.ubereats.com/nyc-suburbs/food-delivery/charleys-philly-steaks-2001-south-roadspace-f107/G2hyhUPBSeCUpLbVXpOwuw,fishkill-new-york,"['Sandwich', 'Kids Friendly', 'Chicken']",,,$,41.6268419,-73.921635,+15183622388,12601,2001 South Road Space F107,Poughkeepsie,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '17:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '18:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Poughkeepsie', 'addressRegion': 'NY', 'postalCode': '12601', 'addressCountry': 'US', 'streetAddress': '2001 South Road Space F107'}","{'@type': 'GeoCoordinates', 'latitude': 41.6268419, 'longitude': -73.921635}",{}
Heritage Food and Drink,https://www.ubereats.com/nyc-suburbs/food-delivery/heritage-food-and-drink/KL2pzf0USgOQi4ah_C6Mig,fishkill-new-york,"['Burgers', 'American', 'Comfort Food']",,,$,41.5822568,-73.9093901,+18452981555,12590,1379 9,Wappingers Falls,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '15:30', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Wappingers Falls', 'addressRegion': 'NY', 'postalCode': '12590', 'addressCountry': 'US', 'streetAddress': '1379 9'}","{'@type': 'GeoCoordinates', 'latitude': 41.5822568, 'longitude': -73.9093901}",{}
Cornwall sweets,https://www.ubereats.com/nyc-suburbs/food-delivery/cornwall-sweets/LNsZ_KuqRUa-4y6tMMc1oQ,fishkill-new-york,"['Desserts', 'Vegetarian', 'Coffee and Tea']",,,$,41.435176,-74.0339827,+19144502552,12518,297 Main St,Cornwall,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Cornwall', 'addressRegion': 'NY', 'postalCode': '12518', 'addressCountry': 'US', 'streetAddress': '297 Main St'}","{'@type': 'GeoCoordinates', 'latitude': 41.435176, 'longitude': -74.0339827}",{}
Dunkin' (1491 Route 9),https://www.ubereats.com/nyc-suburbs/food-delivery/dunkin-1491-route-9/rrvpb_LGTs6E6ScG33pv_w,fishkill-new-york,"['Breakfast and Brunch', 'Donuts']",,,$,41.59008659999999,-73.9088389,+18452189045,12590,1491 Route 9,Wappingers Falls,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:30', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Wappingers Falls', 'addressRegion': 'NY', 'postalCode': '12590', 'addressCountry': 'US', 'streetAddress': '1491 Route 9'}","{'@type': 'GeoCoordinates', 'latitude': 41.59008659999999, 'longitude': -73.9088389}",{}
Kennedy Fried Chicken (472 Broadway),https://www.ubereats.com/nyc-suburbs/food-delivery/kennedy-fried-chicken-472-broadway/29cCFSEATCSzPztoscWjbw,fishkill-new-york,"['Comfort Food', 'American', 'Wings']",4.0,51,$,41.5015046,-74.0294384,+18455692376,12550,472 Broadway,Newburgh,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '0:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '2:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Newburgh', 'addressRegion': 'NY', 'postalCode': '12550', 'addressCountry': 'US', 'streetAddress': '472 Broadway'}","{'@type': 'GeoCoordinates', 'latitude': 41.5015046, 'longitude': -74.0294384}","{'@type': 'AggregateRating', 'ratingValue': 4, 'reviewCount': '51'}"
Dutchess BBQ,https://www.ubereats.com/nyc-suburbs/food-delivery/dutchess-bbq/xG44aJpCRLaP2N8DFWtwsg,fishkill-new-york,"['Burgers', 'American', 'Sandwiches']",3.9,18,$,41.6404058,-73.87447,+18458491774,12603,1820 New Hackensack Road,Poughkeepsie,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:30', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Poughkeepsie', 'addressRegion': 'NY', 'postalCode': '12603', 'addressCountry': 'US', 'streetAddress': '1820 New Hackensack Road'}","{'@type': 'GeoCoordinates', 'latitude': 41.6404058, 'longitude': -73.87447}","{'@type': 'AggregateRating', 'ratingValue': 3.9, 'reviewCount': '18'}"
Super Kennedy Fried Chicken (136 Lake Street),https://www.ubereats.com/nyc-suburbs/food-delivery/super-kennedy-fried-chicken-136-lake-street/9U4fdNpMTKW3MGyXK5C-1g,fishkill-new-york,"['Comfort Food', 'American', 'Wings']",4.3,49,$,41.4968172,-74.0297678,+18455621013,12550,136 Lake St,Newburgh,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '1:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Newburgh', 'addressRegion': 'NY', 'postalCode': '12550', 'addressCountry': 'US', 'streetAddress': '136 Lake St'}","{'@type': 'GeoCoordinates', 'latitude': 41.4968172, 'longitude': -74.0297678}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '49'}"
El toro loco,https://www.ubereats.com/nyc-suburbs/food-delivery/el-toro-loco/BAaW38a6SqKPAhc5AMQb8g,fishkill-new-york,"['Mexican', 'Latin American', 'New Mexican']",,,$,41.62236979999999,-73.91846319999999,+17328106998,12601,1955 South Rd,Poughkeepsie,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday'], 'opens': '11:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '2:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Poughkeepsie', 'addressRegion': 'NY', 'postalCode': '12601', 'addressCountry': 'US', 'streetAddress': '1955 South Rd'}","{'@type': 'GeoCoordinates', 'latitude': 41.62236979999999, 'longitude': -73.91846319999999}",{}
