name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Ms.TIny’s Jamaican Cuisine,https://www.ubereats.com/philadelphia/food-delivery/mstinys-jamaican-cuisine/PxrgouP5Qaa-xDJtVQfmCQ,folcroft-pennsylvania,"['Caribbean', 'Seafood', 'Latin American']",,,$,39.9132225,-75.2744633,+12673703191,19023,533 MacDade Blvd,Collingdale,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '12:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Collingdale', 'addressRegion': 'PA', 'postalCode': '19023', 'addressCountry': 'US', 'streetAddress': '533 MacDade Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 39.9132225, 'longitude': -75.2744633}",{}
,https://www.ubereats.com/philadelphia/food-delivery/dunkin-431-harmony-rd/B-aF9EDbRuqHs_IbRq2yjA,folcroft-pennsylvania,,,,,,,,,,,,,,,
We Knead Pizza,https://www.ubereats.com/philadelphia/food-delivery/we-knead-pizza/3NN2eHZqRKmj9X2L9sWVug,folcroft-pennsylvania,"['Pizza', 'American', 'Italian']",,,$,39.9521232,-75.1729836,+12675783670,19103,1929 Chestnut St,Philadelphia,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Philadelphia', 'addressRegion': 'PA', 'postalCode': '19103', 'addressCountry': 'US', 'streetAddress': '1929 Chestnut St'}","{'@type': 'GeoCoordinates', 'latitude': 39.9521232, 'longitude': -75.1729836}",{}
,https://www.ubereats.com/philadelphia/food-delivery/chipotle-mexican-grill-2000-clements-bridge-road/z-FB90lTSOa1iI4gpmnJTg,folcroft-pennsylvania,,,,,,,,,,,,,,,
Sonic (2610 East Macdade Boulevard),https://www.ubereats.com/philadelphia/food-delivery/sonic-2610-east-macdade-boulevard/cIDCgxw7TPadjRdzpV23Ww,folcroft-pennsylvania,"['American', 'Breakfast and Brunch', 'Fast Food']",4.1,245,$$,39.8991357,-75.3050438,+16102004920,19043,2610 Macdade Blvd,Holmes,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '8:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Holmes', 'addressRegion': 'PA', 'postalCode': '19043', 'addressCountry': 'US', 'streetAddress': '2610 Macdade Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 39.8991357, 'longitude': -75.3050438}","{'@type': 'AggregateRating', 'ratingValue': 4.1, 'reviewCount': '245'}"
Sky center,https://www.ubereats.com/philadelphia/food-delivery/sky-center/PCg8CfshTtuyweMAcU4nrQ,folcroft-pennsylvania,"['Burgers', 'American', 'Sandwiches']",,,$,39.9262007,-75.19405739999999,+12674611187,19145,3109 Jackson St,Philadelphia,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '11:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:0', 'closes': '11:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Philadelphia', 'addressRegion': 'PA', 'postalCode': '19145', 'addressCountry': 'US', 'streetAddress': '3109 Jackson St'}","{'@type': 'GeoCoordinates', 'latitude': 39.9262007, 'longitude': -75.19405739999999}",{}
Tasha’s Takeout ,https://www.ubereats.com/philadelphia/food-delivery/tashas-takeout/VtcqrYdpSjK9NJg79NZz4w,folcroft-pennsylvania,"['American', 'Southern', 'Soul Food', 'Comfort Food']",,,$,39.8490759,-75.3607573,+14845191903,19013,540 Avenue of the States,Chester,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '7:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '12:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '7:0', 'closes': '15:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Chester', 'addressRegion': 'PA', 'postalCode': '19013', 'addressCountry': 'US', 'streetAddress': '540 Avenue of the States'}","{'@type': 'GeoCoordinates', 'latitude': 39.8490759, 'longitude': -75.3607573}",{}
,https://www.ubereats.com/philadelphia/food-delivery/taco-bell-710-n-black-horse-pike/G4Koail6Tsaqo0oWhCP8Lg,folcroft-pennsylvania,,,,,,,,,,,,,,,
,https://www.ubereats.com/philadelphia/food-delivery/kfc-rt-130-%26-browning-road/5VFv7kzgSfiCjdrql5TD3Q,folcroft-pennsylvania,,,,,,,,,,,,,,,
,https://www.ubereats.com/philadelphia/food-delivery/schileens-pub/Belr6gt4Rky1OcCWe08jUA,folcroft-pennsylvania,,,,,,,,,,,,,,,
