name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Jersey Mike's Subs (801 Northcrest Shopping Center),https://www.ubereats.com/fort-wayne/food-delivery/jersey-mikes-subs-801-northcrest-shopping-center/oe4AJf2WSlyvKQmTeGsweg,fort-wayne,"['Sandwich', 'American']",,,$,41.1189513,-85.1281723,+12607556203,46805,801 Northcrest Shopping Center,Fort Wayne,IN,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Fort Wayne', 'addressRegion': 'IN', 'postalCode': '46805', 'addressCountry': 'US', 'streetAddress': '801 Northcrest Shopping Center'}","{'@type': 'GeoCoordinates', 'latitude': 41.1189513, 'longitude': -85.1281723}",{}
Panda Express (6205 Lima Rd.),https://www.ubereats.com/fort-wayne/food-delivery/panda-express-6205-lima-rd/snY3uVMWQ9CwnWNoQ8sIow,fort-wayne,['Chinese'],4.7,100,$,41.1356878,-85.16191110000001,+12604160002,46818,6205 Lima Rd.,Fort Wayne,IN,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Fort Wayne', 'addressRegion': 'IN', 'postalCode': '46818', 'addressCountry': 'US', 'streetAddress': '6205 Lima Rd.'}","{'@type': 'GeoCoordinates', 'latitude': 41.1356878, 'longitude': -85.16191110000001}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '100'}"
Conner's Kitchen + Bar,https://www.ubereats.com/fort-wayne/food-delivery/conners-kitchen-%2B-bar/VRfXS0gGTZurleUgLGtBUw,fort-wayne,"['Comfort Food', 'American', 'Burgers']",,,$,41.0754599,-85.140593,+12604671638,46802,1150 Harrison St,Fort Wayne,IN,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Fort Wayne', 'addressRegion': 'IN', 'postalCode': '46802', 'addressCountry': 'US', 'streetAddress': '1150 Harrison St'}","{'@type': 'GeoCoordinates', 'latitude': 41.0754599, 'longitude': -85.140593}",{}
Steak 'n Shake (5402 Meijer Dr.),https://www.ubereats.com/fort-wayne/food-delivery/steak-n-shake-5402-meijer-dr/DUYdhUHCRJ-59OhS8B4TGA,fort-wayne,['American'],,,$$,41.1310687,-85.012988,+12607483200,46835,5402 Meijer Dr.,Ft. Wayne,IN,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '0:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:0', 'closes': '0:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Ft. Wayne', 'addressRegion': 'IN', 'postalCode': '46835', 'addressCountry': 'US', 'streetAddress': '5402 Meijer Dr.'}","{'@type': 'GeoCoordinates', 'latitude': 41.1310687, 'longitude': -85.012988}",{}
Auntie Anne's (10301 Maysville Rd),https://www.ubereats.com/fort-wayne/food-delivery/auntie-annes-10301-maysville-rd/noVedpQ_QXGQVKcSAAxoAg,fort-wayne,"['Bakery', 'Comfort Food', 'Desserts', 'Pretzel']",,,$,41.129906,-85.011604,+12604922009,46835,10301 Maysville Rd,Ft Wayne,IN,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '17:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '17:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Ft Wayne', 'addressRegion': 'IN', 'postalCode': '46835', 'addressCountry': 'US', 'streetAddress': '10301 Maysville Rd'}","{'@type': 'GeoCoordinates', 'latitude': 41.129906, 'longitude': -85.011604}",{}
Papa John's (944 Lincoln Hwy West),https://www.ubereats.com/fort-wayne/food-delivery/papa-johns-944-lincoln-hwy-west/YojQEy0pSYmcloWH4_oyVg,fort-wayne,"['Pizza', 'Wings', 'Desserts']",,,$,41.070447,-85.039295,+12604939955,46774,944 Lincoln Hwy West,New Haven,IN,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '20:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'New Haven', 'addressRegion': 'IN', 'postalCode': '46774', 'addressCountry': 'US', 'streetAddress': '944 Lincoln Hwy West'}","{'@type': 'GeoCoordinates', 'latitude': 41.070447, 'longitude': -85.039295}",{}
Qdoba (Coliseum Blvd),https://www.ubereats.com/fort-wayne/food-delivery/qdoba-coliseum-blvd/zc1qgodrTn6_inyjOkvvGA,fort-wayne,['Mexican'],4.3,100,$,41.117829,-85.13096,+12604710040,46805,700 E Coliseum Blvd,Fort Wayne,Indiana,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:30', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Fort Wayne', 'addressRegion': 'Indiana', 'postalCode': '46805', 'addressCountry': 'US', 'streetAddress': '700 E Coliseum Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 41.117829, 'longitude': -85.13096}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '100'}"
Cold Stone Creamery (Jefferson Blvd),https://www.ubereats.com/fort-wayne/food-delivery/cold-stone-creamery-jefferson-blvd/vscPlWV6RGiS8j86tX28qw,fort-wayne,"['Desserts', 'Ice Cream and Frozen Yogurt']",5.0,23,$,41.072758,-85.198415,+12604341010,46804,4150 W Jefferson Blvd,Fort Wayne,IN,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '13:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '15:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '13:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Fort Wayne', 'addressRegion': 'IN', 'postalCode': '46804', 'addressCountry': 'US', 'streetAddress': '4150 W Jefferson Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 41.072758, 'longitude': -85.198415}","{'@type': 'AggregateRating', 'ratingValue': 5, 'reviewCount': '23'}"
Auntie Anne's (5903 Illinois Road),https://www.ubereats.com/fort-wayne/food-delivery/auntie-annes-5903-illinois-road/ld8GtT_vQkOVDgOLOQrryQ,fort-wayne,"['Bakery', 'Comfort Food', 'Desserts', 'Pretzel']",4.9,10,$,41.0737697,-85.2171788,+12604366117,46804,5903 Illinois Road,Ft Wayne,IN,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '18:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Ft Wayne', 'addressRegion': 'IN', 'postalCode': '46804', 'addressCountry': 'US', 'streetAddress': '5903 Illinois Road'}","{'@type': 'GeoCoordinates', 'latitude': 41.0737697, 'longitude': -85.2171788}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '10'}"
BaBa's Famous Steak & Lemonade(Anthony Blvd),https://www.ubereats.com/fort-wayne/food-delivery/babas-famous-steak-%26-lemonadeanthony-blvd/f6cQ5TxzQuSEPkASGZ9rXg,fort-wayne,"['Sandwich', 'Salads', 'American']",4.5,24,$,41.0157578,-85.1116492,+12604410101,46816,7505 S Anthony Blvd,Fort Wayne,Indiana,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '0:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday'], 'opens': '10:0', 'closes': '0:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday'], 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '10:0', 'closes': '2:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:0', 'closes': '4:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '15:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Fort Wayne', 'addressRegion': 'Indiana', 'postalCode': '46816', 'addressCountry': 'US', 'streetAddress': '7505 S Anthony Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 41.0157578, 'longitude': -85.1116492}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '24'}"
