name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
,https://www.ubereats.com/new-york/food-delivery/wendys-580-merrick-rd/unNnuS4eQiqkG2zFH0rnSQ,franklin-square-new-york,,,,,,,,,,,,,,,
Pâté,https://www.ubereats.com/new-york/food-delivery/pate/ddusEtnsR-qqGo9eBbUanw,franklin-square-new-york,"['Vietnamese', 'Noodles', 'Sandwich']",4.7,27,$,40.759303,-73.7684431,+17187347989,11361,45-43 B Bell Blvd,Bayside,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:30', 'closes': '17:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Bayside', 'addressRegion': 'NY', 'postalCode': '11361', 'addressCountry': 'US', 'streetAddress': '45-43 B Bell Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 40.759303, 'longitude': -73.7684431}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '27'}"
,https://www.ubereats.com/nyc-suburbs/food-delivery/dunkin-20815-linden-blvd/DHANUJfTQ5uGz8qGlA3skQ,franklin-square-new-york,,,,,,,,,,,,,,,
the green deli,https://www.ubereats.com/nyc-suburbs/food-delivery/the-green-deli/qO48lhSVSZ66u4Ka_5cG3Q,franklin-square-new-york,"['Sandwich', 'Vegetarian', 'Deli']",,,$,40.6495302,-73.6889499,+15168876767,11563,1710 Rockaway Ave,Lynbrook,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:30', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '9:30', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Lynbrook', 'addressRegion': 'NY', 'postalCode': '11563', 'addressCountry': 'US', 'streetAddress': '1710 Rockaway Ave'}","{'@type': 'GeoCoordinates', 'latitude': 40.6495302, 'longitude': -73.6889499}",{}
Kingston Grill Restaurant,https://www.ubereats.com/nyc-suburbs/food-delivery/kingston-grill-restaurant/5Zcs9Yp6RLS0qDmOO-nAeA,franklin-square-new-york,"['Caribbean', 'Seafood', 'Latin American', 'West Indian', 'Jamaican', 'Desserts', 'Salads', 'Chicken', 'Soul Food', 'Breakfast and Brunch']",4.5,67,$,40.7072715,-73.6972833,+15166658044,11003,780 Hempstead Turnpike,Elmont,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '21:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:0', 'closes': '11:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '11:0', 'closes': '21:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '7:0', 'closes': '11:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '11:0', 'closes': '21:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '7:0', 'closes': '11:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Wednesday', 'opens': '11:0', 'closes': '21:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Wednesday', 'opens': '7:0', 'closes': '11:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Wednesday', 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Wednesday', 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '11:0', 'closes': '21:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '7:0', 'closes': '11:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '21:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '7:0', 'closes': '11:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '21:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '7:0', 'closes': '11:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Elmont', 'addressRegion': 'NY', 'postalCode': '11003', 'addressCountry': 'US', 'streetAddress': '780 Hempstead Turnpike'}","{'@type': 'GeoCoordinates', 'latitude': 40.7072715, 'longitude': -73.6972833}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '67'}"
,https://www.ubereats.com/new-york/food-delivery/big-guys-burger-%26-grill-valley-stream/OkU9AMYZQ-WHY6G2kqpL0Q,franklin-square-new-york,,,,,,,,,,,,,,,
,https://www.ubereats.com/new-york/food-delivery/taco-king-mexican-grill/oo2RVhTXTfuGGjOdhig7Ag,franklin-square-new-york,,,,,,,,,,,,,,,
,https://www.ubereats.com/nyc-suburbs/food-delivery/reggae-taste/BGA0neQCSsOTD9e8yr1IJg,franklin-square-new-york,,,,,,,,,,,,,,,
,https://www.ubereats.com/new-york/food-delivery/famous-rotisserie-and-grill/bf5WST5kTpCJW6QaXK_MRg,franklin-square-new-york,,,,,,,,,,,,,,,
,https://www.ubereats.com/nyc-suburbs/food-delivery/hooters-fresh-meadows-190th-st-%26-horace-harding-expy/vtzHrNvKRZ2xu6py3oB7cg,franklin-square-new-york,,,,,,,,,,,,,,,
McDonald's® - Uniondale (1050 Front),https://www.ubereats.com/nyc-suburbs/food-delivery/mcdonalds-uniondale-1050-front/UcKgKCyoQyi_dc2zBv-H0g,franklin-square-new-york,"['American', 'Fast Food', 'Burgers']",4.6,500,$,40.70934,-73.591151,+15165387390,11553,1050 FRONT ST,UNIONDALE,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '4:0', 'closes': '10:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '16:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '17:0', 'closes': '2:14'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '6:0', 'closes': '10:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '11:0', 'closes': '16:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '17:0', 'closes': '3:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '4:0', 'closes': '10:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '16:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '17:0', 'closes': '3:59'}]","{'@type': 'PostalAddress', 'addressLocality': 'UNIONDALE', 'addressRegion': 'NY', 'postalCode': '11553', 'addressCountry': 'US', 'streetAddress': '1050 FRONT ST'}","{'@type': 'GeoCoordinates', 'latitude': 40.70934, 'longitude': -73.591151}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '500'}"
,https://www.ubereats.com/new-york/food-delivery/l-%26-m-caribbean-delight/tbjIuyNQS9KE3v32fjomOw,franklin-square-new-york,,,,,,,,,,,,,,,
,https://www.ubereats.com/new-york/food-delivery/my-three-sons-bagel-cafe/k4DujUUERUOSeK901a-bkg,franklin-square-new-york,,,,,,,,,,,,,,,
,https://www.ubereats.com/new-york/food-delivery/burrito-monster/ifBH-DmtQG2WQHwRvrVEcQ,franklin-square-new-york,,,,,,,,,,,,,,,
