name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
,https://www.ubereats.com/orange-county/food-delivery/buffalo-wild-wings-10033-whittwood-dr/rb1UpoUSQ8Gxh7SfLle8LA,fullerton-california,,,,,,,,,,,,,,,
Starbucks (Tustin & 91 Fwy),https://www.ubereats.com/orange-county/food-delivery/starbucks-tustin-%26-91-fwy/-yNfdkz2Ta2OaCJfblvzrw,fullerton-california,"['Bakery', 'Breakfast and Brunch', 'Cafe', 'Coffee & Tea']",4.8,88,$,33.8541422,-117.8368896,+17146301995,92807,1070 N. Tustin Avenue,Anaheim,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '5:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '4:30', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Anaheim', 'addressRegion': 'CA', 'postalCode': '92807', 'addressCountry': 'US', 'streetAddress': '1070 N. Tustin Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 33.8541422, 'longitude': -117.8368896}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '88'}"
Panera (1028 S Harbor Blvd),https://www.ubereats.com/orange-county/food-delivery/panera-1028-s-harbor-blvd/jgWeDNPtRg2irQZcCy7zXw,fullerton-california,"['Breakfast and Brunch', 'salad', 'Sandwich', 'Family Meals']",4.6,60,$,33.8612747,-117.923939,+17145255028,92832,1028 S Harbor Blvd,Fullerton,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Fullerton', 'addressRegion': 'CA', 'postalCode': '92832', 'addressCountry': 'US', 'streetAddress': '1028 S Harbor Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 33.8612747, 'longitude': -117.923939}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '60'}"
Wienerschnitzel (1005 East Imperial Hwy),https://www.ubereats.com/orange-county/food-delivery/wienerschnitzel-1005-east-imperial-hwy/Ugw9YIs-RpuOTRBqFHW-7g,fullerton-california,"['Hot Dog', 'Sandwich', 'American']",4.3,39,$,33.9060732,-117.8454522,+17149960570,92870,1005 East Imperial Hwy,Placentia,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Placentia', 'addressRegion': 'CA', 'postalCode': '92870', 'addressCountry': 'US', 'streetAddress': '1005 East Imperial Hwy'}","{'@type': 'GeoCoordinates', 'latitude': 33.9060732, 'longitude': -117.8454522}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '39'}"
,https://www.ubereats.com/los-angeles/food-delivery/starbucks-harbor-%26-91-fwy/AgrtdqMFTci4pCp60yMPDw,fullerton-california,,,,,,,,,,,,,,,
,https://www.ubereats.com/los-angeles/food-delivery/sahara-falafel/iQ6j9vtnS3m9N90UBSMiGA,fullerton-california,,,,,,,,,,,,,,,
Combo's Pizza,https://www.ubereats.com/orange-county/food-delivery/combos-pizza/_RrbcwYFQOOXpUYilorMFA,fullerton-california,"['Pizza', 'American', 'Italian']",4.8,19,$,33.8706399,-117.9392282,+17145266267,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '16:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 33.8706399, 'longitude': -117.9392282}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '19'}"
Pasqually's Pizza & Wings (2300 N. Rose),https://www.ubereats.com/orange-county/food-delivery/pasquallys-pizza-%26-wings-2300-n-rose/veVHB2_lQbypEwUbmv8V1A,fullerton-california,"['Pizza', 'Italian', 'Wings']",,,$,33.905008,-117.841717,+17145724132,92870,2300 N. Rose,Placentia,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Placentia', 'addressRegion': 'CA', 'postalCode': '92870', 'addressCountry': 'US', 'streetAddress': '2300 N. Rose'}","{'@type': 'GeoCoordinates', 'latitude': 33.905008, 'longitude': -117.841717}",{}
Protein Lab (Buena Park),https://www.ubereats.com/orange-county/food-delivery/protein-lab-buena-park/gzrehV5WSwKckz46RASgbA,fullerton-california,"['Juice and Smoothies', 'American', 'Healthy']",4.9,85,$,33.8596037,-117.9979717,+17145030775,90621,"6960 Beach Blvd, J-202",Buena Park,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '12:0', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Buena Park', 'addressRegion': 'CA', 'postalCode': '90621', 'addressCountry': 'US', 'streetAddress': '6960 Beach Blvd, J-202'}","{'@type': 'GeoCoordinates', 'latitude': 33.8596037, 'longitude': -117.9979717}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '85'}"
McDonald's® (Gardn Gr-Harbor),https://www.ubereats.com/orange-county/food-delivery/mcdonalds-gardn-gr-harbor/NlwW1V6nRTuFUAv3RYW-lg,fullerton-california,"['American', 'Fast Food', 'Burgers']",4.4,153,$,33.780929,-117.914419,+17149712840,92840-5803,12542 HARBOR BLVD,GARDEN GROVE,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '6:0', 'closes': '10:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '16:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '17:0', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '6:0', 'closes': '10:29'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:30', 'closes': '16:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '17:0', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '6:0', 'closes': '10:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '16:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '17:0', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'GARDEN GROVE', 'addressRegion': 'CA', 'postalCode': '92840-5803', 'addressCountry': 'US', 'streetAddress': '12542 HARBOR BLVD'}","{'@type': 'GeoCoordinates', 'latitude': 33.780929, 'longitude': -117.914419}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '153'}"
