name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Wendy's  (9225 Nw 39Th Ave),https://www.ubereats.com/gainesville/food-delivery/wendys-9225-nw-39th-ave/x-_G_kFPRWSSXmFFM0B6fg,gainesville,"['American', 'Burgers', 'Fast Food']",,,$,29.68845529999999,-82.44152609999999,+13523365930,32606,9225 Nw 39Th Ave,Gainesville,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '23:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:30', 'closes': '10:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Gainesville', 'addressRegion': 'FL', 'postalCode': '32606', 'addressCountry': 'US', 'streetAddress': '9225 Nw 39Th Ave'}","{'@type': 'GeoCoordinates', 'latitude': 29.68845529999999, 'longitude': -82.44152609999999}",{}
Firehouse Subs - Gainesville UF,https://www.ubereats.com/gainesville/food-delivery/firehouse-subs-gainesville-uf/tHHxHY9VQH-jOtBDzQvvSA,gainesville,"['Sandwich', 'Salads', 'Deli']",,,$,29.652347,-82.341084,+13523372631,32603,1412 W University Ave,Gainesville,Florida,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '19:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Gainesville', 'addressRegion': 'Florida', 'postalCode': '32603', 'addressCountry': 'US', 'streetAddress': '1412 W University Ave'}","{'@type': 'GeoCoordinates', 'latitude': 29.652347, 'longitude': -82.341084}",{}
KFC (3525 Southwest Archer Road),https://www.ubereats.com/gainesville/food-delivery/kfc-3525-southwest-archer-road/vNooDiOVSwu2Wr2drDCHlQ,gainesville,"['American', 'Fast Food', 'wings']",4.6,130,$,29.6235301,-82.3752974,+13523757899,32608,3525 Southwest Archer Road,Gainesville,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:30', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Gainesville', 'addressRegion': 'FL', 'postalCode': '32608', 'addressCountry': 'US', 'streetAddress': '3525 Southwest Archer Road'}","{'@type': 'GeoCoordinates', 'latitude': 29.6235301, 'longitude': -82.3752974}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '130'}"
V Pizza (Gainesville),https://www.ubereats.com/gainesville/food-delivery/v-pizza-gainesville/FiaE7_3lTZ6JHufhG2DUzg,gainesville,"['Pizza', 'American', 'Italian']",,,$,29.6506248,-82.3237815,+13528887533,32601,115 SE 1st St,Gainesville,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '2:0', 'closes': '2:1'}]","{'@type': 'PostalAddress', 'addressLocality': 'Gainesville', 'addressRegion': 'FL', 'postalCode': '32601', 'addressCountry': 'US', 'streetAddress': '115 SE 1st St'}","{'@type': 'GeoCoordinates', 'latitude': 29.6506248, 'longitude': -82.3237815}",{}
Haile Village Bistro,https://www.ubereats.com/gainesville/food-delivery/haile-village-bistro/KuXO3QLuRayyTyhVwrqtQA,gainesville,"['Burgers', 'American', 'Sandwiches']",,,$,29.6218679,-82.43111499999999,+13523780721,32608,8311 SW 36 Ave,Gainesville,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Gainesville', 'addressRegion': 'FL', 'postalCode': '32608', 'addressCountry': 'US', 'streetAddress': '8311 SW 36 Ave'}","{'@type': 'GeoCoordinates', 'latitude': 29.6218679, 'longitude': -82.43111499999999}",{}
Pizza Hut (5004 NW 34th Blvd),https://www.ubereats.com/gainesville/food-delivery/pizza-hut-5004-nw-34th-blvd/fSciOB8ER9G9Qaq3BimStA,gainesville,"['Pizza', 'Italian', 'Wings']",,,$,29.7003852,-82.3705938,+13523737733,32605,5004 NW 34th Blvd,Gainesville,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Gainesville', 'addressRegion': 'FL', 'postalCode': '32605', 'addressCountry': 'US', 'streetAddress': '5004 NW 34th Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 29.7003852, 'longitude': -82.3705938}",{}
David's Real Pit BBQ (521 NE 23rd Ave),https://www.ubereats.com/gainesville/food-delivery/davids-real-pit-bbq-521-ne-23rd-ave/i4i-R2neRPmfhNMAGrjtOw,gainesville,"['BBQ', 'Sandwich', 'Traditional American']",,,$,29.6735,-82.3199,+13523732002,32609,521 NW 23rd Ave,Gainesville,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '12:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '6:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '6:0', 'closes': '11:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Gainesville', 'addressRegion': 'FL', 'postalCode': '32609', 'addressCountry': 'US', 'streetAddress': '521 NW 23rd Ave'}","{'@type': 'GeoCoordinates', 'latitude': 29.6735, 'longitude': -82.3199}",{}
Arby's (6760 West Newberry Road),https://www.ubereats.com/gainesville/food-delivery/arbys-6760-west-newberry-road/GDNdE5ZzQJuynuXfXm4A2A,gainesville,"['Burgers', 'American', 'Sandwiches']",,,$,29.6600777,-82.4146031,+13525544106,32605,6760 West Newberry Road,Gainesville,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Gainesville', 'addressRegion': 'FL', 'postalCode': '32605', 'addressCountry': 'US', 'streetAddress': '6760 West Newberry Road'}","{'@type': 'GeoCoordinates', 'latitude': 29.6600777, 'longitude': -82.4146031}",{}
Piesanos - Millhopper,https://www.ubereats.com/gainesville/food-delivery/piesanos-millhopper/qXafit85Q0mvFvj9IQBbkA,gainesville,"['Pizza', 'American', 'Italian']",4.6,89,$,29.7018572,-82.39020769999999,+12523717437,32606,5200 NW 43rd Street,Gainesville,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '16:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Gainesville', 'addressRegion': 'FL', 'postalCode': '32606', 'addressCountry': 'US', 'streetAddress': '5200 NW 43rd Street'}","{'@type': 'GeoCoordinates', 'latitude': 29.7018572, 'longitude': -82.39020769999999}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '89'}"
Sababa,https://www.ubereats.com/gainesville/food-delivery/sababa/2UBUgAG2TtyFQrPtrRtqTw,gainesville,"['Middle Eastern', 'Arabian', 'Persian']",,,,29.6489601,-82.32377389999999,+13527926043,32601,101 SE 2 Pl 107,Gainesville,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '17:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Gainesville', 'addressRegion': 'FL', 'postalCode': '32601', 'addressCountry': 'US', 'streetAddress': '101 SE 2 Pl 107'}","{'@type': 'GeoCoordinates', 'latitude': 29.6489601, 'longitude': -82.32377389999999}",{}
