name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Mia Francesca  (Raleigh),https://www.ubereats.com/raleigh/food-delivery/mia-francesca-raleigh/iVZK7CI2QkqcHn4uL_kG7A,garner-north-carolina,"['Pasta', 'Italian', 'Pizza', 'Desserts', 'Family Meals']",4.6,26,$$,35.8361559,-78.64293289999999,+19192781525,27609,4100 Main At North Hills St,Raleigh,NC,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:30', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '16:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:30', 'closes': '21:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Raleigh', 'addressRegion': 'NC', 'postalCode': '27609', 'addressCountry': 'US', 'streetAddress': '4100 Main At North Hills St'}","{'@type': 'GeoCoordinates', 'latitude': 35.8361559, 'longitude': -78.64293289999999}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '26'}"
Muscle Maker Grill (Raleigh-Durham),https://www.ubereats.com/raleigh/food-delivery/muscle-maker-grill-raleigh-durham/XrNdtPccTNa9f9E8Kw9ZQw,garner-north-carolina,"['American', 'Sandwich', 'Comfort Food']",,,$$,35.813136,-78.62706,+19198037460,27608,"2330 Bale St, 112",Raleigh-Durham,NC,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Raleigh-Durham', 'addressRegion': 'NC', 'postalCode': '27608', 'addressCountry': 'US', 'streetAddress': '2330 Bale St, 112'}","{'@type': 'GeoCoordinates', 'latitude': 35.813136, 'longitude': -78.62706}",{}
Al Maida Kitchen,https://www.ubereats.com/raleigh/food-delivery/al-maida-kitchen/qNSNzWL-RPagCyR6462BXg,garner-north-carolina,"['Middle Eastern', 'Arabian', 'Chicken']",,,$,35.7898048,-78.69119789999999,+19197201796,27607,808 Atwater St,Raleigh,NC,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Raleigh', 'addressRegion': 'NC', 'postalCode': '27607', 'addressCountry': 'US', 'streetAddress': '808 Atwater St'}","{'@type': 'GeoCoordinates', 'latitude': 35.7898048, 'longitude': -78.69119789999999}",{}
Royal India Restaurant (Capital Blvd),https://www.ubereats.com/raleigh/food-delivery/royal-india-restaurant-capital-blvd/pCN_sw2ZTPmNM7C5Kn9NtA,garner-north-carolina,['Indian'],4.5,70,$$,35.8348548,-78.58577919999999,+19199810849,27604,3901 Capital Blvd,Raleigh,NC,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '17:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '17:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:30', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '17:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Raleigh', 'addressRegion': 'NC', 'postalCode': '27604', 'addressCountry': 'US', 'streetAddress': '3901 Capital Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 35.8348548, 'longitude': -78.58577919999999}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '70'}"
Jerk Masters (Poole Rd),https://www.ubereats.com/raleigh/food-delivery/jerk-masters-poole-rd/bBpjwfGQQdyoU5eM2uaWnw,garner-north-carolina,"['Jamaican', 'Chicken']",,,$$,35.777064,-78.61068,+19192317697,27610,1909 Poole Rd,Raleigh,North Carolina,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:30', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Raleigh', 'addressRegion': 'North Carolina', 'postalCode': '27610', 'addressCountry': 'US', 'streetAddress': '1909 Poole Rd'}","{'@type': 'GeoCoordinates', 'latitude': 35.777064, 'longitude': -78.61068}",{}
Cantina 18 (Cameron Village),https://www.ubereats.com/raleigh/food-delivery/cantina-18-cameron-village/0lY8OlImQSSajshdC3kLBw,garner-north-carolina,"['Mexican', 'Latin American']",,,$$,35.790013,-78.661704,+19198359911,27605,433 Daniels St,Raleigh,NC,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '16:0', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Raleigh', 'addressRegion': 'NC', 'postalCode': '27605', 'addressCountry': 'US', 'streetAddress': '433 Daniels St'}","{'@type': 'GeoCoordinates', 'latitude': 35.790013, 'longitude': -78.661704}",{}
Cracker Barrel Old Country Store (5199 NC Highway 42 W),https://www.ubereats.com/raleigh/food-delivery/cracker-barrel-old-country-store-5199-nc-highway-42-w/DLI4SEgSTJK8WWyYZJ6dtw,garner-north-carolina,"['Burgers', 'American', 'Sandwiches']",,,$,35.6077716,-78.56159319999999,+19196614044,27529,5199 Highway 42 W,Garner,NC,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '7:30', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:30', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '7:30', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:30', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Garner', 'addressRegion': 'NC', 'postalCode': '27529', 'addressCountry': 'US', 'streetAddress': '5199 Highway 42 W'}","{'@type': 'GeoCoordinates', 'latitude': 35.6077716, 'longitude': -78.56159319999999}",{}
Applebee's  (7831 Target Cir),https://www.ubereats.com/raleigh/food-delivery/applebees-7831-target-cir/eAUEWEG8SuqjKmZvoCGLtA,garner-north-carolina,"['American', 'Bar Food', 'BBQ', 'burger', 'Chicken Strips', 'Comfort Food', 'Dinner', 'pasta', 'salad', 'Sandwich', 'Soup', 'Steak', 'Traditional American', 'wings', 'Family Meals']",4.4,107,$$,35.8668783,-78.5704581,+19198722401,27616,7831 Target Cir,Raleigh,NC,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:30', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Raleigh', 'addressRegion': 'NC', 'postalCode': '27616', 'addressCountry': 'US', 'streetAddress': '7831 Target Cir'}","{'@type': 'GeoCoordinates', 'latitude': 35.8668783, 'longitude': -78.5704581}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '107'}"
ThymelyMeals,https://www.ubereats.com/raleigh/food-delivery/thymelymeals/L9KX1encQT-FAAugoFv6Fg,garner-north-carolina,"['Healthy', 'Wings', 'Rice-bowls']",,,$,35.75391450000001,-78.641547,+19199491907,27603,2101 S Wilmington St,Raleigh,NC,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '6:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Raleigh', 'addressRegion': 'NC', 'postalCode': '27603', 'addressCountry': 'US', 'streetAddress': '2101 S Wilmington St'}","{'@type': 'GeoCoordinates', 'latitude': 35.75391450000001, 'longitude': -78.641547}",{}
Bad Cat Coffee Co. (Morgan Street Food Hall),https://www.ubereats.com/raleigh/food-delivery/bad-cat-coffee-co-morgan-street-food-hall/gKzQKNZYTcu7IHwfqCiU2Q,garner-north-carolina,"['Coffee and Tea', 'American', 'Breakfast and Brunch']",4.5,24,$,35.7790352,-78.6456805,+19199616017,27603,411 W Morgan St,Raleigh,NC,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '9:0', 'closes': '15:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Raleigh', 'addressRegion': 'NC', 'postalCode': '27603', 'addressCountry': 'US', 'streetAddress': '411 W Morgan St'}","{'@type': 'GeoCoordinates', 'latitude': 35.7790352, 'longitude': -78.6456805}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '24'}"
