name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Perkins Restaurant (Lees Summit),https://www.ubereats.com/kansas-city/food-delivery/perkins-restaurant-lees-summit/PL-S5uXPTam7xb9vK0UbaA,grandview-missouri,"['Breakfast and Brunch', 'American', 'Dinner', 'Bakery', 'Desserts', 'Family Meals']",4.3,25,$$,38.9019571,-94.3626553,+18165250663,64081,1001 S E Hamblen Road,Lees Summit,MO,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:0', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Lees Summit', 'addressRegion': 'MO', 'postalCode': '64081', 'addressCountry': 'US', 'streetAddress': '1001 S E Hamblen Road'}","{'@type': 'GeoCoordinates', 'latitude': 38.9019571, 'longitude': -94.3626553}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '25'}"
LaMars Donuts,https://www.ubereats.com/kansas-city/food-delivery/lamars-donuts/1TusqYhMQfuX4sdjCKzcMQ,grandview-missouri,"['Coffee and Tea', 'Pastry', 'Desserts']",,,$,38.94661,-94.583521,+18169419595,64131,9926 Holmes Rd,Kansas City,Missouri,[],"{'@type': 'PostalAddress', 'addressLocality': 'Kansas City', 'addressRegion': 'Missouri', 'postalCode': '64131', 'addressCountry': 'US', 'streetAddress': '9926 Holmes Rd'}","{'@type': 'GeoCoordinates', 'latitude': 38.94661, 'longitude': -94.583521}",{}
Cacao Restaurant,https://www.ubereats.com/kansas-city/food-delivery/cacao-restaurant/UhBD5ibHRvewYmtrrJcjxQ,grandview-missouri,"['Mexican', 'Desserts', 'Salads', 'Family Meals']",,,$$,38.9425852,-94.6058609,+18169423247,64114,1046 W 103rd St,Kansas City,Missouri,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Kansas City', 'addressRegion': 'Missouri', 'postalCode': '64114', 'addressCountry': 'US', 'streetAddress': '1046 W 103rd St'}","{'@type': 'GeoCoordinates', 'latitude': 38.9425852, 'longitude': -94.6058609}",{}
IHOP (628 NE State Route 291),https://www.ubereats.com/kansas-city/food-delivery/ihop-628-ne-state-route-291/9ExqA7q5Td6_tlIuPxRPlg,grandview-missouri,"['American', 'Breakfast and Brunch', 'burger', 'Comfort Food', 'Dinner', 'Omelette', 'salad', 'Traditional American', 'Family Meals']",4.1,47,$,38.9230133,-94.360838,+18165256068,64086,628 NE State Route 291,Lees Summit,MO,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '0:0', 'closes': '23:49'}]","{'@type': 'PostalAddress', 'addressLocality': 'Lees Summit', 'addressRegion': 'MO', 'postalCode': '64086', 'addressCountry': 'US', 'streetAddress': '628 NE State Route 291'}","{'@type': 'GeoCoordinates', 'latitude': 38.9230133, 'longitude': -94.360838}","{'@type': 'AggregateRating', 'ratingValue': 4.1, 'reviewCount': '47'}"
"McAlister's Deli - 417 - Grandview, MO (100968)",https://www.ubereats.com/kansas-city/food-delivery/mcalisters-deli-417-grandview-mo-100968/0JACNobuR5ibZ7pj4AUtHw,grandview-missouri,"['Sandwich', 'Salads', 'Family Meals']",4.7,95,$,38.9013134,-94.5254217,+18167653354,64030,12406 S. 71 Hwy,Grandview,MO,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '21:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Grandview', 'addressRegion': 'MO', 'postalCode': '64030', 'addressCountry': 'US', 'streetAddress': '12406 S. 71 Hwy'}","{'@type': 'GeoCoordinates', 'latitude': 38.9013134, 'longitude': -94.5254217}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '95'}"
Buffalo Wild Wings (13749 Metcalf Ave),https://www.ubereats.com/kansas-city/food-delivery/buffalo-wild-wings-13749-metcalf-ave/mWID-l6PRPyv2LGUNUZbSw,grandview-missouri,['wings'],4.4,98,$$,38.8796942,-94.66728429999999,+19132274688,66223,13749 Metcalf Ave,Overland Park,KS,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Overland Park', 'addressRegion': 'KS', 'postalCode': '66223', 'addressCountry': 'US', 'streetAddress': '13749 Metcalf Ave'}","{'@type': 'GeoCoordinates', 'latitude': 38.8796942, 'longitude': -94.66728429999999}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '98'}"
Pinstripes (Overland Park),https://www.ubereats.com/kansas-city/food-delivery/pinstripes-overland-park/QNtMpUFtRIKQ9G82nphfPA,grandview-missouri,"['Burgers', 'American', 'Sandwiches', 'Italian']",,,$,38.8828747,-94.6497976,+17857274082,66223,13500 Nall Avenue,Overland Park,KS,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:30', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '14:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '16:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '14:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '16:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:30', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '14:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '16:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:30', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '14:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '16:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Overland Park', 'addressRegion': 'KS', 'postalCode': '66223', 'addressCountry': 'US', 'streetAddress': '13500 Nall Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 38.8828747, 'longitude': -94.6497976}",{}
Joy Wok (Overland Park）,https://www.ubereats.com/kansas-city/food-delivery/joy-wok-overland-park/tVdEjdDRRISBGtdv5zY5mg,grandview-missouri,"['Chinese', 'Asian', 'Asian Fusion']",4.3,68,$,38.9117434,-94.66824629999999,+19134988888,66213,11920 Metcalf Ave,Overland Park,KS,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Overland Park', 'addressRegion': 'KS', 'postalCode': '66213', 'addressCountry': 'US', 'streetAddress': '11920 Metcalf Ave'}","{'@type': 'GeoCoordinates', 'latitude': 38.9117434, 'longitude': -94.66824629999999}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '68'}"
Corner Bakery Cafe (Overland Park),https://www.ubereats.com/kansas-city/food-delivery/corner-bakery-cafe-overland-park/JXwg8et-SBGjCUJWgmd4hw,grandview-missouri,"['American', 'Bakery', 'Breakfast and Brunch', 'Cafe', 'Desserts', 'Dinner', 'Omelette', 'pasta', 'salad', 'Sandwich', 'Soup', 'Family Meals']",4.4,33,$$,38.883345,-94.6635629,+19139552370,66223,6721 W 135th St,Overland Park,KS,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Overland Park', 'addressRegion': 'KS', 'postalCode': '66223', 'addressCountry': 'US', 'streetAddress': '6721 W 135th St'}","{'@type': 'GeoCoordinates', 'latitude': 38.883345, 'longitude': -94.6635629}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '33'}"
Big Momma's Bakery & Cafe,https://www.ubereats.com/kansas-city/food-delivery/big-mommas-bakery-%26-cafe/MVeEJupnQs6RXsABk8vuAw,grandview-missouri,"['Cupcakes', 'Breakfast and Brunch', 'Sandwich']",,,$,38.9524596,-94.5333161,+18167650800,64137,4707 E Bannister Rd Ste B,Kansas City,MO,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '7:0', 'closes': '15:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Kansas City', 'addressRegion': 'MO', 'postalCode': '64137', 'addressCountry': 'US', 'streetAddress': '4707 E Bannister Rd Ste B'}","{'@type': 'GeoCoordinates', 'latitude': 38.9524596, 'longitude': -94.5333161}",{}
