name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
"Burger King (600 28th Street, S. E.)",https://www.ubereats.com/grand-rapids/food-delivery/burger-king-600-28th-street-s-e/zg9itJBrQqGBvAfupELbqQ,grandville-michigan,"['American', 'burger', 'Fast Food']",4.4,71,$,42.9122697,-85.65211719999999,+16164755812,49548,600 28th Street S. E.,Grand Rapids,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:0', 'closes': '11:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:30', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '6:0', 'closes': '10:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Grand Rapids', 'addressRegion': 'MI', 'postalCode': '49548', 'addressCountry': 'US', 'streetAddress': '600 28th Street S. E.'}","{'@type': 'GeoCoordinates', 'latitude': 42.9122697, 'longitude': -85.65211719999999}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '71'}"
Taco Bell (1819 28th Street SW),https://www.ubereats.com/grand-rapids/food-delivery/taco-bell-1819-28th-street-sw/JXGX96oqTSuZ-ZwgYF4Dkw,grandville-michigan,"['Burritos', 'Fast Food', 'Mexican']",4.0,282,$,42.9140239,-85.71078109999999,+16165318370,49509,1819 28th Street SW,Wyoming,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '14:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '9:0', 'closes': '23:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:0', 'closes': '10:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Wyoming', 'addressRegion': 'MI', 'postalCode': '49509', 'addressCountry': 'US', 'streetAddress': '1819 28th Street SW'}","{'@type': 'GeoCoordinates', 'latitude': 42.9140239, 'longitude': -85.71078109999999}","{'@type': 'AggregateRating', 'ratingValue': 4, 'reviewCount': '282'}"
Arby's (4340 Broadmoor Ave Se),https://www.ubereats.com/grand-rapids/food-delivery/arbys-4340-broadmoor-ave-se/Elj11yKLS1O6eq_cIf05sg,grandville-michigan,"['American', 'Sandwich', 'Fast Food', 'Kids Friendly']",4.3,18,$,42.8846246,-85.5648685,+16165543827,49512,4340 Broadmoor Ave Se,Kentwood,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '23:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:0', 'closes': '0:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Kentwood', 'addressRegion': 'MI', 'postalCode': '49512', 'addressCountry': 'US', 'streetAddress': '4340 Broadmoor Ave Se'}","{'@type': 'GeoCoordinates', 'latitude': 42.8846246, 'longitude': -85.5648685}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '18'}"
Freshii (146 Monroe Center Nw #160),https://www.ubereats.com/grand-rapids/food-delivery/freshii-146-monroe-center-nw-%23160/a5W5RrZfRqaID1YkzkIxpw,grandville-michigan,"['Healthy', 'Salads', 'Juice Bars']",4.8,81,$,42.9662179,-85.671444,+16165511449,49503,146 Monroe Center Nw #160,Grand Rapids,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '12:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:30', 'closes': '19:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:30', 'closes': '19:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:0', 'closes': '12:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:30', 'closes': '19:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Grand Rapids', 'addressRegion': 'MI', 'postalCode': '49503', 'addressCountry': 'US', 'streetAddress': '146 Monroe Center Nw #160'}","{'@type': 'GeoCoordinates', 'latitude': 42.9662179, 'longitude': -85.671444}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '81'}"
Chipotle Mexican Grill (6333 Kalamazoo Ave Se Ste 450),https://www.ubereats.com/grand-rapids/food-delivery/chipotle-mexican-grill-6333-kalamazoo-ave-se-ste-450/C9N8isFuTJ61bRSV95MO0g,grandville-michigan,"['Healthy', 'Mexican']",4.6,155,$,42.8491789,-85.6260706,+16165544871,49508,6333 Kalamazoo Ave Se Ste 450,Grand Rapids,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:45', 'closes': '21:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Grand Rapids', 'addressRegion': 'MI', 'postalCode': '49508', 'addressCountry': 'US', 'streetAddress': '6333 Kalamazoo Ave Se Ste 450'}","{'@type': 'GeoCoordinates', 'latitude': 42.8491789, 'longitude': -85.6260706}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '155'}"
9th St. Steaks - VR,https://www.ubereats.com/grand-rapids/food-delivery/9th-st-steaks-vr/TxiyjmarQkSVr4j9rACNUw,grandville-michigan,"['Burgers', 'American', 'Sandwiches']",,,$,42.95018259999999,-85.65884969999999,+12815468679,49503,700 Madison Ave SE,Grand Rapids,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:30', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:30', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Grand Rapids', 'addressRegion': 'MI', 'postalCode': '49503', 'addressCountry': 'US', 'streetAddress': '700 Madison Ave SE'}","{'@type': 'GeoCoordinates', 'latitude': 42.95018259999999, 'longitude': -85.65884969999999}",{}
Chuck E. Cheese (3671 28th St. SE),https://www.ubereats.com/grand-rapids/food-delivery/chuck-e-cheese-3671-28th-st-se/43xMo3FYSiC2lxI8DiNVmg,grandville-michigan,['Pizza'],,,$,42.913699,-85.576455,+16169427994,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 42.913699, 'longitude': -85.576455}",{}
Mithu Srilankan & Indian cuisine,https://www.ubereats.com/grand-rapids/food-delivery/mithu-srilankan-%26-indian-cuisine/eTl93EnhSZ2_54JY1OKWzA,grandville-michigan,"['Indian', 'Vegetarian', 'Asian']",,,$,42.8851237,-85.6264522,+16168566953,49508,4309 Kalamazoo Ave SE,Grand Rapids,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '12:0', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '12:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Grand Rapids', 'addressRegion': 'MI', 'postalCode': '49508', 'addressCountry': 'US', 'streetAddress': '4309 Kalamazoo Ave SE'}","{'@type': 'GeoCoordinates', 'latitude': 42.8851237, 'longitude': -85.6264522}",{}
McDonald's® (Michigan & College),https://www.ubereats.com/grand-rapids/food-delivery/mcdonalds-michigan-%26-college/xuCoQPtPRFqj_w16Rqzajg,grandville-michigan,"['American', 'Burgers', 'Fast Food']",4.1,425,$,42.9705696,-85.6591002,+16164540778,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '4:0', 'closes': '10:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '16:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '17:0', 'closes': '3:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '4:0', 'closes': '10:29'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:30', 'closes': '16:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '17:0', 'closes': '3:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '4:0', 'closes': '10:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '16:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '17:0', 'closes': '3:59'}]",,"{'@type': 'GeoCoordinates', 'latitude': 42.9705696, 'longitude': -85.6591002}","{'@type': 'AggregateRating', 'ratingValue': 4.1, 'reviewCount': '425'}"
Roberto's Pizza,https://www.ubereats.com/grand-rapids/food-delivery/robertos-pizza/Uv3C86avQYmddglUPev1Hg,grandville-michigan,"['Pizza', 'American', 'Italian']",4.0,26,$,42.9278688,-85.6993488,+16162451800,49509,1308 Burton St SW,Wyoming,Michigan,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '16:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '11:0', 'closes': '13:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '16:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '13:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '16:0', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '13:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '16:0', 'closes': '0:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '16:0', 'closes': '0:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Wyoming', 'addressRegion': 'Michigan', 'postalCode': '49509', 'addressCountry': 'US', 'streetAddress': '1308 Burton St SW'}","{'@type': 'GeoCoordinates', 'latitude': 42.9278688, 'longitude': -85.6993488}","{'@type': 'AggregateRating', 'ratingValue': 4, 'reviewCount': '26'}"
