name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Popeyes (1382 Dual Hwy),https://www.ubereats.com/baltimore/food-delivery/popeyes-1382-dual-hwy/x5odYERfQcuY986zDRzArg,hagerstown-maryland,"['American', 'Fast Food', 'Southern', 'Wings']",4.7,33,$,39.6258461,-77.6973847,+13017910398,21740,1382 Dual Hwy,Hagerstown,MD,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hagerstown', 'addressRegion': 'MD', 'postalCode': '21740', 'addressCountry': 'US', 'streetAddress': '1382 Dual Hwy'}","{'@type': 'GeoCoordinates', 'latitude': 39.6258461, 'longitude': -77.6973847}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '33'}"
"Cafe Del Sol (Hagerstown, MD)",https://www.ubereats.com/baltimore/food-delivery/cafe-del-sol-hagerstown-md/-0ZBaDwcSsqlYx6oZrXzrA,hagerstown-maryland,"['Mexican', 'Latin American', 'New Mexican', 'Pasta', 'Pizza', 'Sandwich']",4.6,54,$,39.6616798,-77.73932909999999,+13017393072,21740,1481 Salem Ave,Hagerstown,MD,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hagerstown', 'addressRegion': 'MD', 'postalCode': '21740', 'addressCountry': 'US', 'streetAddress': '1481 Salem Ave'}","{'@type': 'GeoCoordinates', 'latitude': 39.6616798, 'longitude': -77.73932909999999}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '54'}"
Five Guys MD-0501 18007 Garland Groh Blvd,https://www.ubereats.com/baltimore/food-delivery/five-guys-md-0501-18007-garland-groh-blvd/T4CjdCF3SbyCAj7e9_SP9g,hagerstown-maryland,"['American', 'Burgers', 'Sandwich']",4.6,91,$,39.6610622,-77.7445074,+13017914802,21740,Shoppes at,Hagerstown,MD,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hagerstown', 'addressRegion': 'MD', 'postalCode': '21740', 'addressCountry': 'US', 'streetAddress': 'Shoppes at'}","{'@type': 'GeoCoordinates', 'latitude': 39.6610622, 'longitude': -77.7445074}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '91'}"
Sonic (1710 Dual Highway),https://www.ubereats.com/baltimore/food-delivery/sonic-1710-dual-highway/gaJQS1sqQ5y0S9ohOvnP8w,hagerstown-maryland,"['American', 'Burgers', 'Breakfast and Brunch', 'Fast Food']",3.6,37,$$,39.6156511,-77.6912572,+13017397643,21740,1710 Dual Highway,Hagerstown,MD,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hagerstown', 'addressRegion': 'MD', 'postalCode': '21740', 'addressCountry': 'US', 'streetAddress': '1710 Dual Highway'}","{'@type': 'GeoCoordinates', 'latitude': 39.6156511, 'longitude': -77.6912572}","{'@type': 'AggregateRating', 'ratingValue': 3.6, 'reviewCount': '37'}"
Eliz Restaurant and Lounge,https://www.ubereats.com/baltimore/food-delivery/eliz-restaurant-and-lounge/IGw12s8dRQSJjlSSkxBzNw,hagerstown-maryland,"['African', 'Vegetarian Friendly', 'Healthy']",,,$$,39.625815,-77.66796099999999,+12405132690,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '13:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '15:0', 'closes': '0:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '9:0', 'closes': '0:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 39.625815, 'longitude': -77.66796099999999}",{}
Chipotle Mexican Grill (18003 Garland Groh Blvd),https://www.ubereats.com/baltimore/food-delivery/chipotle-mexican-grill-18003-garland-groh-blvd/xs3nzLgvTW-rZJYZAKcE5g,hagerstown-maryland,"['Healthy', 'Mexican']",4.1,154,$,39.6596435,-77.7446269,+12404208010,21740,18003 Garland Groh Blvd,Hagerstown,MD,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:45', 'closes': '21:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hagerstown', 'addressRegion': 'MD', 'postalCode': '21740', 'addressCountry': 'US', 'streetAddress': '18003 Garland Groh Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 39.6596435, 'longitude': -77.7446269}","{'@type': 'AggregateRating', 'ratingValue': 4.1, 'reviewCount': '154'}"
JPMINO COFFEE,https://www.ubereats.com/baltimore/food-delivery/jpmino-coffee/s2ip_JdgTeu4JmKzr1H4PQ,hagerstown-maryland,"['Coffee & Tea', 'Juice and Smoothies', 'Comfort Food']",4.7,11,$,39.6377359,-77.711114,+13013026858,21740,431 Dual Hwy,Hagerstown,Maryland,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hagerstown', 'addressRegion': 'Maryland', 'postalCode': '21740', 'addressCountry': 'US', 'streetAddress': '431 Dual Hwy'}","{'@type': 'GeoCoordinates', 'latitude': 39.6377359, 'longitude': -77.711114}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '11'}"
Papa John's (190 S Cleveland Ave),https://www.ubereats.com/baltimore/food-delivery/papa-johns-190-s-cleveland-ave/JiXTHX2YTImJRN7lYQ98OQ,hagerstown-maryland,"['Pizza', 'Wings', 'Desserts']",4.6,19,$$,39.6366003,-77.7101967,+13017391555,21740,190 S Cleveland Ave,Hagerstown,MD,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:45', 'closes': '21:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hagerstown', 'addressRegion': 'MD', 'postalCode': '21740', 'addressCountry': 'US', 'streetAddress': '190 S Cleveland Ave'}","{'@type': 'GeoCoordinates', 'latitude': 39.6366003, 'longitude': -77.7101967}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '19'}"
Papa John's (17249 Cole Road),https://www.ubereats.com/baltimore/food-delivery/papa-johns-17249-cole-road/N7k-QDqBTUKKDUpdCd_q4A,hagerstown-maryland,"['Pizza', 'Wings', 'Desserts']",,,$,39.6198774,-77.770263,+13015826277,21740,17249 Cole Road,Hagerstown,MD,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday'], 'opens': '9:30', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday'], 'opens': '0:0', 'closes': '1:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '7:0', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '0:0', 'closes': '7:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '9:30', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '0:0', 'closes': '3:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:0', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '0:0', 'closes': '3:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hagerstown', 'addressRegion': 'MD', 'postalCode': '21740', 'addressCountry': 'US', 'streetAddress': '17249 Cole Road'}","{'@type': 'GeoCoordinates', 'latitude': 39.6198774, 'longitude': -77.770263}",{}
Roy Rogers  (100 N Burhans Street),https://www.ubereats.com/baltimore/food-delivery/roy-rogers-100-n-burhans-street/vQwSeUYSR8aQ84yYhQI9Rw,hagerstown-maryland,"['American', 'Burgers', 'Fast Food']",,,$$,39.64661600000001,-77.7253121,+13017395755,21740,100 N Burhans Street,Hagerstown,MD,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:0', 'closes': '10:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hagerstown', 'addressRegion': 'MD', 'postalCode': '21740', 'addressCountry': 'US', 'streetAddress': '100 N Burhans Street'}","{'@type': 'GeoCoordinates', 'latitude': 39.64661600000001, 'longitude': -77.7253121}",{}
