name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
ALBERTO'S PIZZA,https://www.ubereats.com/baltimore/food-delivery/albertos-pizza/YUVTkgvhTnGlVO8hqDfYvg,halethorpe-maryland,"['Pizza', 'Burgers', 'Salads']",,,$,39.22127,-76.63023,+14106090781,21225,5621 Belle Grove Rd,Baltimore,MD,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday'], 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday'], 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '11:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Baltimore', 'addressRegion': 'MD', 'postalCode': '21225', 'addressCountry': 'US', 'streetAddress': '5621 Belle Grove Rd'}","{'@type': 'GeoCoordinates', 'latitude': 39.22127, 'longitude': -76.63023}",{}
The Ice Cream Shop ,https://www.ubereats.com/baltimore/food-delivery/the-ice-cream-shop/DUKoEyWfQVaO6lzfn5XPcQ,halethorpe-maryland,"['Desserts', 'Ice Cream and Frozen Yogurt']",,,$,39.172113,-76.618886,+14105909702,21061,7237 Richie Hwy,Glan Burnie,MD,[],"{'@type': 'PostalAddress', 'addressLocality': 'Glan Burnie', 'addressRegion': 'MD', 'postalCode': '21061', 'addressCountry': 'US', 'streetAddress': '7237 Richie Hwy'}","{'@type': 'GeoCoordinates', 'latitude': 39.172113, 'longitude': -76.618886}",{}
"Noodles & Company (6191 Old Dobbin Ln, Ste 930)",https://www.ubereats.com/baltimore/food-delivery/noodles-%26-company-6191-old-dobbin-ln-ste-930/R6_c7ZfFRy6yY7Fsk5jrNA,halethorpe-maryland,"['Healthy', 'Pasta', 'Comfort Food', 'American', 'Italian', 'Chinese', 'Noodles', 'Family Meals']",4.6,141,$,39.19944539999999,-76.8125822,+14108723729,21045,6191 Old Dobbin Ln Ste 930,Columbia,MD,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Columbia', 'addressRegion': 'MD', 'postalCode': '21045', 'addressCountry': 'US', 'streetAddress': '6191 Old Dobbin Ln Ste 930'}","{'@type': 'GeoCoordinates', 'latitude': 39.19944539999999, 'longitude': -76.8125822}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '141'}"
Dunkin' (1616 W Nursery Rd),https://www.ubereats.com/baltimore/food-delivery/dunkin-1616-w-nursery-rd/UkZhHX-ETyWxGRnsB1PV0g,halethorpe-maryland,"['Breakfast and Brunch', 'Donuts']",,,$,39.2023614,-76.6841279,+14108591021,21090,1616 W Nursery Rd,Linthicum,MD,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:0', 'closes': '15:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Linthicum', 'addressRegion': 'MD', 'postalCode': '21090', 'addressCountry': 'US', 'streetAddress': '1616 W Nursery Rd'}","{'@type': 'GeoCoordinates', 'latitude': 39.2023614, 'longitude': -76.6841279}",{}
Gilmore carryout & Grocery,https://www.ubereats.com/baltimore/food-delivery/gilmore-carryout-%26-grocery/wmOooI0bQyKcRljuaAa_pg,halethorpe-maryland,"['American', 'English', 'Desserts']",,,$$$$,39.297903,-76.6427942,+14432516261,21217,1538 W Lanvale St,Baltimore-Maryland,MD,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Baltimore-Maryland', 'addressRegion': 'MD', 'postalCode': '21217', 'addressCountry': 'US', 'streetAddress': '1538 W Lanvale St'}","{'@type': 'GeoCoordinates', 'latitude': 39.297903, 'longitude': -76.6427942}",{}
Panda Express (7351 Assateague Drive),https://www.ubereats.com/baltimore/food-delivery/panda-express-7351-assateague-drive/f9Pa5yPfRVOk8kNOocb7wg,halethorpe-maryland,"['Chinese', 'Family Meals']",4.5,200,$,39.1695929,-76.7859472,+14107997027,20794,7351 Assateague Drive,Jessup,MD,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Jessup', 'addressRegion': 'MD', 'postalCode': '20794', 'addressCountry': 'US', 'streetAddress': '7351 Assateague Drive'}","{'@type': 'GeoCoordinates', 'latitude': 39.1695929, 'longitude': -76.7859472}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '200'}"
Poke Bowl (Federal Hill),https://www.ubereats.com/baltimore/food-delivery/poke-bowl-federal-hill/WRxfD9S3QdOKcL8B3tUklQ,halethorpe-maryland,"['Asian', 'Japanese', 'Rice-bowls']",4.9,80,$$,39.27722929999999,-76.6126062,+14437596229,21230,1040 Light St,Baltimore,Maryland,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '13:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '12:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Baltimore', 'addressRegion': 'Maryland', 'postalCode': '21230', 'addressCountry': 'US', 'streetAddress': '1040 Light St'}","{'@type': 'GeoCoordinates', 'latitude': 39.27722929999999, 'longitude': -76.6126062}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '80'}"
Mama Rosa Grill - Baltimore,https://www.ubereats.com/baltimore/food-delivery/mama-rosa-grill-baltimore/7G923xv6SA2JIMf3DBVHgQ,halethorpe-maryland,"['Filipino', 'Asian', 'Family Meals']",4.7,33,$$,39.249588,-76.639565,+14104699600,21230,3321 Annapolis Rd,Baltimore,Maryland,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '8:15', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '8:15', 'closes': '7:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '9:0', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Baltimore', 'addressRegion': 'Maryland', 'postalCode': '21230', 'addressCountry': 'US', 'streetAddress': '3321 Annapolis Rd'}","{'@type': 'GeoCoordinates', 'latitude': 39.249588, 'longitude': -76.639565}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '33'}"
McDonald's® (5045 RITCHIE HWY),https://www.ubereats.com/baltimore/food-delivery/mcdonalds-5045-ritchie-hwy/q9jNiXKTQD2bbfBk7Sc5TQ,halethorpe-maryland,"['American', 'Burgers', 'Fast Food']",4.3,158,$,39.2242076,-76.6131579,+14106367303,21225,5045 Ritchie Hwy,Brooklyn,MD,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:0', 'closes': '10:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '16:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '17:0', 'closes': '23:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '7:0', 'closes': '10:29'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:30', 'closes': '16:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '17:0', 'closes': '23:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '7:0', 'closes': '10:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '16:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '17:0', 'closes': '23:15'}]","{'@type': 'PostalAddress', 'addressLocality': 'Brooklyn', 'addressRegion': 'MD', 'postalCode': '21225', 'addressCountry': 'US', 'streetAddress': '5045 Ritchie Hwy'}","{'@type': 'GeoCoordinates', 'latitude': 39.2242076, 'longitude': -76.6131579}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '158'}"
Popeyes Louisiana Kitchen (2201 W Patapsco Avenue),https://www.ubereats.com/baltimore/food-delivery/popeyes-louisiana-kitchen-2201-w-patapsco-avenue/uL91tBYMT-mSxg2r86bCbw,halethorpe-maryland,"['American', 'Fast Food', 'Comfort Food', 'Family Meals']",4.2,120,$,39.2506222,-76.6450165,+14436828476,21230,2201 W Patapsco Avenue,Baltimore,MD,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Baltimore', 'addressRegion': 'MD', 'postalCode': '21230', 'addressCountry': 'US', 'streetAddress': '2201 W Patapsco Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 39.2506222, 'longitude': -76.6450165}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '120'}"
