name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Two Brothers Pizza,https://www.ubereats.com/new-jersey/food-delivery/two-brothers-pizza/i4xrFMDYTkO60dPQ8OXsEQ,hamilton-township-new-jersey,"['Pizza', 'American', 'Italian', 'Allergy Friendly']",4.6,90,$,40.255071,-74.777209,+16098828844,08618,1608 Pennington Rd,Ewing,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '15:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Ewing', 'addressRegion': 'NJ', 'postalCode': '08618', 'addressCountry': 'US', 'streetAddress': '1608 Pennington Rd'}","{'@type': 'GeoCoordinates', 'latitude': 40.255071, 'longitude': -74.777209}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '90'}"
Dunkin' (2098 Brunswick Ave),https://www.ubereats.com/new-jersey/food-delivery/dunkin-2098-brunswick-ave/ak0SeWDiS1WVwdUOR13y9A,hamilton-township-new-jersey,"['Breakfast & Brunch', 'Donuts']",,,$,40.2523436,-74.73322449999999,+16095990097,8648,2098 Brunswick Ave,Lawrenceville,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '5:30', 'closes': '15:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Lawrenceville', 'addressRegion': 'NJ', 'postalCode': '8648', 'addressCountry': 'US', 'streetAddress': '2098 Brunswick Ave'}","{'@type': 'GeoCoordinates', 'latitude': 40.2523436, 'longitude': -74.73322449999999}",{}
Hummingbird restaurant LLC,https://www.ubereats.com/new-jersey/food-delivery/hummingbird-restaurant-llc/hkXFDNxJSoeHWQVMMSXQdw,hamilton-township-new-jersey,"['Caribbean', 'Comfort Food']",4.5,20,$,40.2194954,-74.76624369999999,+16092789555,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '9:0', 'closes': '18:30'}]",,"{'@type': 'GeoCoordinates', 'latitude': 40.2194954, 'longitude': -74.76624369999999}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '20'}"
Fedora Bistro and Pizzeria,https://www.ubereats.com/new-jersey/food-delivery/fedora-bistro-and-pizzeria/4VQqAF4pQFyPk2HX7HR3vg,hamilton-township-new-jersey,"['Italian', 'Pasta', 'Pizza', 'Sandwich', 'American', 'Comfort Food']",,,$,40.29680049999999,-74.7307349,+16098950844,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '21:30'}]",,"{'@type': 'GeoCoordinates', 'latitude': 40.29680049999999, 'longitude': -74.7307349}",{}
Corner Xpress Mart (5 Lawrenceville Pennington Rd.),https://www.ubereats.com/new-jersey/food-delivery/corner-xpress-mart-5-lawrenceville-pennington-rd/fkck3oblTkSAJRjUaDDpuw,hamilton-township-new-jersey,"['Burgers', 'American', 'Sandwiches']",,,$,40.2897012,-74.7343537,+16098958802,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '6:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '6:0', 'closes': '20:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '6:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '2:0', 'closes': '2:1'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '6:0', 'closes': '18:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 40.2897012, 'longitude': -74.7343537}",{}
Starbucks (Hamilton Trenton),https://www.ubereats.com/new-jersey/food-delivery/starbucks-hamilton-trenton/jsTxvQMRQCuvhkD1tNBThg,hamilton-township-new-jersey,"['Bakery', 'Breakfast and Brunch', 'Cafe', 'Coffee & Tea']",4.4,126,$,40.2074349,-74.6959108,+16095810457,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '5:0', 'closes': '20:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 40.2074349, 'longitude': -74.6959108}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '126'}"
Panda Express (1660 Nottingham Way),https://www.ubereats.com/new-jersey/food-delivery/panda-express-1660-nottingham-way/CcjTcA_OTR-5FPaxu4EMAw,hamilton-township-new-jersey,"['Chinese', 'Family Meals']",4.3,173,$,40.2329417,-74.71678899999999,+16095889990,8619,1660 Nottingham Way,Hamilton,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hamilton', 'addressRegion': 'NJ', 'postalCode': '8619', 'addressCountry': 'US', 'streetAddress': '1660 Nottingham Way'}","{'@type': 'GeoCoordinates', 'latitude': 40.2329417, 'longitude': -74.71678899999999}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '173'}"
Persis Biryani & Indian Grill,https://www.ubereats.com/new-jersey/food-delivery/persis-biryani-%26-indian-grill/rj9rSArhRkaaII4zVxAYtw,hamilton-township-new-jersey,"['Indian', 'South East Asian']",4.4,94,$$,40.2645893,-74.67464199999999,+16095869119,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:30', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '17:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:30', 'closes': '14:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '17:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '10:30', 'closes': '14:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '17:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:30', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '17:0', 'closes': '21:30'}]",,"{'@type': 'GeoCoordinates', 'latitude': 40.2645893, 'longitude': -74.67464199999999}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '94'}"
Sukhadia's,https://www.ubereats.com/new-jersey/food-delivery/sukhadias/5lbbF62YQuSKygOixAwVOw,hamilton-township-new-jersey,"['Indian', 'Vegetarian', 'Asian']",4.2,15,$,40.2778519,-74.5435167,+16094486300,08520,"72 Princeton Hightstown Rd, 72",East Windsor,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'East Windsor', 'addressRegion': 'NJ', 'postalCode': '08520', 'addressCountry': 'US', 'streetAddress': '72 Princeton Hightstown Rd, 72'}","{'@type': 'GeoCoordinates', 'latitude': 40.2778519, 'longitude': -74.5435167}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '15'}"
McDonald's® (103-113 CASS ST),https://www.ubereats.com/new-jersey/food-delivery/mcdonalds-103-113-cass-st/DdHQl73cTRW4GD3CGF1fVw,hamilton-township-new-jersey,"['American', 'Burgers', 'Fast Food']",4.3,94,$,40.20575,-74.754052,+16093942200,8611,103-113 CASS ST,TRENTON,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:0', 'closes': '10:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '16:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '17:0', 'closes': '23:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'TRENTON', 'addressRegion': 'NJ', 'postalCode': '8611', 'addressCountry': 'US', 'streetAddress': '103-113 CASS ST'}","{'@type': 'GeoCoordinates', 'latitude': 40.20575, 'longitude': -74.754052}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '94'}"
