name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Bagel Chalet (Commack),https://www.ubereats.com/nyc-suburbs/food-delivery/bagel-chalet-commack/FYKAy82DQYaIozjLcFLRgA,hauppauge-new-york,"['Deli', 'Sandwich', 'Breakfast & Brunch', 'Allergy Friendly']",4.7,500,$,40.8404531,-73.28821479999999,+16314999820,11725,36 Veterans Memorial Hwy,Commack,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '5:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '5:0', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Commack', 'addressRegion': 'NY', 'postalCode': '11725', 'addressCountry': 'US', 'streetAddress': '36 Veterans Memorial Hwy'}","{'@type': 'GeoCoordinates', 'latitude': 40.8404531, 'longitude': -73.28821479999999}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '500'}"
Moe's Southwest Grill (589 Veterans Hwy),https://www.ubereats.com/nyc-suburbs/food-delivery/moes-southwest-grill-589-veterans-hwy/XvErqBpNT5qZq-dj_NTwvg,hauppauge-new-york,"['Burritos', 'Tacos', 'Tex Mex', 'Family Meals']",4.7,195,$$,40.8227837,-73.2097568,+16317805654,11788,586 Veterans Memorial Hwy,Hauppauge,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hauppauge', 'addressRegion': 'NY', 'postalCode': '11788', 'addressCountry': 'US', 'streetAddress': '586 Veterans Memorial Hwy'}","{'@type': 'GeoCoordinates', 'latitude': 40.8227837, 'longitude': -73.2097568}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '195'}"
Dunkin' (169a Commack Rd),https://www.ubereats.com/nyc-suburbs/food-delivery/dunkin-169a-commack-rd/DiQzlps9Qv-yydqfNT9j0Q,hauppauge-new-york,"['Breakfast and Brunch', 'Donuts']",4.6,17,$,40.83874649999999,-73.2948486,+16314930152,11725,169a,Commack,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '6:30', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '5:30', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '6:30', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Commack', 'addressRegion': 'NY', 'postalCode': '11725', 'addressCountry': 'US', 'streetAddress': '169a'}","{'@type': 'GeoCoordinates', 'latitude': 40.83874649999999, 'longitude': -73.2948486}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '17'}"
Changing Times American Sports Bar & Grille,https://www.ubereats.com/nyc-suburbs/food-delivery/changing-times-american-sports-bar-%26-grille/FAu5QqD7TDykre6s5J179w,hauppauge-new-york,"['Burgers', 'American', 'Sandwiches']",,,$,40.72230500000001,-73.2473481,+16316477871,11706,29 E Main St,Bay Shore,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Bay Shore', 'addressRegion': 'NY', 'postalCode': '11706', 'addressCountry': 'US', 'streetAddress': '29 E Main St'}","{'@type': 'GeoCoordinates', 'latitude': 40.72230500000001, 'longitude': -73.2473481}",{}
Taco Bell (490 E Main Street),https://www.ubereats.com/nyc-suburbs/food-delivery/taco-bell-490-e-main-street/GXqyLdfjTTuxeJBOOx3kug,hauppauge-new-york,"['Burritos', 'Fast Food', 'Mexican']",4.0,389,$,40.7277372,-73.22664449999999,+16319685553,11706,490 E Main Street,Bay Shore,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '14:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '2:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '8:0', 'closes': '10:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '14:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '8:0', 'closes': '10:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:0', 'closes': '3:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Bay Shore', 'addressRegion': 'NY', 'postalCode': '11706', 'addressCountry': 'US', 'streetAddress': '490 E Main Street'}","{'@type': 'GeoCoordinates', 'latitude': 40.7277372, 'longitude': -73.22664449999999}","{'@type': 'AggregateRating', 'ratingValue': 4, 'reviewCount': '389'}"
Vinardos Pizza - Suffolk,https://www.ubereats.com/nyc-suburbs/food-delivery/vinardos-pizza-suffolk/-rvbewwHSaacJXpp-RIx9Q,hauppauge-new-york,"['Pizza', 'Seafood', 'Sandwich', 'Italian']",4.3,14,$$,40.779443,-73.227592,+16312739251,11717,287 Second Ave,Brentwood,New York,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Brentwood', 'addressRegion': 'New York', 'postalCode': '11717', 'addressCountry': 'US', 'streetAddress': '287 Second Ave'}","{'@type': 'GeoCoordinates', 'latitude': 40.779443, 'longitude': -73.227592}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '14'}"
Tropical Smoothie Cafe - Bay Shore Commons,https://www.ubereats.com/nyc-suburbs/food-delivery/tropical-smoothie-cafe-bay-shore-commons/5M5mwKHJRpqf3ZYDHqhwPw,hauppauge-new-york,"['Juice and Smoothies', 'Healthy', 'Sandwich']",4.8,346,$,40.728691,-73.230067,+16319695636,11706,567-B E Main St,Bay Shore,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '20:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '7:0', 'closes': '20:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Bay Shore', 'addressRegion': 'NY', 'postalCode': '11706', 'addressCountry': 'US', 'streetAddress': '567-B E Main St'}","{'@type': 'GeoCoordinates', 'latitude': 40.728691, 'longitude': -73.230067}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '346'}"
Anthony's Coal Fired Pizza - Commack,https://www.ubereats.com/nyc-suburbs/food-delivery/anthonys-coal-fired-pizza-commack/Xh0lmjXHS5m04WlF6RTctQ,hauppauge-new-york,"['Pizza', 'Italian', 'Vegetarian-Friendly']",4.6,89,$,40.843737,-73.294522,+16318582625,11725,6401 Jericho Turnpike,Commack,New York,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:45', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Commack', 'addressRegion': 'New York', 'postalCode': '11725', 'addressCountry': 'US', 'streetAddress': '6401 Jericho Turnpike'}","{'@type': 'GeoCoordinates', 'latitude': 40.843737, 'longitude': -73.294522}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '89'}"
Patrizia's of Long Island (Hauppauge),https://www.ubereats.com/nyc-suburbs/food-delivery/patrizias-of-long-island-hauppauge/-RSx_1RhRV2et9zpYZFGJQ,hauppauge-new-york,"['Italian', 'Pizza', 'Sandwich']",4.4,25,$,40.8082134,-73.2432934,+16318131890,11788,358 Vanderbilt Motor Pkwy,Hauppauge,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:30', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hauppauge', 'addressRegion': 'NY', 'postalCode': '11788', 'addressCountry': 'US', 'streetAddress': '358 Vanderbilt Motor Pkwy'}","{'@type': 'GeoCoordinates', 'latitude': 40.8082134, 'longitude': -73.2432934}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '25'}"
Dunkin' (1403 Brentwood Rd),https://www.ubereats.com/nyc-suburbs/food-delivery/dunkin-1403-brentwood-rd/IIYWsmuQS2yxFQO_HjQCzg,hauppauge-new-york,"['Breakfast and Brunch', 'Donuts']",4.5,34,$,40.7457481,-73.2408626,+16319698660,11706,1403 Brentwood Rd,Bayshore,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '5:30', 'closes': '20:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Bayshore', 'addressRegion': 'NY', 'postalCode': '11706', 'addressCountry': 'US', 'streetAddress': '1403 Brentwood Rd'}","{'@type': 'GeoCoordinates', 'latitude': 40.7457481, 'longitude': -73.2408626}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '34'}"
