name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Fresh Brothers - Calabasas,https://www.ubereats.com/los-angeles/food-delivery/fresh-brothers-calabasas/yVPHSRm9Rr6pYBnSAWOisQ,hidden-hills-california,"['Pizza', 'Italian', 'Salads', 'Sandwich', 'Desserts']",4.7,62,$,34.153047,-118.645496,+18182257555,91302,4751 Commons Way,Calabasas,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday'], 'opens': '10:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Calabasas', 'addressRegion': 'CA', 'postalCode': '91302', 'addressCountry': 'US', 'streetAddress': '4751 Commons Way'}","{'@type': 'GeoCoordinates', 'latitude': 34.153047, 'longitude': -118.645496}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '62'}"
Jeni's Splendid Ice Creams (Calabasas),https://www.ubereats.com/los-angeles/food-delivery/jenis-splendid-ice-creams-calabasas/xRHKtkF1Sw-cZH402UqCgw,hidden-hills-california,"['Ice Cream and Frozen Yogurt', 'Desserts']",4.9,39,$$,34.153047,-118.645496,+18189126490,91302,4751 Commons Way,Calabasas,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '14:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Calabasas', 'addressRegion': 'CA', 'postalCode': '91302', 'addressCountry': 'US', 'streetAddress': '4751 Commons Way'}","{'@type': 'GeoCoordinates', 'latitude': 34.153047, 'longitude': -118.645496}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '39'}"
Starbucks (Fallbrook & Victory),https://www.ubereats.com/los-angeles/food-delivery/starbucks-fallbrook-%26-victory/oSNGhfRjRliyJhonfySgxQ,hidden-hills-california,"['Cafe', 'Coffee & Tea', 'Breakfast and Brunch', 'Bakery']",4.7,14,$,34.1867876,-118.6243367,+18188830567,91307,22815 Victory Blvd.,West Hills,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:0', 'closes': '18:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'West Hills', 'addressRegion': 'CA', 'postalCode': '91307', 'addressCountry': 'US', 'streetAddress': '22815 Victory Blvd.'}","{'@type': 'GeoCoordinates', 'latitude': 34.1867876, 'longitude': -118.6243367}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '14'}"
The Copper Mine,https://www.ubereats.com/los-angeles/food-delivery/the-copper-mine/Y0LoD-9kQjee1HFcXOfLWQ,hidden-hills-california,"['Salads', 'Burgers', 'American']",,,$,34.168596,-118.6020427,+18184362814,91364,21733 Ventura Boulevard,Los Angeles,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '23:44'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '16:0', 'closes': '23:44'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '17:0', 'closes': '23:44'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:30', 'closes': '23:44'}]","{'@type': 'PostalAddress', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '91364', 'addressCountry': 'US', 'streetAddress': '21733 Ventura Boulevard'}","{'@type': 'GeoCoordinates', 'latitude': 34.168596, 'longitude': -118.6020427}",{}
Subway (8201 Topanga Canyon Blvd),https://www.ubereats.com/los-angeles/food-delivery/subway-8201-topanga-canyon-blvd/Cs2rOVtbSeeWKQ-jgTWTRw,hidden-hills-california,"['Fast Food', 'Sandwich', 'American']",3.9,10,$,34.218271,-118.607332,+18188847411,91304,8201 Topanga Canyon Blvd.,Canoga Park,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '8:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '9:0', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Canoga Park', 'addressRegion': 'CA', 'postalCode': '91304', 'addressCountry': 'US', 'streetAddress': '8201 Topanga Canyon Blvd.'}","{'@type': 'GeoCoordinates', 'latitude': 34.218271, 'longitude': -118.607332}","{'@type': 'AggregateRating', 'ratingValue': 3.9, 'reviewCount': '10'}"
Cafe Du Liban,https://www.ubereats.com/los-angeles/food-delivery/cafe-du-liban/eOH24suBSpO4ADo9IjwHrQ,hidden-hills-california,['Mediterranean'],4.8,28,$$,34.172975,-118.552098,+18187053194,91356,"19223 Ventura Blvd, Tarzana, USA",Los Angeles,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '12:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '91356', 'addressCountry': 'US', 'streetAddress': '19223 Ventura Blvd, Tarzana, USA'}","{'@type': 'GeoCoordinates', 'latitude': 34.172975, 'longitude': -118.552098}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '28'}"
Greco's New York Pizzeria (Tarzana),https://www.ubereats.com/los-angeles/food-delivery/grecos-new-york-pizzeria-tarzana/RPfXFebrS_GiUApjFLHcFw,hidden-hills-california,"['Pizza', 'Italian', 'Salads', 'Bar Food']",4.5,103,$,34.173092,-118.554313,+18183442290,91356,"19325 Ventura Blvd, Tarzana, USA",Los Angeles,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '0:0', 'closes': '1:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '23:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '0:0', 'closes': '1:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '23:59'}]","{'@type': 'PostalAddress', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '91356', 'addressCountry': 'US', 'streetAddress': '19325 Ventura Blvd, Tarzana, USA'}","{'@type': 'GeoCoordinates', 'latitude': 34.173092, 'longitude': -118.554313}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '103'}"
Traktir Restaurant,https://www.ubereats.com/los-angeles/food-delivery/traktir-restaurant/vq0GMKMZR8-irTsRJtmhtw,hidden-hills-california,"['Russian', 'Eastern European', 'European']",4.4,18,$,34.1694121,-118.5383257,+12134226300,91356,18588 Ventura Blvd,tarzana,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '15:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '15:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'tarzana', 'addressRegion': 'CA', 'postalCode': '91356', 'addressCountry': 'US', 'streetAddress': '18588 Ventura Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 34.1694121, 'longitude': -118.5383257}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '18'}"
Plant B - Canoga Park,https://www.ubereats.com/los-angeles/food-delivery/plant-b-canoga-park/_cTFQqqRSECMpFVcpSldvg,hidden-hills-california,"['Burgers', 'American', 'Sandwiches', 'Vegan', 'Vegan Friendly', 'Vegetarian Friendly', 'Vegetarian']",4.5,28,$,34.1882776,-118.6061945,+18183404287,91303,6501 Topanga Canyon Blvd,Los Angeles,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '9:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '91303', 'addressCountry': 'US', 'streetAddress': '6501 Topanga Canyon Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 34.1882776, 'longitude': -118.6061945}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '28'}"
KFC (20101 Sherman Way),https://www.ubereats.com/los-angeles/food-delivery/kfc-20101-sherman-way/qf4N5iguRrGN5ZWO1n9wyA,hidden-hills-california,"['American', 'Fast Food', 'wings']",4.3,77,$,34.2019346,-118.5725942,+18188821160,91306,20101 Sherman Way,Winnetka,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Winnetka', 'addressRegion': 'CA', 'postalCode': '91306', 'addressCountry': 'US', 'streetAddress': '20101 Sherman Way'}","{'@type': 'GeoCoordinates', 'latitude': 34.2019346, 'longitude': -118.5725942}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '77'}"
