name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
PRIMEALETE NUTRITION LLC,https://www.ubereats.com/detroit/food-delivery/primealete-nutrition-llc/e-E5LHxYSsaDhF5Sx6q-XQ,highland-park-michigan,"['American', 'Seafood', 'Chicken']",,,$,42.3438933,-83.1913658,+13133846544,48126,"15010 W Warren Ave, Suite 211",Dearborn,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '9:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Dearborn', 'addressRegion': 'MI', 'postalCode': '48126', 'addressCountry': 'US', 'streetAddress': '15010 W Warren Ave, Suite 211'}","{'@type': 'GeoCoordinates', 'latitude': 42.3438933, 'longitude': -83.1913658}",{}
OneStop Shawarma & Grill,https://www.ubereats.com/detroit/food-delivery/onestop-shawarma-%26-grill/c6HO8GYQSJ2HNW6mRJtyUQ,highland-park-michigan,"['Salad / Sandwiches', 'Wings', 'Comfort Food', 'Allergy Friendly']",,,$,42.49316520000001,-82.9878359,+15867566797,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '12:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:0', 'closes': '18:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 42.49316520000001, 'longitude': -82.9878359}",{}
Blimpie (108 W Hancock St ),https://www.ubereats.com/detroit/food-delivery/blimpie-108-w-hancock-st/7wqmN8jyRN244nH-vpzrWg,highland-park-michigan,"['Sandwich', 'American', 'Salads']",4.6,13,$,42.355178,-83.065437,+13138310711,48201,108 W Hancock St,Detroit,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:0', 'closes': '16:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Detroit', 'addressRegion': 'MI', 'postalCode': '48201', 'addressCountry': 'US', 'streetAddress': '108 W Hancock St'}","{'@type': 'GeoCoordinates', 'latitude': 42.355178, 'longitude': -83.065437}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '13'}"
La Palma,https://www.ubereats.com/detroit/food-delivery/la-palma/wpFWDSqHR-aLc4IxiNfVDA,highland-park-michigan,"['Mediterranean', 'Greek', 'Vegetarian']",4.3,27,$,42.35368700000001,-83.0596619,+13138335000,48201,113 E Canfield St,Detroit,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '10:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '10:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '0:0', 'closes': '16:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday'], 'opens': '10:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Detroit', 'addressRegion': 'MI', 'postalCode': '48201', 'addressCountry': 'US', 'streetAddress': '113 E Canfield St'}","{'@type': 'GeoCoordinates', 'latitude': 42.35368700000001, 'longitude': -83.0596619}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '27'}"
In Joy Pizza & Burgers,https://www.ubereats.com/detroit/food-delivery/in-joy-pizza-%26-burgers/WzqXrsyDSFiwmS4lAO-WzA,highland-park-michigan,"['Pizza', 'Burgers', 'Wings']",,,$$,42.49206849999999,-83.08421299999999,+15869202216,48092,27116 Dequindre Rd,Warren,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '14:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '12:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:30', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Warren', 'addressRegion': 'MI', 'postalCode': '48092', 'addressCountry': 'US', 'streetAddress': '27116 Dequindre Rd'}","{'@type': 'GeoCoordinates', 'latitude': 42.49206849999999, 'longitude': -83.08421299999999}",{}
Outback Steakhouse (23501 Greenfield Road),https://www.ubereats.com/detroit/food-delivery/outback-steakhouse-23501-greenfield-road/hL7aozDiRIKVrZ5FYrlc3Q,highland-park-michigan,"['Burgers', 'American', 'Sandwiches', 'Steak', 'Seafood', 'Salads', 'BBQ']",3.8,100,$,42.463086,-83.201864,+12484249696,48075,23501 Greenfield Road,Southfield,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Southfield', 'addressRegion': 'MI', 'postalCode': '48075', 'addressCountry': 'US', 'streetAddress': '23501 Greenfield Road'}","{'@type': 'GeoCoordinates', 'latitude': 42.463086, 'longitude': -83.201864}","{'@type': 'AggregateRating', 'ratingValue': 3.8, 'reviewCount': '100'}"
La Dolce Vita,https://www.ubereats.com/detroit/food-delivery/la-dolce-vita/iCybnVqsRp-Pq7AwFTf5Vg,highland-park-michigan,"['Italian', 'Pasta', 'Comfort Food']",,,$,42.4202478,-83.10654400000001,+13138650331,48203,17546 Woodward Ave,Highland Park,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '17:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '17:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '17:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Highland Park', 'addressRegion': 'MI', 'postalCode': '48203', 'addressCountry': 'US', 'streetAddress': '17546 Woodward Ave'}","{'@type': 'GeoCoordinates', 'latitude': 42.4202478, 'longitude': -83.10654400000001}",{}
"Starbucks (Royal Oak, S Main & 3rd St)",https://www.ubereats.com/detroit/food-delivery/starbucks-royal-oak-s-main-%26-3rd-st/khMPzMy1TvaI357-O81F7w,highland-park-michigan,"['Bakery', 'Breakfast and Brunch', 'Cafe', 'Coffee & Tea']",4.8,100,$,42.4879863,-83.1444209,+12485484570,48067,300 S Main St,Royal Oak,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '6:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '5:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '6:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Royal Oak', 'addressRegion': 'MI', 'postalCode': '48067', 'addressCountry': 'US', 'streetAddress': '300 S Main St'}","{'@type': 'GeoCoordinates', 'latitude': 42.4879863, 'longitude': -83.1444209}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '100'}"
Tim Horton's (22211 Coolidge Ave),https://www.ubereats.com/detroit/food-delivery/tim-hortons-22211-coolidge-ave/F0aCJum1TpOVhI3LMLkrwg,highland-park-michigan,"['Bakery', 'Cafe', 'Donuts']",,,$$,42.4594964,-83.1823572,+12483991367,48237,22211 Coolidge Hwy,Oak Park,MI,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '9:0', 'closes': '13:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '13:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Oak Park', 'addressRegion': 'MI', 'postalCode': '48237', 'addressCountry': 'US', 'streetAddress': '22211 Coolidge Hwy'}","{'@type': 'GeoCoordinates', 'latitude': 42.4594964, 'longitude': -83.1823572}",{}
VeganCafe313,https://www.ubereats.com/detroit/food-delivery/vegancafe313/9VLW122ORAGgX9qR5bL-4w,highland-park-michigan,"['Vegetarian', 'Coffee and Tea']",,,$$,42.429043,-83.112476,+13133662247,48203,18700 Woodward Ave,Detroit,Michigan,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '1:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Detroit', 'addressRegion': 'Michigan', 'postalCode': '48203', 'addressCountry': 'US', 'streetAddress': '18700 Woodward Ave'}","{'@type': 'GeoCoordinates', 'latitude': 42.429043, 'longitude': -83.112476}",{}
