name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Pizza Factory (301 the Alameda),https://www.ubereats.com/san-francisco/food-delivery/pizza-factory-301-the-alameda/N9bqyrO5ToGbRPXwbrIzeA,hollister-california,"['Pizza', 'American', 'Italian']",,,$,36.8414026,-121.5349932,+18316231011,95045,301 the Alameda,San Juan Bautista,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'San Juan Bautista', 'addressRegion': 'CA', 'postalCode': '95045', 'addressCountry': 'US', 'streetAddress': '301 the Alameda'}","{'@type': 'GeoCoordinates', 'latitude': 36.8414026, 'longitude': -121.5349932}",{}
Burger King (1720 Airline Highway),https://www.ubereats.com/san-francisco/food-delivery/burger-king-1720-airline-highway/Mw605TH5Ti6AgMlzBnP-sw,hollister-california,"['American', 'burger', 'Fast Food']",4.5,55,$,36.8377232,-121.3903205,+18316381125,95023,1720 Airline Highway,Hollister,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:30', 'closes': '10:29'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:30', 'closes': '23:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '6:30', 'closes': '10:29'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:30', 'closes': '23:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hollister', 'addressRegion': 'CA', 'postalCode': '95023', 'addressCountry': 'US', 'streetAddress': '1720 Airline Highway'}","{'@type': 'GeoCoordinates', 'latitude': 36.8377232, 'longitude': -121.3903205}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '55'}"
Ohana Shave Ice,https://www.ubereats.com/san-francisco/food-delivery/ohana-shave-ice/xbJ1DR1sTpyAGh3TVQTqsA,hollister-california,"['Ice Cream and Frozen Yogurt', 'Desserts']",4.9,27,$,36.848577,-121.402498,+18312509049,95023,738 San Benito St,Hollister,California,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '15:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '12:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hollister', 'addressRegion': 'California', 'postalCode': '95023', 'addressCountry': 'US', 'streetAddress': '738 San Benito St'}","{'@type': 'GeoCoordinates', 'latitude': 36.848577, 'longitude': -121.402498}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '27'}"
KFC (191 McCray Street),https://www.ubereats.com/san-francisco/food-delivery/kfc-191-mccray-street/w2mGAoefTaigXWKYDmNO4Q,hollister-california,"['American', 'Fast Food', 'wings']",4.4,37,$,36.8545727,-121.3986938,+12814586957,95023,191 McCray Street,Hollister,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hollister', 'addressRegion': 'CA', 'postalCode': '95023', 'addressCountry': 'US', 'streetAddress': '191 McCray Street'}","{'@type': 'GeoCoordinates', 'latitude': 36.8545727, 'longitude': -121.3986938}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '37'}"
The Ice Cream Shop ,https://www.ubereats.com/san-francisco/food-delivery/the-ice-cream-shop/vSOyOakaTT6MlfZl0WRMHw,hollister-california,"['Desserts', 'Ice Cream and Frozen Yogurt']",,,$,36.8591376,-121.4002121,+18316309400,95023,191 San Felipe Rd,Hollister,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hollister', 'addressRegion': 'CA', 'postalCode': '95023', 'addressCountry': 'US', 'streetAddress': '191 San Felipe Rd'}","{'@type': 'GeoCoordinates', 'latitude': 36.8591376, 'longitude': -121.4002121}",{}
Mountain Mike's Pizza (261 McCray St Ste A),https://www.ubereats.com/san-francisco/food-delivery/mountain-mikes-pizza-261-mccray-st-ste-a/cFvsOxkpQRe8AkMWJshSTg,hollister-california,"['American', 'Salads', 'Pizza']",,,$,36.854098,-121.398665,+18316380401,95023,261 McCray St Ste A,Hollister,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday'], 'opens': '10:45', 'closes': '20:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday'], 'opens': '10:45', 'closes': '21:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:45', 'closes': '21:15'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hollister', 'addressRegion': 'CA', 'postalCode': '95023', 'addressCountry': 'US', 'streetAddress': '261 McCray St Ste A'}","{'@type': 'GeoCoordinates', 'latitude': 36.854098, 'longitude': -121.398665}",{}
Taco Bell (40 San Felipe Road),https://www.ubereats.com/san-francisco/food-delivery/taco-bell-40-san-felipe-road/AoqEtLZnSjKBfC1yA1QHmg,hollister-california,"['Burritos', 'Fast Food', 'Mexican']",4.6,23,$,36.857233,-121.4022439,+18316301887,95023,40 San Felipe Road,Hollister,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '14:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '8:30', 'closes': '23:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '9:30', 'closes': '10:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '14:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '9:30', 'closes': '10:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '8:30', 'closes': '11:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '14:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '8:30', 'closes': '23:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '9:30', 'closes': '10:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hollister', 'addressRegion': 'CA', 'postalCode': '95023', 'addressCountry': 'US', 'streetAddress': '40 San Felipe Road'}","{'@type': 'GeoCoordinates', 'latitude': 36.857233, 'longitude': -121.4022439}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '23'}"
TOGOs (1750 Airline Hwy),https://www.ubereats.com/san-francisco/food-delivery/togos-1750-airline-hwy/n1tJUgJyT5KkFwwsPFgjOQ,hollister-california,"['Sandwich', 'American']",4.5,50,$,36.8368369,-121.3903719,+18316379020,95023,1750 Airline Hwy,Hollister,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '20:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hollister', 'addressRegion': 'CA', 'postalCode': '95023', 'addressCountry': 'US', 'streetAddress': '1750 Airline Hwy'}","{'@type': 'GeoCoordinates', 'latitude': 36.8368369, 'longitude': -121.3903719}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '50'}"
Metro Baladeras Taqueria - Hollister,https://www.ubereats.com/san-francisco/food-delivery/metro-baladeras-taqueria-hollister/9SGBIvLFQJa8zc_3b_wauw,hollister-california,"['Mexican', 'Fast Food']",4.6,30,$,36.8502198,-121.3969426,+18316364805,95023,601 McCray St,Hollister,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hollister', 'addressRegion': 'CA', 'postalCode': '95023', 'addressCountry': 'US', 'streetAddress': '601 McCray St'}","{'@type': 'GeoCoordinates', 'latitude': 36.8502198, 'longitude': -121.3969426}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '30'}"
Smashburger (1210 E. Park Street),https://www.ubereats.com/san-francisco/food-delivery/smashburger-1210-e-park-street/i870k3YCQM-ZjfR03QfKiQ,hollister-california,"['American', 'Burgers', 'New American', 'Comfort Food', 'Kids Friendly', 'Salads', 'Chicken']",3.9,42,$$,36.843464231920656,-121.39411999724096,+18312657085,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 36.843464231920656, 'longitude': -121.39411999724096}","{'@type': 'AggregateRating', 'ratingValue': 3.9, 'reviewCount': '42'}"
