name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Mai Thai (Old Town),https://www.ubereats.com/washington-dc/food-delivery/mai-thai-old-town/wPKXe7BQSvOqa0XIwD0weg,hybla-valley-virginia,"['Thai', 'Asian']",4.8,395,$$,38.804066,-77.040037,+17035480600.0,22314,6 King St,Alexandria,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:15', 'closes': '22:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:15', 'closes': '15:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '15:30', 'closes': '22:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:15', 'closes': '15:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '15:30', 'closes': '22:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:15', 'closes': '22:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Alexandria', 'addressRegion': 'VA', 'postalCode': '22314', 'addressCountry': 'US', 'streetAddress': '6 King St'}","{'@type': 'GeoCoordinates', 'latitude': 38.804066, 'longitude': -77.040037}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '395'}"
FreshLe Prep,https://www.ubereats.com/washington-dc/food-delivery/freshle-prep/C6D_Dw-JQCuU5XmGDV-fqA,hybla-valley-virginia,"['Salads', 'Healthy']",,,$$,38.726595,-77.199726,+17038325001,22079,8538 Terminal Rd,Lorton,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '16:30', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday'], 'opens': '11:0', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday'], 'opens': '16:30', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '23:0', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '16:30', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '18:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Lorton', 'addressRegion': 'VA', 'postalCode': '22079', 'addressCountry': 'US', 'streetAddress': '8538 Terminal Rd'}","{'@type': 'GeoCoordinates', 'latitude': 38.726595, 'longitude': -77.199726}",{}
Aditi Indian Dining,https://www.ubereats.com/washington-dc/food-delivery/aditi-indian-dining/btk9pbIpSpi1R0JdC6V_tQ,hybla-valley-virginia,['Indian'],4.8,250,$,38.77134,-77.138961,+17039226111,22315,5926 Kingstowne Towne Center,Alexandria,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '16:30', 'closes': '20:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '17:0', 'closes': '20:40'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '16:30', 'closes': '20:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '16:30', 'closes': '20:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:0', 'closes': '14:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Alexandria', 'addressRegion': 'VA', 'postalCode': '22315', 'addressCountry': 'US', 'streetAddress': '5926 Kingstowne Towne Center'}","{'@type': 'GeoCoordinates', 'latitude': 38.77134, 'longitude': -77.138961}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '250'}"
Jeni's Ice Cream Old Town Alexandria,https://www.ubereats.com/washington-dc/food-delivery/jenis-ice-cream-old-town-alexandria/twZJPo6iQCOosIpfCurrhQ,hybla-valley-virginia,"['Ice Cream & Frozen Yogurt', 'Comfort Food', 'Desserts']",4.9,328,$,38.8051902,-77.05019250000001,+12026218625,22314,102 South Patrick Street,Alexandria,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '12:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '12:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Alexandria', 'addressRegion': 'VA', 'postalCode': '22314', 'addressCountry': 'US', 'streetAddress': '102 South Patrick Street'}","{'@type': 'GeoCoordinates', 'latitude': 38.8051902, 'longitude': -77.05019250000001}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '328'}"
Panda Express (6739 Springfield Mall),https://www.ubereats.com/washington-dc/food-delivery/panda-express-6739-springfield-mall/Rr6ovSm7R3S3YmvPBqc_Gw,hybla-valley-virginia,['Chinese'],4.2,18,$,38.77503060000001,-77.1735056,+17039229619,22150,6739,Springfield,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '17:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '18:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Springfield', 'addressRegion': 'VA', 'postalCode': '22150', 'addressCountry': 'US', 'streetAddress': '6739'}","{'@type': 'GeoCoordinates', 'latitude': 38.77503060000001, 'longitude': -77.1735056}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '18'}"
Quickway Japanese Hibachi (Alexandria - Richmond Hwy),https://www.ubereats.com/washington-dc/food-delivery/quickway-japanese-hibachi-alexandria-richmond-hwy/AeHusYCySZ2qwE0JqeT2RQ,hybla-valley-virginia,"['Japanese', 'Sushi', 'Japanese BBQ']",4.5,193,$,38.74814341431457,-77.08377148626305,+17037998182,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:54'}]",,"{'@type': 'GeoCoordinates', 'latitude': 38.74814341431457, 'longitude': -77.08377148626305}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '193'}"
Subway (6678 Richmond Hwy),https://www.ubereats.com/washington-dc/food-delivery/subway-6678-richmond-hwy/5JCBYBUIQfuOHux_syvHLQ,hybla-valley-virginia,"['Fast Food', 'Sandwich', 'American']",4.8,40,$,38.773621,-77.083021,+17033733404,22306,6678 Richmond Hwy,Alexandria,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '8:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Alexandria', 'addressRegion': 'VA', 'postalCode': '22306', 'addressCountry': 'US', 'streetAddress': '6678 Richmond Hwy'}","{'@type': 'GeoCoordinates', 'latitude': 38.773621, 'longitude': -77.083021}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '40'}"
"Panda Express (6307 Richmond Hwy, Suite G)",https://www.ubereats.com/washington-dc/food-delivery/panda-express-6307-richmond-hwy-suite-g/rPt_icStTHyuzkywtTUQ8Q,hybla-valley-virginia,"['Chinese', 'Family Meals']",4.3,373,$,38.781151,-77.077752,+17037212071,22306,"6307 Richmond Hwy, Suite G",Alexandria,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:30', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Alexandria', 'addressRegion': 'VA', 'postalCode': '22306', 'addressCountry': 'US', 'streetAddress': '6307 Richmond Hwy, Suite G'}","{'@type': 'GeoCoordinates', 'latitude': 38.781151, 'longitude': -77.077752}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '373'}"
Ken's Sushi ,https://www.ubereats.com/washington-dc/food-delivery/kens-sushi/JGAx2INUTzqDT3zHp9NxqQ,hybla-valley-virginia,"['Asian', 'Asian Fusion', 'Sushi']",4.7,19,$,38.7942921,-77.07001629999999,+15714517625,22303,2256 Huntington Ave,Alexandria,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Alexandria', 'addressRegion': 'VA', 'postalCode': '22303', 'addressCountry': 'US', 'streetAddress': '2256 Huntington Ave'}","{'@type': 'GeoCoordinates', 'latitude': 38.7942921, 'longitude': -77.07001629999999}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '19'}"
"Noodles & Company (5900 Kingstowne Blvd, Ste 130)",https://www.ubereats.com/washington-dc/food-delivery/noodles-%26-company-5900-kingstowne-blvd-ste-130/L1mb2CddT2KMi9iw6_xT6A,hybla-valley-virginia,"['Healthy', 'Pasta', 'Comfort Food', 'American', 'Italian', 'Chinese', 'Noodles']",4.8,146,$,38.771558,-77.1381719,+17039710179,22315,5900 Kingstowne Blvd Ste 130,Alexandria,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Alexandria', 'addressRegion': 'VA', 'postalCode': '22315', 'addressCountry': 'US', 'streetAddress': '5900 Kingstowne Blvd Ste 130'}","{'@type': 'GeoCoordinates', 'latitude': 38.771558, 'longitude': -77.1381719}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '146'}"
La Casa Restaurant,https://www.ubereats.com/washington-dc/food-delivery/la-casa-restaurant/7AFTH5bnQdiPCHk3biggXQ,hybla-valley-virginia,"['Mediterranean', 'Pizza']",,,$,38.813,-77.1113,+17033703600,22304,4551 Duke St,Alexandria,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Alexandria', 'addressRegion': 'VA', 'postalCode': '22304', 'addressCountry': 'US', 'streetAddress': '4551 Duke St'}","{'@type': 'GeoCoordinates', 'latitude': 38.813, 'longitude': -77.1113}",{}
McDonald's® (Alexdr-Van Dorn),https://www.ubereats.com/washington-dc/food-delivery/mcdonalds-alexdr-van-dorn/l-HLgGMfSqSazf7Z5HvnaQ,hybla-valley-virginia,"['American', 'Fast Food', 'Burgers']",4.6,360,$,38.806875,-77.133948,+17033707652,22304,505 S VAN DORN ST,ALEXANDRIA,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '4:0', 'closes': '10:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '16:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '17:0', 'closes': '3:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '4:0', 'closes': '10:29'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:30', 'closes': '16:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '17:0', 'closes': '3:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '4:0', 'closes': '10:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '16:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '17:0', 'closes': '3:59'}]","{'@type': 'PostalAddress', 'addressLocality': 'ALEXANDRIA', 'addressRegion': 'VA', 'postalCode': '22304', 'addressCountry': 'US', 'streetAddress': '505 S VAN DORN ST'}","{'@type': 'GeoCoordinates', 'latitude': 38.806875, 'longitude': -77.133948}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '360'}"
Starbucks (Alexandria Commons),https://www.ubereats.com/washington-dc/food-delivery/starbucks-alexandria-commons/rSDvYlaLTVG5T1GvNmkc1Q,hybla-valley-virginia,"['Cafe', 'Coffee & Tea', 'Breakfast and Brunch', 'Bakery']",4.7,51,$,38.8085982,-77.0834684,+17032124890,22314,3113 Duke Street,Alexandria,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:0', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Alexandria', 'addressRegion': 'VA', 'postalCode': '22314', 'addressCountry': 'US', 'streetAddress': '3113 Duke Street'}","{'@type': 'GeoCoordinates', 'latitude': 38.8085982, 'longitude': -77.0834684}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '51'}"
Vegan & Healthy House ,https://www.ubereats.com/washington-dc/food-delivery/vegan-%26-healthy-house/T4SgpI6oQmWKzhby8oHwbQ,hybla-valley-virginia,"['Vegetarian', 'Vegan', 'Healthy', 'Chinese', 'Asian', 'Asian Fusion', 'Gluten Free', 'Noodles', 'Seafood']",4.6,73,$,38.8492681,-77.08412419999999,+17034868828,22206,2249 S Shirlington Rd Ste B,Arlington,VA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '23:59'}]","{'@type': 'PostalAddress', 'addressLocality': 'Arlington', 'addressRegion': 'VA', 'postalCode': '22206', 'addressCountry': 'US', 'streetAddress': '2249 S Shirlington Rd Ste B'}","{'@type': 'GeoCoordinates', 'latitude': 38.8492681, 'longitude': -77.08412419999999}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '73'}"
