name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Frederick's Soul Hole,https://www.ubereats.com/new-york/food-delivery/fredericks-soul-hole/jIbDXh56Qu24AbZ9S0SBlw,jamaica-new-york,"['Soul Food', 'Seafood', 'Cajun']",4.5,219,$$,40.674504,-73.736364,+19293563073,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '13:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday'], 'opens': '13:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '13:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '13:0', 'closes': '22:30'}]",,"{'@type': 'GeoCoordinates', 'latitude': 40.674504, 'longitude': -73.736364}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '219'}"
Steve's Breakfast and Coffee,https://www.ubereats.com/new-york/food-delivery/steves-breakfast-and-coffee/dqgOFAqTTIGUxgpXNgEAmw,jamaica-new-york,"['Burgers', 'American', 'Sandwiches']",4.8,25,$,40.7642511,-73.81021489999999,+13476156668,11354,154-28 Northern Blvd 1 FL.,Flushing,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:0', 'closes': '13:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '6:0', 'closes': '16:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Flushing', 'addressRegion': 'NY', 'postalCode': '11354', 'addressCountry': 'US', 'streetAddress': '154-28 Northern Blvd 1 FL.'}","{'@type': 'GeoCoordinates', 'latitude': 40.7642511, 'longitude': -73.81021489999999}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '25'}"
,https://www.ubereats.com/new-york/food-delivery/santorinis/kZxnnFGPQ_adl0vV5AvCRQ,jamaica-new-york,,,,,,,,,,,,,,,
Rehana Grill Chicken,https://www.ubereats.com/new-york/food-delivery/rehana-grill-chicken/I56Z4E7HSySa1tAN5vr4Ug,jamaica-new-york,"['Seafood', 'Chicken', 'Sandwich']",,,$,40.713549,-73.76481199999999,+19294608100,11423,195-29,Jamaica,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Jamaica', 'addressRegion': 'NY', 'postalCode': '11423', 'addressCountry': 'US', 'streetAddress': '195-29'}","{'@type': 'GeoCoordinates', 'latitude': 40.713549, 'longitude': -73.76481199999999}",{}
Dunkin' (211-02 Jamaica Ave),https://www.ubereats.com/new-york/food-delivery/dunkin-211-02-jamaica-ave/5ZObB_wnRNGvnZDS1tyMBg,jamaica-new-york,"['Breakfast and Brunch', 'Donuts']",4.2,125,$,40.7149843,-73.7488199,+17185281692,11428,211-02,Jamaica,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '5:30', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '6:0', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '5:30', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Jamaica', 'addressRegion': 'NY', 'postalCode': '11428', 'addressCountry': 'US', 'streetAddress': '211-02'}","{'@type': 'GeoCoordinates', 'latitude': 40.7149843, 'longitude': -73.7488199}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '125'}"
Gotta Getta Bagel of Queens of NY,https://www.ubereats.com/new-york/food-delivery/gotta-getta-bagel-of-queens-of-ny/yH3kjaMxTyWDobsYxJDqsw,jamaica-new-york,"['Breakfast and Brunch', 'Salads', 'Kosher']",4.9,15,$,40.7205274,-73.8447906,+17187931640,11375,107-09 71st Ave,New York,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '8:0', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:0', 'closes': '13:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '11375', 'addressCountry': 'US', 'streetAddress': '107-09 71st Ave'}","{'@type': 'GeoCoordinates', 'latitude': 40.7205274, 'longitude': -73.8447906}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '15'}"
,https://www.ubereats.com/nyc-suburbs/food-delivery/guacamole-burgers/dJ9eEL_tSgSwgLEIR11-Ng,jamaica-new-york,,,,,,,,,,,,,,,
,https://www.ubereats.com/new-york/food-delivery/hush-restaurant-%26-lounge/i2_MPz9mRJClNopFyXg7Zw,jamaica-new-york,,,,,,,,,,,,,,,
,https://www.ubereats.com/nyc-suburbs/food-delivery/alnar-cafe-hyde-park/OE6FbW_lTDGqMxnWeaIHXw,jamaica-new-york,,,,,,,,,,,,,,,
La Ronde Bakery,https://www.ubereats.com/new-york/food-delivery/la-ronde-bakery/1sBV5Z4yTaq4u1kI4QsOjA,jamaica-new-york,"['Bakery', 'Sandwich', 'Breakfast and Brunch']",,,$,40.6929747,-73.7327945,+17182761282,11411,22807 Linden Blvd,Jamaica,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:0', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '7:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Jamaica', 'addressRegion': 'NY', 'postalCode': '11411', 'addressCountry': 'US', 'streetAddress': '22807 Linden Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 40.6929747, 'longitude': -73.7327945}",{}
