name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Applebee's  (1745 Easton Road),https://www.ubereats.com/philadelphia/food-delivery/applebees-1745-easton-road/4OGaD4EuQ8-YjnlT9MeT9g,jamison-pennsylvania,"['American', 'Bar Food', 'BBQ', 'burger', 'Chicken Strips', 'Comfort Food', 'Dinner', 'pasta', 'salad', 'Sandwich', 'Soup', 'Steak', 'Traditional American', 'wings']",4.7,78,$$,40.27310629999999,-75.1266263,+12154913390,18901,1745 Easton Road,Doylestown,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:30', 'closes': '23:29'}]","{'@type': 'PostalAddress', 'addressLocality': 'Doylestown', 'addressRegion': 'PA', 'postalCode': '18901', 'addressCountry': 'US', 'streetAddress': '1745 Easton Road'}","{'@type': 'GeoCoordinates', 'latitude': 40.27310629999999, 'longitude': -75.1266263}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '78'}"
Rita's Italian Ice (14 Swamp Rd),https://www.ubereats.com/philadelphia/food-delivery/ritas-italian-ice-14-swamp-rd/lvmcpzWnSd-SOCQxjU8uew,jamison-pennsylvania,"['Desserts', 'Ice Cream and Frozen Yogurt']",4.6,14,$,40.2298785,-74.939578,+12159688668,18940,14 Swamp Rd,Newtown,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '13:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '14:0', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '14:0', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '13:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '14:0', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Newtown', 'addressRegion': 'PA', 'postalCode': '18940', 'addressCountry': 'US', 'streetAddress': '14 Swamp Rd'}","{'@type': 'GeoCoordinates', 'latitude': 40.2298785, 'longitude': -74.939578}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '14'}"
El Rey Del Oro,https://www.ubereats.com/philadelphia/food-delivery/el-rey-del-oro/E47DOpK8QDuouIK3cVAcJg,jamison-pennsylvania,"['Mexican', 'Seafood', 'Comfort Food']",4.6,24,$,40.18404659999999,-75.116295,+12157911987,19040,112 W Moreland Avenue,Hatboro,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday'], 'opens': '10:30', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday'], 'opens': '10:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '10:30', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:30', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:30', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hatboro', 'addressRegion': 'PA', 'postalCode': '19040', 'addressCountry': 'US', 'streetAddress': '112 W Moreland Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 40.18404659999999, 'longitude': -75.116295}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '24'}"
Poke Bros. (Warrington),https://www.ubereats.com/philadelphia/food-delivery/poke-bros-warrington/kKzpuVmGQhu2RJKCm4N1TA,jamison-pennsylvania,"['Japanese', 'Asian', 'Sushi']",4.9,17,$,40.2329231,-75.1376485,+12157927389,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 40.2329231, 'longitude': -75.1376485}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '17'}"
Subway (100 E Street Rd),https://www.ubereats.com/philadelphia/food-delivery/subway-100-e-street-rd/N_OG3iSAS2CplVllJmtX6g,jamison-pennsylvania,"['Fast Food', 'Sandwich', 'American']",,,$,40.1949204,-75.0810082,+12156726000,18974,100 E Street Rd,Warminster,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '8:30', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Warminster', 'addressRegion': 'PA', 'postalCode': '18974', 'addressCountry': 'US', 'streetAddress': '100 E Street Rd'}","{'@type': 'GeoCoordinates', 'latitude': 40.1949204, 'longitude': -75.0810082}",{}
Starbucks (270 Easton Road Warrington),https://www.ubereats.com/philadelphia/food-delivery/starbucks-270-easton-road-warrington/agId1ivPQ8Shv3fqBEBmTg,jamison-pennsylvania,"['Bakery', 'Breakfast and Brunch', 'Cafe', 'Coffee & Tea']",4.3,27,$,40.2201347,-75.1405144,+12154911960,18976,270 Easton Rd.,Warrington,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '5:30', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '5:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '5:30', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Warrington', 'addressRegion': 'PA', 'postalCode': '18976', 'addressCountry': 'US', 'streetAddress': '270 Easton Rd.'}","{'@type': 'GeoCoordinates', 'latitude': 40.2201347, 'longitude': -75.1405144}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '27'}"
Dunkin' (3611 North Easton Rd),https://www.ubereats.com/philadelphia/food-delivery/dunkin-3611-north-easton-rd/acIPJFnZT_-WojYM9F_yJw,jamison-pennsylvania,"['Breakfast and Brunch', 'Donuts']",4.7,13,$,40.328517,-75.129155,+12154892017,18901,3611 North Easton Rd,Doylestown,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '6:30', 'closes': '17:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '5:30', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '6:30', 'closes': '17:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Doylestown', 'addressRegion': 'PA', 'postalCode': '18901', 'addressCountry': 'US', 'streetAddress': '3611 North Easton Rd'}","{'@type': 'GeoCoordinates', 'latitude': 40.328517, 'longitude': -75.129155}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '13'}"
Indian Grill (Bethlehem Pike),https://www.ubereats.com/philadelphia/food-delivery/indian-grill-bethlehem-pike/QPHdyMIIR4iSOMd187RwjA,jamison-pennsylvania,"['Indian', 'Middle Eastern']",4.3,69,$,40.228426,-75.235564,+12158554900,18936,969 Bethlehem Pike,Montgomeryville,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:30', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:30', 'closes': '14:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:30', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Montgomeryville', 'addressRegion': 'PA', 'postalCode': '18936', 'addressCountry': 'US', 'streetAddress': '969 Bethlehem Pike'}","{'@type': 'GeoCoordinates', 'latitude': 40.228426, 'longitude': -75.235564}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '69'}"
Manhattan Bagel - Warrington,https://www.ubereats.com/philadelphia/food-delivery/manhattan-bagel-warrington/rpsEKQOPTRyNRoxjZEq9Gw,jamison-pennsylvania,"['Deli', 'Breakfast and Brunch', 'Sandwich']",4.6,19,$$,40.26815,-75.12921,+12154913333,18976,1661 Easton Rd,Warrington,Pennsylvania,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '8:0', 'closes': '12:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Warrington', 'addressRegion': 'Pennsylvania', 'postalCode': '18976', 'addressCountry': 'US', 'streetAddress': '1661 Easton Rd'}","{'@type': 'GeoCoordinates', 'latitude': 40.26815, 'longitude': -75.12921}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '19'}"
Taco Bell (909 2nd Street Pike),https://www.ubereats.com/philadelphia/food-delivery/taco-bell-909-2nd-street-pike/5O40jaP3TNaKkRkV_poKKw,jamison-pennsylvania,"['Burritos', 'Fast Food', 'Mexican']",4.4,149,$,40.21190509999999,-75.01038849999999,+12153642153,18954,909 2nd Street Pike,Richboro,PA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '14:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '23:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '14:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:0', 'closes': '0:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Richboro', 'addressRegion': 'PA', 'postalCode': '18954', 'addressCountry': 'US', 'streetAddress': '909 2nd Street Pike'}","{'@type': 'GeoCoordinates', 'latitude': 40.21190509999999, 'longitude': -75.01038849999999}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '149'}"
