name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Great American Cookies (Johnson City Mall2011 N Roan St Space F-5),https://www.ubereats.com/tricities/food-delivery/great-american-cookies-johnson-city-mall2011-n-roan-st-space-f-5/OyHkhvPrSqyMTg1039QPEA,johnson-city-tennessee,"['Desserts', 'Pastry', 'Cupcakes', 'Bakery']",,,$,36.3393783,-82.37662209999999,+14232822444,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '17:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '18:30'}]",,"{'@type': 'GeoCoordinates', 'latitude': 36.3393783, 'longitude': -82.37662209999999}",{}
Buttermilk Sky Pie Shop,https://www.ubereats.com/tricities/food-delivery/buttermilk-sky-pie-shop/wpQqfFP0RKSK5cDT3XGsXw,johnson-city-tennessee,"['Desserts', 'Pastry', 'Kids Friendly']",,,,36.35001310000001,-82.39776959999999,+14234918163,37604,"3135 Peoples St, Ste. 300",Johnson City,TN,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '18:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Johnson City', 'addressRegion': 'TN', 'postalCode': '37604', 'addressCountry': 'US', 'streetAddress': '3135 Peoples St, Ste. 300'}","{'@type': 'GeoCoordinates', 'latitude': 36.35001310000001, 'longitude': -82.39776959999999}",{}
Krispy Kreme (1100 West Market Street),https://www.ubereats.com/tricities/food-delivery/krispy-kreme-1100-west-market-street/LR1hHxQTSRqJtHm0k5JEqQ,johnson-city-tennessee,"['Breakfast and Brunch', 'Bakery', 'Desserts']",,,$,36.3140928,-82.3796399,+14239290076,37604,1100 West Market Street,Johnson City,TN,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Johnson City', 'addressRegion': 'TN', 'postalCode': '37604', 'addressCountry': 'US', 'streetAddress': '1100 West Market Street'}","{'@type': 'GeoCoordinates', 'latitude': 36.3140928, 'longitude': -82.3796399}",{}
Rio De Brazil Steakhouse,https://www.ubereats.com/tricities/food-delivery/rio-de-brazil-steakhouse/zO7iRwnoTo6hF8-XebKAFg,johnson-city-tennessee,"['Brazilian', 'Desserts', 'Kids Friendly']",,,,36.3124722,-82.38590959999999,+14233287091,37604,1800 West Market Street,Johnson City,TN,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '16:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '17:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '16:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Johnson City', 'addressRegion': 'TN', 'postalCode': '37604', 'addressCountry': 'US', 'streetAddress': '1800 West Market Street'}","{'@type': 'GeoCoordinates', 'latitude': 36.3124722, 'longitude': -82.38590959999999}",{}
"First Watch (1150 W State of Franklin Rd, Ste 20)",https://www.ubereats.com/tricities/food-delivery/first-watch-1150-w-state-of-franklin-rd-ste-20/4LJLLCTES6uviqQiiSbDUQ,johnson-city-tennessee,"['Breakfast and Brunch', 'American', 'Sandwiches']",,,$,36.3156033,-82.3513797,+14239001103,37604,150 West State of Franklin Road,Johnson City,TN,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:0', 'closes': '14:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Johnson City', 'addressRegion': 'TN', 'postalCode': '37604', 'addressCountry': 'US', 'streetAddress': '150 West State of Franklin Road'}","{'@type': 'GeoCoordinates', 'latitude': 36.3156033, 'longitude': -82.3513797}",{}
Hardees (1501802),https://www.ubereats.com/tricities/food-delivery/hardees-1501802/97mHiUPzSrmdYjBWzPVTrw,johnson-city-tennessee,"['American', 'Breakfast and Brunch', 'Burgers', 'Chicken', 'Fast Food', 'Sandwich']",,,$,36.3550527,-82.3821182,+14232828126,37601,2702 N Roan St,Johnson City,TN,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '5:0', 'closes': '10:44'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:45', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '5:0', 'closes': '10:14'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:15', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '5:0', 'closes': '10:14'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '10:15', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '5:0', 'closes': '10:44'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:45', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Johnson City', 'addressRegion': 'TN', 'postalCode': '37601', 'addressCountry': 'US', 'streetAddress': '2702 N Roan St'}","{'@type': 'GeoCoordinates', 'latitude': 36.3550527, 'longitude': -82.3821182}",{}
Golden Corral (3104 Browns Mill Rd),https://www.ubereats.com/tricities/food-delivery/golden-corral-3104-browns-mill-rd/smHX12lIRDGxBP6LekU8Yw,johnson-city-tennessee,"['American', 'Comfort Food', 'Seafood', 'Traditional American']",,,$$$,36.35976779999999,-82.3937036,+14238549400,37604,3104 Browns Mill Rd,Johnson City,TN,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Johnson City', 'addressRegion': 'TN', 'postalCode': '37604', 'addressCountry': 'US', 'streetAddress': '3104 Browns Mill Rd'}","{'@type': 'GeoCoordinates', 'latitude': 36.35976779999999, 'longitude': -82.3937036}",{}
KFC (1920 N. Roan Street),https://www.ubereats.com/tricities/food-delivery/kfc-1920-n-roan-street/gWn-rXaCTDKnYejrqR4u7A,johnson-city-tennessee,"['American', 'Fast Food', 'wings']",3.7,10,$,36.33862620000001,-82.3733061,+12814699238,37601,1920 N. Roan Street,Johnson City,TN,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Johnson City', 'addressRegion': 'TN', 'postalCode': '37601', 'addressCountry': 'US', 'streetAddress': '1920 N. Roan Street'}","{'@type': 'GeoCoordinates', 'latitude': 36.33862620000001, 'longitude': -82.3733061}","{'@type': 'AggregateRating', 'ratingValue': 3.7, 'reviewCount': '10'}"
Jersey Mike's Subs (2106 Mount Castle Drive),https://www.ubereats.com/tricities/food-delivery/jersey-mikes-subs-2106-mount-castle-drive/sD4vpEPBS7qD8Jsi0weR4w,johnson-city-tennessee,"['Sandwich', 'American']",4.5,16,$,36.3407208,-82.37743689999999,+14232826019,37604,2106 Mount Castle Drive,Johnson City,TN,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Johnson City', 'addressRegion': 'TN', 'postalCode': '37604', 'addressCountry': 'US', 'streetAddress': '2106 Mount Castle Drive'}","{'@type': 'GeoCoordinates', 'latitude': 36.3407208, 'longitude': -82.37743689999999}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '16'}"
Jersey Mike's Subs (1805  West State of Franklin),https://www.ubereats.com/tricities/food-delivery/jersey-mikes-subs-1805-west-state-of-franklin/UG4Q7Y2JTB-FK2VMEK1i_g,johnson-city-tennessee,"['Sandwich', 'American']",,,$,36.3003475,-82.3798992,+14239291221,37604,1805  West State of Franklin,Johnson City,TN,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Johnson City', 'addressRegion': 'TN', 'postalCode': '37604', 'addressCountry': 'US', 'streetAddress': '1805  West State of Franklin'}","{'@type': 'GeoCoordinates', 'latitude': 36.3003475, 'longitude': -82.3798992}",{}
