name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Strictly bagels and things,https://www.ubereats.com/new-jersey/food-delivery/strictly-bagels-and-things/JtEQG0CxR06s3DKLJI9MSQ,kearny-new-jersey,"['Burgers', 'American', 'Sandwiches']",,,$,40.7628035,-74.2133274,+17185097594,7018,393 Main St,East Orange,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '7:0', 'closes': '16:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'East Orange', 'addressRegion': 'NJ', 'postalCode': '7018', 'addressCountry': 'US', 'streetAddress': '393 Main St'}","{'@type': 'GeoCoordinates', 'latitude': 40.7628035, 'longitude': -74.2133274}",{}
Fresh Coast (FKA Ono Grinds Poke),https://www.ubereats.com/new-jersey/food-delivery/fresh-coast-fka-ono-grinds-poke/ZbwZ-twLRoyRb2kVpo_URg,kearny-new-jersey,"['Japanese', 'Healthy', 'Seafood']",4.6,401,$$,40.738136,-74.173001,+19739827653,07102,1227 Raymond Blvd,Newark,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '8:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Newark', 'addressRegion': 'NJ', 'postalCode': '07102', 'addressCountry': 'US', 'streetAddress': '1227 Raymond Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 40.738136, 'longitude': -74.173001}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '401'}"
Popeyes (168 Bloomfield Avenue),https://www.ubereats.com/new-jersey/food-delivery/popeyes-168-bloomfield-avenue/H2E8OewLT16QCmpuew_8iQ,kearny-new-jersey,"['American', 'Fast Food', 'Comfort Food', 'Family Meals']",3.8,468,$,40.7801425,-74.1904629,+19738607518,7003,168,Bloomfield,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday'], 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Bloomfield', 'addressRegion': 'NJ', 'postalCode': '7003', 'addressCountry': 'US', 'streetAddress': '168'}","{'@type': 'GeoCoordinates', 'latitude': 40.7801425, 'longitude': -74.1904629}","{'@type': 'AggregateRating', 'ratingValue': 3.8, 'reviewCount': '468'}"
Wall Street Cafe,https://www.ubereats.com/new-jersey/food-delivery/wall-street-cafe/sd4JACyFSG6SGCYHkiIzMg,kearny-new-jersey,"['Latin American', 'Dominican', 'Healthy']",,,$,40.806985,-74.1036262,+12019331099,07071,1099 Wall St W,Lyndhurst,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '17:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '17:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Lyndhurst', 'addressRegion': 'NJ', 'postalCode': '07071', 'addressCountry': 'US', 'streetAddress': '1099 Wall St W'}","{'@type': 'GeoCoordinates', 'latitude': 40.806985, 'longitude': -74.1036262}",{}
Dunkin' (56 Park Ave),https://www.ubereats.com/new-jersey/food-delivery/dunkin-56-park-ave/bQTk2ZY-TLS9wld5vAdHyg,kearny-new-jersey,"['Breakfast and Brunch', 'Donuts']",4.6,39,$,40.8279199,-74.10329580000001,+12019350346,7070,56 Park Ave,Rutherford,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:0', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Rutherford', 'addressRegion': 'NJ', 'postalCode': '7070', 'addressCountry': 'US', 'streetAddress': '56 Park Ave'}","{'@type': 'GeoCoordinates', 'latitude': 40.8279199, 'longitude': -74.10329580000001}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '39'}"
Carvel (240 South Summit Avenue),https://www.ubereats.com/new-jersey/food-delivery/carvel-240-south-summit-avenue/FXIEjLl4RgqOJvcDuoKa3g,kearny-new-jersey,"['Ice Cream and Frozen Yogurt', 'Desserts']",4.8,500,$,40.876535,-74.064569,+12014894488,07601,240 South Summit Avenue,Hackensack,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '9:30', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '9:30', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Hackensack', 'addressRegion': 'NJ', 'postalCode': '07601', 'addressCountry': 'US', 'streetAddress': '240 South Summit Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 40.876535, 'longitude': -74.064569}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '500'}"
Manny's Restaurant 2,https://www.ubereats.com/new-jersey/food-delivery/mannys-restaurant-2/wTzEzk8vS82Mhx_mie9TWw,kearny-new-jersey,"['Sandwiches', 'Healthy', 'Dominican']",4.5,448,$,40.7468311,-74.1913801,+19738240144,07107,375 W Market St,Newark,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '16:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '8:0', 'closes': '18:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Newark', 'addressRegion': 'NJ', 'postalCode': '07107', 'addressCountry': 'US', 'streetAddress': '375 W Market St'}","{'@type': 'GeoCoordinates', 'latitude': 40.7468311, 'longitude': -74.1913801}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '448'}"
Taqueria Dos Perlas,https://www.ubereats.com/new-jersey/food-delivery/taqueria-dos-perlas/1yZ6qmE4Q0eqnzHldZaUQw,kearny-new-jersey,"['Mexican', 'Latin American', 'New Mexican']",4.8,23,$,40.7957602,-74.14881489999999,+19734440492,7109,446 Washington Ave,Belleville,NJ,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Belleville', 'addressRegion': 'NJ', 'postalCode': '7109', 'addressCountry': 'US', 'streetAddress': '446 Washington Ave'}","{'@type': 'GeoCoordinates', 'latitude': 40.7957602, 'longitude': -74.14881489999999}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '23'}"
Vatan Express,https://www.ubereats.com/new-jersey/food-delivery/vatan-express/N_2dM0j_Ri-PuODb60iHVw,kearny-new-jersey,"['Indian', 'Asian', 'Indian Curry', 'Asian Fusion', 'Biryani', 'Salads', 'Sandwich']",,,$,40.7364481,-74.1685931,+19735968244,07102,89 Mulberry Street,Newark,New Jersey,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '12:0', 'closes': '18:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Newark', 'addressRegion': 'New Jersey', 'postalCode': '07102', 'addressCountry': 'US', 'streetAddress': '89 Mulberry Street'}","{'@type': 'GeoCoordinates', 'latitude': 40.7364481, 'longitude': -74.1685931}",{}
Takorea BBQ,https://www.ubereats.com/new-jersey/food-delivery/takorea-bbq/j7oSc26NQImqnC_7TC-nAA,kearny-new-jersey,"['Korean', 'Mexican', 'Asian Fusion', 'Allergy Friendly']",4.6,273,$,40.739893,-74.155862,+18628492577,07029,805 Frank E Rodgers Blvd S,Harrison,New Jersey,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '16:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:30', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '16:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Harrison', 'addressRegion': 'New Jersey', 'postalCode': '07029', 'addressCountry': 'US', 'streetAddress': '805 Frank E Rodgers Blvd S'}","{'@type': 'GeoCoordinates', 'latitude': 40.739893, 'longitude': -74.155862}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '273'}"
