name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Thirsty Owl,https://www.ubereats.com/manchester-nh/food-delivery/thirsty-owl/Ijm72C7dSUuHbuE-DRZw1g,keene-new-hampshire,"['American', 'Burgers', 'Sandwiches']",,,$,42.9280374,-72.28305619999999,+16033558166,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '22:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 42.9280374, 'longitude': -72.28305619999999}",{}
D'Angelo Grilled Sandwiches (189 West St.),https://www.ubereats.com/manchester-nh/food-delivery/dangelo-grilled-sandwiches-189-west-st/kiOqvcYERGSG9iJ2rMLoHg,keene-new-hampshire,"['Sandwiches', 'American', 'Healthy']",,,$,42.932949,-72.2852996,+16033570401,03431,189 West St.,Keene,NH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '20:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Keene', 'addressRegion': 'NH', 'postalCode': '03431', 'addressCountry': 'US', 'streetAddress': '189 West St.'}","{'@type': 'GeoCoordinates', 'latitude': 42.932949, 'longitude': -72.2852996}",{}
Royal Spice,https://www.ubereats.com/manchester-nh/food-delivery/royal-spice/B0-ulznnQw2lOXdJFC5NYw,keene-new-hampshire,"['Indian', 'Vegan', 'Kids Friendly']",,,$$$,42.9341416,-72.2793756,+16039030535,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '15:30', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '12:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '15:30', 'closes': '21:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 42.9341416, 'longitude': -72.2793756}",{}
Subway (37 Main St),https://www.ubereats.com/manchester-nh/food-delivery/subway-37-main-st/8AmAgaDiTuGm2uR5s7LlUg,keene-new-hampshire,"['Fast Food', 'Sandwich', 'American']",,,$,42.9328923,-72.27881769999999,+16033571800,3431,37 Main St,Keene,NH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Keene', 'addressRegion': 'NH', 'postalCode': '3431', 'addressCountry': 'US', 'streetAddress': '37 Main St'}","{'@type': 'GeoCoordinates', 'latitude': 42.9328923, 'longitude': -72.27881769999999}",{}
Panera Bread (298 West Street),https://www.ubereats.com/manchester-nh/food-delivery/panera-bread-298-west-street/CeHqS_y8S6ebaE6pG-brLA,keene-new-hampshire,"['Breakfast and Brunch', 'salad', 'Sandwich']",,,$,42.9317147,-72.2892037,+16033579100,3431,298 West Street,Keene,NH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '6:30', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '6:30', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Keene', 'addressRegion': 'NH', 'postalCode': '3431', 'addressCountry': 'US', 'streetAddress': '298 West Street'}","{'@type': 'GeoCoordinates', 'latitude': 42.9317147, 'longitude': -72.2892037}",{}
Yahso Jamaican Grille,https://www.ubereats.com/manchester-nh/food-delivery/yahso-jamaican-grille/FL_wSsIaRsSwqIRx-RP5Tw,keene-new-hampshire,"['Caribbean', 'Wings', 'Seafood']",,,$,42.9327506,-72.2787311,+16039318560,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '15:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '15:0', 'closes': '20:40'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '15:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '15:0', 'closes': '20:40'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:30', 'closes': '15:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '15:0', 'closes': '22:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 42.9327506, 'longitude': -72.2787311}",{}
Five Guys NH-1167 363 Winchester St,https://www.ubereats.com/manchester-nh/food-delivery/five-guys-nh-1167-363-winchester-st/8E3v5bKPRbSk_603ecLsqg,keene-new-hampshire,"['American', 'Burgers', 'Sandwich']",4.8,13,$,42.9235511,-72.29216869999999,+16039031080,3431,58 Key Rd.,Keene,NH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Keene', 'addressRegion': 'NH', 'postalCode': '3431', 'addressCountry': 'US', 'streetAddress': '58 Key Rd.'}","{'@type': 'GeoCoordinates', 'latitude': 42.9235511, 'longitude': -72.29216869999999}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '13'}"
Jersey Mike's Subs (348 Winchester Street),https://www.ubereats.com/manchester-nh/food-delivery/jersey-mikes-subs-348-winchester-street/65vAIAQMQSKf_0Y-m8L3oQ,keene-new-hampshire,"['Sandwich', 'American']",,,$,42.923375300000004,-72.2895523,+16033719404,3431,348 Winchester Street,Keene,NH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Keene', 'addressRegion': 'NH', 'postalCode': '3431', 'addressCountry': 'US', 'streetAddress': '348 Winchester Street'}","{'@type': 'GeoCoordinates', 'latitude': 42.923375300000004, 'longitude': -72.2895523}",{}
McDonald's® (317 WINCHESTER ST),https://www.ubereats.com/manchester-nh/food-delivery/mcdonalds-317-winchester-st/IXM_5wTnRJ6OpiwPOjZO5w,keene-new-hampshire,"['American', 'Burgers', 'Fast Food', 'Fast Food']",,,$,42.925795,-72.289356,+16033529610,3431,317 WINCHESTER ST,KEENE,NH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '6:0', 'closes': '10:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '16:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '17:0', 'closes': '0:44'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '6:0', 'closes': '10:29'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:30', 'closes': '16:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '17:0', 'closes': '0:44'}]","{'@type': 'PostalAddress', 'addressLocality': 'KEENE', 'addressRegion': 'NH', 'postalCode': '3431', 'addressCountry': 'US', 'streetAddress': '317 WINCHESTER ST'}","{'@type': 'GeoCoordinates', 'latitude': 42.925795, 'longitude': -72.289356}",{}
"Starbucks (Keene, West St.)",https://www.ubereats.com/manchester-nh/food-delivery/starbucks-keene-west-st/_MDhKm07QC2YNoy_fOkXLQ,keene-new-hampshire,"['Bakery', 'Breakfast and Brunch', 'Cafe', 'Coffee & Tea']",,,$,42.9330295,-72.2892777,+16033576061,3431,281 West Street,Keene,NH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '6:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '5:30', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Keene', 'addressRegion': 'NH', 'postalCode': '3431', 'addressCountry': 'US', 'streetAddress': '281 West Street'}","{'@type': 'GeoCoordinates', 'latitude': 42.9330295, 'longitude': -72.2892777}",{}
