name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Five Guys OR-1332 2990 Commercial St. SE,https://www.ubereats.com/salem/food-delivery/five-guys-or-1332-2990-commercial-st-se/xFnSRZ48Tg6dW6veYRsrkQ,keizer-oregon,"['American', 'Burgers']",4.6,285,$,44.911939,-123.044478,+15039915730,97302,"2990 Commercial St. SE, Suite 100",Salem,OR,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Salem', 'addressRegion': 'OR', 'postalCode': '97302', 'addressCountry': 'US', 'streetAddress': '2990 Commercial St. SE, Suite 100'}","{'@type': 'GeoCoordinates', 'latitude': 44.911939, 'longitude': -123.044478}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '285'}"
Cafe Yumm! (Salem),https://www.ubereats.com/salem/food-delivery/cafe-yumm!-salem/QcOkdoBwQD-tbvMjLP1x1w,keizer-oregon,"['Burgers', 'American', 'Sandwiches']",4.6,142,$,44.9138446,-123.046136,+15035819866,97302,2755 Commercial St SE Ste 100,Salem,OR,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Salem', 'addressRegion': 'OR', 'postalCode': '97302', 'addressCountry': 'US', 'streetAddress': '2755 Commercial St SE Ste 100'}","{'@type': 'GeoCoordinates', 'latitude': 44.9138446, 'longitude': -123.046136}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '142'}"
Chickpea,https://www.ubereats.com/salem/food-delivery/chickpea/S6QuFxg9RcivD1Y_-AvYUA,keizer-oregon,['Mediterranean'],,,$,44.940837,-123.057454,+15036891766,97304,1142 Edgewater St NW,Salem,OR,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Salem', 'addressRegion': 'OR', 'postalCode': '97304', 'addressCountry': 'US', 'streetAddress': '1142 Edgewater St NW'}","{'@type': 'GeoCoordinates', 'latitude': 44.940837, 'longitude': -123.057454}",{}
Cafe Yumm! (Keizer Station),https://www.ubereats.com/salem/food-delivery/cafe-yumm!-keizer-station/bpoHCiNiRIWKS7C8tHpM1w,keizer-oregon,"['Burgers', 'American', 'Sandwiches']",4.4,59,$,45.0074663,-122.9984373,+15033909866,97303,5920 Ulali Drive NE,Keizer,OR,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Keizer', 'addressRegion': 'OR', 'postalCode': '97303', 'addressCountry': 'US', 'streetAddress': '5920 Ulali Drive NE'}","{'@type': 'GeoCoordinates', 'latitude': 45.0074663, 'longitude': -122.9984373}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '59'}"
Hawaiian Time,https://www.ubereats.com/salem/food-delivery/hawaiian-time/8qgDbXlPRi-yiY3yikD16A,keizer-oregon,"['Chicken', 'Sandwich', 'American']",,,$,44.9468782,-123.0505534,+15038504671,97304,545 Wallace Rd NW,Salem,OR,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Salem', 'addressRegion': 'OR', 'postalCode': '97304', 'addressCountry': 'US', 'streetAddress': '545 Wallace Rd NW'}","{'@type': 'GeoCoordinates', 'latitude': 44.9468782, 'longitude': -123.0505534}",{}
Dairy Queen Grill & Chill (761 Lockhaven Dr NE),https://www.ubereats.com/salem/food-delivery/dairy-queen-grill-%26-chill-761-lockhaven-dr-ne/VdQ0ZoimQ-a6d0acDRuDjQ,keizer-oregon,"['American', 'Fast Food', 'Ice Cream & Frozen Yogurt']",3.9,61,$,45.0050628,-123.0238616,+15033902262,97303,761 Lockhaven Drive NE,Keizer,OR,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Keizer', 'addressRegion': 'OR', 'postalCode': '97303', 'addressCountry': 'US', 'streetAddress': '761 Lockhaven Drive NE'}","{'@type': 'GeoCoordinates', 'latitude': 45.0050628, 'longitude': -123.0238616}","{'@type': 'AggregateRating', 'ratingValue': 3.9, 'reviewCount': '61'}"
Bobablastic (South Salem),https://www.ubereats.com/salem/food-delivery/bobablastic-south-salem/mB9Hpv6qQn2MLU_F1gKIzg,keizer-oregon,"['Asian Fusion', 'Bubble Tea', 'Juice and Smoothies']",4.7,24,$,44.872749400000004,-123.0250538,+13605589073,97306,5669 Commercial St,Salem,OR,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:30', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Salem', 'addressRegion': 'OR', 'postalCode': '97306', 'addressCountry': 'US', 'streetAddress': '5669 Commercial St'}","{'@type': 'GeoCoordinates', 'latitude': 44.872749400000004, 'longitude': -123.0250538}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '24'}"
Coffee In Motion,https://www.ubereats.com/salem/food-delivery/coffee-in-motion/1OUqsqJeQDOzma_6VOISdA,keizer-oregon,"['Coffee & Tea', 'Breakfast and Brunch', 'Kids Friendly']",4.6,49,$,44.9621369,-123.0109714,+15414181351,97301,1725 Silverton Rd NE,Salem,OR,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '6:0', 'closes': '16:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Salem', 'addressRegion': 'OR', 'postalCode': '97301', 'addressCountry': 'US', 'streetAddress': '1725 Silverton Rd NE'}","{'@type': 'GeoCoordinates', 'latitude': 44.9621369, 'longitude': -123.0109714}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '49'}"
Abby's  Legendary Pizza- Keizer,https://www.ubereats.com/salem/food-delivery/abbys-legendary-pizza-keizer/hHcKj1SYRKC1y2ziGdoYkQ,keizer-oregon,"['Pizza', 'American', 'Italian']",4.6,137,$,44.975993,-123.0279168,+15033932229,97303,3451 River Rd N,Keizer,OR,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '16:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Keizer', 'addressRegion': 'OR', 'postalCode': '97303', 'addressCountry': 'US', 'streetAddress': '3451 River Rd N'}","{'@type': 'GeoCoordinates', 'latitude': 44.975993, 'longitude': -123.0279168}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '137'}"
India Palace,https://www.ubereats.com/salem/food-delivery/india-palace/Z_LaEpI6TEmA4HB8JxefnQ,keizer-oregon,['Indian'],4.8,165,$$,44.941486,-123.0387,+15033714808,97301,377 Court St NE,Salem,OR,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '20:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '13:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '16:0', 'closes': '20:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:0', 'closes': '20:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Salem', 'addressRegion': 'OR', 'postalCode': '97301', 'addressCountry': 'US', 'streetAddress': '377 Court St NE'}","{'@type': 'GeoCoordinates', 'latitude': 44.941486, 'longitude': -123.0387}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '165'}"
