name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
McDonald's® (Rwln Hgts-Colima),https://www.ubereats.com/los-angeles/food-delivery/mcdonalds-rwln-hgts-colima/O5rUfAmGQBOzs5HEO4xgOA,la-habra-california,"['American', 'Fast Food', 'Burgers']",4.8,136,$,33.986875,-117.870398,+19095980190,91748,19775 COLIMA RD,ROWLAND HEIGHTS,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '4:0', 'closes': '10:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '16:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '17:0', 'closes': '23:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '4:0', 'closes': '10:29'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:30', 'closes': '16:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '17:0', 'closes': '23:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '4:0', 'closes': '10:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '16:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '17:0', 'closes': '23:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'ROWLAND HEIGHTS', 'addressRegion': 'CA', 'postalCode': '91748', 'addressCountry': 'US', 'streetAddress': '19775 COLIMA RD'}","{'@type': 'GeoCoordinates', 'latitude': 33.986875, 'longitude': -117.870398}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '136'}"
Gusto D' Oro Italian Cuisine,https://www.ubereats.com/orange-county/food-delivery/gusto-d-oro-italian-cuisine/E_8_UFdiSiCe1MXFr98aHg,la-habra-california,['Italian'],4.8,58,$$,33.88978424607101,-117.82905662418524,+16574442848,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '14:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday'], 'opens': '16:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '14:0', 'closes': '20:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 33.88978424607101, 'longitude': -117.82905662418524}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '58'}"
,https://www.ubereats.com/orange-county/food-delivery/even-life/r-wkB_KaRH6L5op6aFYgtQ,la-habra-california,,,,,,,,,,,,,,,
Kopan Ramen - Fullerton,https://www.ubereats.com/orange-county/food-delivery/kopan-ramen-fullerton/V3k52ZfKRty1sWcPWeYU2w,la-habra-california,"['Japanese', 'Ramen', 'Salads']",4.7,200,$,33.870393,-117.922534,+17144479926,92832,141 E Commonwealth Ave,Fullerton,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:30', 'closes': '23:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:30', 'closes': '23:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:30', 'closes': '23:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Fullerton', 'addressRegion': 'CA', 'postalCode': '92832', 'addressCountry': 'US', 'streetAddress': '141 E Commonwealth Ave'}","{'@type': 'GeoCoordinates', 'latitude': 33.870393, 'longitude': -117.922534}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '200'}"
,https://www.ubereats.com/los-angeles/food-delivery/sizzler/dosUz-lnSdmmPKyq9rKXBg,la-habra-california,,,,,,,,,,,,,,,
Gold Tiffen Service,https://www.ubereats.com/orange-county/food-delivery/gold-tiffen-service/mDbSxQKwQG-qGYk9jY19nw,la-habra-california,"['American', 'Italian', 'Steak']",,,$,33.8478229,-117.9766107,+17146009237,92801,1125 N Magnolia Ave 230 230,Anaheim,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Anaheim', 'addressRegion': 'CA', 'postalCode': '92801', 'addressCountry': 'US', 'streetAddress': '1125 N Magnolia Ave 230 230'}","{'@type': 'GeoCoordinates', 'latitude': 33.8478229, 'longitude': -117.9766107}",{}
,https://www.ubereats.com/orange-county/food-delivery/burger-king-11125-e-washington-blvd/5A1bZLydQwOwADsb7fqyfQ,la-habra-california,,,,,,,,,,,,,,,
,https://www.ubereats.com/orange-county/food-delivery/mi-burrito-mexican-grill-whittier/bTWEDC4bREOWGSLldKnLhA,la-habra-california,,,,,,,,,,,,,,,
Lee's Sandwiches (Fullerton),https://www.ubereats.com/orange-county/food-delivery/lees-sandwiches-fullerton/rDjjRGZsRqmkJn_sPUYesw,la-habra-california,"['Vietnamese', 'Sandwich', 'Breakfast and Brunch']",4.7,74,$,33.859788,-117.9210948,+17145256089,92832,211 E Orangethorpe Ave,Fullerton,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Fullerton', 'addressRegion': 'CA', 'postalCode': '92832', 'addressCountry': 'US', 'streetAddress': '211 E Orangethorpe Ave'}","{'@type': 'GeoCoordinates', 'latitude': 33.859788, 'longitude': -117.9210948}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '74'}"
,https://www.ubereats.com/orange-county/food-delivery/el-pollo-loco-1343-nogales-st3359/xCkc3E4YSHOoPmVyQt5VoA,la-habra-california,,,,,,,,,,,,,,,
