name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Subway (4216 Katella Ave),https://www.ubereats.com/orange-county/food-delivery/subway-4216-katella-ave/IyvjWYTxTCe4l7hHK3E6rg,la-palma-california,"['Fast Food', 'Sandwich', 'American']",,,$,33.8027579,-118.0600709,+15623756494,90720,4216 Katella Ave,Los Alamitos,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '15:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '8:0', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '9:0', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Los Alamitos', 'addressRegion': 'CA', 'postalCode': '90720', 'addressCountry': 'US', 'streetAddress': '4216 Katella Ave'}","{'@type': 'GeoCoordinates', 'latitude': 33.8027579, 'longitude': -118.0600709}",{}
Zoomak Asian Bistro 주막,https://www.ubereats.com/orange-county/food-delivery/zoomak-asian-bistro-%EC%A3%BC%EB%A7%89/TaQORm4YRLSmdzSD0ZX5vw,la-palma-california,"['Korean', 'Asian', 'BBQ']",,,$,33.8593782,-118.0054162,+17143510389,90621,7309 Orangethorpe Ave,Buena Park,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '17:30', 'closes': '23:59'}]","{'@type': 'PostalAddress', 'addressLocality': 'Buena Park', 'addressRegion': 'CA', 'postalCode': '90621', 'addressCountry': 'US', 'streetAddress': '7309 Orangethorpe Ave'}","{'@type': 'GeoCoordinates', 'latitude': 33.8593782, 'longitude': -118.0054162}",{}
,https://www.ubereats.com/los-angeles/food-delivery/ozen-sushi-lincoln-ave/Dn0D27k_RXKijsZPEVbhIg,la-palma-california,,,,,,,,,,,,,,,
Ciro's Pizza,https://www.ubereats.com/orange-county/food-delivery/ciros-pizza/jbvoqJgnQFeUD9i0v3GZhg,la-palma-california,"['Pizza', 'American', 'Italian']",4.9,16,$,33.8474616,-118.0118156,+17145233381,90620,6969 La Palma Ave,Buena Park,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:10', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Buena Park', 'addressRegion': 'CA', 'postalCode': '90620', 'addressCountry': 'US', 'streetAddress': '6969 La Palma Ave'}","{'@type': 'GeoCoordinates', 'latitude': 33.8474616, 'longitude': -118.0118156}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '16'}"
,https://www.ubereats.com/los-angeles/food-delivery/mcdonalds-anaheim-2411-bal/8oXpqNvHR5SGg4D7gGdZmA,la-palma-california,,,,,,,,,,,,,,,
,https://www.ubereats.com/los-angeles/food-delivery/five-guys-ca-0605-6931-katella-ave/oF7YhRvjQH2pYQOdt6jbXw,la-palma-california,,,,,,,,,,,,,,,
,https://www.ubereats.com/los-angeles/food-delivery/carrot%26daikon-banh-mi/doGvltNKQn21zsDXUN8CNQ,la-palma-california,,,,,,,,,,,,,,,
Burger King (10134 Artesia Boulevard),https://www.ubereats.com/los-angeles/food-delivery/burger-king-10134-artesia-boulevard/OACjLA5CSbK5xtwgQys_7g,la-palma-california,"['American', 'burger', 'Fast Food']",4.5,75,$,33.8723989,-118.1181656,+15628669085,90706,10134 Artesia Boulevard,Bellflower,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:30', 'closes': '10:29'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:30', 'closes': '23:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '6:30', 'closes': '10:29'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:30', 'closes': '23:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Bellflower', 'addressRegion': 'CA', 'postalCode': '90706', 'addressCountry': 'US', 'streetAddress': '10134 Artesia Boulevard'}","{'@type': 'GeoCoordinates', 'latitude': 33.8723989, 'longitude': -118.1181656}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '75'}"
,https://www.ubereats.com/orange-county/food-delivery/canaan-restaurant/-wwvhAzaTla6QZcOicSBXw,la-palma-california,,,,,,,,,,,,,,,
,https://www.ubereats.com/los-angeles/food-delivery/ricardos-el-ranchito-mexican-restaurant/SZ8lCeRzTKqHzpI7mB1zdg,la-palma-california,,,,,,,,,,,,,,,
Dairy Queen - Treat (11309 183rd Street),https://www.ubereats.com/los-angeles/food-delivery/dairy-queen-treat-11309-183rd-street/HvjYvZ9YQrmkU40cKvW6gw,la-palma-california,"['American', 'Fast Food', 'Ice Cream & Frozen Yogurt']",4.4,67,$,33.8659128,-118.0927963,+15628606226,90703,11309 183rd Street,Cerritos,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:30', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Cerritos', 'addressRegion': 'CA', 'postalCode': '90703', 'addressCountry': 'US', 'streetAddress': '11309 183rd Street'}","{'@type': 'GeoCoordinates', 'latitude': 33.8659128, 'longitude': -118.0927963}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '67'}"
,https://www.ubereats.com/los-angeles/food-delivery/starbucks-harbor-%26-orangethorpe/ofW0OK-XSTGWHs9tpwKgcg,la-palma-california,,,,,,,,,,,,,,,
Lucky Pizza,https://www.ubereats.com/orange-county/food-delivery/lucky-pizza/Fpj2BcweQDO2OUsl-JVAgA,la-palma-california,"['Pizza', 'Family Meals']",,,$$,33.802812,-117.966862,+17147720168,92804,9542 Katella Ave,Anaheim,California,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Anaheim', 'addressRegion': 'California', 'postalCode': '92804', 'addressCountry': 'US', 'streetAddress': '9542 Katella Ave'}","{'@type': 'GeoCoordinates', 'latitude': 33.802812, 'longitude': -117.966862}",{}
,https://www.ubereats.com/orange-county/food-delivery/zens-tea-house/Xw_ESgk5TSaaW9PM-t9rfw,la-palma-california,,,,,,,,,,,,,,,
,https://www.ubereats.com/orange-county/food-delivery/i-luv-sushi-too/K1ISNQCwTMC5MCEzeS_tCg,la-palma-california,,,,,,,,,,,,,,,
Mitsuyoshi Restaurant,https://www.ubereats.com/orange-county/food-delivery/mitsuyoshi-restaurant/t4V20RZJQ6Gc0EDPeSQXhg,la-palma-california,"['Japanese', 'Asian', 'Sushi']",,,$,33.7880054,-117.9941585,+17148982156,90680,12033 Beach Blvd,Stanton,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '12:0', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Stanton', 'addressRegion': 'CA', 'postalCode': '90680', 'addressCountry': 'US', 'streetAddress': '12033 Beach Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 33.7880054, 'longitude': -117.9941585}",{}
