name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Sadaf Restaurant,https://www.ubereats.com/los-angeles/food-delivery/sadaf-restaurant/iWZ6EbeXSqmii3aWFOTLcQ,lake-balboa-california,"['Persian', 'Iranian', 'Middle Eastern']",,,$$,34.156514,-118.48693,+18189818100,91436,16240 Ventura Blvd,Los Angeles,California,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '20:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '20:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:30', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:30', 'closes': '21:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:30', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:30', 'closes': '21:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Los Angeles', 'addressRegion': 'California', 'postalCode': '91436', 'addressCountry': 'US', 'streetAddress': '16240 Ventura Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 34.156514, 'longitude': -118.48693}",{}
Kabuki Japanese Restaurant (Woodland Hills),https://www.ubereats.com/los-angeles/food-delivery/kabuki-japanese-restaurant-woodland-hills/hF6EJWsWRhGwBHPvI3B-dw,lake-balboa-california,"['Sushi', 'Japanese', 'Rolls']",,,$,34.1663157,-118.5897353,+18187048700,91364,20940 Ventura Blvd.,Woodland Hills,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Woodland Hills', 'addressRegion': 'CA', 'postalCode': '91364', 'addressCountry': 'US', 'streetAddress': '20940 Ventura Blvd.'}","{'@type': 'GeoCoordinates', 'latitude': 34.1663157, 'longitude': -118.5897353}",{}
Firehouse Chicken,https://www.ubereats.com/los-angeles/food-delivery/firehouse-chicken/t8WISTQZS0WIoGXF-bhtpA,lake-balboa-california,"['Burgers', 'American', 'Sandwiches']",4.5,19,$,34.2016726,-118.4671013,+17472641404,91406,15333 Sherman Way w,Los Angeles,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '0:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '91406', 'addressCountry': 'US', 'streetAddress': '15333 Sherman Way w'}","{'@type': 'GeoCoordinates', 'latitude': 34.2016726, 'longitude': -118.4671013}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '19'}"
Papillon International Bakery (Roscoe Blvd),https://www.ubereats.com/los-angeles/food-delivery/papillon-international-bakery-roscoe-blvd/FfBlzhG2SqOK3PWDugtvSw,lake-balboa-california,"['Bakery', 'Desserts']",4.9,93,$,34.2212953,-118.5101146,+18186002121,91325,"17305 Roscoe Blvd, Northridge, USA",Los Angeles,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '8:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '91325', 'addressCountry': 'US', 'streetAddress': '17305 Roscoe Blvd, Northridge, USA'}","{'@type': 'GeoCoordinates', 'latitude': 34.2212953, 'longitude': -118.5101146}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '93'}"
Natanya,https://www.ubereats.com/los-angeles/food-delivery/natanya/XP9GjTqsTe-VDkcqXtrx9A,lake-balboa-california,"['Mediterranean', 'Middle Eastern', 'Kosher']",,,$$,34.172312856592576,-118.42340298525015,+18189084339,91401,13321 Burbank Blvd,Los Angeles,California,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '11:0', 'closes': '14:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Los Angeles', 'addressRegion': 'California', 'postalCode': '91401', 'addressCountry': 'US', 'streetAddress': '13321 Burbank Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 34.172312856592576, 'longitude': -118.42340298525015}",{}
Starbucks (Ventura & Louise),https://www.ubereats.com/los-angeles/food-delivery/starbucks-ventura-%26-louise/6EWeocL-TPqAPD8hYLcCiA,lake-balboa-california,"['Cafe', 'Coffee & Tea', 'Breakfast and Brunch', 'Bakery']",4.7,98,$,34.1607083,-118.5103675,+18189869621,91316,17308 Ventura Blvd.,Encino,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:0', 'closes': '18:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Encino', 'addressRegion': 'CA', 'postalCode': '91316', 'addressCountry': 'US', 'streetAddress': '17308 Ventura Blvd.'}","{'@type': 'GeoCoordinates', 'latitude': 34.1607083, 'longitude': -118.5103675}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '98'}"
El Tijuanazo,https://www.ubereats.com/los-angeles/food-delivery/el-tijuanazo/MtyEAf36QSGLpi1Nk1k6vg,lake-balboa-california,"['Mexican', 'Latin American', 'New Mexican', 'Family Meals']",4.7,68,$,34.2004198,-118.5086789,+18183212838,94105,7140 Louise Ave,Los Angeles,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '94105', 'addressCountry': 'US', 'streetAddress': '7140 Louise Ave'}","{'@type': 'GeoCoordinates', 'latitude': 34.2004198, 'longitude': -118.5086789}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '68'}"
Kurrypinch,https://www.ubereats.com/los-angeles/food-delivery/kurrypinch/DU8da7YfRDGYUD02nbZxxQ,lake-balboa-california,"['Indian', 'Vegetarian', 'Asian']",,,$,34.1819995,-118.4491471,+18186687234,91401,6159 Van Nuys Blvd,Los Angeles,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:30', 'closes': '18:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '91401', 'addressCountry': 'US', 'streetAddress': '6159 Van Nuys Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 34.1819995, 'longitude': -118.4491471}",{}
Tacos Michoacan,https://www.ubereats.com/los-angeles/food-delivery/tacos-michoacan/6gFK2WCGTr2bjoGmCFJ97w,lake-balboa-california,"['Mexican', 'Latin American', 'New Mexican']",,,$,34.1927019,-118.5319437,+17076422349,91335,18300 Vanowen Street,Los Angeles,CA,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '91335', 'addressCountry': 'US', 'streetAddress': '18300 Vanowen Street'}","{'@type': 'GeoCoordinates', 'latitude': 34.1927019, 'longitude': -118.5319437}",{}
indigo cafe,https://www.ubereats.com/los-angeles/food-delivery/indigo-cafe/OilIISdPRRaxufwV2DXYKQ,lake-balboa-california,"['Modern European', 'American', 'Ice Cream and Frozen Yogurt', 'Bubble Tea', 'Desserts', 'Juice and Smoothies', 'Vegan', 'Healthy', 'Breakfast and Brunch', 'Coffee and Tea', 'Comfort Food', 'Sandwich', 'French', 'Italian', 'Allergy Friendly']",,,$,34.15982320000001,-118.5074893,+18184454585,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '12:0', 'closes': '21:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '14:0', 'closes': '21:45'}]",,"{'@type': 'GeoCoordinates', 'latitude': 34.15982320000001, 'longitude': -118.5074893}",{}
