name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Jersey Mike's (Hunters Oak Dr & Hunters Park Ln),https://www.ubereats.com/orlando/food-delivery/jersey-mikes-hunters-oak-dr-%26-hunters-park-ln/-AozqqkFS7moQjYlUHQgSQ,lake-buena-vista-florida,['Sandwich'],4.7,243,$,28.366526,-81.425917,+14074406492,32837,13651 Hunters Oak Dr,Orlando,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Orlando', 'addressRegion': 'FL', 'postalCode': '32837', 'addressCountry': 'US', 'streetAddress': '13651 Hunters Oak Dr'}","{'@type': 'GeoCoordinates', 'latitude': 28.366526, 'longitude': -81.425917}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '243'}"
Krispy Kreme (W Irlo Bronson Memorial Hwy & Scott Blvd),https://www.ubereats.com/orlando/food-delivery/krispy-kreme-w-irlo-bronson-memorial-hwy-%26-scott-blvd/8i9mo7xgSvC70GqttEofEw,lake-buena-vista-florida,"['Desserts', 'Coffee and Tea', 'Breakfast and Brunch']",4.7,19,$,28.33201,-81.496368,+14073908133,34746,5318 W Irlo Bronson Memorial Hwy,Kissimmee,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '0:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Wednesday', 'opens': '6:0', 'closes': '23:58'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '0:0', 'closes': '23:58'}]","{'@type': 'PostalAddress', 'addressLocality': 'Kissimmee', 'addressRegion': 'FL', 'postalCode': '34746', 'addressCountry': 'US', 'streetAddress': '5318 W Irlo Bronson Memorial Hwy'}","{'@type': 'GeoCoordinates', 'latitude': 28.33201, 'longitude': -81.496368}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '19'}"
Schiano pizza,https://www.ubereats.com/orlando/food-delivery/schiano-pizza/pGeGrIdjSj-vYOBUYJVRkA,lake-buena-vista-florida,"['Pizza', 'American', 'Italian', 'Family Meals']",4.8,13,$,28.306022,-81.44227939999999,+14079335383,34741,"3831 W Vine St, 53",Kissimmee,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '18:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Kissimmee', 'addressRegion': 'FL', 'postalCode': '34741', 'addressCountry': 'US', 'streetAddress': '3831 W Vine St, 53'}","{'@type': 'GeoCoordinates', 'latitude': 28.306022, 'longitude': -81.44227939999999}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '13'}"
Taco Bell (7480 Osceola Polk-Line Rd.),https://www.ubereats.com/orlando/food-delivery/taco-bell-7480-osceola-polk-line-rd/h6GLUwf4R12kv5Chsr3PTQ,lake-buena-vista-florida,"['Burritos', 'Fast Food', 'Mexican']",4.3,205,$,28.2584052,-81.590234,+18634241339,33896,7480 Osceola Polk-Line Rd.,Davenport,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '14:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '9:0', 'closes': '0:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '7:0', 'closes': '10:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '14:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '7:0', 'closes': '10:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '9:0', 'closes': '1:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Davenport', 'addressRegion': 'FL', 'postalCode': '33896', 'addressCountry': 'US', 'streetAddress': '7480 Osceola Polk-Line Rd.'}","{'@type': 'GeoCoordinates', 'latitude': 28.2584052, 'longitude': -81.590234}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '205'}"
Maracibo Mia La Tradicion,https://www.ubereats.com/orlando/food-delivery/maracibo-mia-la-tradicion/xgu7bBucTxK8bsyfZc8PtA,lake-buena-vista-florida,"['Latin American: Other', 'Breakfast and Brunch', 'Burgers']",,,$,28.369109,-81.426478,+14072320723,32837,13524 S John Young Pkwy,Orlando,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday'], 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '0:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Orlando', 'addressRegion': 'FL', 'postalCode': '32837', 'addressCountry': 'US', 'streetAddress': '13524 S John Young Pkwy'}","{'@type': 'GeoCoordinates', 'latitude': 28.369109, 'longitude': -81.426478}",{}
Wendy's  (5824 Central Fl Parkway),https://www.ubereats.com/orlando/food-delivery/wendys-5824-central-fl-parkway/4hESYm4kRni_B4WYj3GfKw,lake-buena-vista-florida,"['American', 'Burgers', 'Fast Food', 'Breakfast and Brunch']",4.0,68,$,28.4067675,-81.4548277,+14072394134,32821,5824 Central Parkway,Orlando,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '1:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:30', 'closes': '10:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Orlando', 'addressRegion': 'FL', 'postalCode': '32821', 'addressCountry': 'US', 'streetAddress': '5824 Central Parkway'}","{'@type': 'GeoCoordinates', 'latitude': 28.4067675, 'longitude': -81.4548277}","{'@type': 'AggregateRating', 'ratingValue': 4, 'reviewCount': '68'}"
Flippers Pizzeria - Lake Buena Vista,https://www.ubereats.com/orlando/food-delivery/flippers-pizzeria-lake-buena-vista/tjgFlQz2TbenTq608mAxFQ,lake-buena-vista-florida,"['Pizza', 'Salads', 'Sandwich', 'Pasta', 'Wings']",4.6,87,$$,28.383146,-81.5031951,+14079389633,32836,12525 State Rd 535,Orlando,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '0:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '1:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Orlando', 'addressRegion': 'FL', 'postalCode': '32836', 'addressCountry': 'US', 'streetAddress': '12525 State Rd 535'}","{'@type': 'GeoCoordinates', 'latitude': 28.383146, 'longitude': -81.5031951}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '87'}"
Denny's (W Vine Street),https://www.ubereats.com/orlando/food-delivery/dennys-w-vine-street/f2Ql-qkwRJiBUc3VK8GPsA,lake-buena-vista-florida,"['Traditional American', 'Breakfast and Brunch', 'Salads', 'Steak', 'Sandwich', 'Family Meals']",4.2,435,$,28.304966,-81.429739,+14078468664,34741,2509 W Vine St,Kissimmee,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '0:0', 'closes': '23:59'}]","{'@type': 'PostalAddress', 'addressLocality': 'Kissimmee', 'addressRegion': 'FL', 'postalCode': '34741', 'addressCountry': 'US', 'streetAddress': '2509 W Vine St'}","{'@type': 'GeoCoordinates', 'latitude': 28.304966, 'longitude': -81.429739}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '435'}"
Jerusalem Restaurant (Kissimmee),https://www.ubereats.com/orlando/food-delivery/jerusalem-restaurant-kissimmee/ycnxD8OsTWyy3jGQ2dPFcQ,lake-buena-vista-florida,['Middle Eastern'],4.7,113,$,28.333939,-81.480798,+14073972230,34746,2920 Vineland Rd,Kissimmee,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Kissimmee', 'addressRegion': 'FL', 'postalCode': '34746', 'addressCountry': 'US', 'streetAddress': '2920 Vineland Rd'}","{'@type': 'GeoCoordinates', 'latitude': 28.333939, 'longitude': -81.480798}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '113'}"
Booka latin restaurant and lounge,https://www.ubereats.com/orlando/food-delivery/booka-latin-restaurant-and-lounge/UTBp6rj5SyCX8-0X2UHCEw,lake-buena-vista-florida,"['Latin American', 'Mexican', 'Vegetarian', 'Burgers']",,,$,28.333631,-81.51571059999999,+14073839589,34746,5795 W Irlo Bronson Memorial Hwy,Kissimmee,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '16:0', 'closes': '1:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '7:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday'], 'opens': '20:0', 'closes': '2:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '20:0', 'closes': '3:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Kissimmee', 'addressRegion': 'FL', 'postalCode': '34746', 'addressCountry': 'US', 'streetAddress': '5795 W Irlo Bronson Memorial Hwy'}","{'@type': 'GeoCoordinates', 'latitude': 28.333631, 'longitude': -81.51571059999999}",{}
Burger Bar (8801 International Drive),https://www.ubereats.com/orlando/food-delivery/burger-bar-8801-international-drive/Pd916t5ZRt2vUnGVG_L3lQ,lake-buena-vista-florida,"['American', 'Bar Food', 'burger']",4.2,20,$$,28.4377644,-81.4713668,+14073553033,32819,8801 International Drive,Orlando,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday'], 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Orlando', 'addressRegion': 'FL', 'postalCode': '32819', 'addressCountry': 'US', 'streetAddress': '8801 International Drive'}","{'@type': 'GeoCoordinates', 'latitude': 28.4377644, 'longitude': -81.4713668}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '20'}"
China Palace,https://www.ubereats.com/orlando/food-delivery/china-palace/sFlir67xTZOJaL715z4Tzg,lake-buena-vista-florida,"['Chinese', 'Asian', 'Asian Fusion']",4.8,16,$,28.259027,-81.438236,+14079227488,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '15:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '12:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '15:30', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '12:0', 'closes': '21:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 28.259027, 'longitude': -81.438236}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '16'}"
Sofrito Latin Cafe,https://www.ubereats.com/orlando/food-delivery/sofrito-latin-cafe/A0HwbG8NTdeYGFehlQzwQg,lake-buena-vista-florida,"['Latin Fusion', 'Latin American', 'Spanish', 'Family Meals']",4.8,489,$$,28.386039,-81.50406,+14077784205,32836,8607 Palm Pkwy,Orlando,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '8:30', 'closes': '10:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:45', 'closes': '20:15'}]","{'@type': 'PostalAddress', 'addressLocality': 'Orlando', 'addressRegion': 'FL', 'postalCode': '32836', 'addressCountry': 'US', 'streetAddress': '8607 Palm Pkwy'}","{'@type': 'GeoCoordinates', 'latitude': 28.386039, 'longitude': -81.50406}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '489'}"
Panera (204165),https://www.ubereats.com/orlando/food-delivery/panera-204165/LiIHcumqSny3-0JBXn1aWA,lake-buena-vista-florida,"['Breakfast and Brunch', 'salad', 'Sandwich']",,,$,28.3808599,-81.50001739999999,+14078421300,32821,8600 Vineland Avenue,Orlando,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:0', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '6:30', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Orlando', 'addressRegion': 'FL', 'postalCode': '32821', 'addressCountry': 'US', 'streetAddress': '8600 Vineland Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 28.3808599, 'longitude': -81.50001739999999}",{}
Havana’s Cuban Cuisine ,https://www.ubereats.com/orlando/food-delivery/havanas-cuban-cuisine/TpGMrrwFSlWEwVXUuR_y9g,lake-buena-vista-florida,"['Comfort Food', 'Spanish', 'Salads', 'Cuban', 'Allergy Friendly']",4.7,32,$,28.3841193,-81.50106799999999,+14072385333,32836,8544 Palm Pkwy,Orlando,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '12:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Orlando', 'addressRegion': 'FL', 'postalCode': '32836', 'addressCountry': 'US', 'streetAddress': '8544 Palm Pkwy'}","{'@type': 'GeoCoordinates', 'latitude': 28.3841193, 'longitude': -81.50106799999999}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '32'}"
Charleys Philly Steaks (Orlando Vineland Premium Outlets),https://www.ubereats.com/orlando/food-delivery/charleys-philly-steaks-orlando-vineland-premium-outlets/Bik0RvICQxusfSD8ks02HQ,lake-buena-vista-florida,"['Sandwich', 'Bakery', 'Comfort Food']",,,$,28.3871235,-81.492375,+14074650106,32821,8200 Vineland Ave. Space 1104,Orlando,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Orlando', 'addressRegion': 'FL', 'postalCode': '32821', 'addressCountry': 'US', 'streetAddress': '8200 Vineland Ave. Space 1104'}","{'@type': 'GeoCoordinates', 'latitude': 28.3871235, 'longitude': -81.492375}",{}
China Sister,https://www.ubereats.com/orlando/food-delivery/china-sister/YzeYYW_iQXOmmNuMzHZUSA,lake-buena-vista-florida,"['Chinese', 'Noodles']",4.4,179,$,28.3465563,-81.6600309,+14077010755,34714,9310 US-192,Clermont,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Clermont', 'addressRegion': 'FL', 'postalCode': '34714', 'addressCountry': 'US', 'streetAddress': '9310 US-192'}","{'@type': 'GeoCoordinates', 'latitude': 28.3465563, 'longitude': -81.6600309}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '179'}"
New Punjab Indian Restaurant,https://www.ubereats.com/orlando/food-delivery/new-punjab-indian-restaurant/LdDQkD6kRnSUkkLnUx1RjA,lake-buena-vista-florida,"['Indian', 'Allergy Friendly']",4.7,17,$,28.453808,-81.470368,+14073527887,32819,7451 International Dr,Orlando,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '13:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '13:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Orlando', 'addressRegion': 'FL', 'postalCode': '32819', 'addressCountry': 'US', 'streetAddress': '7451 International Dr'}","{'@type': 'GeoCoordinates', 'latitude': 28.453808, 'longitude': -81.470368}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '17'}"
Broadway Pizza Bar (Kissimmee),https://www.ubereats.com/orlando/food-delivery/broadway-pizza-bar-kissimmee/IsnTRpD7TB-prMu2NXz4Bg,lake-buena-vista-florida,"['American', 'Pizza']",4.6,182,$$,28.295123,-81.404694,+14078477050,34741,403 Broadway,Kissimmee,Florida,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '14:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Kissimmee', 'addressRegion': 'Florida', 'postalCode': '34741', 'addressCountry': 'US', 'streetAddress': '403 Broadway'}","{'@type': 'GeoCoordinates', 'latitude': 28.295123, 'longitude': -81.404694}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '182'}"
El Toque Venezuelan Food,https://www.ubereats.com/orlando/food-delivery/el-toque-venezuelan-food/_pbKhQNFSemkTypO5IA-XQ,lake-buena-vista-florida,"['Latin American', 'Mexican', 'Vegetarian']",,,$,28.390808,-81.4676408,+14077159647,32821,11901 International Dr,Orlando,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '18:0', 'closes': '0:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Orlando', 'addressRegion': 'FL', 'postalCode': '32821', 'addressCountry': 'US', 'streetAddress': '11901 International Dr'}","{'@type': 'GeoCoordinates', 'latitude': 28.390808, 'longitude': -81.4676408}",{}
Little Greek (Celebration),https://www.ubereats.com/orlando/food-delivery/little-greek-celebration/Lf8yh_ZETziF6smERbYUFA,lake-buena-vista-florida,"['Greek', 'Allergy Friendly', 'Mediterranean', 'Salads']",4.6,198,$,28.330688,-81.527457,+14075664736,34747,45 Blake Blvd,Celebration,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Celebration', 'addressRegion': 'FL', 'postalCode': '34747', 'addressCountry': 'US', 'streetAddress': '45 Blake Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 28.330688, 'longitude': -81.527457}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '198'}"
