name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Subculture Coffee Roasters (107 Front Street),https://www.ubereats.com/miami/food-delivery/subculture-coffee-roasters-107-front-street/yYCXvOMBS6Ww1CLA3jmAfQ,lake-park-florida,"['Coffee and Tea', 'American', 'Vegetarian Friendly']",,,$,26.9351785,-80.08209029999999,+15613206005,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '0:0', 'closes': '0:1'}]",,"{'@type': 'GeoCoordinates', 'latitude': 26.9351785, 'longitude': -80.08209029999999}",{}
3 Natives,https://www.ubereats.com/miami/food-delivery/3-natives/B--uBCn3QweC-QyotLU2KA,lake-park-florida,"['Juice and Smoothies', 'Breakfast and Brunch', 'Vegetarian']",4.9,83,$,26.8915094,-80.1028122,+15613288361,33458,4601 Military Trial,Jupiter,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '15:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday'], 'opens': '8:0', 'closes': '16:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Wednesday', 'opens': '8:0', 'closes': '14:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '8:0', 'closes': '16:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Jupiter', 'addressRegion': 'FL', 'postalCode': '33458', 'addressCountry': 'US', 'streetAddress': '4601 Military Trial'}","{'@type': 'GeoCoordinates', 'latitude': 26.8915094, 'longitude': -80.1028122}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '83'}"
Surf Taco - Jupiter,https://www.ubereats.com/miami/food-delivery/surf-taco-jupiter/65lYf9k1QaufQBp9XdP49w,lake-park-florida,"['Mexican', 'Seafood']",4.4,64,$$,26.8946266,-80.0617898,+15615087679,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:30'}]",,"{'@type': 'GeoCoordinates', 'latitude': 26.8946266, 'longitude': -80.0617898}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '64'}"
Chipotle Mexican Grill (5240 Donald Ross Road),https://www.ubereats.com/miami/food-delivery/chipotle-mexican-grill-5240-donald-ross-road/6WyC4I3vQFewllkmjK2iNA,lake-park-florida,"['Healthy', 'Mexican']",4.5,225,$,26.8824729,-80.1153133,+15612498100,33418,5240 Donald Ross Road,Palm Beach Gardens,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:45', 'closes': '21:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Palm Beach Gardens', 'addressRegion': 'FL', 'postalCode': '33418', 'addressCountry': 'US', 'streetAddress': '5240 Donald Ross Road'}","{'@type': 'GeoCoordinates', 'latitude': 26.8824729, 'longitude': -80.1153133}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '225'}"
Sloan’s Ice Cream (S Clematis St),https://www.ubereats.com/miami/food-delivery/sloans-ice-cream-s-clematis-st/kqSrMs4OTyiESZDiiygo_Q,lake-park-florida,"['Ice Cream & Frozen Yogurt', 'Desserts', 'Pastry', 'chocolatier']",4.4,16,$,26.7128318,-80.0501524,+15618333335,33401,112 S Clematis St,West Palm Beach,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '12:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '12:0', 'closes': '0:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'West Palm Beach', 'addressRegion': 'FL', 'postalCode': '33401', 'addressCountry': 'US', 'streetAddress': '112 S Clematis St'}","{'@type': 'GeoCoordinates', 'latitude': 26.7128318, 'longitude': -80.0501524}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '16'}"
Magic Soul Food (West Palm Beach),https://www.ubereats.com/miami/food-delivery/magic-soul-food-west-palm-beach/wdGgzPNnQZOXnY2nETxEhw,lake-park-florida,"['Soul Food', 'American', 'Chicken']",4.1,32,$,26.7079395,-80.1172646,+15613283222,33417,4875 Okeechobee Blvd Ste3,West Palm Beach,Florida,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'West Palm Beach', 'addressRegion': 'Florida', 'postalCode': '33417', 'addressCountry': 'US', 'streetAddress': '4875 Okeechobee Blvd Ste3'}","{'@type': 'GeoCoordinates', 'latitude': 26.7079395, 'longitude': -80.1172646}","{'@type': 'AggregateRating', 'ratingValue': 4.1, 'reviewCount': '32'}"
The Ice Cream Shop ,https://www.ubereats.com/miami/food-delivery/the-ice-cream-shop/QupBgrH4RQW9979CUnf-zA,lake-park-florida,"['Desserts', 'Ice Cream and Frozen Yogurt']",,,$,26.78364,-80.03552499999999,+15618450508,33404,1260 Plaza Circle,Singer Island Fl 33404,Fl,[],"{'@type': 'PostalAddress', 'addressLocality': 'Singer Island Fl 33404', 'addressRegion': 'Fl', 'postalCode': '33404', 'addressCountry': 'US', 'streetAddress': '1260 Plaza Circle'}","{'@type': 'GeoCoordinates', 'latitude': 26.78364, 'longitude': -80.03552499999999}",{}
Romeos Pizza & Italian Restaurant,https://www.ubereats.com/miami/food-delivery/romeos-pizza-%26-italian-restaurant/oPNJ-DiqRr67mV0_jPlRXA,lake-park-florida,"['Italian', 'Pasta', 'Comfort Food']",4.5,96,$,26.6791405,-80.118617,+15614719695,33415,4917 Southern Blvd,West Palm Beach,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'West Palm Beach', 'addressRegion': 'FL', 'postalCode': '33415', 'addressCountry': 'US', 'streetAddress': '4917 Southern Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 26.6791405, 'longitude': -80.118617}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '96'}"
Bolay (Alton Town Center),https://www.ubereats.com/miami/food-delivery/bolay-alton-town-center/7sw5ex7aRRGzsQtkCDudZA,lake-park-florida,"['Healthy', 'Vegetarian', 'American', 'Vegan Friendly', 'Gluten Free']",4.7,14,$,26.8829299,-80.1108265,+15614618656,33418,"5320 Donald Ross Rd, Suite 100",Palm Beach Gardens,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday'], 'opens': '11:30', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Wednesday', 'opens': '11:0', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '11:30', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Palm Beach Gardens', 'addressRegion': 'FL', 'postalCode': '33418', 'addressCountry': 'US', 'streetAddress': '5320 Donald Ross Rd, Suite 100'}","{'@type': 'GeoCoordinates', 'latitude': 26.8829299, 'longitude': -80.1108265}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '14'}"
Arby's (3802 Northlake Blvd),https://www.ubereats.com/miami/food-delivery/arbys-3802-northlake-blvd/Lfcq5vaPQm6Nau_QEi6DdA,lake-park-florida,"['American', 'Sandwich', 'Breakfast and Brunch', 'Fast Food', 'Kids Friendly']",4.6,17,$,26.808063,-80.0954378,+15617757505,33410,3802 NORTHLAKE BLVD,Palm Beach Gardens,FL,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:0', 'closes': '23:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Palm Beach Gardens', 'addressRegion': 'FL', 'postalCode': '33410', 'addressCountry': 'US', 'streetAddress': '3802 NORTHLAKE BLVD'}","{'@type': 'GeoCoordinates', 'latitude': 26.808063, 'longitude': -80.0954378}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '17'}"
