name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString
Chipotle Mexican Grill (5252 Detroit Rd),https://www.ubereats.com/cleveland/food-delivery/chipotle-mexican-grill-5252-detroit-rd/TK2XQaDfTLqcCfXLtjQpkw,lorain-ohio,"['Healthy', 'Mexican']",4.5,84,$,41.4245524,-82.07803609999999,+14409340659,44035,5252 Detroit Rd,Sheffield,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:45', 'closes': '21:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Sheffield', 'addressRegion': 'OH', 'postalCode': '44035', 'addressCountry': 'US', 'streetAddress': '5252 Detroit Rd'}","{'@type': 'GeoCoordinates', 'latitude': 41.4245524, 'longitude': -82.07803609999999}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '84'}"
Dunkin' (5494 Leavitt Rd),https://www.ubereats.com/cleveland/food-delivery/dunkin-5494-leavitt-rd/Nq2-NnSfTqCt4Bpjj83XiA,lorain-ohio,"['Breakfast and Brunch', 'Donuts']",4.4,27,$,41.41861650000001,-82.209398,+14402824440,44053,5494 Leavitt Rd,Lorain,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '9:0', 'closes': '17:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Lorain', 'addressRegion': 'OH', 'postalCode': '44053', 'addressCountry': 'US', 'streetAddress': '5494 Leavitt Rd'}","{'@type': 'GeoCoordinates', 'latitude': 41.41861650000001, 'longitude': -82.209398}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '27'}"
Campana's Pizza,https://www.ubereats.com/cleveland/food-delivery/campanas-pizza/CWkIgeKpTGCoYIegJqYqRA,lorain-ohio,"['Pizza', 'Comfort Food', 'Kids Friendly']",,,$,41.3794834,-82.258648,+14403908854,44001,48201 Rice Road,Amherst,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Amherst', 'addressRegion': 'OH', 'postalCode': '44001', 'addressCountry': 'US', 'streetAddress': '48201 Rice Road'}","{'@type': 'GeoCoordinates', 'latitude': 41.3794834, 'longitude': -82.258648}",{}
The Ice Cream Shop ,https://www.ubereats.com/cleveland/food-delivery/the-ice-cream-shop/SM_uBbpVQzuY8u-6xXA9hg,lorain-ohio,"['Desserts', 'Ice Cream and Frozen Yogurt']",,,$,41.4179216,-82.20836249999999,+14402822242,44001,979 North Leavitt,Amhest,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '8:0', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Amhest', 'addressRegion': 'OH', 'postalCode': '44001', 'addressCountry': 'US', 'streetAddress': '979 North Leavitt'}","{'@type': 'GeoCoordinates', 'latitude': 41.4179216, 'longitude': -82.20836249999999}",{}
Taco Bell (920 Cleveland St),https://www.ubereats.com/cleveland/food-delivery/taco-bell-920-cleveland-st/yd35_oLHRIe0TrtiMIe8mw,lorain-ohio,"['Burritos', 'Fast Food', 'Mexican']",4.1,52,$,41.3799693,-82.0699519,+14403655607,44035,920 Cleveland St,Elyria,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '14:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '1:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '8:0', 'closes': '10:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Elyria', 'addressRegion': 'OH', 'postalCode': '44035', 'addressCountry': 'US', 'streetAddress': '920 Cleveland St'}","{'@type': 'GeoCoordinates', 'latitude': 41.3799693, 'longitude': -82.0699519}","{'@type': 'AggregateRating', 'ratingValue': 4.1, 'reviewCount': '52'}"
Hanini Subz,https://www.ubereats.com/cleveland/food-delivery/hanini-subz/3Larcdj7RPGe2PuToAfoXA,lorain-ohio,"['Sandwich', 'Salads']",,,$,41.3674071,-82.10532409999999,+14403231665,,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '20:0'}]",,"{'@type': 'GeoCoordinates', 'latitude': 41.3674071, 'longitude': -82.10532409999999}",{}
Taco Bell (3671 Oberlin Ave),https://www.ubereats.com/cleveland/food-delivery/taco-bell-3671-oberlin-ave/S3Ir2lU4TTy3EOFys4c0Zg,lorain-ohio,"['Burritos', 'Fast Food', 'Mexican']",3.7,54,$,41.43734980000001,-82.1850225,+14402822683,44053,3671 Oberlin Ave,Lorain,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '14:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '1:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '7:0', 'closes': '10:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '14:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '7:0', 'closes': '10:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:0', 'closes': '2:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Lorain', 'addressRegion': 'OH', 'postalCode': '44053', 'addressCountry': 'US', 'streetAddress': '3671 Oberlin Ave'}","{'@type': 'GeoCoordinates', 'latitude': 41.43734980000001, 'longitude': -82.1850225}","{'@type': 'AggregateRating', 'ratingValue': 3.7, 'reviewCount': '54'}"
Little Caesars (125 Broad St.),https://www.ubereats.com/cleveland/food-delivery/little-caesars-125-broad-st/aLhM-W0KSPem41uaXhNNjg,lorain-ohio,['PIzza'],4.4,37,$$,41.366972,-82.0964561,+14403238000,44035,125 Broad St.,Elyria,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:30', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Elyria', 'addressRegion': 'OH', 'postalCode': '44035', 'addressCountry': 'US', 'streetAddress': '125 Broad St.'}","{'@type': 'GeoCoordinates', 'latitude': 41.366972, 'longitude': -82.0964561}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '37'}"
Cooper Deli,https://www.ubereats.com/cleveland/food-delivery/cooper-deli/JeY9ngEiRKuJjV-4D8cMzA,lorain-ohio,"['Burgers', 'Sandwich', 'Deli']",4.2,44,$,41.4185355,-82.1907873,+14402821288,44053,1408 Cooper Foster Park Rd W,Lorain,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Lorain', 'addressRegion': 'OH', 'postalCode': '44053', 'addressCountry': 'US', 'streetAddress': '1408 Cooper Foster Park Rd W'}","{'@type': 'GeoCoordinates', 'latitude': 41.4185355, 'longitude': -82.1907873}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '44'}"
Liquid Fresh Planet (Avon),https://www.ubereats.com/cleveland/food-delivery/liquid-fresh-planet-avon/fEGzvQOmS4Cki-tsLsHSdA,lorain-ohio,"['Juice and Smoothies', 'Breakfast and Brunch', 'Vegetarian', 'Salads']",4.7,111,$,41.4586282,-82.0183716,+14409370070,44011,35925 Detroit Rd,Avon,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '19:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Avon', 'addressRegion': 'OH', 'postalCode': '44011', 'addressCountry': 'US', 'streetAddress': '35925 Detroit Rd'}","{'@type': 'GeoCoordinates', 'latitude': 41.4586282, 'longitude': -82.0183716}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '111'}"
Chipotle Mexican Grill (1615 W River Rd N),https://www.ubereats.com/cleveland/food-delivery/chipotle-mexican-grill-1615-w-river-rd-n/3JG0Z3N_TA2KXq9NmfZFrw,lorain-ohio,"['Healthy', 'Mexican']",4.5,108,$,41.3969835,-82.1065574,+14403245723,44035,1615 W River Rd N,Elyria,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:45', 'closes': '21:40'}]","{'@type': 'PostalAddress', 'addressLocality': 'Elyria', 'addressRegion': 'OH', 'postalCode': '44035', 'addressCountry': 'US', 'streetAddress': '1615 W River Rd N'}","{'@type': 'GeoCoordinates', 'latitude': 41.3969835, 'longitude': -82.1065574}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '108'}"
Mr. Hero (1150 Tower Blvd),https://www.ubereats.com/cleveland/food-delivery/mr-hero-1150-tower-blvd/o1dX0sjARgyCMnoTd1nHFw,lorain-ohio,"['Burgers', 'American', 'Sandwiches']",4.5,12,$,41.4342671,-82.1848526,+14402408408,44052,1150 Tower Blvd,Lorain,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Lorain', 'addressRegion': 'OH', 'postalCode': '44052', 'addressCountry': 'US', 'streetAddress': '1150 Tower Blvd'}","{'@type': 'GeoCoordinates', 'latitude': 41.4342671, 'longitude': -82.1848526}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '12'}"
Five Guys OH-0158 36050-B Detroit Rd,https://www.ubereats.com/cleveland/food-delivery/five-guys-oh-0158-36050-b-detroit-rd/mwGeW85cT0md4dOTcfDAuA,lorain-ohio,"['American', 'Burgers']",4.7,140,$,41.460411,-82.022264,+14409374897,44011,36050-A Detroit Road,Avon,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Avon', 'addressRegion': 'OH', 'postalCode': '44011', 'addressCountry': 'US', 'streetAddress': '36050-A Detroit Road'}","{'@type': 'GeoCoordinates', 'latitude': 41.460411, 'longitude': -82.022264}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '140'}"
Marco’s Pizza (2130 Leavitt Rd.),https://www.ubereats.com/cleveland/food-delivery/marcos-pizza-2130-leavitt-rd/Yo6AxhOnQOSgfXBmi1WM8g,lorain-ohio,"['pizza', 'Sandwich', 'Italian']",,,$,41.450215299999996,-82.20273530000001,+14402823000,44052,2130 Leavitt Rd.,Lorain,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Lorain', 'addressRegion': 'OH', 'postalCode': '44052', 'addressCountry': 'US', 'streetAddress': '2130 Leavitt Rd.'}","{'@type': 'GeoCoordinates', 'latitude': 41.450215299999996, 'longitude': -82.20273530000001}",{}
Nikkis Good 2 Go,https://www.ubereats.com/cleveland/food-delivery/nikkis-good-2-go/O51yLIy4SjaimGTWx8nbQg,lorain-ohio,"['Latin American: Other', 'Chicken', 'Wings']",4.6,45,$,41.367687,-82.091752,+14404123050,44035,308 1/2 E Broad St,Elyria,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Elyria', 'addressRegion': 'OH', 'postalCode': '44035', 'addressCountry': 'US', 'streetAddress': '308 1/2 E Broad St'}","{'@type': 'GeoCoordinates', 'latitude': 41.367687, 'longitude': -82.091752}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '45'}"
Quaker Steak & Lube (4900 Transportation Dr),https://www.ubereats.com/cleveland/food-delivery/quaker-steak-%26-lube-4900-transportation-dr/DMySyXHRSoqhM-rmi0CTPQ,lorain-ohio,['American'],4.2,175,$$,41.42568079999999,-82.085638,+14409349464,44054,4900 Transportation Dr,Sheffield Lake,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Sheffield Lake', 'addressRegion': 'OH', 'postalCode': '44054', 'addressCountry': 'US', 'streetAddress': '4900 Transportation Dr'}","{'@type': 'GeoCoordinates', 'latitude': 41.42568079999999, 'longitude': -82.085638}","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '175'}"
Perkins (1503 Traveler's Pointe),https://www.ubereats.com/cleveland/food-delivery/perkins-1503-travelers-pointe/6ADm3TF_SvyzWpbD0HJW6A,lorain-ohio,"['Breakfast and Brunch', 'American', 'Dinner', 'Family Meals']",4.4,36,$$,41.4661068,-82.0227051,+14409343663,44011,1503 Travelers Pt,Avon,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '8:0', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Avon', 'addressRegion': 'OH', 'postalCode': '44011', 'addressCountry': 'US', 'streetAddress': '1503 Travelers Pt'}","{'@type': 'GeoCoordinates', 'latitude': 41.4661068, 'longitude': -82.0227051}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '36'}"
CLE Burger Co. (Avon),https://www.ubereats.com/cleveland/food-delivery/cle-burger-co-avon/golQZ_MXQW6JNqH4mMTfMQ,lorain-ohio,"['American', 'Burgers', 'Sandwich', 'Comfort Food']",,,$$,41.45209259999999,-82.0337535,+14409378647,44011,36931 Detroit Rd,Avon,Ohio,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '1:0', 'closes': '1:1'}]","{'@type': 'PostalAddress', 'addressLocality': 'Avon', 'addressRegion': 'Ohio', 'postalCode': '44011', 'addressCountry': 'US', 'streetAddress': '36931 Detroit Rd'}","{'@type': 'GeoCoordinates', 'latitude': 41.45209259999999, 'longitude': -82.0337535}",{}
Taco Bell (117 West Ave),https://www.ubereats.com/cleveland/food-delivery/taco-bell-117-west-ave/5-91NpuKRieDB8xrkzk80Q,lorain-ohio,"['Burritos', 'Fast Food', 'Mexican']",3.5,59,$,41.3668026,-82.11068259999999,+14402844806,44035,117 West Ave,Elyria,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '14:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '9:0', 'closes': '2:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '7:0', 'closes': '10:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '14:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '7:0', 'closes': '10:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '9:0', 'closes': '3:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Elyria', 'addressRegion': 'OH', 'postalCode': '44035', 'addressCountry': 'US', 'streetAddress': '117 West Ave'}","{'@type': 'GeoCoordinates', 'latitude': 41.3668026, 'longitude': -82.11068259999999}","{'@type': 'AggregateRating', 'ratingValue': 3.5, 'reviewCount': '59'}"
CLE Mac Factory (Avon) ,https://www.ubereats.com/cleveland/food-delivery/cle-mac-factory-avon/7RP4l2N5Re2j5Cp3Yx18ig,lorain-ohio,"['American', 'Pasta', 'Comfort Food', 'Southern']",,,$,41.45209259999999,-82.0337535,+14409378647,44011,36931 Detroit Rd,Avon,Ohio,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '1:0', 'closes': '1:1'}]","{'@type': 'PostalAddress', 'addressLocality': 'Avon', 'addressRegion': 'Ohio', 'postalCode': '44011', 'addressCountry': 'US', 'streetAddress': '36931 Detroit Rd'}","{'@type': 'GeoCoordinates', 'latitude': 41.45209259999999, 'longitude': -82.0337535}",{}
Denny's (640 Tillotson St),https://www.ubereats.com/cleveland/food-delivery/dennys-640-tillotson-st/I9R9fMwnTqmjmOK7987exA,lorain-ohio,"['Chicken Strips', 'Salads', 'Sanwiches', 'Steak', 'Family Meals']",4.4,62,$$,41.40005449999999,-82.11363399999999,+14406105364,44035,640 Tillotson St,Elyria,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '8:0', 'closes': '22:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Elyria', 'addressRegion': 'OH', 'postalCode': '44035', 'addressCountry': 'US', 'streetAddress': '640 Tillotson St'}","{'@type': 'GeoCoordinates', 'latitude': 41.40005449999999, 'longitude': -82.11363399999999}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '62'}"
BRODWAY SUNOCO DELI ,https://www.ubereats.com/cleveland/food-delivery/brodway-sunoco-deli/MboCj1afT8mAPMfqhEIPCg,lorain-ohio,"['Other', 'Chicken', 'Burgers']",,,,41.44811,-82.16594,+12163567672,44052,2436 Broadway,Lorain,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '10:0', 'closes': '1:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:0', 'closes': '1:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '0:0', 'closes': '3:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Lorain', 'addressRegion': 'OH', 'postalCode': '44052', 'addressCountry': 'US', 'streetAddress': '2436 Broadway'}","{'@type': 'GeoCoordinates', 'latitude': 41.44811, 'longitude': -82.16594}",{}
Auntie Anne's (1000 Chestnut Commons Drive),https://www.ubereats.com/cleveland/food-delivery/auntie-annes-1000-chestnut-commons-drive/Ed3ANOm4ThSp8Y7Jm-6eyw,lorain-ohio,"['Bakery', 'Comfort Food', 'Desserts', 'Pretzel', 'Allergy Friendly']",4.4,16,$,41.35101299999999,-82.067101,+14402014069,44035,1000 Chestnut Commons Drive,Elyria,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Elyria', 'addressRegion': 'OH', 'postalCode': '44035', 'addressCountry': 'US', 'streetAddress': '1000 Chestnut Commons Drive'}","{'@type': 'GeoCoordinates', 'latitude': 41.35101299999999, 'longitude': -82.067101}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '16'}"
Arby's (1951 COOPER FOSTER PK RD),https://www.ubereats.com/cleveland/food-delivery/arbys-1951-cooper-foster-pk-rd/U87avIsGTPSvC7zQGK8yRA,lorain-ohio,"['American', 'Sandwich', 'Fast Food', 'Kids Friendly']",4.3,36,$,41.4179353,-82.20054800000001,+14402823456,44001,1951 COOPER FO,AMHERST,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '0:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'AMHERST', 'addressRegion': 'OH', 'postalCode': '44001', 'addressCountry': 'US', 'streetAddress': '1951 COOPER FO'}","{'@type': 'GeoCoordinates', 'latitude': 41.4179353, 'longitude': -82.20054800000001}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '36'}"
Arby's (5235 Detroit Rd),https://www.ubereats.com/cleveland/food-delivery/arbys-5235-detroit-rd/hFSvmifaQpm55aXOhvhoew,lorain-ohio,"['American', 'Sandwich', 'Kids Friendly', 'Fast Food']",4.5,50,$,41.4263491,-82.07844030000001,+14409343075,44054,5235 Detroit Rd,Sheffield,OH,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Sheffield', 'addressRegion': 'OH', 'postalCode': '44054', 'addressCountry': 'US', 'streetAddress': '5235 Detroit Rd'}","{'@type': 'GeoCoordinates', 'latitude': 41.4263491, 'longitude': -82.07844030000001}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '50'}"
